time,RTD_Cal.CH17.temperature_c
2026-03-06 21:14:19.148933,-246.86102
2026-03-06 21:14:19.283157,-246.86102
2026-03-06 21:14:19.419239,-246.86102
2026-03-06 21:14:19.555645,-246.86102
2026-03-06 21:14:19.690272,-246.86102
2026-03-06 21:14:19.828337,-246.86102
2026-03-06 21:14:19.962207,-246.86102
2026-03-06 21:14:20.09836,-246.86102
2026-03-06 21:14:20.233502,-246.86102
2026-03-06 21:14:20.368967,-246.86102
2026-03-06 21:14:20.504453,-246.86102
2026-03-06 21:14:20.640247,-246.86102
2026-03-06 21:14:20.77396,-246.86102
2026-03-06 21:14:20.909119,-246.86102
2026-03-06 21:14:21.043867,-246.86102
2026-03-06 21:14:21.185766,-246.86102
2026-03-06 21:14:21.318304,-246.86102
2026-03-06 21:14:21.454663,-246.86102
2026-03-06 21:14:21.588934,-246.86102
2026-03-06 21:14:21.724261,-246.86102
2026-03-06 21:14:21.859751,-246.86102
2026-03-06 21:14:21.9941,-246.86102
2026-03-06 21:14:22.129684,-246.86102
2026-03-06 21:14:22.267958,-246.86102
2026-03-06 21:14:22.403649,-246.86102
2026-03-06 21:14:22.539215,-246.86102
2026-03-06 21:14:22.672173,-246.86102
2026-03-06 21:14:22.807582,-246.86102
2026-03-06 21:14:22.942655,-246.86102
2026-03-06 21:14:23.077805,-246.86102
2026-03-06 21:14:23.211496,-246.86102
2026-03-06 21:14:23.351528,-246.86102
2026-03-06 21:14:23.485933,-246.86102
2026-03-06 21:14:23.621467,-246.86102
2026-03-06 21:14:23.757044,-246.86102
2026-03-06 21:14:23.893804,-246.86102
2026-03-06 21:14:24.027561,-246.86102
2026-03-06 21:14:24.161149,-246.86102
2026-03-06 21:14:24.296258,-246.86102
2026-03-06 21:14:24.435842,-246.86102
2026-03-06 21:14:24.570233,-246.86102
2026-03-06 21:14:24.706027,-246.86102
2026-03-06 21:14:24.842095,-246.86102
2026-03-06 21:14:24.976494,-246.86102
2026-03-06 21:14:25.110997,-246.86102
2026-03-06 21:14:25.244569,-246.86102
2026-03-06 21:14:25.382765,-246.86102
2026-03-06 21:14:25.517276,-246.86102
2026-03-06 21:14:25.652677,-246.86102
2026-03-06 21:14:25.786968,-246.86102
2026-03-06 21:14:25.922664,-246.86102
2026-03-06 21:14:26.058404,-246.86102
2026-03-06 21:14:26.192758,-246.86102
2026-03-06 21:14:26.327864,-246.86102
2026-03-06 21:14:26.462996,-246.86102
2026-03-06 21:14:26.604991,-246.86102
2026-03-06 21:14:26.737265,-246.86102
2026-03-06 21:14:26.871959,-246.86102
2026-03-06 21:14:27.007863,-246.86102
2026-03-06 21:14:27.142254,-246.86102
2026-03-06 21:14:27.276205,-246.86102
2026-03-06 21:14:27.411799,-246.86102
2026-03-06 21:14:27.547583,-246.86102
2026-03-06 21:14:27.686376,-246.86102
2026-03-06 21:14:27.821697,-246.86102
2026-03-06 21:14:27.95623,-246.86102
2026-03-06 21:14:28.091171,-246.86102
2026-03-06 21:14:28.226207,-246.86102
2026-03-06 21:14:28.361043,-246.86102
2026-03-06 21:14:28.49592,-246.86102
2026-03-06 21:14:28.632029,-246.86102
2026-03-06 21:14:28.770631,-246.86102
2026-03-06 21:14:28.905152,-246.86102
2026-03-06 21:14:29.040643,-246.86102
2026-03-06 21:14:29.173941,-246.86102
2026-03-06 21:14:29.310583,-246.86102
2026-03-06 21:14:29.445763,-246.86102
2026-03-06 21:14:29.580438,-246.86102
2026-03-06 21:14:29.715432,-246.86102
2026-03-06 21:14:29.854383,-246.86102
2026-03-06 21:14:29.989543,-246.86102
2026-03-06 21:14:30.124078,-246.86102
2026-03-06 21:14:30.259436,-246.86102
2026-03-06 21:14:30.394834,-246.86102
2026-03-06 21:14:30.532332,-246.86102
2026-03-06 21:14:30.665114,-246.86102
2026-03-06 21:14:30.800572,-246.86102
2026-03-06 21:14:30.937664,-246.86102
2026-03-06 21:14:31.074852,-246.86102
2026-03-06 21:14:31.209287,-246.86102
2026-03-06 21:14:31.34284,-246.86102
2026-03-06 21:14:31.478872,-246.86102
2026-03-06 21:14:31.613492,-246.86102
2026-03-06 21:14:31.748032,-246.86102
2026-03-06 21:14:31.884735,-246.86102
2026-03-06 21:14:32.022702,-246.86102
2026-03-06 21:14:32.158648,-246.86102
2026-03-06 21:14:32.292627,-246.86102
2026-03-06 21:14:32.427979,-246.86102
2026-03-06 21:14:32.563113,-246.86102
2026-03-06 21:14:32.699075,-246.86102
2026-03-06 21:14:32.832052,-246.86102
2026-03-06 21:14:32.969934,-246.86102
2026-03-06 21:14:33.106635,-246.86102
2026-03-06 21:14:33.242152,-246.86102
2026-03-06 21:14:33.387203,-246.86102
2026-03-06 21:14:33.511745,-246.86102
2026-03-06 21:14:33.646385,-246.86102
2026-03-06 21:14:33.781654,-246.86102
2026-03-06 21:14:33.918201,-246.86102
2026-03-06 21:14:34.053086,-246.86102
2026-03-06 21:14:34.192312,-246.86102
2026-03-06 21:14:34.326405,-246.86102
2026-03-06 21:14:34.461511,-246.86102
2026-03-06 21:14:34.596506,-246.86102
2026-03-06 21:14:34.730781,-246.86102
2026-03-06 21:14:34.86521,-246.86102
2026-03-06 21:14:35.000923,-246.86102
2026-03-06 21:14:35.136664,-246.86102
2026-03-06 21:14:35.275579,-246.86102
2026-03-06 21:14:35.411234,-246.86102
2026-03-06 21:14:35.547031,-246.86102
2026-03-06 21:14:35.681815,-246.86102
2026-03-06 21:14:35.816505,-246.86102
2026-03-06 21:14:35.952129,-246.86102
2026-03-06 21:14:36.086291,-246.86102
2026-03-06 21:14:36.222585,-246.86102
2026-03-06 21:14:36.359766,-246.86102
2026-03-06 21:14:36.495475,-246.86102
2026-03-06 21:14:36.630086,-246.86102
2026-03-06 21:14:36.767014,-246.86102
2026-03-06 21:14:36.901681,-246.86102
2026-03-06 21:14:37.035177,-246.86102
2026-03-06 21:14:37.170764,-246.86102
2026-03-06 21:14:37.307113,-246.86102
2026-03-06 21:14:37.445602,-246.86102
2026-03-06 21:14:37.579128,-246.86102
2026-03-06 21:14:37.715482,-246.86102
2026-03-06 21:14:37.848969,-246.86102
2026-03-06 21:14:37.984571,-246.86102
2026-03-06 21:14:38.11997,-246.86102
2026-03-06 21:14:38.254608,-246.86102
2026-03-06 21:14:38.38864,-246.86102
2026-03-06 21:14:38.529748,-246.86102
2026-03-06 21:14:38.665458,-246.86102
2026-03-06 21:14:38.799999,-246.86102
2026-03-06 21:14:38.93424,-246.86102
2026-03-06 21:14:39.069439,-246.86102
2026-03-06 21:14:39.204619,-246.86102
2026-03-06 21:14:39.340415,-246.86102
2026-03-06 21:14:39.475463,-246.86102
2026-03-06 21:14:39.61387,-246.86102
2026-03-06 21:14:39.748679,-246.86102
2026-03-06 21:14:39.885152,-246.86102
2026-03-06 21:14:40.018581,-246.86102
2026-03-06 21:14:40.153726,-246.86102
2026-03-06 21:14:40.288437,-246.86102
2026-03-06 21:14:40.424172,-246.86102
2026-03-06 21:14:40.562497,-246.86102
2026-03-06 21:14:40.699208,-246.86102
2026-03-06 21:14:40.832852,-246.86102
2026-03-06 21:14:40.96873,-246.86102
2026-03-06 21:14:41.104966,-246.86102
2026-03-06 21:14:41.240308,-246.86102
2026-03-06 21:14:41.373004,-246.86102
2026-03-06 21:14:41.508423,-246.86102
2026-03-06 21:14:41.643477,-246.86102
2026-03-06 21:14:41.781846,-246.86102
2026-03-06 21:14:41.920181,-246.86102
2026-03-06 21:14:42.052426,-246.86102
2026-03-06 21:14:42.189896,-246.86102
2026-03-06 21:14:42.322608,-246.86102
2026-03-06 21:14:42.457618,-246.86102
2026-03-06 21:14:42.593052,-246.86102
2026-03-06 21:14:42.727411,-246.86102
2026-03-06 21:14:42.866944,-246.86102
2026-03-06 21:14:43.001197,-246.86102
2026-03-06 21:14:43.136931,-246.86102
2026-03-06 21:14:43.271511,-246.86102
2026-03-06 21:14:43.40724,-246.86102
2026-03-06 21:14:43.541013,-246.86102
2026-03-06 21:14:43.675655,-246.86102
2026-03-06 21:14:43.811936,-246.86102
2026-03-06 21:14:43.950693,-246.86102
2026-03-06 21:14:44.086071,-246.86102
2026-03-06 21:14:44.221443,-246.86102
2026-03-06 21:14:44.355384,-246.86102
2026-03-06 21:14:44.490015,-246.86102
2026-03-06 21:14:44.625912,-246.86102
2026-03-06 21:14:44.75935,-246.86102
2026-03-06 21:14:44.895427,-246.86102
2026-03-06 21:14:45.034701,-246.86102
2026-03-06 21:14:45.171624,-246.86102
2026-03-06 21:14:45.306658,-246.86102
2026-03-06 21:14:45.4413,-246.86102
2026-03-06 21:14:45.573626,-246.86102
2026-03-06 21:14:45.710307,-246.86102
2026-03-06 21:14:45.843715,-246.86102
2026-03-06 21:14:45.979808,-246.86102
2026-03-06 21:14:46.118757,-246.86102
2026-03-06 21:14:46.254578,-246.86102
2026-03-06 21:14:46.388384,-246.86102
2026-03-06 21:14:46.524282,-246.86102
2026-03-06 21:14:46.661563,-246.86102
2026-03-06 21:14:46.795718,-246.86102
2026-03-06 21:14:46.929253,-246.86102
2026-03-06 21:14:47.063822,-246.86102
2026-03-06 21:14:47.202505,-246.86102
2026-03-06 21:14:47.336845,-246.86102
2026-03-06 21:14:47.472487,-246.86102
2026-03-06 21:14:47.608233,-246.86102
2026-03-06 21:14:47.744982,-246.86102
2026-03-06 21:14:47.879911,-246.86102
2026-03-06 21:14:48.014828,-246.86102
2026-03-06 21:14:48.148635,-246.86102
2026-03-06 21:14:48.287709,-246.86102
2026-03-06 21:14:48.422354,-246.86102
2026-03-06 21:14:48.557334,-246.86102
2026-03-06 21:14:48.694431,-246.86102
2026-03-06 21:14:48.827831,-246.86102
2026-03-06 21:14:48.964409,-246.86102
2026-03-06 21:14:49.098804,-246.86102
2026-03-06 21:14:49.232444,-246.86102
2026-03-06 21:14:49.370606,-246.86102
2026-03-06 21:14:49.506289,-246.86102
2026-03-06 21:14:49.641558,-246.86102
2026-03-06 21:14:49.777216,-246.86102
2026-03-06 21:14:49.910904,-246.86102
2026-03-06 21:14:50.048763,-246.86102
2026-03-06 21:14:50.181075,-246.86102
2026-03-06 21:14:50.318809,-246.86102
2026-03-06 21:14:50.456915,-246.86102
2026-03-06 21:14:50.591919,-246.86102
2026-03-06 21:14:50.726666,-246.86102
2026-03-06 21:14:50.860598,-246.86102
2026-03-06 21:14:50.995216,-246.86102
2026-03-06 21:14:51.131037,-246.86102
2026-03-06 21:14:51.264676,-246.86102
2026-03-06 21:14:51.400086,-246.86102
2026-03-06 21:14:51.539239,-246.86102
2026-03-06 21:14:51.674392,-246.86102
2026-03-06 21:14:51.809874,-246.86102
2026-03-06 21:14:51.944427,-246.86102
2026-03-06 21:14:52.078987,-246.86102
2026-03-06 21:14:52.214771,-246.86102
2026-03-06 21:14:52.348563,-246.86102
2026-03-06 21:14:52.485255,-246.86102
2026-03-06 21:14:52.624132,-246.86102
2026-03-06 21:14:52.759193,-246.86102
2026-03-06 21:14:52.893083,-246.86102
2026-03-06 21:14:53.029288,-246.86102
2026-03-06 21:14:53.163936,-246.86102
2026-03-06 21:14:53.302597,-246.86102
2026-03-06 21:14:53.434711,-246.86102
2026-03-06 21:14:53.568591,-246.86102
2026-03-06 21:14:53.708009,-246.86102
2026-03-06 21:14:53.844072,-246.86102
2026-03-06 21:14:53.980041,-246.86102
2026-03-06 21:14:54.113765,-246.86102
2026-03-06 21:14:54.247894,-246.86102
2026-03-06 21:14:54.382381,-246.86102
2026-03-06 21:14:54.517776,-246.86102
2026-03-06 21:14:54.652108,-246.86102
2026-03-06 21:14:54.791041,-246.86102
2026-03-06 21:14:54.927315,-246.86102
2026-03-06 21:14:55.061598,-246.86102
2026-03-06 21:14:55.196489,-246.86102
2026-03-06 21:14:55.331358,-246.86102
2026-03-06 21:14:55.467613,-246.86102
2026-03-06 21:14:55.601421,-246.86102
2026-03-06 21:14:55.73688,-246.86102
2026-03-06 21:14:55.877095,-246.86102
2026-03-06 21:14:56.011346,-246.86102
2026-03-06 21:14:56.145241,-246.86102
2026-03-06 21:14:56.279949,-246.86102
2026-03-06 21:14:56.415007,-246.86102
2026-03-06 21:14:56.551891,-246.86102
2026-03-06 21:14:56.686864,-246.86102
2026-03-06 21:14:56.821524,-246.86102
2026-03-06 21:14:56.960479,-246.86102
2026-03-06 21:14:57.095391,-246.86102
2026-03-06 21:14:57.231643,-246.86102
2026-03-06 21:14:57.366197,-246.86102
2026-03-06 21:14:57.500969,-246.86102
2026-03-06 21:14:57.635524,-246.86102
2026-03-06 21:14:57.770949,-246.86102
2026-03-06 21:14:57.905875,-246.86102
2026-03-06 21:14:58.044303,-246.86102
2026-03-06 21:14:58.178785,-246.86102
2026-03-06 21:14:58.314184,-246.86102
2026-03-06 21:14:58.449182,-246.86102
2026-03-06 21:14:58.585234,-246.86102
2026-03-06 21:14:58.71998,-246.86102
2026-03-06 21:14:58.85524,-246.86102
2026-03-06 21:14:58.989981,-246.86102
2026-03-06 21:14:59.128872,-246.86102
2026-03-06 21:14:59.264627,-246.86102
2026-03-06 21:14:59.398929,-246.86102
2026-03-06 21:14:59.533906,-246.86102
2026-03-06 21:14:59.670944,-246.86102
2026-03-06 21:14:59.806026,-246.86102
2026-03-06 21:14:59.938927,-246.86102
2026-03-06 21:15:00.073649,-246.86102
2026-03-06 21:15:00.21196,-246.86102
2026-03-06 21:15:00.348121,-246.86102
2026-03-06 21:15:00.482232,-246.86102
2026-03-06 21:15:00.618686,-246.86102
2026-03-06 21:15:00.752123,-246.86102
2026-03-06 21:15:00.890196,-246.86102
2026-03-06 21:15:01.023222,-246.86102
2026-03-06 21:15:01.161093,-246.86102
2026-03-06 21:15:01.300007,-246.86102
2026-03-06 21:15:01.434192,-246.86102
2026-03-06 21:15:01.568505,-246.86102
2026-03-06 21:15:01.703835,-246.86102
2026-03-06 21:15:01.836773,-246.86102
2026-03-06 21:15:01.974678,-246.86102
2026-03-06 21:15:02.108972,-246.86102
2026-03-06 21:15:02.244127,-246.86102
2026-03-06 21:15:02.380386,-246.86102
2026-03-06 21:15:02.517917,-246.86102
2026-03-06 21:15:02.650074,-246.86102
2026-03-06 21:15:02.785238,-246.86102
2026-03-06 21:15:02.922552,-246.86102
2026-03-06 21:15:03.055776,-246.86102
2026-03-06 21:15:03.194478,-246.86102
2026-03-06 21:15:03.326672,-246.86102
2026-03-06 21:15:03.464218,-246.86102
2026-03-06 21:15:03.599935,-246.86102
2026-03-06 21:15:03.734765,-246.86102
2026-03-06 21:15:03.870333,-246.86102
2026-03-06 21:15:04.004825,-246.86102
2026-03-06 21:15:04.140597,-246.86102
2026-03-06 21:15:04.273779,-246.86102
2026-03-06 21:15:04.409799,-246.86102
2026-03-06 21:15:04.551503,-246.86102
2026-03-06 21:15:04.684381,-246.86102
2026-03-06 21:15:04.820672,-246.86102
2026-03-06 21:15:04.955314,-246.86102
2026-03-06 21:15:05.091143,-246.86102
2026-03-06 21:15:05.22533,-246.86102
2026-03-06 21:15:05.359547,-246.86102
2026-03-06 21:15:05.498517,-246.86102
2026-03-06 21:15:05.634178,-246.86102
2026-03-06 21:15:05.770381,-246.86102
2026-03-06 21:15:05.905195,-246.86102
2026-03-06 21:15:06.039407,-246.86102
2026-03-06 21:15:06.175975,-246.86102
2026-03-06 21:15:06.309745,-246.86102
2026-03-06 21:15:06.445706,-246.86102
2026-03-06 21:15:06.579753,-246.86102
2026-03-06 21:15:06.718946,-246.86102
2026-03-06 21:15:06.853619,-246.86102
2026-03-06 21:15:06.990021,-246.86102
2026-03-06 21:15:07.124655,-246.86102
2026-03-06 21:15:07.260085,-246.86102
2026-03-06 21:15:07.394831,-246.86102
2026-03-06 21:15:07.528822,-246.86102
2026-03-06 21:15:07.665603,-246.86102
2026-03-06 21:15:07.803733,-246.86102
2026-03-06 21:15:07.940882,-246.86102
2026-03-06 21:15:08.076014,-246.86102
2026-03-06 21:15:08.209471,-246.86102
2026-03-06 21:15:08.346615,-246.86102
2026-03-06 21:15:08.478591,-246.86102
2026-03-06 21:15:08.614479,-246.86102
2026-03-06 21:15:08.748692,-246.86102
2026-03-06 21:15:08.889095,-246.86102
2026-03-06 21:15:09.022884,-246.86102
2026-03-06 21:15:09.157459,-246.86102
2026-03-06 21:15:09.29407,-246.86102
2026-03-06 21:15:09.430323,-246.86102
2026-03-06 21:15:09.563307,-246.86102
2026-03-06 21:15:09.699254,-246.86102
2026-03-06 21:15:09.833243,-246.86102
2026-03-06 21:15:09.972152,-246.86102
2026-03-06 21:15:10.107062,-246.86102
2026-03-06 21:15:10.241824,-246.86102
2026-03-06 21:15:10.378715,-246.86102
2026-03-06 21:15:10.512201,-246.86102
2026-03-06 21:15:10.649827,-246.86102
2026-03-06 21:15:10.780973,-246.86102
2026-03-06 21:15:10.916924,-246.86102
2026-03-06 21:15:11.056888,-246.86102
2026-03-06 21:15:11.191066,-246.86102
2026-03-06 21:15:11.326674,-246.86102
2026-03-06 21:15:11.461651,-246.86102
2026-03-06 21:15:11.595617,-246.86102
2026-03-06 21:15:11.73089,-246.86102
2026-03-06 21:15:11.865523,-246.86102
2026-03-06 21:15:12.00211,-246.86102
2026-03-06 21:15:12.140059,-246.86102
2026-03-06 21:15:12.275011,-246.86102
2026-03-06 21:15:12.410002,-246.86102
2026-03-06 21:15:12.545319,-246.86102
2026-03-06 21:15:12.682419,-246.86102
2026-03-06 21:15:12.815242,-246.86102
2026-03-06 21:15:12.949109,-246.86102
2026-03-06 21:15:13.08594,-246.86102
2026-03-06 21:15:13.223893,-246.86102
2026-03-06 21:15:13.362543,-246.86102
2026-03-06 21:15:13.495181,-246.86102
2026-03-06 21:15:13.629442,-246.86102
2026-03-06 21:15:13.765603,-246.86102
2026-03-06 21:15:13.899332,-246.86102
2026-03-06 21:15:14.033446,-246.86102
2026-03-06 21:15:14.168931,-246.86102
2026-03-06 21:15:14.30794,-246.86102
2026-03-06 21:15:14.443502,-246.86102
2026-03-06 21:15:14.577166,-246.86102
2026-03-06 21:15:14.714064,-246.86102
2026-03-06 21:15:14.847671,-246.86102
2026-03-06 21:15:14.984485,-246.86102
2026-03-06 21:15:15.119242,-246.86102
2026-03-06 21:15:15.25555,-246.86102
2026-03-06 21:15:15.392956,-246.86102
2026-03-06 21:15:15.529427,-246.86102
2026-03-06 21:15:15.662839,-246.86102
2026-03-06 21:15:15.798923,-246.86102
2026-03-06 21:15:15.933349,-246.86102
2026-03-06 21:15:16.067688,-246.86102
2026-03-06 21:15:16.202444,-246.86102
2026-03-06 21:15:16.338103,-246.86102
2026-03-06 21:15:16.476356,-246.86102
2026-03-06 21:15:16.612668,-246.86102
2026-03-06 21:15:16.7477,-246.86102
2026-03-06 21:15:16.883303,-246.86102
2026-03-06 21:15:17.016954,-246.86102
2026-03-06 21:15:17.152684,-246.86102
2026-03-06 21:15:17.287018,-246.86102
2026-03-06 21:15:17.421963,-246.86102
2026-03-06 21:15:17.56135,-246.86102
2026-03-06 21:15:17.69826,-246.86102
2026-03-06 21:15:17.83158,-246.86102
2026-03-06 21:15:17.965933,-246.86102
2026-03-06 21:15:18.100646,-246.86102
2026-03-06 21:15:18.236297,-246.86102
2026-03-06 21:15:18.371765,-246.86102
2026-03-06 21:15:18.505833,-246.86102
2026-03-06 21:15:18.64552,-246.86102
2026-03-06 21:15:18.781289,-246.86102
2026-03-06 21:15:18.917983,-246.86102
2026-03-06 21:15:19.050652,-246.86102
2026-03-06 21:15:19.186421,-246.86102
2026-03-06 21:15:19.3208,-246.86102
2026-03-06 21:15:19.455743,-246.86102
2026-03-06 21:15:19.592063,-246.86102
2026-03-06 21:15:19.729261,-246.86102
2026-03-06 21:15:19.865375,-246.86102
2026-03-06 21:15:19.998698,-246.86102
2026-03-06 21:15:20.135574,-246.86102
2026-03-06 21:15:20.270578,-246.86102
2026-03-06 21:15:20.405301,-246.86102
2026-03-06 21:15:20.541862,-246.86102
2026-03-06 21:15:20.674425,-246.86102
2026-03-06 21:15:20.813696,-246.86102
2026-03-06 21:15:20.94876,-246.86102
2026-03-06 21:15:21.084002,-246.86102
2026-03-06 21:15:21.218541,-246.86102
2026-03-06 21:15:21.353056,-246.86102
2026-03-06 21:15:21.489745,-246.86102
2026-03-06 21:15:21.623425,-246.86102
2026-03-06 21:15:21.75847,-246.86102
2026-03-06 21:15:21.897621,-246.86102
2026-03-06 21:15:22.033149,-246.86102
2026-03-06 21:15:22.168993,-246.86102
2026-03-06 21:15:22.303888,-246.86102
2026-03-06 21:15:22.438335,-246.86102
2026-03-06 21:15:22.575766,-246.86102
2026-03-06 21:15:22.709851,-246.86102
2026-03-06 21:15:22.842666,-246.86102
2026-03-06 21:15:22.983108,-246.86102
2026-03-06 21:15:23.117553,-246.86102
2026-03-06 21:15:23.252192,-246.86102
2026-03-06 21:15:23.388149,-246.86102
2026-03-06 21:15:23.52334,-246.86102
2026-03-06 21:15:23.657694,-246.86102
2026-03-06 21:15:23.794067,-246.86102
2026-03-06 21:15:23.928003,-246.86102
2026-03-06 21:15:24.065571,-246.86102
2026-03-06 21:15:24.201647,-246.86102
2026-03-06 21:15:24.336681,-246.86102
2026-03-06 21:15:24.47096,-246.86102
2026-03-06 21:15:24.610747,-246.86102
