time,ACT.GSE_High_Press_Vent.raw_adc_counts
2026-03-06 21:14:18.309474,0
2026-03-06 21:14:18.309699,1055546227
2026-03-06 21:14:18.310533,0
2026-03-06 21:14:18.310595,1055519187
2026-03-06 21:14:18.310644,0
2026-03-06 21:14:18.311408,1055519187
2026-03-06 21:14:18.312086,0
2026-03-06 21:14:18.312148,1055519187
2026-03-06 21:14:18.312205,0
2026-03-06 21:14:18.312251,1055519187
2026-03-06 21:14:18.312299,0
2026-03-06 21:14:18.312957,1055546227
2026-03-06 21:14:18.313021,0
2026-03-06 21:14:18.313071,1055546227
2026-03-06 21:14:18.313119,0
2026-03-06 21:14:18.313816,1055465106
2026-03-06 21:14:18.313883,0
2026-03-06 21:14:18.314521,1055492147
2026-03-06 21:14:18.314585,0
2026-03-06 21:14:18.316441,1055573267
2026-03-06 21:14:18.316632,0
2026-03-06 21:14:18.316817,1055519187
2026-03-06 21:14:18.316964,0
2026-03-06 21:14:18.317179,1055465106
2026-03-06 21:14:18.317237,0
2026-03-06 21:14:18.318434,1055519187
2026-03-06 21:14:18.319251,0
2026-03-06 21:14:18.319461,1055546227
2026-03-06 21:14:18.319643,0
2026-03-06 21:14:18.319739,1055546227
2026-03-06 21:14:18.360176,0
2026-03-06 21:14:18.415494,1055573267
2026-03-06 21:14:18.462201,0
2026-03-06 21:14:18.517421,1055573267
2026-03-06 21:14:18.564545,0
2026-03-06 21:14:18.61918,1055573267
2026-03-06 21:14:18.66595,0
2026-03-06 21:14:18.721241,1055519187
2026-03-06 21:14:18.768305,0
2026-03-06 21:14:18.823568,1055519187
2026-03-06 21:14:18.870328,0
2026-03-06 21:14:18.925379,1055438066
2026-03-06 21:14:18.972192,0
2026-03-06 21:14:19.027641,1055492147
2026-03-06 21:14:19.074173,0
2026-03-06 21:14:19.129236,1055465106
2026-03-06 21:14:19.176492,0
2026-03-06 21:14:19.231457,1055519187
2026-03-06 21:14:19.278333,0
2026-03-06 21:14:19.333776,1055465106
2026-03-06 21:14:19.380079,0
