time,PT.Fuel_Upstream.channel_id
2026-03-06 21:14:18.315417,1
2026-03-06 21:14:18.315599,1
2026-03-06 21:14:18.315614,1
2026-03-06 21:14:18.315628,1
2026-03-06 21:14:18.315643,1
2026-03-06 21:14:18.315657,1
2026-03-06 21:14:18.315671,1
2026-03-06 21:14:18.315685,1
2026-03-06 21:14:18.315699,1
2026-03-06 21:14:18.316659,1
2026-03-06 21:14:18.316674,1
2026-03-06 21:14:18.316682,1
2026-03-06 21:14:18.31669,1
2026-03-06 21:14:18.316697,1
2026-03-06 21:14:18.316706,1
2026-03-06 21:14:18.316714,1
2026-03-06 21:14:18.316721,1
2026-03-06 21:14:18.316729,1
2026-03-06 21:14:18.317096,1
2026-03-06 21:14:18.317105,1
2026-03-06 21:14:18.317113,1
2026-03-06 21:14:18.317121,1
2026-03-06 21:14:18.317129,1
2026-03-06 21:14:18.317137,1
2026-03-06 21:14:18.317145,1
2026-03-06 21:14:18.317152,1
2026-03-06 21:14:18.317164,1
2026-03-06 21:14:18.318465,1
2026-03-06 21:14:18.318487,1
2026-03-06 21:14:18.318494,1
2026-03-06 21:14:18.318503,1
2026-03-06 21:14:18.318511,1
2026-03-06 21:14:18.318518,1
2026-03-06 21:14:18.318526,1
2026-03-06 21:14:18.318534,1
2026-03-06 21:14:18.318542,1
2026-03-06 21:14:18.319513,1
2026-03-06 21:14:18.319525,1
2026-03-06 21:14:18.319533,1
2026-03-06 21:14:18.319541,1
2026-03-06 21:14:18.319548,1
2026-03-06 21:14:18.319556,1
2026-03-06 21:14:18.319564,1
2026-03-06 21:14:18.319572,1
2026-03-06 21:14:18.319579,1
2026-03-06 21:14:18.329403,1
2026-03-06 21:14:18.329434,1
2026-03-06 21:14:18.329444,1
2026-03-06 21:14:18.329452,1
2026-03-06 21:14:18.329459,1
2026-03-06 21:14:18.329467,1
2026-03-06 21:14:18.329475,1
2026-03-06 21:14:18.329483,1
2026-03-06 21:14:18.32949,1
2026-03-06 21:14:18.438143,1
2026-03-06 21:14:18.438198,1
2026-03-06 21:14:18.438206,1
2026-03-06 21:14:18.438214,1
2026-03-06 21:14:18.438222,1
2026-03-06 21:14:18.43823,1
2026-03-06 21:14:18.438237,1
2026-03-06 21:14:18.438245,1
2026-03-06 21:14:18.438253,1
2026-03-06 21:14:18.547341,1
2026-03-06 21:14:18.547397,1
2026-03-06 21:14:18.547405,1
2026-03-06 21:14:18.547413,1
2026-03-06 21:14:18.54742,1
2026-03-06 21:14:18.547428,1
2026-03-06 21:14:18.547436,1
2026-03-06 21:14:18.547444,1
2026-03-06 21:14:18.547452,1
2026-03-06 21:14:18.656313,1
2026-03-06 21:14:18.656357,1
2026-03-06 21:14:18.656366,1
2026-03-06 21:14:18.656373,1
2026-03-06 21:14:18.656381,1
2026-03-06 21:14:18.656389,1
2026-03-06 21:14:18.656397,1
2026-03-06 21:14:18.656405,1
2026-03-06 21:14:18.656412,1
2026-03-06 21:14:18.765447,1
2026-03-06 21:14:18.765493,1
2026-03-06 21:14:18.765501,1
2026-03-06 21:14:18.765509,1
2026-03-06 21:14:18.765517,1
2026-03-06 21:14:18.765525,1
2026-03-06 21:14:18.765533,1
2026-03-06 21:14:18.765541,1
2026-03-06 21:14:18.765548,1
2026-03-06 21:14:18.874562,1
2026-03-06 21:14:18.874621,1
2026-03-06 21:14:18.874631,1
2026-03-06 21:14:18.87464,1
2026-03-06 21:14:18.874651,1
2026-03-06 21:14:18.874659,1
2026-03-06 21:14:18.874667,1
2026-03-06 21:14:18.874675,1
2026-03-06 21:14:18.874683,1
2026-03-06 21:14:18.98298,1
2026-03-06 21:14:18.983055,1
2026-03-06 21:14:18.983063,1
2026-03-06 21:14:18.983071,1
2026-03-06 21:14:18.983079,1
