time,PT.GSE_Mid.channel_id
2026-03-06 21:14:18.316105,13
2026-03-06 21:14:18.316173,13
2026-03-06 21:14:18.316188,13
2026-03-06 21:14:18.316202,13
2026-03-06 21:14:18.316216,13
2026-03-06 21:14:18.31623,13
2026-03-06 21:14:18.316247,13
2026-03-06 21:14:18.316261,13
2026-03-06 21:14:18.31642,13
2026-03-06 21:14:18.31675,13
2026-03-06 21:14:18.316757,13
2026-03-06 21:14:18.316765,13
2026-03-06 21:14:18.316771,13
2026-03-06 21:14:18.316778,13
2026-03-06 21:14:18.316785,13
2026-03-06 21:14:18.316792,13
2026-03-06 21:14:18.3168,13
2026-03-06 21:14:18.316806,13
2026-03-06 21:14:18.317035,13
2026-03-06 21:14:18.317044,13
2026-03-06 21:14:18.317051,13
2026-03-06 21:14:18.317058,13
2026-03-06 21:14:18.317064,13
2026-03-06 21:14:18.317071,13
2026-03-06 21:14:18.317078,13
2026-03-06 21:14:18.317084,13
2026-03-06 21:14:18.317092,13
2026-03-06 21:14:18.318301,13
2026-03-06 21:14:18.318313,13
2026-03-06 21:14:18.318321,13
2026-03-06 21:14:18.318329,13
2026-03-06 21:14:18.318336,13
2026-03-06 21:14:18.318345,13
2026-03-06 21:14:18.318352,13
2026-03-06 21:14:18.318359,13
2026-03-06 21:14:18.318365,13
2026-03-06 21:14:18.319299,13
2026-03-06 21:14:18.319307,13
2026-03-06 21:14:18.319314,13
2026-03-06 21:14:18.319321,13
2026-03-06 21:14:18.319329,13
2026-03-06 21:14:18.319336,13
2026-03-06 21:14:18.319343,13
2026-03-06 21:14:18.31935,13
2026-03-06 21:14:18.319357,13
2026-03-06 21:14:18.319669,13
2026-03-06 21:14:18.319677,13
2026-03-06 21:14:18.319685,13
2026-03-06 21:14:18.319692,13
2026-03-06 21:14:18.319699,13
2026-03-06 21:14:18.319706,13
2026-03-06 21:14:18.319713,13
2026-03-06 21:14:18.31972,13
2026-03-06 21:14:18.319727,13
2026-03-06 21:14:18.396688,13
2026-03-06 21:14:18.39672,13
2026-03-06 21:14:18.396737,13
2026-03-06 21:14:18.396752,13
2026-03-06 21:14:18.396765,13
2026-03-06 21:14:18.396779,13
2026-03-06 21:14:18.396792,13
2026-03-06 21:14:18.396806,13
2026-03-06 21:14:18.396819,13
2026-03-06 21:14:18.49634,13
2026-03-06 21:14:18.496355,13
2026-03-06 21:14:18.496361,13
2026-03-06 21:14:18.496368,13
2026-03-06 21:14:18.496375,13
2026-03-06 21:14:18.496382,13
2026-03-06 21:14:18.496389,13
2026-03-06 21:14:18.496395,13
2026-03-06 21:14:18.496402,13
2026-03-06 21:14:18.59719,13
2026-03-06 21:14:18.597209,13
2026-03-06 21:14:18.597217,13
2026-03-06 21:14:18.597226,13
2026-03-06 21:14:18.597235,13
2026-03-06 21:14:18.597243,13
2026-03-06 21:14:18.597252,13
2026-03-06 21:14:18.59726,13
2026-03-06 21:14:18.597269,13
2026-03-06 21:14:18.697433,13
2026-03-06 21:14:18.697446,13
2026-03-06 21:14:18.697452,13
2026-03-06 21:14:18.697459,13
2026-03-06 21:14:18.697465,13
2026-03-06 21:14:18.697471,13
2026-03-06 21:14:18.697478,13
2026-03-06 21:14:18.697484,13
2026-03-06 21:14:18.69749,13
2026-03-06 21:14:18.797338,13
2026-03-06 21:14:18.797353,13
2026-03-06 21:14:18.79736,13
2026-03-06 21:14:18.797367,13
2026-03-06 21:14:18.797374,13
2026-03-06 21:14:18.797381,13
2026-03-06 21:14:18.797387,13
2026-03-06 21:14:18.797394,13
2026-03-06 21:14:18.797402,13
2026-03-06 21:14:18.90127,13
2026-03-06 21:14:18.901287,13
2026-03-06 21:14:18.901294,13
2026-03-06 21:14:18.901301,13
2026-03-06 21:14:18.901307,13
2026-03-06 21:14:18.901314,13
2026-03-06 21:14:18.901321,13
2026-03-06 21:14:18.901327,13
2026-03-06 21:14:18.901334,13
2026-03-06 21:14:19.001326,13
2026-03-06 21:14:19.001342,13
2026-03-06 21:14:19.001349,13
2026-03-06 21:14:19.001356,13
2026-03-06 21:14:19.001363,13
2026-03-06 21:14:19.00137,13
2026-03-06 21:14:19.001377,13
2026-03-06 21:14:19.001383,13
2026-03-06 21:14:19.00139,13
2026-03-06 21:14:19.101338,13
2026-03-06 21:14:19.101372,13
2026-03-06 21:14:19.101395,13
2026-03-06 21:14:19.101413,13
2026-03-06 21:14:19.101429,13
2026-03-06 21:14:19.101448,13
2026-03-06 21:14:19.101464,13
2026-03-06 21:14:19.101485,13
2026-03-06 21:14:19.101509,13
2026-03-06 21:14:19.201035,13
2026-03-06 21:14:19.201055,13
2026-03-06 21:14:19.201066,13
2026-03-06 21:14:19.201076,13
2026-03-06 21:14:19.201086,13
2026-03-06 21:14:19.201096,13
2026-03-06 21:14:19.201105,13
2026-03-06 21:14:19.201117,13
2026-03-06 21:14:19.201124,13
2026-03-06 21:14:19.301451,13
2026-03-06 21:14:19.30148,13
2026-03-06 21:14:19.3015,13
2026-03-06 21:14:19.301516,13
2026-03-06 21:14:19.301534,13
2026-03-06 21:14:19.30155,13
2026-03-06 21:14:19.301567,13
2026-03-06 21:14:19.301585,13
2026-03-06 21:14:19.3016,13
2026-03-06 21:14:19.401067,13
2026-03-06 21:14:19.401102,13
2026-03-06 21:14:19.401113,13
2026-03-06 21:14:19.401123,13
2026-03-06 21:14:19.401135,13
2026-03-06 21:14:19.401146,13
2026-03-06 21:14:19.401156,13
2026-03-06 21:14:19.401173,13
2026-03-06 21:14:19.401182,13
2026-03-06 21:14:19.501697,13
2026-03-06 21:14:19.501791,13
2026-03-06 21:14:19.501843,13
2026-03-06 21:14:19.501896,13
2026-03-06 21:14:19.501986,13
2026-03-06 21:14:19.50207,13
2026-03-06 21:14:19.502172,13
2026-03-06 21:14:19.502261,13
2026-03-06 21:14:19.502349,13
2026-03-06 21:14:19.604153,13
2026-03-06 21:14:19.604311,13
2026-03-06 21:14:19.604415,13
2026-03-06 21:14:19.604519,13
2026-03-06 21:14:19.604606,13
2026-03-06 21:14:19.604679,13
2026-03-06 21:14:19.604731,13
2026-03-06 21:14:19.604786,13
2026-03-06 21:14:19.604818,13
2026-03-06 21:14:19.703186,13
2026-03-06 21:14:19.703228,13
2026-03-06 21:14:19.703252,13
2026-03-06 21:14:19.703273,13
2026-03-06 21:14:19.703298,13
2026-03-06 21:14:19.703325,13
2026-03-06 21:14:19.703346,13
2026-03-06 21:14:19.703371,13
2026-03-06 21:14:19.70339,13
2026-03-06 21:14:19.804069,13
2026-03-06 21:14:19.804175,13
2026-03-06 21:14:19.804246,13
2026-03-06 21:14:19.804311,13
2026-03-06 21:14:19.804382,13
2026-03-06 21:14:19.804441,13
2026-03-06 21:14:19.804491,13
2026-03-06 21:14:19.804549,13
