time,PT_Cal.GSE_Low.raw_adc
2026-03-06 21:14:19.092593,450313061
2026-03-06 21:14:19.092802,449987404
2026-03-06 21:14:19.092806,450313061
2026-03-06 21:14:19.092835,450313736
2026-03-06 21:14:19.202902,450188328
2026-03-06 21:14:19.20298,450188328
2026-03-06 21:14:19.312026,450304971
2026-03-06 21:14:19.312129,450207880
2026-03-06 21:14:19.312177,450304971
2026-03-06 21:14:19.312186,449665792
2026-03-06 21:14:19.420731,450080450
2026-03-06 21:14:19.420921,450080450
2026-03-06 21:14:19.42125,450332614
2026-03-06 21:14:19.529559,450375091
2026-03-06 21:14:19.529636,449992124
2026-03-06 21:14:19.529723,450397342
2026-03-06 21:14:19.529817,450122252
2026-03-06 21:14:19.529888,450375091
2026-03-06 21:14:19.639327,450174168
2026-03-06 21:14:19.639741,450170122
2026-03-06 21:14:19.640267,450677825
2026-03-06 21:14:19.640624,450174168
2026-03-06 21:14:19.640986,450189001
2026-03-06 21:14:19.747916,450226085
2026-03-06 21:14:19.748198,450277327
2026-03-06 21:14:19.748483,450321826
2026-03-06 21:14:19.74855,450226085
2026-03-06 21:14:19.748764,450215971
2026-03-06 21:14:19.857284,450193721
2026-03-06 21:14:19.857528,447204147
2026-03-06 21:14:19.857776,450189676
2026-03-06 21:14:19.857813,450193721
2026-03-06 21:14:19.858067,450224736
2026-03-06 21:14:19.965913,450211926
2026-03-06 21:14:19.966314,450236198
2026-03-06 21:14:19.966636,450272607
2026-03-06 21:14:19.96668,450211926
2026-03-06 21:14:19.966994,450120229
2026-03-06 21:14:19.967513,450036624
2026-03-06 21:14:20.074822,450093260
2026-03-06 21:14:20.074879,449626686
2026-03-06 21:14:20.074926,450298902
2026-03-06 21:14:20.075008,449967177
2026-03-06 21:14:20.075082,450075730
2026-03-06 21:14:20.075168,450206531
2026-03-06 21:14:20.075248,449459476
2026-03-06 21:14:20.075327,450344751
2026-03-06 21:14:20.075409,450304971
2026-03-06 21:14:20.075494,450093260
2026-03-06 21:14:20.183535,449687368
2026-03-06 21:14:20.183642,450171471
2026-03-06 21:14:20.183712,450290812
2026-03-06 21:14:20.18379,450186304
2026-03-06 21:14:20.183814,449687368
2026-03-06 21:14:20.183867,450233501
2026-03-06 21:14:20.18396,450256425
2026-03-06 21:14:20.292612,450106070
2026-03-06 21:14:20.292716,450170122
2026-03-06 21:14:20.292797,450241592
2026-03-06 21:14:20.292883,450079775
2026-03-06 21:14:20.292962,450323849
2026-03-06 21:14:20.293212,450106070
2026-03-06 21:14:20.401272,450126972
2026-03-06 21:14:20.401374,449618596
2026-03-06 21:14:20.401518,449813450
2026-03-06 21:14:20.401542,450126972
2026-03-06 21:14:20.510646,450219343
2026-03-06 21:14:20.510716,450301599
2026-03-06 21:14:20.510803,450222040
2026-03-06 21:14:20.510905,450219343
2026-03-06 21:14:20.51092,450136410
2026-03-06 21:14:20.511032,450423637
2026-03-06 21:14:20.619429,450162032
2026-03-06 21:14:20.619528,450012351
2026-03-06 21:14:20.61956,450195069
2026-03-06 21:14:20.619614,450162032
2026-03-06 21:14:20.619886,450157987
2026-03-06 21:14:20.619936,450238895
2026-03-06 21:14:20.619983,450188328
2026-03-06 21:14:20.728523,450282720
2026-03-06 21:14:20.728619,450262493
2026-03-06 21:14:20.728715,450366326
2026-03-06 21:14:20.728809,450258448
2026-03-06 21:14:20.729277,450282720
2026-03-06 21:14:20.837724,450062919
2026-03-06 21:14:20.837829,450662317
2026-03-06 21:14:20.837872,450035949
