time,ACT.GN2_Vent.timestamp_ns
2026-03-06 21:14:18.309507,1772831658309093118
2026-03-06 21:14:18.309534,1772831658309093118
2026-03-06 21:14:18.309702,1772831658309213693
2026-03-06 21:14:18.309704,1772831658309213693
2026-03-06 21:14:18.310536,1772831658310425613
2026-03-06 21:14:18.310539,1772831658310425613
2026-03-06 21:14:18.310598,1772831658310468422
2026-03-06 21:14:18.3106,1772831658310468422
2026-03-06 21:14:18.310647,1772831658310503387
2026-03-06 21:14:18.310649,1772831658310503387
2026-03-06 21:14:18.311411,1772831658311275512
2026-03-06 21:14:18.311413,1772831658311275512
2026-03-06 21:14:18.312089,1772831658311994022
2026-03-06 21:14:18.312091,1772831658311994022
2026-03-06 21:14:18.312151,1772831658312040349
2026-03-06 21:14:18.312154,1772831658312040349
2026-03-06 21:14:18.312208,1772831658312076808
2026-03-06 21:14:18.31221,1772831658312076808
2026-03-06 21:14:18.312254,1772831658312112398
2026-03-06 21:14:18.312256,1772831658312112398
2026-03-06 21:14:18.312302,1772831658312150962
2026-03-06 21:14:18.312304,1772831658312150962
2026-03-06 21:14:18.31296,1772831658312861207
2026-03-06 21:14:18.312963,1772831658312861207
2026-03-06 21:14:18.313024,1772831658312906991
2026-03-06 21:14:18.313026,1772831658312906991
2026-03-06 21:14:18.313074,1772831658312943190
2026-03-06 21:14:18.313076,1772831658312943190
2026-03-06 21:14:18.313122,1772831658312978799
2026-03-06 21:14:18.313124,1772831658312978799
2026-03-06 21:14:18.31382,1772831658313725280
2026-03-06 21:14:18.313822,1772831658313725280
2026-03-06 21:14:18.313886,1772831658313771252
2026-03-06 21:14:18.313888,1772831658313771252
2026-03-06 21:14:18.314524,1772831658314424195
2026-03-06 21:14:18.314526,1772831658314424195
2026-03-06 21:14:18.314588,1772831658314467633
2026-03-06 21:14:18.31459,1772831658314467633
2026-03-06 21:14:18.316444,1772831658315627394
2026-03-06 21:14:18.316446,1772831658315627394
2026-03-06 21:14:18.316634,1772831658315794290
2026-03-06 21:14:18.316635,1772831658315794290
2026-03-06 21:14:18.316819,1772831658316587580
2026-03-06 21:14:18.31682,1772831658316587580
2026-03-06 21:14:18.316966,1772831658316797859
2026-03-06 21:14:18.316967,1772831658316797859
2026-03-06 21:14:18.317181,1772831658317057713
2026-03-06 21:14:18.317182,1772831658317057713
2026-03-06 21:14:18.317238,1772831658317154564
2026-03-06 21:14:18.31724,1772831658317154564
2026-03-06 21:14:18.318438,1772831658318202747
2026-03-06 21:14:18.31844,1772831658318202747
2026-03-06 21:14:18.319254,1772831658319080869
2026-03-06 21:14:18.319256,1772831658319080869
2026-03-06 21:14:18.319463,1772831658319313366
2026-03-06 21:14:18.319464,1772831658319313366
2026-03-06 21:14:18.319645,1772831658319562073
2026-03-06 21:14:18.319646,1772831658319562073
2026-03-06 21:14:18.31974,1772831658319659175
2026-03-06 21:14:18.319742,1772831658319659175
2026-03-06 21:14:18.360182,1772831658360069515
2026-03-06 21:14:18.360187,1772831658360069515
2026-03-06 21:14:18.415501,1772831658415365374
2026-03-06 21:14:18.415506,1772831658415365374
2026-03-06 21:14:18.462207,1772831658461980468
2026-03-06 21:14:18.462212,1772831658461980468
2026-03-06 21:14:18.517428,1772831658517325984
