time,PT.GN2_High.channel_id
2026-03-06 21:14:18.316132,14
2026-03-06 21:14:18.316175,14
2026-03-06 21:14:18.31619,14
2026-03-06 21:14:18.316205,14
2026-03-06 21:14:18.316219,14
2026-03-06 21:14:18.316233,14
2026-03-06 21:14:18.316249,14
2026-03-06 21:14:18.316264,14
2026-03-06 21:14:18.316426,14
2026-03-06 21:14:18.316751,14
2026-03-06 21:14:18.316759,14
2026-03-06 21:14:18.316766,14
2026-03-06 21:14:18.316772,14
2026-03-06 21:14:18.316779,14
2026-03-06 21:14:18.316787,14
2026-03-06 21:14:18.316793,14
2026-03-06 21:14:18.316801,14
2026-03-06 21:14:18.316808,14
2026-03-06 21:14:18.317036,14
2026-03-06 21:14:18.317045,14
2026-03-06 21:14:18.317052,14
2026-03-06 21:14:18.317059,14
2026-03-06 21:14:18.317065,14
2026-03-06 21:14:18.317072,14
2026-03-06 21:14:18.317079,14
2026-03-06 21:14:18.317086,14
2026-03-06 21:14:18.317093,14
2026-03-06 21:14:18.318304,14
2026-03-06 21:14:18.318314,14
2026-03-06 21:14:18.318322,14
2026-03-06 21:14:18.31833,14
2026-03-06 21:14:18.318337,14
2026-03-06 21:14:18.318346,14
2026-03-06 21:14:18.318353,14
2026-03-06 21:14:18.31836,14
2026-03-06 21:14:18.318366,14
2026-03-06 21:14:18.319301,14
2026-03-06 21:14:18.319309,14
2026-03-06 21:14:18.319315,14
2026-03-06 21:14:18.319322,14
2026-03-06 21:14:18.319331,14
2026-03-06 21:14:18.319337,14
2026-03-06 21:14:18.319344,14
2026-03-06 21:14:18.319351,14
2026-03-06 21:14:18.319358,14
2026-03-06 21:14:18.319671,14
2026-03-06 21:14:18.319678,14
2026-03-06 21:14:18.319686,14
2026-03-06 21:14:18.319693,14
2026-03-06 21:14:18.3197,14
2026-03-06 21:14:18.319707,14
2026-03-06 21:14:18.319714,14
2026-03-06 21:14:18.319722,14
2026-03-06 21:14:18.319729,14
2026-03-06 21:14:18.396697,14
2026-03-06 21:14:18.396722,14
2026-03-06 21:14:18.396739,14
2026-03-06 21:14:18.396754,14
2026-03-06 21:14:18.396768,14
2026-03-06 21:14:18.396781,14
2026-03-06 21:14:18.396795,14
2026-03-06 21:14:18.396808,14
2026-03-06 21:14:18.396821,14
2026-03-06 21:14:18.496345,14
2026-03-06 21:14:18.496356,14
2026-03-06 21:14:18.496363,14
2026-03-06 21:14:18.496369,14
2026-03-06 21:14:18.496376,14
2026-03-06 21:14:18.496383,14
2026-03-06 21:14:18.49639,14
2026-03-06 21:14:18.496396,14
2026-03-06 21:14:18.496404,14
2026-03-06 21:14:18.597196,14
2026-03-06 21:14:18.59721,14
2026-03-06 21:14:18.597219,14
2026-03-06 21:14:18.597228,14
2026-03-06 21:14:18.597237,14
2026-03-06 21:14:18.597245,14
2026-03-06 21:14:18.597253,14
2026-03-06 21:14:18.597261,14
2026-03-06 21:14:18.597271,14
2026-03-06 21:14:18.697438,14
2026-03-06 21:14:18.697447,14
2026-03-06 21:14:18.697453,14
2026-03-06 21:14:18.69746,14
2026-03-06 21:14:18.697467,14
2026-03-06 21:14:18.697473,14
2026-03-06 21:14:18.697479,14
2026-03-06 21:14:18.697485,14
2026-03-06 21:14:18.697491,14
2026-03-06 21:14:18.797343,14
2026-03-06 21:14:18.797354,14
2026-03-06 21:14:18.797361,14
2026-03-06 21:14:18.797368,14
2026-03-06 21:14:18.797375,14
2026-03-06 21:14:18.797382,14
2026-03-06 21:14:18.797389,14
2026-03-06 21:14:18.797395,14
2026-03-06 21:14:18.797403,14
2026-03-06 21:14:18.901276,14
2026-03-06 21:14:18.901288,14
2026-03-06 21:14:18.901295,14
2026-03-06 21:14:18.901302,14
2026-03-06 21:14:18.901308,14
2026-03-06 21:14:18.901315,14
2026-03-06 21:14:18.901322,14
2026-03-06 21:14:18.901329,14
2026-03-06 21:14:18.901335,14
2026-03-06 21:14:19.001331,14
2026-03-06 21:14:19.001343,14
2026-03-06 21:14:19.00135,14
2026-03-06 21:14:19.001357,14
2026-03-06 21:14:19.001364,14
2026-03-06 21:14:19.001371,14
2026-03-06 21:14:19.001378,14
2026-03-06 21:14:19.001384,14
2026-03-06 21:14:19.001391,14
2026-03-06 21:14:19.101347,14
2026-03-06 21:14:19.101377,14
2026-03-06 21:14:19.101401,14
2026-03-06 21:14:19.101415,14
2026-03-06 21:14:19.101434,14
2026-03-06 21:14:19.101454,14
2026-03-06 21:14:19.101466,14
2026-03-06 21:14:19.101492,14
2026-03-06 21:14:19.101514,14
2026-03-06 21:14:19.201043,14
2026-03-06 21:14:19.201056,14
2026-03-06 21:14:19.20107,14
2026-03-06 21:14:19.201077,14
2026-03-06 21:14:19.201087,14
2026-03-06 21:14:19.201099,14
2026-03-06 21:14:19.201107,14
2026-03-06 21:14:19.201118,14
2026-03-06 21:14:19.201128,14
2026-03-06 21:14:19.30146,14
2026-03-06 21:14:19.301486,14
2026-03-06 21:14:19.301505,14
2026-03-06 21:14:19.301521,14
2026-03-06 21:14:19.301538,14
2026-03-06 21:14:19.301554,14
2026-03-06 21:14:19.301572,14
2026-03-06 21:14:19.301589,14
2026-03-06 21:14:19.301605,14
2026-03-06 21:14:19.40108,14
2026-03-06 21:14:19.401103,14
2026-03-06 21:14:19.401115,14
2026-03-06 21:14:19.401126,14
2026-03-06 21:14:19.401137,14
2026-03-06 21:14:19.401148,14
2026-03-06 21:14:19.401166,14
2026-03-06 21:14:19.401175,14
2026-03-06 21:14:19.401184,14
2026-03-06 21:14:19.501722,14
2026-03-06 21:14:19.5018,14
2026-03-06 21:14:19.501853,14
2026-03-06 21:14:19.501917,14
2026-03-06 21:14:19.502006,14
2026-03-06 21:14:19.50209,14
2026-03-06 21:14:19.502194,14
2026-03-06 21:14:19.502282,14
2026-03-06 21:14:19.502365,14
2026-03-06 21:14:19.604191,14
2026-03-06 21:14:19.604334,14
2026-03-06 21:14:19.60444,14
2026-03-06 21:14:19.604542,14
2026-03-06 21:14:19.604627,14
2026-03-06 21:14:19.604687,14
2026-03-06 21:14:19.604748,14
2026-03-06 21:14:19.604791,14
2026-03-06 21:14:19.604825,14
2026-03-06 21:14:19.703197,14
2026-03-06 21:14:19.703237,14
2026-03-06 21:14:19.703258,14
2026-03-06 21:14:19.703279,14
2026-03-06 21:14:19.703306,14
2026-03-06 21:14:19.703332,14
2026-03-06 21:14:19.703352,14
2026-03-06 21:14:19.703378,14
2026-03-06 21:14:19.703392,14
2026-03-06 21:14:19.804088,14
2026-03-06 21:14:19.804195,14
2026-03-06 21:14:19.804262,14
2026-03-06 21:14:19.804326,14
2026-03-06 21:14:19.804397,14
2026-03-06 21:14:19.804448,14
2026-03-06 21:14:19.804506,14
2026-03-06 21:14:19.804565,14
2026-03-06 21:14:19.804622,14
2026-03-06 21:14:19.907208,14
2026-03-06 21:14:19.907277,14
2026-03-06 21:14:19.907329,14
2026-03-06 21:14:19.907384,14
2026-03-06 21:14:19.907436,14
2026-03-06 21:14:19.907488,14
2026-03-06 21:14:19.907541,14
2026-03-06 21:14:19.907579,14
2026-03-06 21:14:19.907626,14
2026-03-06 21:14:20.00753,14
2026-03-06 21:14:20.007586,14
2026-03-06 21:14:20.007636,14
2026-03-06 21:14:20.007683,14
2026-03-06 21:14:20.007727,14
2026-03-06 21:14:20.007773,14
2026-03-06 21:14:20.00782,14
2026-03-06 21:14:20.007865,14
2026-03-06 21:14:20.00791,14
2026-03-06 21:14:20.107443,14
2026-03-06 21:14:20.107487,14
2026-03-06 21:14:20.107522,14
2026-03-06 21:14:20.107554,14
2026-03-06 21:14:20.107587,14
2026-03-06 21:14:20.107621,14
2026-03-06 21:14:20.107654,14
2026-03-06 21:14:20.107686,14
2026-03-06 21:14:20.107721,14
2026-03-06 21:14:20.207271,14
2026-03-06 21:14:20.207314,14
2026-03-06 21:14:20.207347,14
2026-03-06 21:14:20.20738,14
2026-03-06 21:14:20.207396,14
2026-03-06 21:14:20.207429,14
2026-03-06 21:14:20.207446,14
2026-03-06 21:14:20.207466,14
2026-03-06 21:14:20.2075,14
2026-03-06 21:14:20.307617,14
2026-03-06 21:14:20.307669,14
2026-03-06 21:14:20.307701,14
2026-03-06 21:14:20.307733,14
2026-03-06 21:14:20.307767,14
2026-03-06 21:14:20.307794,14
2026-03-06 21:14:20.307816,14
2026-03-06 21:14:20.307846,14
2026-03-06 21:14:20.307869,14
2026-03-06 21:14:20.407346,14
2026-03-06 21:14:20.407398,14
2026-03-06 21:14:20.407433,14
2026-03-06 21:14:20.407477,14
2026-03-06 21:14:20.407522,14
2026-03-06 21:14:20.407549,14
2026-03-06 21:14:20.407574,14
2026-03-06 21:14:20.4076,14
2026-03-06 21:14:20.407625,14
2026-03-06 21:14:20.506999,14
2026-03-06 21:14:20.507036,14
2026-03-06 21:14:20.507067,14
2026-03-06 21:14:20.507096,14
2026-03-06 21:14:20.507125,14
2026-03-06 21:14:20.507156,14
2026-03-06 21:14:20.507191,14
2026-03-06 21:14:20.50722,14
2026-03-06 21:14:20.507249,14
2026-03-06 21:14:20.607962,14
2026-03-06 21:14:20.608013,14
2026-03-06 21:14:20.608058,14
2026-03-06 21:14:20.6081,14
2026-03-06 21:14:20.608143,14
2026-03-06 21:14:20.608193,14
2026-03-06 21:14:20.608236,14
2026-03-06 21:14:20.608275,14
2026-03-06 21:14:20.608308,14
2026-03-06 21:14:20.708057,14
2026-03-06 21:14:20.708101,14
2026-03-06 21:14:20.708134,14
2026-03-06 21:14:20.708178,14
2026-03-06 21:14:20.708214,14
2026-03-06 21:14:20.708249,14
2026-03-06 21:14:20.70828,14
2026-03-06 21:14:20.708304,14
2026-03-06 21:14:20.708334,14
2026-03-06 21:14:20.80847,14
2026-03-06 21:14:20.808508,14
2026-03-06 21:14:20.808537,14
2026-03-06 21:14:20.808566,14
2026-03-06 21:14:20.808594,14
2026-03-06 21:14:20.808624,14
2026-03-06 21:14:20.808654,14
2026-03-06 21:14:20.808684,14
2026-03-06 21:14:20.808715,14
2026-03-06 21:14:20.912535,14
2026-03-06 21:14:20.912581,14
2026-03-06 21:14:20.912611,14
2026-03-06 21:14:20.912642,14
2026-03-06 21:14:20.912679,14
2026-03-06 21:14:20.912713,14
2026-03-06 21:14:20.912755,14
2026-03-06 21:14:20.912783,14
2026-03-06 21:14:20.912812,14
2026-03-06 21:14:21.01212,14
2026-03-06 21:14:21.012161,14
2026-03-06 21:14:21.012192,14
2026-03-06 21:14:21.012226,14
2026-03-06 21:14:21.012256,14
2026-03-06 21:14:21.012286,14
2026-03-06 21:14:21.012317,14
2026-03-06 21:14:21.012349,14
2026-03-06 21:14:21.01237,14
2026-03-06 21:14:21.112558,14
2026-03-06 21:14:21.112643,14
2026-03-06 21:14:21.112719,14
2026-03-06 21:14:21.112802,14
2026-03-06 21:14:21.112871,14
2026-03-06 21:14:21.11294,14
2026-03-06 21:14:21.113011,14
2026-03-06 21:14:21.113059,14
2026-03-06 21:14:21.11312,14
2026-03-06 21:14:21.212546,14
2026-03-06 21:14:21.212596,14
2026-03-06 21:14:21.212637,14
2026-03-06 21:14:21.21268,14
2026-03-06 21:14:21.212726,14
2026-03-06 21:14:21.212768,14
2026-03-06 21:14:21.212812,14
2026-03-06 21:14:21.212858,14
2026-03-06 21:14:21.212901,14
2026-03-06 21:14:21.312262,14
2026-03-06 21:14:21.312351,14
2026-03-06 21:14:21.312421,14
2026-03-06 21:14:21.312485,14
2026-03-06 21:14:21.31255,14
2026-03-06 21:14:21.312615,14
2026-03-06 21:14:21.312667,14
2026-03-06 21:14:21.312732,14
2026-03-06 21:14:21.312793,14
2026-03-06 21:14:21.412783,14
2026-03-06 21:14:21.412877,14
2026-03-06 21:14:21.41296,14
2026-03-06 21:14:21.413031,14
2026-03-06 21:14:21.413105,14
2026-03-06 21:14:21.413189,14
2026-03-06 21:14:21.413237,14
2026-03-06 21:14:21.413309,14
2026-03-06 21:14:21.413397,14
2026-03-06 21:14:21.512379,14
2026-03-06 21:14:21.51246,14
2026-03-06 21:14:21.51252,14
2026-03-06 21:14:21.512587,14
2026-03-06 21:14:21.512653,14
2026-03-06 21:14:21.512711,14
2026-03-06 21:14:21.51278,14
2026-03-06 21:14:21.512823,14
2026-03-06 21:14:21.512918,14
2026-03-06 21:14:21.613555,14
2026-03-06 21:14:21.613647,14
2026-03-06 21:14:21.613724,14
2026-03-06 21:14:21.613804,14
2026-03-06 21:14:21.613883,14
2026-03-06 21:14:21.613958,14
2026-03-06 21:14:21.614036,14
2026-03-06 21:14:21.614106,14
2026-03-06 21:14:21.61418,14
2026-03-06 21:14:21.713551,14
2026-03-06 21:14:21.713636,14
2026-03-06 21:14:21.713721,14
2026-03-06 21:14:21.713791,14
2026-03-06 21:14:21.713868,14
2026-03-06 21:14:21.713936,14
2026-03-06 21:14:21.714011,14
2026-03-06 21:14:21.714077,14
2026-03-06 21:14:21.714133,14
2026-03-06 21:14:21.813483,14
2026-03-06 21:14:21.813596,14
2026-03-06 21:14:21.813701,14
2026-03-06 21:14:21.813803,14
2026-03-06 21:14:21.813874,14
2026-03-06 21:14:21.81396,14
2026-03-06 21:14:21.814046,14
2026-03-06 21:14:21.81413,14
2026-03-06 21:14:21.814247,14
2026-03-06 21:14:21.917123,14
2026-03-06 21:14:21.917156,14
2026-03-06 21:14:21.917188,14
2026-03-06 21:14:21.917213,14
2026-03-06 21:14:21.917238,14
2026-03-06 21:14:21.91726,14
2026-03-06 21:14:21.917283,14
2026-03-06 21:14:21.91731,14
2026-03-06 21:14:21.917334,14
2026-03-06 21:14:22.017264,14
2026-03-06 21:14:22.017328,14
2026-03-06 21:14:22.017384,14
2026-03-06 21:14:22.017414,14
2026-03-06 21:14:22.01747,14
2026-03-06 21:14:22.017519,14
2026-03-06 21:14:22.017552,14
2026-03-06 21:14:22.017609,14
2026-03-06 21:14:22.017678,14
2026-03-06 21:14:22.117595,14
2026-03-06 21:14:22.117742,14
2026-03-06 21:14:22.117853,14
2026-03-06 21:14:22.117958,14
2026-03-06 21:14:22.118062,14
2026-03-06 21:14:22.118176,14
2026-03-06 21:14:22.118401,14
2026-03-06 21:14:22.118627,14
2026-03-06 21:14:22.118683,14
2026-03-06 21:14:22.217534,14
2026-03-06 21:14:22.217633,14
2026-03-06 21:14:22.217734,14
2026-03-06 21:14:22.217819,14
2026-03-06 21:14:22.217907,14
2026-03-06 21:14:22.217996,14
2026-03-06 21:14:22.218056,14
2026-03-06 21:14:22.218148,14
2026-03-06 21:14:22.218267,14
2026-03-06 21:14:22.317732,14
2026-03-06 21:14:22.31782,14
2026-03-06 21:14:22.317905,14
2026-03-06 21:14:22.317958,14
2026-03-06 21:14:22.318022,14
2026-03-06 21:14:22.318087,14
2026-03-06 21:14:22.31817,14
2026-03-06 21:14:22.318239,14
2026-03-06 21:14:22.318329,14
2026-03-06 21:14:22.417674,14
2026-03-06 21:14:22.417788,14
2026-03-06 21:14:22.417888,14
2026-03-06 21:14:22.417987,14
2026-03-06 21:14:22.418076,14
2026-03-06 21:14:22.418144,14
2026-03-06 21:14:22.418233,14
2026-03-06 21:14:22.418305,14
2026-03-06 21:14:22.41839,14
2026-03-06 21:14:22.517856,14
2026-03-06 21:14:22.517972,14
2026-03-06 21:14:22.51807,14
2026-03-06 21:14:22.518182,14
2026-03-06 21:14:22.518278,14
2026-03-06 21:14:22.518379,14
2026-03-06 21:14:22.518475,14
2026-03-06 21:14:22.51854,14
2026-03-06 21:14:22.518626,14
2026-03-06 21:14:22.61849,14
2026-03-06 21:14:22.618566,14
2026-03-06 21:14:22.618632,14
2026-03-06 21:14:22.618698,14
2026-03-06 21:14:22.618755,14
2026-03-06 21:14:22.618814,14
2026-03-06 21:14:22.618867,14
2026-03-06 21:14:22.61891,14
2026-03-06 21:14:22.618974,14
2026-03-06 21:14:22.718761,14
2026-03-06 21:14:22.718805,14
2026-03-06 21:14:22.718839,14
2026-03-06 21:14:22.718875,14
2026-03-06 21:14:22.718907,14
2026-03-06 21:14:22.718942,14
2026-03-06 21:14:22.718982,14
2026-03-06 21:14:22.719015,14
2026-03-06 21:14:22.719034,14
2026-03-06 21:14:22.818266,14
2026-03-06 21:14:22.818307,14
2026-03-06 21:14:22.818339,14
2026-03-06 21:14:22.81837,14
2026-03-06 21:14:22.818403,14
2026-03-06 21:14:22.818432,14
2026-03-06 21:14:22.818448,14
2026-03-06 21:14:22.81848,14
2026-03-06 21:14:22.8185,14
2026-03-06 21:14:22.922368,14
2026-03-06 21:14:22.922403,14
2026-03-06 21:14:22.922433,14
2026-03-06 21:14:22.922463,14
2026-03-06 21:14:22.92249,14
2026-03-06 21:14:22.922529,14
2026-03-06 21:14:22.922559,14
2026-03-06 21:14:22.92259,14
2026-03-06 21:14:22.922619,14
2026-03-06 21:14:23.022018,14
2026-03-06 21:14:23.022042,14
2026-03-06 21:14:23.022057,14
2026-03-06 21:14:23.022066,14
2026-03-06 21:14:23.022081,14
2026-03-06 21:14:23.022099,14
2026-03-06 21:14:23.022114,14
2026-03-06 21:14:23.02213,14
2026-03-06 21:14:23.022146,14
2026-03-06 21:14:23.122496,14
2026-03-06 21:14:23.122534,14
2026-03-06 21:14:23.122564,14
2026-03-06 21:14:23.122597,14
2026-03-06 21:14:23.122627,14
2026-03-06 21:14:23.12266,14
2026-03-06 21:14:23.122692,14
2026-03-06 21:14:23.122725,14
2026-03-06 21:14:23.12276,14
2026-03-06 21:14:23.222293,14
2026-03-06 21:14:23.222355,14
2026-03-06 21:14:23.222405,14
2026-03-06 21:14:23.22246,14
2026-03-06 21:14:23.222514,14
2026-03-06 21:14:23.222571,14
2026-03-06 21:14:23.22262,14
2026-03-06 21:14:23.222663,14
2026-03-06 21:14:23.222705,14
2026-03-06 21:14:23.322343,14
2026-03-06 21:14:23.322382,14
2026-03-06 21:14:23.322414,14
2026-03-06 21:14:23.322444,14
2026-03-06 21:14:23.322481,14
2026-03-06 21:14:23.322511,14
2026-03-06 21:14:23.322541,14
2026-03-06 21:14:23.322574,14
2026-03-06 21:14:23.322607,14
2026-03-06 21:14:23.422631,14
2026-03-06 21:14:23.422712,14
2026-03-06 21:14:23.42279,14
2026-03-06 21:14:23.422858,14
2026-03-06 21:14:23.42291,14
2026-03-06 21:14:23.423112,14
2026-03-06 21:14:23.423236,14
2026-03-06 21:14:23.423297,14
2026-03-06 21:14:23.423365,14
2026-03-06 21:14:23.522353,14
2026-03-06 21:14:23.522397,14
