time,PT_Cal.GSE_High.channel_id
2026-03-06 21:14:19.101711,11
2026-03-06 21:14:19.101963,11
2026-03-06 21:14:19.102138,11
2026-03-06 21:14:19.102182,11
2026-03-06 21:14:19.102449,11
2026-03-06 21:14:19.102466,11
2026-03-06 21:14:19.102737,11
2026-03-06 21:14:19.102762,11
2026-03-06 21:14:19.201582,11
2026-03-06 21:14:19.201644,11
2026-03-06 21:14:19.201912,11
2026-03-06 21:14:19.201955,11
2026-03-06 21:14:19.202006,11
2026-03-06 21:14:19.301792,11
2026-03-06 21:14:19.301887,11
2026-03-06 21:14:19.301927,11
2026-03-06 21:14:19.302021,11
2026-03-06 21:14:19.302029,11
2026-03-06 21:14:19.302057,11
2026-03-06 21:14:19.302115,11
2026-03-06 21:14:19.302236,11
2026-03-06 21:14:19.401327,11
2026-03-06 21:14:19.401586,11
2026-03-06 21:14:19.50222,11
2026-03-06 21:14:19.502854,11
2026-03-06 21:14:19.502871,11
2026-03-06 21:14:19.502939,11
2026-03-06 21:14:19.503192,11
2026-03-06 21:14:19.503417,11
2026-03-06 21:14:19.50373,11
2026-03-06 21:14:19.504029,11
2026-03-06 21:14:19.604631,11
2026-03-06 21:14:19.605055,11
2026-03-06 21:14:19.605143,11
2026-03-06 21:14:19.605256,11
2026-03-06 21:14:19.605337,11
2026-03-06 21:14:19.605406,11
2026-03-06 21:14:19.605569,11
2026-03-06 21:14:19.703501,11
2026-03-06 21:14:19.703584,11
2026-03-06 21:14:19.703629,11
2026-03-06 21:14:19.703699,11
2026-03-06 21:14:19.703732,11
2026-03-06 21:14:19.703822,11
2026-03-06 21:14:19.804356,11
2026-03-06 21:14:19.804606,11
2026-03-06 21:14:19.804832,11
2026-03-06 21:14:19.804971,11
2026-03-06 21:14:19.805044,11
2026-03-06 21:14:19.805274,11
2026-03-06 21:14:19.805519,11
2026-03-06 21:14:19.907451,11
2026-03-06 21:14:19.907521,11
2026-03-06 21:14:19.907549,11
2026-03-06 21:14:19.907586,11
2026-03-06 21:14:19.907634,11
2026-03-06 21:14:19.90768,11
2026-03-06 21:14:19.907737,11
2026-03-06 21:14:19.907776,11
2026-03-06 21:14:19.907846,11
2026-03-06 21:14:20.007924,11
2026-03-06 21:14:20.007976,11
2026-03-06 21:14:20.00801,11
2026-03-06 21:14:20.008026,11
2026-03-06 21:14:20.00805,11
2026-03-06 21:14:20.008083,11
2026-03-06 21:14:20.008115,11
2026-03-06 21:14:20.008147,11
2026-03-06 21:14:20.00819,11
2026-03-06 21:14:20.008202,11
2026-03-06 21:14:20.107745,11
2026-03-06 21:14:20.107797,11
2026-03-06 21:14:20.107826,11
2026-03-06 21:14:20.107855,11
2026-03-06 21:14:20.107883,11
2026-03-06 21:14:20.107916,11
2026-03-06 21:14:20.107946,11
2026-03-06 21:14:20.107978,11
2026-03-06 21:14:20.108006,11
2026-03-06 21:14:20.108328,11
2026-03-06 21:14:20.207334,11
2026-03-06 21:14:20.207382,11
2026-03-06 21:14:20.207397,11
2026-03-06 21:14:20.20747,11
2026-03-06 21:14:20.207661,11
2026-03-06 21:14:20.207728,11
2026-03-06 21:14:20.307732,11
2026-03-06 21:14:20.307792,11
2026-03-06 21:14:20.307806,11
2026-03-06 21:14:20.307819,11
2026-03-06 21:14:20.307846,11
2026-03-06 21:14:20.307886,11
2026-03-06 21:14:20.307955,11
2026-03-06 21:14:20.308354,11
2026-03-06 21:14:20.407487,11
2026-03-06 21:14:20.407532,11
2026-03-06 21:14:20.407539,11
2026-03-06 21:14:20.407572,11
2026-03-06 21:14:20.407601,11
2026-03-06 21:14:20.407638,11
2026-03-06 21:14:20.407916,11
2026-03-06 21:14:20.40838,11
2026-03-06 21:14:20.507209,11
2026-03-06 21:14:20.507309,11
2026-03-06 21:14:20.507345,11
2026-03-06 21:14:20.507354,11
2026-03-06 21:14:20.507364,11
2026-03-06 21:14:20.507369,11
2026-03-06 21:14:20.507382,11
2026-03-06 21:14:20.50739,11
2026-03-06 21:14:20.507412,11
2026-03-06 21:14:20.608196,11
2026-03-06 21:14:20.608263,11
2026-03-06 21:14:20.608282,11
2026-03-06 21:14:20.608303,11
2026-03-06 21:14:20.608326,11
