time,PT_Cal.GN2_High.raw_adc
2026-03-06 21:14:19.102087,433654294
2026-03-06 21:14:19.102166,433795193
2026-03-06 21:14:19.102444,433656990
2026-03-06 21:14:19.102456,433547104
2026-03-06 21:14:19.102506,433654294
2026-03-06 21:14:19.102732,433794518
2026-03-06 21:14:19.102744,433776317
2026-03-06 21:14:19.20161,433824855
2026-03-06 21:14:19.201905,433884855
2026-03-06 21:14:19.201923,433815418
2026-03-06 21:14:19.202054,433907777
2026-03-06 21:14:19.301867,433804631
2026-03-06 21:14:19.3019,433969799
2026-03-06 21:14:19.302002,433816091
2026-03-06 21:14:19.302046,433857214
2026-03-06 21:14:19.302084,433804631
2026-03-06 21:14:19.302096,433833619
2026-03-06 21:14:19.302166,433760137
2026-03-06 21:14:19.302211,433899687
2026-03-06 21:14:19.302296,433721035
2026-03-06 21:14:19.401575,433742609
2026-03-06 21:14:19.50266,433941485
2026-03-06 21:14:19.502913,433874069
2026-03-06 21:14:19.503104,433670474
2026-03-06 21:14:19.503336,433741261
2026-03-06 21:14:19.503567,433713620
2026-03-06 21:14:19.50372,433941485
2026-03-06 21:14:19.503956,433893619
2026-03-06 21:14:19.504374,433822159
2026-03-06 21:14:19.604991,433884182
2026-03-06 21:14:19.605113,433717665
2026-03-06 21:14:19.605229,433840362
2026-03-06 21:14:19.605307,433867327
2026-03-06 21:14:19.605482,433842383
2026-03-06 21:14:19.605664,433690025
2026-03-06 21:14:19.606908,433884182
2026-03-06 21:14:19.703565,433770249
2026-03-06 21:14:19.703612,433959013
2026-03-06 21:14:19.703683,433844406
2026-03-06 21:14:19.703722,433716991
2026-03-06 21:14:19.703805,433636765
2026-03-06 21:14:19.703854,433756091
2026-03-06 21:14:19.804566,433803957
2026-03-06 21:14:19.804733,433778339
2026-03-06 21:14:19.804788,433814070
2026-03-06 21:14:19.804967,433783058
2026-03-06 21:14:19.80513,433803957
2026-03-06 21:14:19.805228,433839687
2026-03-06 21:14:19.80542,433935418
2026-03-06 21:14:19.805693,433812721
2026-03-06 21:14:19.907505,433857214
2026-03-06 21:14:19.907546,433830250
2026-03-06 21:14:19.90757,433593621
2026-03-06 21:14:19.907622,433881485
2026-03-06 21:14:19.907668,433671148
2026-03-06 21:14:19.907718,433662384
2026-03-06 21:14:19.907805,433731149
2026-03-06 21:14:19.907864,433857214
2026-03-06 21:14:19.907905,433735193
2026-03-06 21:14:20.007966,434031147
2026-03-06 21:14:20.008001,433594968
2026-03-06 21:14:20.008022,433888227
2026-03-06 21:14:20.008044,433714969
2026-03-06 21:14:20.008071,433770923
2026-03-06 21:14:20.008103,433637440
2026-03-06 21:14:20.008135,433809350
2026-03-06 21:14:20.008181,433759462
2026-03-06 21:14:20.008214,433718338
2026-03-06 21:14:20.008336,434031147
2026-03-06 21:14:20.107785,433869350
2026-03-06 21:14:20.107815,433756091
2026-03-06 21:14:20.107842,433853845
2026-03-06 21:14:20.107876,433775642
2026-03-06 21:14:20.107904,433654969
2026-03-06 21:14:20.107939,433833619
2026-03-06 21:14:20.107966,433754743
2026-03-06 21:14:20.107996,433716317
2026-03-06 21:14:20.108028,433574744
2026-03-06 21:14:20.108393,433869350
2026-03-06 21:14:20.207371,433768901
2026-03-06 21:14:20.207392,433623957
2026-03-06 21:14:20.207443,433840362
2026-03-06 21:14:20.207653,433669800
2026-03-06 21:14:20.207697,433929350
2026-03-06 21:14:20.207803,433736541
2026-03-06 21:14:20.307781,433868675
2026-03-06 21:14:20.307804,433693394
2026-03-06 21:14:20.307814,433615193
2026-03-06 21:14:20.307838,433890922
2026-03-06 21:14:20.307874,433813395
2026-03-06 21:14:20.307943,433580137
