time,TC_Cal.CH18.timestamp_ns
2026-03-06 21:14:19.124199,1772831659124171108
2026-03-06 21:14:19.251142,1772831659251127882
2026-03-06 21:14:19.377423,1772831659377274517
2026-03-06 21:14:19.506766,1772831659506727537
2026-03-06 21:14:19.633077,1772831659632930333
2026-03-06 21:14:19.758964,1772831659758930459
2026-03-06 21:14:19.886546,1772831659886532764
2026-03-06 21:14:20.01848,1772831660018457503
2026-03-06 21:14:20.144931,1772831660144917743
2026-03-06 21:14:20.27246,1772831660272447471
2026-03-06 21:14:20.398846,1772831660398827277
2026-03-06 21:14:20.526301,1772831660526279815
2026-03-06 21:14:20.653145,1772831660653131007
2026-03-06 21:14:20.78172,1772831660781668169
2026-03-06 21:14:20.907826,1772831660907802900
2026-03-06 21:14:21.038893,1772831661038841588
2026-03-06 21:14:21.170516,1772831661170335519
2026-03-06 21:14:21.295619,1772831661295573347
2026-03-06 21:14:21.419846,1772831661419814090
2026-03-06 21:14:21.547424,1772831661547402730
2026-03-06 21:14:21.675049,1772831661675018500
2026-03-06 21:14:21.802541,1772831661802504356
2026-03-06 21:14:21.930514,1772831661930486334
2026-03-06 21:14:22.060965,1772831662060891033
2026-03-06 21:14:22.187811,1772831662187780354
2026-03-06 21:14:22.31389,1772831662313782888
2026-03-06 21:14:22.44203,1772831662441965301
2026-03-06 21:14:22.568048,1772831662568036194
2026-03-06 21:14:22.694401,1772831662694394978
2026-03-06 21:14:22.823536,1772831662823454591
2026-03-06 21:14:22.950255,1772831662950242302
2026-03-06 21:14:23.081082,1772831663081050804
2026-03-06 21:14:23.20837,1772831663208350758
2026-03-06 21:14:23.335057,1772831663335034219
2026-03-06 21:14:23.461418,1772831663461407307
2026-03-06 21:14:23.589438,1772831663589414498
2026-03-06 21:14:23.716722,1772831663716692751
2026-03-06 21:14:23.84411,1772831663844040087
2026-03-06 21:14:23.97145,1772831663971424208
2026-03-06 21:14:24.103586,1772831664103535363
2026-03-06 21:14:24.229357,1772831664229337967
2026-03-06 21:14:24.356891,1772831664356832864
2026-03-06 21:14:24.482466,1772831664482448084
2026-03-06 21:14:24.610977,1772831664610938777
2026-03-06 21:14:24.738072,1772831664738040272
2026-03-06 21:14:24.865381,1772831664865369549
2026-03-06 21:14:24.992552,1772831664992514319
2026-03-06 21:14:25.123313,1772831665123294903
2026-03-06 21:14:25.250187,1772831665250164831
2026-03-06 21:14:25.377553,1772831665377512172
2026-03-06 21:14:25.504909,1772831665504765051
2026-03-06 21:14:25.631871,1772831665631822284
2026-03-06 21:14:25.75768,1772831665757664879
2026-03-06 21:14:25.886227,1772831665886170467
2026-03-06 21:14:26.013101,1772831666013082712
2026-03-06 21:14:26.143537,1772831666143521296
2026-03-06 21:14:26.272311,1772831666272285579
2026-03-06 21:14:26.399909,1772831666399883988
2026-03-06 21:14:26.526056,1772831666526020906
2026-03-06 21:14:26.652383,1772831666652359898
2026-03-06 21:14:26.77952,1772831666779499971
2026-03-06 21:14:26.908524,1772831666908501628
2026-03-06 21:14:27.034028,1772831667034001891
2026-03-06 21:14:27.164535,1772831667164511152
2026-03-06 21:14:27.292193,1772831667292138777
2026-03-06 21:14:27.419295,1772831667419268255
2026-03-06 21:14:27.546548,1772831667546516580
2026-03-06 21:14:27.672819,1772831667672805098
2026-03-06 21:14:27.800301,1772831667800277737
2026-03-06 21:14:27.927833,1772831667927815814
2026-03-06 21:14:28.055274,1772831668055246728
2026-03-06 21:14:28.185551,1772831668185543727
2026-03-06 21:14:28.313084,1772831668313062838
2026-03-06 21:14:28.440226,1772831668440198465
2026-03-06 21:14:28.568245,1772831668568223380
2026-03-06 21:14:28.694796,1772831668694777466
2026-03-06 21:14:28.820762,1772831668820747229
2026-03-06 21:14:28.951782,1772831668951730861
2026-03-06 21:14:29.07758,1772831669077518772
2026-03-06 21:14:29.20562,1772831669205610238
2026-03-06 21:14:29.333242,1772831669333206398
2026-03-06 21:14:29.460301,1772831669460276000
2026-03-06 21:14:29.586742,1772831669586704651
2026-03-06 21:14:29.714302,1772831669714281045
2026-03-06 21:14:29.843859,1772831669843813352
2026-03-06 21:14:29.969414,1772831669969386387
2026-03-06 21:14:30.09671,1772831670096671973
2026-03-06 21:14:30.22884,1772831670228771847
2026-03-06 21:14:30.354964,1772831670354921990
2026-03-06 21:14:30.482233,1772831670482209981
2026-03-06 21:14:30.609609,1772831670609589782
2026-03-06 21:14:30.73507,1772831670735055857
2026-03-06 21:14:30.867077,1772831670866991171
2026-03-06 21:14:30.990715,1772831670990694426
2026-03-06 21:14:31.117482,1772831671117460080
2026-03-06 21:14:31.250473,1772831671250438699
2026-03-06 21:14:31.375294,1772831671375266821
2026-03-06 21:14:31.504765,1772831671504715678
2026-03-06 21:14:31.629818,1772831671629803481
2026-03-06 21:14:31.756245,1772831671756230482
2026-03-06 21:14:31.887165,1772831671887130820
2026-03-06 21:14:32.011921,1772831672011889141
2026-03-06 21:14:32.138698,1772831672138556430
2026-03-06 21:14:32.271681,1772831672271623493
2026-03-06 21:14:32.395446,1772831672395418043
2026-03-06 21:14:32.523276,1772831672523263701
2026-03-06 21:14:32.656078,1772831672656045796
2026-03-06 21:14:32.777027,1772831672777016110
2026-03-06 21:14:32.90597,1772831672905948003
2026-03-06 21:14:33.032698,1772831673032678820
2026-03-06 21:14:33.158742,1772831673158713603
2026-03-06 21:14:33.290748,1772831673290725110
2026-03-06 21:14:33.419792,1772831673419720223
2026-03-06 21:14:33.544603,1772831673544583636
2026-03-06 21:14:33.670532,1772831673670514317
2026-03-06 21:14:33.799087,1772831673799042332
2026-03-06 21:14:33.926604,1772831673926572239
2026-03-06 21:14:34.056329,1772831674056294613
2026-03-06 21:14:34.18045,1772831674180413059
2026-03-06 21:14:34.31171,1772831674311683798
2026-03-06 21:14:34.438713,1772831674438692807
2026-03-06 21:14:34.567,1772831674566953107
2026-03-06 21:14:34.692258,1772831674692245047
2026-03-06 21:14:34.818847,1772831674818829778
2026-03-06 21:14:34.947088,1772831674947074294
2026-03-06 21:14:35.075033,1772831675075016296
2026-03-06 21:14:35.203061,1772831675203027084
2026-03-06 21:14:35.334224,1772831675334188506
2026-03-06 21:14:35.458522,1772831675458513194
2026-03-06 21:14:35.585644,1772831675585634893
2026-03-06 21:14:35.712909,1772831675712895431
2026-03-06 21:14:35.840011,1772831675840000611
2026-03-06 21:14:35.968517,1772831675968497808
2026-03-06 21:14:36.097292,1772831676097257549
2026-03-06 21:14:36.227785,1772831676227747534
2026-03-06 21:14:36.353295,1772831676353285760
2026-03-06 21:14:36.479691,1772831676479677100
2026-03-06 21:14:36.607396,1772831676607383927
2026-03-06 21:14:36.734678,1772831676734661596
2026-03-06 21:14:36.863509,1772831676863470751
2026-03-06 21:14:36.990415,1772831676990392168
2026-03-06 21:14:37.119505,1772831677119452558
2026-03-06 21:14:37.243866,1772831677243840901
2026-03-06 21:14:37.376006,1772831677375962607
2026-03-06 21:14:37.501895,1772831677501880940
2026-03-06 21:14:37.628423,1772831677628399193
2026-03-06 21:14:37.755735,1772831677755719772
2026-03-06 21:14:37.882131,1772831677882101984
2026-03-06 21:14:38.010221,1772831678010196211
2026-03-06 21:14:38.137918,1772831678137881333
2026-03-06 21:14:38.263837,1772831678263816067
2026-03-06 21:14:38.394256,1772831678394242888
2026-03-06 21:14:38.522697,1772831678522673785
2026-03-06 21:14:38.649441,1772831678649429415
2026-03-06 21:14:38.775464,1772831678775437568
2026-03-06 21:14:38.903327,1772831678903308182
2026-03-06 21:14:39.030939,1772831679030919251
2026-03-06 21:14:39.156815,1772831679156807603
2026-03-06 21:14:39.283974,1772831679283966498
2026-03-06 21:14:39.415286,1772831679415251259
2026-03-06 21:14:39.543705,1772831679543670040
2026-03-06 21:14:39.673619,1772831679673571714
2026-03-06 21:14:39.797124,1772831679797100820
2026-03-06 21:14:39.925059,1772831679925040771
2026-03-06 21:14:40.051854,1772831680051838823
2026-03-06 21:14:40.180172,1772831680180134918
2026-03-06 21:14:40.305512,1772831680305489721
2026-03-06 21:14:40.437641,1772831680437622022
2026-03-06 21:14:40.564965,1772831680564949986
2026-03-06 21:14:40.69334,1772831680693310489
2026-03-06 21:14:40.817761,1772831680817745323
2026-03-06 21:14:40.947639,1772831680947597369
2026-03-06 21:14:41.072784,1772831681072768312
2026-03-06 21:14:41.200342,1772831681200317913
2026-03-06 21:14:41.326963,1772831681326950082
2026-03-06 21:14:41.458113,1772831681458088623
2026-03-06 21:14:41.584533,1772831681584513753
2026-03-06 21:14:41.711795,1772831681711776189
2026-03-06 21:14:41.839598,1772831681839578931
2026-03-06 21:14:41.967343,1772831681967290605
2026-03-06 21:14:42.093887,1772831682093868850
2026-03-06 21:14:42.220085,1772831682220075465
2026-03-06 21:14:42.348067,1772831682348052979
2026-03-06 21:14:42.478858,1772831682478842525
2026-03-06 21:14:42.605918,1772831682605889165
2026-03-06 21:14:42.733262,1772831682733213352
2026-03-06 21:14:42.859673,1772831682859662731
2026-03-06 21:14:42.988013,1772831682988000080
2026-03-06 21:14:43.117567,1772831683117526508
2026-03-06 21:14:43.245388,1772831683245354864
2026-03-06 21:14:43.368864,1772831683368842354
2026-03-06 21:14:43.500033,1772831683500012422
2026-03-06 21:14:43.626789,1772831683626769130
2026-03-06 21:14:43.754909,1772831683754881620
2026-03-06 21:14:43.880539,1772831683880519489
2026-03-06 21:14:44.00857,1772831684008561827
2026-03-06 21:14:44.135825,1772831684135811544
2026-03-06 21:14:44.265651,1772831684265598208
2026-03-06 21:14:44.390904,1772831684390881088
2026-03-06 21:14:44.521254,1772831684521237377
2026-03-06 21:14:44.647748,1772831684647734568
2026-03-06 21:14:44.774865,1772831684774851051
2026-03-06 21:14:44.901815,1772831684901798296
2026-03-06 21:14:45.030382,1772831685030360919
2026-03-06 21:14:45.156671,1772831685156640586
2026-03-06 21:14:45.285565,1772831685285529830
2026-03-06 21:14:45.411022,1772831685410992536
2026-03-06 21:14:45.541523,1772831685541505572
2026-03-06 21:14:45.670474,1772831685670422489
2026-03-06 21:14:45.796392,1772831685796331275
2026-03-06 21:14:45.922536,1772831685922516529
2026-03-06 21:14:46.051831,1772831686051792556
2026-03-06 21:14:46.17826,1772831686178237172
2026-03-06 21:14:46.307784,1772831686307724406
2026-03-06 21:14:46.432445,1772831686432416147
2026-03-06 21:14:46.564146,1772831686564109748
2026-03-06 21:14:46.691517,1772831686691486579
2026-03-06 21:14:46.816553,1772831686816531374
2026-03-06 21:14:46.943396,1772831686943382950
2026-03-06 21:14:47.071095,1772831687071069934
2026-03-06 21:14:47.198851,1772831687198824432
2026-03-06 21:14:47.325326,1772831687325304471
2026-03-06 21:14:47.452644,1772831687452614290
2026-03-06 21:14:47.583375,1772831687583350374
2026-03-06 21:14:47.712447,1772831687712413474
2026-03-06 21:14:47.838958,1772831687838924690
2026-03-06 21:14:47.966172,1772831687966138506
2026-03-06 21:14:48.092522,1772831688092498908
2026-03-06 21:14:48.218247,1772831688218232516
2026-03-06 21:14:48.346964,1772831688346929766
2026-03-06 21:14:48.473331,1772831688473309010
2026-03-06 21:14:48.603735,1772831688603718735
2026-03-06 21:14:48.731208,1772831688731191915
2026-03-06 21:14:48.857778,1772831688857761794
2026-03-06 21:14:48.986611,1772831688986581998
2026-03-06 21:14:49.113657,1772831689113639722
2026-03-06 21:14:49.240864,1772831689240837502
2026-03-06 21:14:49.366689,1772831689366677182
2026-03-06 21:14:49.496885,1772831689496840912
2026-03-06 21:14:49.625457,1772831689625434687
2026-03-06 21:14:49.751926,1772831689751905131
2026-03-06 21:14:49.879874,1772831689879853487
2026-03-06 21:14:50.006657,1772831690006646093
2026-03-06 21:14:50.133245,1772831690133224259
