time,PT_Cal.GN2_Regulated.channel_id
2026-03-06 21:14:19.09273,6
2026-03-06 21:14:19.092817,6
2026-03-06 21:14:19.093236,6
2026-03-06 21:14:19.202987,6
2026-03-06 21:14:19.203411,6
2026-03-06 21:14:19.312094,6
2026-03-06 21:14:19.312156,6
2026-03-06 21:14:19.312221,6
2026-03-06 21:14:19.421023,6
2026-03-06 21:14:19.421156,6
2026-03-06 21:14:19.421513,6
2026-03-06 21:14:19.529606,6
2026-03-06 21:14:19.529691,6
2026-03-06 21:14:19.529765,6
2026-03-06 21:14:19.529851,6
2026-03-06 21:14:19.530008,6
2026-03-06 21:14:19.639594,6
2026-03-06 21:14:19.640009,6
2026-03-06 21:14:19.640423,6
2026-03-06 21:14:19.641222,6
2026-03-06 21:14:19.642907,6
2026-03-06 21:14:19.748075,6
2026-03-06 21:14:19.748345,6
2026-03-06 21:14:19.748628,6
2026-03-06 21:14:19.748763,6
2026-03-06 21:14:19.749022,6
2026-03-06 21:14:19.85743,6
2026-03-06 21:14:19.857673,6
2026-03-06 21:14:19.857937,6
2026-03-06 21:14:19.85817,6
2026-03-06 21:14:19.858245,6
2026-03-06 21:14:19.966121,6
2026-03-06 21:14:19.966503,6
2026-03-06 21:14:19.966895,6
2026-03-06 21:14:19.96722,6
2026-03-06 21:14:19.967743,6
2026-03-06 21:14:19.968119,6
2026-03-06 21:14:20.074852,6
2026-03-06 21:14:20.074892,6
2026-03-06 21:14:20.074971,6
2026-03-06 21:14:20.07505,6
2026-03-06 21:14:20.075131,6
2026-03-06 21:14:20.075215,6
2026-03-06 21:14:20.07529,6
2026-03-06 21:14:20.075375,6
2026-03-06 21:14:20.075793,6
2026-03-06 21:14:20.183614,6
2026-03-06 21:14:20.183657,6
2026-03-06 21:14:20.183758,6
2026-03-06 21:14:20.183836,6
2026-03-06 21:14:20.183916,6
2026-03-06 21:14:20.183931,6
2026-03-06 21:14:20.292678,6
2026-03-06 21:14:20.29276,6
2026-03-06 21:14:20.292842,6
2026-03-06 21:14:20.292929,6
2026-03-06 21:14:20.293022,6
2026-03-06 21:14:20.29335,6
2026-03-06 21:14:20.401336,6
2026-03-06 21:14:20.401442,6
2026-03-06 21:14:20.40223,6
2026-03-06 21:14:20.510692,6
2026-03-06 21:14:20.510765,6
2026-03-06 21:14:20.510889,6
2026-03-06 21:14:20.51098,6
2026-03-06 21:14:20.511082,6
2026-03-06 21:14:20.511174,6
2026-03-06 21:14:20.619504,6
2026-03-06 21:14:20.619542,6
2026-03-06 21:14:20.619606,6
2026-03-06 21:14:20.619768,6
2026-03-06 21:14:20.619915,6
2026-03-06 21:14:20.619965,6
2026-03-06 21:14:20.620002,6
2026-03-06 21:14:20.728582,6
2026-03-06 21:14:20.72868,6
2026-03-06 21:14:20.728764,6
2026-03-06 21:14:20.728861,6
2026-03-06 21:14:20.729896,6
2026-03-06 21:14:20.837803,6
2026-03-06 21:14:20.83785,6
2026-03-06 21:14:20.837891,6
2026-03-06 21:14:20.837935,6
2026-03-06 21:14:20.83801,6
2026-03-06 21:14:20.838089,6
2026-03-06 21:14:20.838129,6
2026-03-06 21:14:20.838185,6
2026-03-06 21:14:20.838272,6
2026-03-06 21:14:20.838361,6
2026-03-06 21:14:20.946835,6
2026-03-06 21:14:20.946992,6
2026-03-06 21:14:20.94708,6
2026-03-06 21:14:20.947204,6
2026-03-06 21:14:20.947292,6
2026-03-06 21:14:20.947313,6
2026-03-06 21:14:20.947458,6
2026-03-06 21:14:21.055763,6
2026-03-06 21:14:21.055839,6
2026-03-06 21:14:21.055929,6
2026-03-06 21:14:21.056035,6
2026-03-06 21:14:21.056237,6
2026-03-06 21:14:21.0563,6
2026-03-06 21:14:21.056475,6
2026-03-06 21:14:21.165347,6
2026-03-06 21:14:21.165614,6
2026-03-06 21:14:21.1659,6
2026-03-06 21:14:21.166231,6
2026-03-06 21:14:21.166378,6
2026-03-06 21:14:21.167212,6
2026-03-06 21:14:21.275177,6
2026-03-06 21:14:21.275435,6
2026-03-06 21:14:21.275712,6
2026-03-06 21:14:21.276025,6
2026-03-06 21:14:21.276262,6
2026-03-06 21:14:21.277104,6
2026-03-06 21:14:21.383135,6
2026-03-06 21:14:21.383398,6
2026-03-06 21:14:21.383605,6
2026-03-06 21:14:21.383861,6
2026-03-06 21:14:21.384407,6
2026-03-06 21:14:21.492771,6
2026-03-06 21:14:21.49292,6
2026-03-06 21:14:21.492994,6
2026-03-06 21:14:21.49328,6
2026-03-06 21:14:21.494529,6
2026-03-06 21:14:21.494692,6
2026-03-06 21:14:21.494827,6
2026-03-06 21:14:21.495134,6
2026-03-06 21:14:21.495459,6
2026-03-06 21:14:21.601322,6
2026-03-06 21:14:21.601547,6
2026-03-06 21:14:21.601778,6
2026-03-06 21:14:21.601999,6
2026-03-06 21:14:21.602023,6
2026-03-06 21:14:21.60229,6
2026-03-06 21:14:21.60254,6
2026-03-06 21:14:21.710558,6
2026-03-06 21:14:21.710948,6
2026-03-06 21:14:21.711381,6
2026-03-06 21:14:21.711577,6
2026-03-06 21:14:21.711767,6
2026-03-06 21:14:21.711768,6
2026-03-06 21:14:21.71197,6
2026-03-06 21:14:21.712191,6
2026-03-06 21:14:21.81893,6
2026-03-06 21:14:21.819209,6
2026-03-06 21:14:21.819481,6
2026-03-06 21:14:21.819702,6
2026-03-06 21:14:21.819745,6
2026-03-06 21:14:21.927936,6
2026-03-06 21:14:21.92813,6
2026-03-06 21:14:21.928336,6
2026-03-06 21:14:21.92853,6
2026-03-06 21:14:21.928624,6
2026-03-06 21:14:22.036983,6
2026-03-06 21:14:22.037261,6
2026-03-06 21:14:22.037501,6
2026-03-06 21:14:22.037746,6
2026-03-06 21:14:22.038014,6
2026-03-06 21:14:22.038325,6
2026-03-06 21:14:22.038486,6
2026-03-06 21:14:22.145665,6
2026-03-06 21:14:22.145809,6
2026-03-06 21:14:22.146047,6
2026-03-06 21:14:22.146306,6
2026-03-06 21:14:22.146545,6
2026-03-06 21:14:22.146645,6
2026-03-06 21:14:22.255054,6
2026-03-06 21:14:22.255424,6
2026-03-06 21:14:22.255723,6
2026-03-06 21:14:22.256032,6
2026-03-06 21:14:22.256423,6
2026-03-06 21:14:22.256756,6
2026-03-06 21:14:22.257043,6
2026-03-06 21:14:22.257644,6
2026-03-06 21:14:22.364138,6
2026-03-06 21:14:22.364388,6
2026-03-06 21:14:22.364612,6
2026-03-06 21:14:22.36485,6
2026-03-06 21:14:22.365102,6
