time,TC.CH5.status
2026-03-06 21:14:18.316577,0
2026-03-06 21:14:18.316592,0
2026-03-06 21:14:18.316596,0
2026-03-06 21:14:18.316601,0
2026-03-06 21:14:18.316605,0
2026-03-06 21:14:18.316609,0
2026-03-06 21:14:18.316614,0
2026-03-06 21:14:18.316618,0
2026-03-06 21:14:18.316622,0
2026-03-06 21:14:18.316992,0
2026-03-06 21:14:18.316998,0
2026-03-06 21:14:18.317002,0
2026-03-06 21:14:18.317007,0
2026-03-06 21:14:18.317011,0
2026-03-06 21:14:18.317015,0
2026-03-06 21:14:18.31702,0
2026-03-06 21:14:18.317024,0
2026-03-06 21:14:18.317029,0
2026-03-06 21:14:18.318378,0
2026-03-06 21:14:18.318384,0
2026-03-06 21:14:18.318389,0
2026-03-06 21:14:18.318393,0
2026-03-06 21:14:18.318398,0
2026-03-06 21:14:18.318402,0
2026-03-06 21:14:18.318406,0
2026-03-06 21:14:18.318411,0
2026-03-06 21:14:18.318415,0
2026-03-06 21:14:18.319598,0
2026-03-06 21:14:18.319604,0
2026-03-06 21:14:18.319608,0
2026-03-06 21:14:18.319613,0
2026-03-06 21:14:18.319617,0
2026-03-06 21:14:18.319621,0
2026-03-06 21:14:18.319626,0
2026-03-06 21:14:18.31963,0
2026-03-06 21:14:18.319634,0
2026-03-06 21:14:18.3557,0
2026-03-06 21:14:18.355708,0
2026-03-06 21:14:18.355712,0
2026-03-06 21:14:18.355716,0
2026-03-06 21:14:18.35572,0
2026-03-06 21:14:18.355724,0
2026-03-06 21:14:18.355729,0
2026-03-06 21:14:18.355733,0
2026-03-06 21:14:18.355737,0
2026-03-06 21:14:18.482351,0
2026-03-06 21:14:18.482358,0
2026-03-06 21:14:18.482362,0
2026-03-06 21:14:18.482367,0
2026-03-06 21:14:18.482372,0
2026-03-06 21:14:18.482376,0
2026-03-06 21:14:18.48238,0
2026-03-06 21:14:18.482385,0
2026-03-06 21:14:18.482389,0
2026-03-06 21:14:18.609346,0
2026-03-06 21:14:18.609356,0
2026-03-06 21:14:18.609362,0
2026-03-06 21:14:18.609369,0
2026-03-06 21:14:18.609375,0
2026-03-06 21:14:18.609381,0
2026-03-06 21:14:18.609388,0
2026-03-06 21:14:18.609394,0
2026-03-06 21:14:18.6094,0
2026-03-06 21:14:18.736468,0
2026-03-06 21:14:18.736475,0
2026-03-06 21:14:18.736479,0
2026-03-06 21:14:18.736484,0
2026-03-06 21:14:18.736489,0
2026-03-06 21:14:18.736506,0
2026-03-06 21:14:18.736511,0
2026-03-06 21:14:18.736515,0
2026-03-06 21:14:18.73652,0
2026-03-06 21:14:18.864494,0
2026-03-06 21:14:18.864505,0
2026-03-06 21:14:18.864512,0
2026-03-06 21:14:18.864518,0
2026-03-06 21:14:18.864525,0
2026-03-06 21:14:18.864531,0
2026-03-06 21:14:18.864538,0
2026-03-06 21:14:18.864544,0
2026-03-06 21:14:18.864549,0
2026-03-06 21:14:18.995384,0
2026-03-06 21:14:18.995393,0
2026-03-06 21:14:18.995398,0
2026-03-06 21:14:18.995402,0
2026-03-06 21:14:18.995407,0
2026-03-06 21:14:18.995411,0
2026-03-06 21:14:18.995416,0
2026-03-06 21:14:18.99542,0
2026-03-06 21:14:18.995425,0
2026-03-06 21:14:19.122731,0
2026-03-06 21:14:19.122741,0
2026-03-06 21:14:19.122746,0
2026-03-06 21:14:19.122751,0
2026-03-06 21:14:19.122757,0
2026-03-06 21:14:19.122763,0
2026-03-06 21:14:19.122769,0
2026-03-06 21:14:19.122774,0
2026-03-06 21:14:19.122779,0
2026-03-06 21:14:19.249774,0
2026-03-06 21:14:19.249783,0
2026-03-06 21:14:19.249788,0
2026-03-06 21:14:19.249793,0
2026-03-06 21:14:19.249797,0
2026-03-06 21:14:19.249802,0
2026-03-06 21:14:19.249806,0
2026-03-06 21:14:19.249811,0
2026-03-06 21:14:19.249817,0
2026-03-06 21:14:19.376579,0
2026-03-06 21:14:19.37661,0
2026-03-06 21:14:19.376615,0
2026-03-06 21:14:19.376619,0
2026-03-06 21:14:19.376626,0
2026-03-06 21:14:19.376631,0
2026-03-06 21:14:19.376641,0
2026-03-06 21:14:19.37665,0
2026-03-06 21:14:19.376658,0
2026-03-06 21:14:19.503554,0
2026-03-06 21:14:19.503588,0
2026-03-06 21:14:19.503615,0
2026-03-06 21:14:19.503638,0
2026-03-06 21:14:19.503661,0
2026-03-06 21:14:19.503716,0
2026-03-06 21:14:19.503747,0
2026-03-06 21:14:19.503779,0
2026-03-06 21:14:19.503825,0
2026-03-06 21:14:19.630883,0
2026-03-06 21:14:19.630965,0
2026-03-06 21:14:19.631004,0
2026-03-06 21:14:19.631079,0
2026-03-06 21:14:19.631122,0
2026-03-06 21:14:19.631199,0
2026-03-06 21:14:19.631257,0
2026-03-06 21:14:19.631284,0
2026-03-06 21:14:19.631327,0
2026-03-06 21:14:19.757592,0
2026-03-06 21:14:19.757623,0
2026-03-06 21:14:19.757639,0
2026-03-06 21:14:19.757651,0
2026-03-06 21:14:19.757665,0
2026-03-06 21:14:19.757682,0
2026-03-06 21:14:19.757694,0
2026-03-06 21:14:19.757716,0
2026-03-06 21:14:19.757725,0
2026-03-06 21:14:19.885427,0
2026-03-06 21:14:19.885459,0
2026-03-06 21:14:19.885494,0
2026-03-06 21:14:19.88552,0
2026-03-06 21:14:19.885555,0
2026-03-06 21:14:19.885582,0
2026-03-06 21:14:19.885609,0
2026-03-06 21:14:19.885637,0
2026-03-06 21:14:19.885665,0
2026-03-06 21:14:20.016785,0
2026-03-06 21:14:20.016846,0
2026-03-06 21:14:20.016908,0
2026-03-06 21:14:20.016968,0
2026-03-06 21:14:20.017029,0
2026-03-06 21:14:20.017082,0
2026-03-06 21:14:20.017097,0
2026-03-06 21:14:20.01712,0
2026-03-06 21:14:20.017143,0
2026-03-06 21:14:20.143632,0
2026-03-06 21:14:20.143666,0
2026-03-06 21:14:20.143698,0
2026-03-06 21:14:20.143725,0
2026-03-06 21:14:20.143753,0
2026-03-06 21:14:20.14379,0
2026-03-06 21:14:20.143817,0
2026-03-06 21:14:20.143844,0
2026-03-06 21:14:20.143871,0
2026-03-06 21:14:20.270878,0
2026-03-06 21:14:20.27091,0
2026-03-06 21:14:20.270947,0
2026-03-06 21:14:20.270962,0
2026-03-06 21:14:20.270986,0
2026-03-06 21:14:20.271014,0
2026-03-06 21:14:20.271051,0
2026-03-06 21:14:20.271072,0
2026-03-06 21:14:20.271102,0
2026-03-06 21:14:20.397598,0
2026-03-06 21:14:20.397639,0
2026-03-06 21:14:20.397665,0
2026-03-06 21:14:20.397692,0
2026-03-06 21:14:20.397721,0
2026-03-06 21:14:20.39775,0
2026-03-06 21:14:20.397777,0
2026-03-06 21:14:20.397803,0
2026-03-06 21:14:20.397833,0
2026-03-06 21:14:20.524892,0
2026-03-06 21:14:20.524942,0
2026-03-06 21:14:20.524983,0
2026-03-06 21:14:20.525033,0
2026-03-06 21:14:20.525071,0
2026-03-06 21:14:20.525093,0
2026-03-06 21:14:20.525127,0
2026-03-06 21:14:20.525138,0
2026-03-06 21:14:20.525147,0
2026-03-06 21:14:20.651861,0
2026-03-06 21:14:20.651903,0
2026-03-06 21:14:20.651934,0
2026-03-06 21:14:20.651964,0
2026-03-06 21:14:20.651994,0
2026-03-06 21:14:20.652026,0
2026-03-06 21:14:20.652055,0
2026-03-06 21:14:20.652078,0
2026-03-06 21:14:20.652097,0
2026-03-06 21:14:20.779708,0
2026-03-06 21:14:20.779742,0
2026-03-06 21:14:20.779772,0
2026-03-06 21:14:20.779801,0
2026-03-06 21:14:20.779829,0
2026-03-06 21:14:20.779869,0
2026-03-06 21:14:20.779899,0
2026-03-06 21:14:20.77993,0
2026-03-06 21:14:20.779957,0
2026-03-06 21:14:20.906427,0
2026-03-06 21:14:20.906466,0
2026-03-06 21:14:20.906499,0
2026-03-06 21:14:20.906529,0
2026-03-06 21:14:20.906558,0
2026-03-06 21:14:20.906573,0
2026-03-06 21:14:20.906585,0
2026-03-06 21:14:20.906599,0
2026-03-06 21:14:20.906612,0
2026-03-06 21:14:21.037585,0
2026-03-06 21:14:21.03764,0
2026-03-06 21:14:21.037687,0
2026-03-06 21:14:21.037738,0
2026-03-06 21:14:21.037767,0
2026-03-06 21:14:21.037786,0
2026-03-06 21:14:21.037811,0
2026-03-06 21:14:21.037824,0
2026-03-06 21:14:21.037842,0
2026-03-06 21:14:21.165815,0
2026-03-06 21:14:21.165869,0
2026-03-06 21:14:21.165903,0
2026-03-06 21:14:21.165934,0
2026-03-06 21:14:21.165958,0
2026-03-06 21:14:21.165996,0
2026-03-06 21:14:21.166058,0
2026-03-06 21:14:21.166108,0
2026-03-06 21:14:21.166141,0
2026-03-06 21:14:21.292141,0
2026-03-06 21:14:21.292235,0
2026-03-06 21:14:21.29231,0
2026-03-06 21:14:21.29239,0
2026-03-06 21:14:21.292474,0
2026-03-06 21:14:21.292553,0
2026-03-06 21:14:21.292633,0
2026-03-06 21:14:21.292714,0
