time,ACT.GSE_Med_Press_Control.channel_id
2026-03-06 21:14:18.309441,4
2026-03-06 21:14:18.309468,4
2026-03-06 21:14:18.309695,4
2026-03-06 21:14:18.309698,4
2026-03-06 21:14:18.310529,4
2026-03-06 21:14:18.310532,4
2026-03-06 21:14:18.310592,4
2026-03-06 21:14:18.310594,4
2026-03-06 21:14:18.310641,4
2026-03-06 21:14:18.310643,4
2026-03-06 21:14:18.311405,4
2026-03-06 21:14:18.311407,4
2026-03-06 21:14:18.312082,4
2026-03-06 21:14:18.312084,4
2026-03-06 21:14:18.312145,4
2026-03-06 21:14:18.312147,4
2026-03-06 21:14:18.312201,4
2026-03-06 21:14:18.312203,4
2026-03-06 21:14:18.312248,4
2026-03-06 21:14:18.31225,4
2026-03-06 21:14:18.312295,4
2026-03-06 21:14:18.312297,4
2026-03-06 21:14:18.312954,4
2026-03-06 21:14:18.312956,4
2026-03-06 21:14:18.313018,4
2026-03-06 21:14:18.31302,4
2026-03-06 21:14:18.313068,4
2026-03-06 21:14:18.31307,4
2026-03-06 21:14:18.313116,4
2026-03-06 21:14:18.313118,4
2026-03-06 21:14:18.313813,4
2026-03-06 21:14:18.313815,4
2026-03-06 21:14:18.31388,4
2026-03-06 21:14:18.313882,4
2026-03-06 21:14:18.314517,4
2026-03-06 21:14:18.314519,4
2026-03-06 21:14:18.314581,4
2026-03-06 21:14:18.314583,4
2026-03-06 21:14:18.316438,4
2026-03-06 21:14:18.31644,4
2026-03-06 21:14:18.31663,4
2026-03-06 21:14:18.316631,4
2026-03-06 21:14:18.316815,4
2026-03-06 21:14:18.316816,4
2026-03-06 21:14:18.316962,4
2026-03-06 21:14:18.316963,4
2026-03-06 21:14:18.317177,4
2026-03-06 21:14:18.317179,4
2026-03-06 21:14:18.317235,4
2026-03-06 21:14:18.317236,4
2026-03-06 21:14:18.31843,4
2026-03-06 21:14:18.318433,4
2026-03-06 21:14:18.319248,4
2026-03-06 21:14:18.31925,4
2026-03-06 21:14:18.319459,4
2026-03-06 21:14:18.31946,4
2026-03-06 21:14:18.319641,4
2026-03-06 21:14:18.319642,4
2026-03-06 21:14:18.319737,4
2026-03-06 21:14:18.319738,4
2026-03-06 21:14:18.36017,4
2026-03-06 21:14:18.360175,4
2026-03-06 21:14:18.415487,4
2026-03-06 21:14:18.415492,4
2026-03-06 21:14:18.462194,4
2026-03-06 21:14:18.462199,4
2026-03-06 21:14:18.517415,4
2026-03-06 21:14:18.51742,4
