time,ACT.Fuel_Fill_Vent.timestamp_ns
2026-03-06 21:14:18.309306,1772831658309093118
2026-03-06 21:14:18.309373,1772831658309093118
2026-03-06 21:14:18.309684,1772831658309213693
2026-03-06 21:14:18.309687,1772831658309213693
2026-03-06 21:14:18.310517,1772831658310425613
2026-03-06 21:14:18.31052,1772831658310425613
2026-03-06 21:14:18.310582,1772831658310468422
2026-03-06 21:14:18.310584,1772831658310468422
2026-03-06 21:14:18.31063,1772831658310503387
2026-03-06 21:14:18.310633,1772831658310503387
2026-03-06 21:14:18.311393,1772831658311275512
2026-03-06 21:14:18.311396,1772831658311275512
2026-03-06 21:14:18.312071,1772831658311994022
2026-03-06 21:14:18.312074,1772831658311994022
2026-03-06 21:14:18.312135,1772831658312040349
2026-03-06 21:14:18.312137,1772831658312040349
2026-03-06 21:14:18.312191,1772831658312076808
2026-03-06 21:14:18.312193,1772831658312076808
2026-03-06 21:14:18.312238,1772831658312112398
2026-03-06 21:14:18.31224,1772831658312112398
2026-03-06 21:14:18.312285,1772831658312150962
2026-03-06 21:14:18.312287,1772831658312150962
2026-03-06 21:14:18.312942,1772831658312861207
2026-03-06 21:14:18.312946,1772831658312861207
2026-03-06 21:14:18.313008,1772831658312906991
2026-03-06 21:14:18.31301,1772831658312906991
2026-03-06 21:14:18.313057,1772831658312943190
2026-03-06 21:14:18.31306,1772831658312943190
2026-03-06 21:14:18.313106,1772831658312978799
2026-03-06 21:14:18.313108,1772831658312978799
2026-03-06 21:14:18.313801,1772831658313725280
2026-03-06 21:14:18.313805,1772831658313725280
2026-03-06 21:14:18.31387,1772831658313771252
2026-03-06 21:14:18.313872,1772831658313771252
2026-03-06 21:14:18.314506,1772831658314424195
2026-03-06 21:14:18.314509,1772831658314424195
2026-03-06 21:14:18.314571,1772831658314467633
2026-03-06 21:14:18.314573,1772831658314467633
2026-03-06 21:14:18.316428,1772831658315627394
2026-03-06 21:14:18.316431,1772831658315627394
2026-03-06 21:14:18.316624,1772831658315794290
2026-03-06 21:14:18.316625,1772831658315794290
2026-03-06 21:14:18.316809,1772831658316587580
2026-03-06 21:14:18.31681,1772831658316587580
2026-03-06 21:14:18.316956,1772831658316797859
2026-03-06 21:14:18.316957,1772831658316797859
2026-03-06 21:14:18.317172,1772831658317057713
2026-03-06 21:14:18.317173,1772831658317057713
2026-03-06 21:14:18.317229,1772831658317154564
2026-03-06 21:14:18.31723,1772831658317154564
2026-03-06 21:14:18.318419,1772831658318202747
2026-03-06 21:14:18.318422,1772831658318202747
2026-03-06 21:14:18.319229,1772831658319080869
2026-03-06 21:14:18.319241,1772831658319080869
2026-03-06 21:14:18.319453,1772831658319313366
2026-03-06 21:14:18.319454,1772831658319313366
2026-03-06 21:14:18.319635,1772831658319562073
2026-03-06 21:14:18.319637,1772831658319562073
2026-03-06 21:14:18.319731,1772831658319659175
2026-03-06 21:14:18.319732,1772831658319659175
2026-03-06 21:14:18.360134,1772831658360069515
2026-03-06 21:14:18.360146,1772831658360069515
2026-03-06 21:14:18.415455,1772831658415365374
2026-03-06 21:14:18.41547,1772831658415365374
2026-03-06 21:14:18.462167,1772831658461980468
2026-03-06 21:14:18.462179,1772831658461980468
2026-03-06 21:14:18.517387,1772831658517325984
2026-03-06 21:14:18.5174,1772831658517325984
2026-03-06 21:14:18.564482,1772831658564423237
2026-03-06 21:14:18.564506,1772831658564423237
2026-03-06 21:14:18.619149,1772831658619050067
2026-03-06 21:14:18.619161,1772831658619050067
2026-03-06 21:14:18.665925,1772831658665875646
2026-03-06 21:14:18.665933,1772831658665875646
2026-03-06 21:14:18.721196,1772831658721154479
2026-03-06 21:14:18.721207,1772831658721154479
2026-03-06 21:14:18.768282,1772831658768259610
2026-03-06 21:14:18.768287,1772831658768259610
2026-03-06 21:14:18.823512,1772831658823457706
2026-03-06 21:14:18.823524,1772831658823457706
2026-03-06 21:14:18.870266,1772831658870171614
2026-03-06 21:14:18.87029,1772831658870171614
2026-03-06 21:14:18.92534,1772831658925245068
2026-03-06 21:14:18.925354,1772831658925245068
2026-03-06 21:14:18.972144,1772831658972065871
2026-03-06 21:14:18.97217,1772831658972065871
2026-03-06 21:14:19.027593,1772831659027512719
2026-03-06 21:14:19.027617,1772831659027512719
2026-03-06 21:14:19.074111,1772831659074027497
2026-03-06 21:14:19.074131,1772831659074027497
2026-03-06 21:14:19.129141,1772831659129106570
2026-03-06 21:14:19.129153,1772831659129106570
2026-03-06 21:14:19.176407,1772831659176309735
2026-03-06 21:14:19.176431,1772831659176309735
2026-03-06 21:14:19.231363,1772831659231285839
2026-03-06 21:14:19.231389,1772831659231285839
2026-03-06 21:14:19.278265,1772831659278193611
2026-03-06 21:14:19.278283,1772831659278193611
2026-03-06 21:14:19.333705,1772831659333584152
2026-03-06 21:14:19.333735,1772831659333584152
2026-03-06 21:14:19.380044,1772831659380011218
2026-03-06 21:14:19.380052,1772831659380011218
2026-03-06 21:14:19.435109,1772831659435028119
2026-03-06 21:14:19.435127,1772831659435028119
2026-03-06 21:14:19.482018,1772831659481887535
2026-03-06 21:14:19.482049,1772831659481887535
2026-03-06 21:14:19.537244,1772831659537145749
2026-03-06 21:14:19.537265,1772831659537145749
2026-03-06 21:14:19.584519,1772831659584356701
2026-03-06 21:14:19.584556,1772831659584356701
2026-03-06 21:14:19.639622,1772831659639216931
2026-03-06 21:14:19.639658,1772831659639216931
2026-03-06 21:14:19.686269,1772831659686059657
2026-03-06 21:14:19.686307,1772831659686059657
2026-03-06 21:14:19.741326,1772831659741136844
2026-03-06 21:14:19.741359,1772831659741136844
2026-03-06 21:14:19.788568,1772831659788384972
2026-03-06 21:14:19.788613,1772831659788384972
2026-03-06 21:14:19.843634,1772831659843453832
2026-03-06 21:14:19.843665,1772831659843453832
2026-03-06 21:14:19.889987,1772831659889884779
2026-03-06 21:14:19.890009,1772831659889884779
2026-03-06 21:14:19.94553,1772831659945407983
2026-03-06 21:14:19.945566,1772831659945407983
2026-03-06 21:14:19.992653,1772831659992462415
2026-03-06 21:14:19.99272,1772831659992462415
2026-03-06 21:14:20.04751,1772831660047441402
2026-03-06 21:14:20.047535,1772831660047441402
2026-03-06 21:14:20.093962,1772831660093896427
2026-03-06 21:14:20.093982,1772831660093896427
2026-03-06 21:14:20.149363,1772831660149196972
2026-03-06 21:14:20.14941,1772831660149196972
2026-03-06 21:14:20.196355,1772831660196279609
2026-03-06 21:14:20.196377,1772831660196279609
2026-03-06 21:14:20.25117,1772831660251105672
2026-03-06 21:14:20.251188,1772831660251105672
2026-03-06 21:14:20.298378,1772831660298303396
2026-03-06 21:14:20.298407,1772831660298303396
2026-03-06 21:14:20.353385,1772831660353315887
2026-03-06 21:14:20.353408,1772831660353315887
2026-03-06 21:14:20.400377,1772831660400264025
2026-03-06 21:14:20.400405,1772831660400264025
2026-03-06 21:14:20.455689,1772831660455571388
2026-03-06 21:14:20.455721,1772831660455571388
2026-03-06 21:14:20.502157,1772831660502092083
2026-03-06 21:14:20.502183,1772831660502092083
2026-03-06 21:14:20.557388,1772831660557321493
2026-03-06 21:14:20.557415,1772831660557321493
2026-03-06 21:14:20.604428,1772831660604347000
2026-03-06 21:14:20.604453,1772831660604347000
2026-03-06 21:14:20.65909,1772831660659031887
2026-03-06 21:14:20.659109,1772831660659031887
2026-03-06 21:14:20.706205,1772831660706132804
2026-03-06 21:14:20.706228,1772831660706132804
2026-03-06 21:14:20.761644,1772831660761571756
2026-03-06 21:14:20.761667,1772831660761571756
2026-03-06 21:14:20.808725,1772831660808377820
2026-03-06 21:14:20.80874,1772831660808377820
2026-03-06 21:14:20.863255,1772831660863168110
2026-03-06 21:14:20.863279,1772831660863168110
2026-03-06 21:14:20.910142,1772831660909928349
2026-03-06 21:14:20.910188,1772831660909928349
2026-03-06 21:14:20.965636,1772831660965557174
2026-03-06 21:14:20.965655,1772831660965557174
2026-03-06 21:14:21.012379,1772831661012023760
2026-03-06 21:14:21.012394,1772831661012023760
2026-03-06 21:14:21.067163,1772831661067058878
2026-03-06 21:14:21.067193,1772831661067058878
2026-03-06 21:14:21.114473,1772831661114372282
2026-03-06 21:14:21.114497,1772831661114372282
2026-03-06 21:14:21.169666,1772831661169504322
2026-03-06 21:14:21.169711,1772831661169504322
2026-03-06 21:14:21.216155,1772831661216093006
2026-03-06 21:14:21.216185,1772831661216093006
2026-03-06 21:14:21.271595,1772831661271518844
2026-03-06 21:14:21.271623,1772831661271518844
2026-03-06 21:14:21.318239,1772831661318096393
2026-03-06 21:14:21.318265,1772831661318096393
2026-03-06 21:14:21.373392,1772831661373146923
2026-03-06 21:14:21.373426,1772831661373146923
2026-03-06 21:14:21.420201,1772831661420076182
2026-03-06 21:14:21.420259,1772831661420076182
2026-03-06 21:14:21.47544,1772831661475334545
2026-03-06 21:14:21.475472,1772831661475334545
2026-03-06 21:14:21.522439,1772831661522344859
2026-03-06 21:14:21.522473,1772831661522344859
2026-03-06 21:14:21.577272,1772831661577178645
2026-03-06 21:14:21.577299,1772831661577178645
2026-03-06 21:14:21.624285,1772831661624148703
2026-03-06 21:14:21.624319,1772831661624148703
2026-03-06 21:14:21.679372,1772831661679233585
2026-03-06 21:14:21.679408,1772831661679233585
2026-03-06 21:14:21.726014,1772831661725888758
2026-03-06 21:14:21.726042,1772831661725888758
2026-03-06 21:14:21.781696,1772831661781569229
2026-03-06 21:14:21.781731,1772831661781569229
2026-03-06 21:14:21.828064,1772831661827955305
2026-03-06 21:14:21.828095,1772831661827955305
2026-03-06 21:14:21.883214,1772831661883130420
