time,PT.GN2_Regulated.channel_id
2026-03-06 21:14:18.315549,6
2026-03-06 21:14:18.31561,6
2026-03-06 21:14:18.315624,6
2026-03-06 21:14:18.315639,6
2026-03-06 21:14:18.315653,6
2026-03-06 21:14:18.315667,6
2026-03-06 21:14:18.315681,6
2026-03-06 21:14:18.315695,6
2026-03-06 21:14:18.315709,6
2026-03-06 21:14:18.31667,6
2026-03-06 21:14:18.31668,6
2026-03-06 21:14:18.316687,6
2026-03-06 21:14:18.316695,6
2026-03-06 21:14:18.316703,6
2026-03-06 21:14:18.316711,6
2026-03-06 21:14:18.316719,6
2026-03-06 21:14:18.316727,6
2026-03-06 21:14:18.316734,6
2026-03-06 21:14:18.317102,6
2026-03-06 21:14:18.317111,6
2026-03-06 21:14:18.317119,6
2026-03-06 21:14:18.317127,6
2026-03-06 21:14:18.317135,6
2026-03-06 21:14:18.317142,6
2026-03-06 21:14:18.31715,6
2026-03-06 21:14:18.317162,6
2026-03-06 21:14:18.317169,6
2026-03-06 21:14:18.31848,6
2026-03-06 21:14:18.318492,6
2026-03-06 21:14:18.318501,6
2026-03-06 21:14:18.318509,6
2026-03-06 21:14:18.318516,6
2026-03-06 21:14:18.318524,6
2026-03-06 21:14:18.318532,6
2026-03-06 21:14:18.318539,6
2026-03-06 21:14:18.318547,6
2026-03-06 21:14:18.319521,6
2026-03-06 21:14:18.31953,6
2026-03-06 21:14:18.319538,6
2026-03-06 21:14:18.319546,6
2026-03-06 21:14:18.319554,6
2026-03-06 21:14:18.319562,6
2026-03-06 21:14:18.31957,6
2026-03-06 21:14:18.319577,6
2026-03-06 21:14:18.319585,6
2026-03-06 21:14:18.329427,6
2026-03-06 21:14:18.329442,6
2026-03-06 21:14:18.32945,6
2026-03-06 21:14:18.329457,6
2026-03-06 21:14:18.329465,6
2026-03-06 21:14:18.329473,6
2026-03-06 21:14:18.32948,6
2026-03-06 21:14:18.329488,6
2026-03-06 21:14:18.329496,6
2026-03-06 21:14:18.438186,6
2026-03-06 21:14:18.438204,6
2026-03-06 21:14:18.438212,6
2026-03-06 21:14:18.43822,6
2026-03-06 21:14:18.438227,6
2026-03-06 21:14:18.438235,6
2026-03-06 21:14:18.438243,6
2026-03-06 21:14:18.438251,6
2026-03-06 21:14:18.438258,6
2026-03-06 21:14:18.547389,6
2026-03-06 21:14:18.547403,6
2026-03-06 21:14:18.54741,6
2026-03-06 21:14:18.547418,6
2026-03-06 21:14:18.547426,6
2026-03-06 21:14:18.547434,6
2026-03-06 21:14:18.547442,6
2026-03-06 21:14:18.547449,6
2026-03-06 21:14:18.547457,6
2026-03-06 21:14:18.656345,6
2026-03-06 21:14:18.656363,6
2026-03-06 21:14:18.656371,6
2026-03-06 21:14:18.656379,6
2026-03-06 21:14:18.656387,6
2026-03-06 21:14:18.656395,6
2026-03-06 21:14:18.656403,6
2026-03-06 21:14:18.65641,6
2026-03-06 21:14:18.656418,6
2026-03-06 21:14:18.765481,6
2026-03-06 21:14:18.765499,6
2026-03-06 21:14:18.765507,6
2026-03-06 21:14:18.765515,6
2026-03-06 21:14:18.765523,6
2026-03-06 21:14:18.765531,6
2026-03-06 21:14:18.765538,6
2026-03-06 21:14:18.765546,6
2026-03-06 21:14:18.765554,6
2026-03-06 21:14:18.874611,6
2026-03-06 21:14:18.874628,6
2026-03-06 21:14:18.874637,6
2026-03-06 21:14:18.874648,6
2026-03-06 21:14:18.874657,6
2026-03-06 21:14:18.874665,6
2026-03-06 21:14:18.874673,6
2026-03-06 21:14:18.874681,6
2026-03-06 21:14:18.874689,6
2026-03-06 21:14:18.983035,6
2026-03-06 21:14:18.983061,6
2026-03-06 21:14:18.983069,6
2026-03-06 21:14:18.983077,6
2026-03-06 21:14:18.983084,6
2026-03-06 21:14:18.983092,6
2026-03-06 21:14:18.9831,6
2026-03-06 21:14:18.983108,6
2026-03-06 21:14:18.983116,6
2026-03-06 21:14:19.092278,6
2026-03-06 21:14:19.092306,6
2026-03-06 21:14:19.092326,6
2026-03-06 21:14:19.092339,6
2026-03-06 21:14:19.092353,6
2026-03-06 21:14:19.092361,6
2026-03-06 21:14:19.092374,6
2026-03-06 21:14:19.092388,6
2026-03-06 21:14:19.092401,6
2026-03-06 21:14:19.202225,6
2026-03-06 21:14:19.202246,6
2026-03-06 21:14:19.202255,6
2026-03-06 21:14:19.202264,6
2026-03-06 21:14:19.202274,6
2026-03-06 21:14:19.202282,6
2026-03-06 21:14:19.20229,6
2026-03-06 21:14:19.202298,6
2026-03-06 21:14:19.202307,6
2026-03-06 21:14:19.311228,6
2026-03-06 21:14:19.311253,6
2026-03-06 21:14:19.311267,6
2026-03-06 21:14:19.311279,6
2026-03-06 21:14:19.31129,6
2026-03-06 21:14:19.311299,6
2026-03-06 21:14:19.311313,6
2026-03-06 21:14:19.311327,6
2026-03-06 21:14:19.311342,6
2026-03-06 21:14:19.420316,6
2026-03-06 21:14:19.420341,6
2026-03-06 21:14:19.420371,6
2026-03-06 21:14:19.420389,6
2026-03-06 21:14:19.420408,6
2026-03-06 21:14:19.420425,6
2026-03-06 21:14:19.420439,6
2026-03-06 21:14:19.420458,6
2026-03-06 21:14:19.420477,6
2026-03-06 21:14:19.529168,6
2026-03-06 21:14:19.529194,6
2026-03-06 21:14:19.529212,6
2026-03-06 21:14:19.529226,6
2026-03-06 21:14:19.529245,6
2026-03-06 21:14:19.529257,6
2026-03-06 21:14:19.529272,6
2026-03-06 21:14:19.529292,6
2026-03-06 21:14:19.529302,6
2026-03-06 21:14:19.638828,6
2026-03-06 21:14:19.638945,6
2026-03-06 21:14:19.63901,6
2026-03-06 21:14:19.639097,6
2026-03-06 21:14:19.639245,6
2026-03-06 21:14:19.63932,6
2026-03-06 21:14:19.63942,6
2026-03-06 21:14:19.639496,6
2026-03-06 21:14:19.639561,6
2026-03-06 21:14:19.747533,6
2026-03-06 21:14:19.747619,6
2026-03-06 21:14:19.747662,6
2026-03-06 21:14:19.747722,6
2026-03-06 21:14:19.747792,6
2026-03-06 21:14:19.747851,6
2026-03-06 21:14:19.747926,6
2026-03-06 21:14:19.74798,6
2026-03-06 21:14:19.74804,6
2026-03-06 21:14:19.856664,6
2026-03-06 21:14:19.856748,6
2026-03-06 21:14:19.856788,6
2026-03-06 21:14:19.856834,6
2026-03-06 21:14:19.856894,6
2026-03-06 21:14:19.856933,6
2026-03-06 21:14:19.856985,6
2026-03-06 21:14:19.857029,6
2026-03-06 21:14:19.85707,6
2026-03-06 21:14:19.965471,6
2026-03-06 21:14:19.96566,6
2026-03-06 21:14:19.965845,6
2026-03-06 21:14:19.965999,6
2026-03-06 21:14:19.966094,6
2026-03-06 21:14:19.966197,6
2026-03-06 21:14:19.966321,6
2026-03-06 21:14:19.966415,6
2026-03-06 21:14:19.966477,6
2026-03-06 21:14:20.074429,6
2026-03-06 21:14:20.074498,6
2026-03-06 21:14:20.07455,6
2026-03-06 21:14:20.074613,6
2026-03-06 21:14:20.074662,6
2026-03-06 21:14:20.074708,6
2026-03-06 21:14:20.074759,6
2026-03-06 21:14:20.074808,6
2026-03-06 21:14:20.074846,6
2026-03-06 21:14:20.183347,6
2026-03-06 21:14:20.183415,6
2026-03-06 21:14:20.183468,6
2026-03-06 21:14:20.183519,6
2026-03-06 21:14:20.183562,6
2026-03-06 21:14:20.18359,6
2026-03-06 21:14:20.183603,6
2026-03-06 21:14:20.183623,6
2026-03-06 21:14:20.183646,6
2026-03-06 21:14:20.292143,6
2026-03-06 21:14:20.29224,6
2026-03-06 21:14:20.292275,6
2026-03-06 21:14:20.29229,6
2026-03-06 21:14:20.292311,6
2026-03-06 21:14:20.292334,6
2026-03-06 21:14:20.292355,6
2026-03-06 21:14:20.292374,6
2026-03-06 21:14:20.292385,6
2026-03-06 21:14:20.401206,6
2026-03-06 21:14:20.401257,6
2026-03-06 21:14:20.401273,6
2026-03-06 21:14:20.401291,6
2026-03-06 21:14:20.401305,6
2026-03-06 21:14:20.401317,6
2026-03-06 21:14:20.401324,6
2026-03-06 21:14:20.401335,6
2026-03-06 21:14:20.401351,6
2026-03-06 21:14:20.510567,6
2026-03-06 21:14:20.510623,6
2026-03-06 21:14:20.510683,6
2026-03-06 21:14:20.5107,6
2026-03-06 21:14:20.510729,6
2026-03-06 21:14:20.510776,6
2026-03-06 21:14:20.510794,6
2026-03-06 21:14:20.510834,6
2026-03-06 21:14:20.510866,6
2026-03-06 21:14:20.619268,6
2026-03-06 21:14:20.619325,6
2026-03-06 21:14:20.619373,6
