time,BOARD.HB_51.engine_state
2026-03-06 21:14:18.314621,0
2026-03-06 21:14:18.751231,0
2026-03-06 21:14:19.758258,0
2026-03-06 21:14:20.764123,0
2026-03-06 21:14:21.771356,0
2026-03-06 21:14:22.778047,0
2026-03-06 21:14:23.785272,0
2026-03-06 21:14:24.792545,0
2026-03-06 21:14:25.799477,0
2026-03-06 21:14:26.806399,0
2026-03-06 21:14:27.814355,0
2026-03-06 21:14:28.820418,0
2026-03-06 21:14:29.825575,0
2026-03-06 21:14:30.832357,0
2026-03-06 21:14:31.83954,0
2026-03-06 21:14:32.84634,0
2026-03-06 21:14:33.853722,0
2026-03-06 21:14:34.860398,0
2026-03-06 21:14:35.867768,0
2026-03-06 21:14:36.874912,0
2026-03-06 21:14:37.881458,0
2026-03-06 21:14:38.886635,0
2026-03-06 21:14:39.893898,0
2026-03-06 21:14:40.900833,0
2026-03-06 21:14:41.908237,0
2026-03-06 21:14:42.9151,0
2026-03-06 21:14:43.92153,0
2026-03-06 21:14:44.928642,0
2026-03-06 21:14:45.935914,0
2026-03-06 21:14:46.942845,0
2026-03-06 21:14:47.948065,0
2026-03-06 21:14:48.95485,0
2026-03-06 21:14:49.961745,0
2026-03-06 21:14:50.969054,0
2026-03-06 21:14:51.976137,0
2026-03-06 21:14:52.982958,0
2026-03-06 21:14:53.990089,0
2026-03-06 21:14:54.997216,0
2026-03-06 21:14:56.004401,0
2026-03-06 21:14:57.008805,0
2026-03-06 21:14:58.016144,0
2026-03-06 21:14:59.022934,0
2026-03-06 21:15:00.030554,0
2026-03-06 21:15:01.037211,0
2026-03-06 21:15:02.043998,0
2026-03-06 21:15:03.050889,0
2026-03-06 21:15:04.058012,0
2026-03-06 21:15:05.065706,0
2026-03-06 21:15:06.07038,0
2026-03-06 21:15:07.077466,0
2026-03-06 21:15:08.084063,0
2026-03-06 21:15:09.091145,0
2026-03-06 21:15:10.098326,0
2026-03-06 21:15:11.105272,0
2026-03-06 21:15:12.112337,0
2026-03-06 21:15:13.119189,0
2026-03-06 21:15:14.12634,0
2026-03-06 21:15:15.131532,0
2026-03-06 21:15:16.138671,0
2026-03-06 21:15:17.145726,0
2026-03-06 21:15:18.152625,0
2026-03-06 21:15:19.159716,0
2026-03-06 21:15:20.166542,0
2026-03-06 21:15:21.173489,0
2026-03-06 21:15:22.180715,0
2026-03-06 21:15:23.18728,0
2026-03-06 21:15:24.188709,0
2026-03-06 21:15:25.19533,0
2026-03-06 21:15:26.20274,0
2026-03-06 21:15:27.209997,0
2026-03-06 21:15:28.216485,0
2026-03-06 21:15:29.223814,0
2026-03-06 21:15:30.230725,0
2026-03-06 21:15:31.237802,0
2026-03-06 21:15:32.244571,0
2026-03-06 21:15:33.249896,0
2026-03-06 21:15:34.256947,0
2026-03-06 21:15:35.264154,0
2026-03-06 21:15:36.270945,0
2026-03-06 21:15:37.27769,0
2026-03-06 21:15:38.284622,0
2026-03-06 21:15:39.291617,0
2026-03-06 21:15:40.299096,0
2026-03-06 21:15:41.306278,0
2026-03-06 21:15:42.310763,0
2026-03-06 21:15:43.31827,0
2026-03-06 21:15:44.325202,0
2026-03-06 21:15:45.332039,0
2026-03-06 21:15:46.339265,0
2026-03-06 21:15:47.345727,0
2026-03-06 21:15:48.353171,0
2026-03-06 21:15:49.360143,0
2026-03-06 21:15:50.366488,0
2026-03-06 21:15:51.371933,0
2026-03-06 21:15:52.379127,0
2026-03-06 21:15:53.385771,0
2026-03-06 21:15:54.393337,0
2026-03-06 21:15:55.400215,0
2026-03-06 21:15:56.407264,0
2026-03-06 21:15:57.414333,0
2026-03-06 21:15:58.420859,0
2026-03-06 21:15:59.428545,0
2026-03-06 21:16:00.433196,0
2026-03-06 21:16:01.440007,0
2026-03-06 21:16:02.447444,0
2026-03-06 21:16:03.454194,0
2026-03-06 21:16:04.46147,0
2026-03-06 21:16:05.468228,0
2026-03-06 21:16:06.475032,0
2026-03-06 21:16:07.482552,0
2026-03-06 21:16:08.489435,0
2026-03-06 21:16:09.494594,0
2026-03-06 21:16:10.501601,0
2026-03-06 21:16:11.508414,0
2026-03-06 21:16:12.515338,0
2026-03-06 21:16:13.522471,0
2026-03-06 21:16:14.529329,0
2026-03-06 21:16:15.536452,0
2026-03-06 21:16:16.543293,0
2026-03-06 21:16:17.550253,0
2026-03-06 21:16:18.555478,0
2026-03-06 21:16:19.562511,0
2026-03-06 21:16:20.569509,0
2026-03-06 21:16:21.576825,0
2026-03-06 21:16:22.583445,0
2026-03-06 21:16:23.590411,0
2026-03-06 21:16:24.597652,0
2026-03-06 21:16:25.604997,0
2026-03-06 21:16:26.611457,0
2026-03-06 21:16:27.616859,0
2026-03-06 21:16:28.623974,0
2026-03-06 21:16:29.631047,0
2026-03-06 21:16:30.636089,0
2026-03-06 21:16:31.642725,0
2026-03-06 21:16:32.650005,0
2026-03-06 21:16:33.65673,0
2026-03-06 21:16:34.663495,0
2026-03-06 21:16:35.670621,0
2026-03-06 21:16:36.672212,0
2026-03-06 21:16:37.679219,0
2026-03-06 21:16:38.6859,0
2026-03-06 21:16:39.692752,0
2026-03-06 21:16:40.699829,0
2026-03-06 21:16:41.707297,0
2026-03-06 21:16:42.713773,0
2026-03-06 21:16:43.720779,0
2026-03-06 21:16:44.727861,0
2026-03-06 21:16:45.733347,0
2026-03-06 21:16:46.740076,0
2026-03-06 21:16:47.746965,0
2026-03-06 21:16:48.754399,0
2026-03-06 21:16:49.760911,0
2026-03-06 21:16:50.768366,0
2026-03-06 21:16:51.77526,0
2026-03-06 21:16:52.781926,0
2026-03-06 21:16:53.789316,0
2026-03-06 21:16:54.794225,0
2026-03-06 21:16:55.801356,0
2026-03-06 21:16:56.8085,0
2026-03-06 21:16:57.815256,0
2026-03-06 21:16:58.822023,0
2026-03-06 21:16:59.829302,0
2026-03-06 21:17:00.836425,0
2026-03-06 21:17:01.843449,0
2026-03-06 21:17:02.850174,0
2026-03-06 21:17:03.855205,0
2026-03-06 21:17:04.862184,0
2026-03-06 21:17:05.869441,0
2026-03-06 21:17:06.876401,0
2026-03-06 21:17:07.883494,0
2026-03-06 21:17:08.890498,0
2026-03-06 21:17:09.897408,0
2026-03-06 21:17:10.904307,0
2026-03-06 21:17:11.91172,0
2026-03-06 21:17:12.916524,0
