time,PT_Cal.Fuel_Fill_Press.raw_adc
2026-03-06 21:14:19.092668,2143019615
2026-03-06 21:14:19.09281,2143199637
2026-03-06 21:14:19.092851,2143220539
2026-03-06 21:14:19.093123,2143019615
2026-03-06 21:14:19.202927,2143193568
2026-03-06 21:14:19.203204,2143193568
2026-03-06 21:14:19.312064,2143192220
2026-03-06 21:14:19.312143,2143207727
2026-03-06 21:14:19.312196,2143102546
2026-03-06 21:14:19.312206,2143192220
2026-03-06 21:14:19.420893,2143182107
2026-03-06 21:14:19.421087,2143182107
2026-03-06 21:14:19.421378,2143258296
2026-03-06 21:14:19.529585,2143114683
2026-03-06 21:14:19.529666,2143078274
2026-03-06 21:14:19.529743,2143179410
2026-03-06 21:14:19.52984,2143090410
2026-03-06 21:14:19.529951,2143114683
2026-03-06 21:14:19.639485,2143236046
2026-03-06 21:14:19.6399,2143113334
2026-03-06 21:14:19.640328,2143128841
2026-03-06 21:14:19.641097,2143027706
2026-03-06 21:14:19.64265,2143236046
2026-03-06 21:14:19.748,2143271106
2026-03-06 21:14:19.748264,2143146371
2026-03-06 21:14:19.748555,2143099176
2026-03-06 21:14:19.748667,2143271106
2026-03-06 21:14:19.748884,2143149743
2026-03-06 21:14:19.857352,2143049282
2026-03-06 21:14:19.857593,2143033775
2026-03-06 21:14:19.857851,2143173341
2026-03-06 21:14:19.857998,2143049282
2026-03-06 21:14:19.858169,2143238069
2026-03-06 21:14:19.966001,2143039842
2026-03-06 21:14:19.966413,2143109289
2026-03-06 21:14:19.966721,2143127493
2026-03-06 21:14:19.967085,2143207727
2026-03-06 21:14:19.967352,2143039842
2026-03-06 21:14:19.967593,2143039842
2026-03-06 21:14:20.074838,2143169970
2026-03-06 21:14:20.074883,2143083667
2026-03-06 21:14:20.074949,2142979161
2026-03-06 21:14:20.075028,2143199637
2026-03-06 21:14:20.075104,2143128168
2026-03-06 21:14:20.075194,2143066137
2026-03-06 21:14:20.075268,2143026358
2026-03-06 21:14:20.075349,2143099849
2026-03-06 21:14:20.075652,2143169970
2026-03-06 21:14:20.18359,2143178061
2026-03-06 21:14:20.183651,2143285265
2026-03-06 21:14:20.183738,2143058720
2026-03-06 21:14:20.183816,2143114683
2026-03-06 21:14:20.183876,2143178061
2026-03-06 21:14:20.183894,2143040517
2026-03-06 21:14:20.292651,2143262341
2026-03-06 21:14:20.292738,2142989949
2026-03-06 21:14:20.292824,2143089736
2026-03-06 21:14:20.292906,2143153788
2026-03-06 21:14:20.292989,2143118054
2026-03-06 21:14:20.29328,2143262341
2026-03-06 21:14:20.401307,2143184130
2026-03-06 21:14:20.401392,2143015570
2026-03-06 21:14:20.401587,2143077600
2026-03-06 21:14:20.40194,2143184130
2026-03-06 21:14:20.51067,2143159856
2026-03-06 21:14:20.510741,2143078274
2026-03-06 21:14:20.51085,2143025683
2026-03-06 21:14:20.510952,2143216492
2026-03-06 21:14:20.511032,2143159856
2026-03-06 21:14:20.511057,2143159183
2026-03-06 21:14:20.619481,2143196265
2026-03-06 21:14:20.619537,2143213122
2026-03-06 21:14:20.619588,2143161205
2026-03-06 21:14:20.619691,2143196265
2026-03-06 21:14:20.6199,2143305493
2026-03-06 21:14:20.619953,2143141653
2026-03-06 21:14:20.619993,2143383029
2026-03-06 21:14:20.728559,2143171993
2026-03-06 21:14:20.728653,2143232000
2026-03-06 21:14:20.72874,2143293356
2026-03-06 21:14:20.728833,2143151766
2026-03-06 21:14:20.729749,2143171993
2026-03-06 21:14:20.837778,2143114009
2026-03-06 21:14:20.83784,2143054675
2026-03-06 21:14:20.837881,2143265038
2026-03-06 21:14:20.837926,2143266386
2026-03-06 21:14:20.837985,2143035123
2026-03-06 21:14:20.838063,2143011524
2026-03-06 21:14:20.838074,2143114009
2026-03-06 21:14:20.838162,2143378310
2026-03-06 21:14:20.83825,2143045910
2026-03-06 21:14:20.83834,2143206379
2026-03-06 21:14:20.946809,2143037820
2026-03-06 21:14:20.946967,2143304818
2026-03-06 21:14:20.947053,2143275151
2026-03-06 21:14:20.947149,2143265712
2026-03-06 21:14:20.947244,2143037820
2026-03-06 21:14:20.947287,2143028380
2026-03-06 21:14:20.94742,2143283243
2026-03-06 21:14:21.055731,2143031751
2026-03-06 21:14:21.055831,2143034448
2026-03-06 21:14:21.055882,2143159856
2026-03-06 21:14:21.056006,2143198288
2026-03-06 21:14:21.056165,2143165925
2026-03-06 21:14:21.056202,2143031751
2026-03-06 21:14:21.056404,2143094456
2026-03-06 21:14:21.16527,2143118054
2026-03-06 21:14:21.165542,2143153788
2026-03-06 21:14:21.165825,2143207054
2026-03-06 21:14:21.166174,2143165925
2026-03-06 21:14:21.166338,2143151091
2026-03-06 21:14:21.167072,2143118054
2026-03-06 21:14:21.275092,2143147046
2026-03-06 21:14:21.275367,2143022312
2026-03-06 21:14:21.275633,2143115357
2026-03-06 21:14:21.275669,2143147046
2026-03-06 21:14:21.275948,2143179410
2026-03-06 21:14:21.276207,2143123448
2026-03-06 21:14:21.383073,2143246159
2026-03-06 21:14:21.383325,2143117379
2026-03-06 21:14:21.383547,2143091759
2026-03-06 21:14:21.383792,2143113334
2026-03-06 21:14:21.384232,2143246159
2026-03-06 21:14:21.492738,2143062092
2026-03-06 21:14:21.492862,2143192220
2026-03-06 21:14:21.492896,2143062092
2026-03-06 21:14:21.493104,2142954889
2026-03-06 21:14:21.49377,2143237394
2026-03-06 21:14:21.494648,2143098501
2026-03-06 21:14:21.494796,2142985903
2026-03-06 21:14:21.495055,2143206379
2026-03-06 21:14:21.495382,2143093107
2026-03-06 21:14:21.601261,2143338530
2026-03-06 21:14:21.601485,2143130191
2026-03-06 21:14:21.601699,2143055350
2026-03-06 21:14:21.601882,2143338530
2026-03-06 21:14:21.601941,2143121426
2026-03-06 21:14:21.60221,2143241439
2026-03-06 21:14:21.60248,2143194917
2026-03-06 21:14:21.710442,2142967024
2026-03-06 21:14:21.710882,2143084342
2026-03-06 21:14:21.711328,2143113334
2026-03-06 21:14:21.711525,2143192220
2026-03-06 21:14:21.711637,2142967024
2026-03-06 21:14:21.711716,2143230652
2026-03-06 21:14:21.711918,2143070183
2026-03-06 21:14:21.712124,2143248182
2026-03-06 21:14:21.818863,2143116706
2026-03-06 21:14:21.819121,2143051978
2026-03-06 21:14:21.819406,2143164576
2026-03-06 21:14:21.819575,2143116706
2026-03-06 21:14:21.819681,2143228629
2026-03-06 21:14:21.81994,2143162553
2026-03-06 21:14:21.927884,2143052653
2026-03-06 21:14:21.928068,2143244811
2026-03-06 21:14:21.928287,2143188175
2026-03-06 21:14:21.928478,2143209077
2026-03-06 21:14:21.928539,2143052653
2026-03-06 21:14:21.928659,2143300773
2026-03-06 21:14:22.036915,2143242787
2026-03-06 21:14:22.037166,2143159856
2026-03-06 21:14:22.037436,2143137606
2026-03-06 21:14:22.037679,2143304818
2026-03-06 21:14:22.037934,2143147721
2026-03-06 21:14:22.038089,2143242787
2026-03-06 21:14:22.038234,2143080297
2026-03-06 21:14:22.14564,2143283916
2026-03-06 21:14:22.145756,2143196940
2026-03-06 21:14:22.145967,2143208402
2026-03-06 21:14:22.146263,2143058047
2026-03-06 21:14:22.146467,2143151766
2026-03-06 21:14:22.146469,2143283916
2026-03-06 21:14:22.254934,2143128841
2026-03-06 21:14:22.255359,2143092432
2026-03-06 21:14:22.255669,2143282568
2026-03-06 21:14:22.255924,2143116706
2026-03-06 21:14:22.256242,2143128841
2026-03-06 21:14:22.256316,2143076251
2026-03-06 21:14:22.25667,2142947472
2026-03-06 21:14:22.256979,2142989274
