time,PT_Cal.GN2_Regulated.pressure_psi
2026-03-06 21:14:19.09273,80.874725
2026-03-06 21:14:19.092817,80.793846
2026-03-06 21:14:19.093236,0.32995942
2026-03-06 21:14:19.202987,80.80605
2026-03-06 21:14:19.203411,0.32983807
2026-03-06 21:14:19.312094,80.46347
2026-03-06 21:14:19.312156,79.40085
2026-03-06 21:14:19.312221,0.3292326
2026-03-06 21:14:19.421023,80.87663
2026-03-06 21:14:19.421156,0.32996282
2026-03-06 21:14:19.421513,80.72975
2026-03-06 21:14:19.529606,81.09067
2026-03-06 21:14:19.529691,81.106316
2026-03-06 21:14:19.529765,80.75874
2026-03-06 21:14:19.529851,80.80071
2026-03-06 21:14:19.530008,0.33034104
2026-03-06 21:14:19.639594,80.861374
2026-03-06 21:14:19.640009,80.7843
2026-03-06 21:14:19.640423,80.7534
2026-03-06 21:14:19.641222,80.77286
2026-03-06 21:14:19.642907,0.32993585
2026-03-06 21:14:19.748075,81.17652
2026-03-06 21:14:19.748345,80.78087
2026-03-06 21:14:19.748628,80.84344
2026-03-06 21:14:19.748763,0.33049276
2026-03-06 21:14:19.749022,80.82398
2026-03-06 21:14:19.85743,80.83428
2026-03-06 21:14:19.857673,80.769806
2026-03-06 21:14:19.857937,80.82246
2026-03-06 21:14:19.85817,0.32988796
2026-03-06 21:14:19.858245,80.703804
2026-03-06 21:14:19.966121,80.85259
2026-03-06 21:14:19.966503,80.977356
2026-03-06 21:14:19.966895,80.79842
2026-03-06 21:14:19.96722,81.14714
2026-03-06 21:14:19.967743,80.75569
2026-03-06 21:14:19.968119,0.32992032
2026-03-06 21:14:20.074852,80.843056
2026-03-06 21:14:20.074892,80.7225
2026-03-06 21:14:20.074971,80.83314
2026-03-06 21:14:20.07505,80.90715
2026-03-06 21:14:20.075131,80.87244
2026-03-06 21:14:20.075215,81.16812
2026-03-06 21:14:20.07529,80.853355
2026-03-06 21:14:20.075375,80.93653
2026-03-06 21:14:20.075793,0.32990348
2026-03-06 21:14:20.183614,80.80872
2026-03-06 21:14:20.183657,80.49513
2026-03-06 21:14:20.183758,80.803
2026-03-06 21:14:20.183836,80.43257
2026-03-06 21:14:20.183916,80.75302
2026-03-06 21:14:20.183931,0.32984278
2026-03-06 21:14:20.292678,80.75531
2026-03-06 21:14:20.29276,80.84687
2026-03-06 21:14:20.292842,81.12348
2026-03-06 21:14:20.292929,80.69846
2026-03-06 21:14:20.293022,80.82131
2026-03-06 21:14:20.29335,0.3297484
2026-03-06 21:14:20.401336,80.79995
2026-03-06 21:14:20.401442,80.68893
2026-03-06 21:14:20.40223,0.32982728
2026-03-06 21:14:20.510692,80.76904
2026-03-06 21:14:20.510765,80.79156
2026-03-06 21:14:20.510889,80.86252
2026-03-06 21:14:20.51098,80.85183
2026-03-06 21:14:20.511082,80.774
2026-03-06 21:14:20.511174,0.32977268
2026-03-06 21:14:20.619504,80.80453
2026-03-06 21:14:20.619542,80.83352
2026-03-06 21:14:20.619606,80.67367
2026-03-06 21:14:20.619768,0.32983539
2026-03-06 21:14:20.619915,80.85526
2026-03-06 21:14:20.619965,80.777054
2026-03-06 21:14:20.620002,80.84115
2026-03-06 21:14:20.728582,80.895325
2026-03-06 21:14:20.72868,80.79575
2026-03-06 21:14:20.728764,80.804146
2026-03-06 21:14:20.728861,80.80186
2026-03-06 21:14:20.729896,0.32999584
2026-03-06 21:14:20.837803,81.07922
2026-03-06 21:14:20.83785,80.77019
2026-03-06 21:14:20.837891,80.73738
2026-03-06 21:14:20.837935,81.113945
2026-03-06 21:14:20.83801,80.88808
2026-03-06 21:14:20.838089,81.17576
2026-03-06 21:14:20.838129,0.33032084
2026-03-06 21:14:20.838185,81.16469
2026-03-06 21:14:20.838272,80.761795
2026-03-06 21:14:20.838361,80.83123
2026-03-06 21:14:20.946835,80.7267
2026-03-06 21:14:20.946992,81.08533
2026-03-06 21:14:20.94708,80.811775
2026-03-06 21:14:20.947204,80.81101
2026-03-06 21:14:20.947292,0.32969782
2026-03-06 21:14:20.947313,80.78049
2026-03-06 21:14:20.947458,80.69999
2026-03-06 21:14:21.055763,80.895706
2026-03-06 21:14:21.055839,80.78316
2026-03-06 21:14:21.055929,80.73242
2026-03-06 21:14:21.056035,80.81902
2026-03-06 21:14:21.056237,80.969345
2026-03-06 21:14:21.0563,0.32999653
2026-03-06 21:14:21.056475,81.06854
2026-03-06 21:14:21.165347,80.74921
2026-03-06 21:14:21.165614,80.69465
2026-03-06 21:14:21.1659,80.814445
2026-03-06 21:14:21.166231,81.12043
2026-03-06 21:14:21.166378,81.132256
2026-03-06 21:14:21.167212,0.3297376
2026-03-06 21:14:21.275177,80.75455
2026-03-06 21:14:21.275435,80.748825
2026-03-06 21:14:21.275712,80.827415
2026-03-06 21:14:21.276025,81.1025
2026-03-06 21:14:21.276262,80.8629
2026-03-06 21:14:21.277104,0.32974705
2026-03-06 21:14:21.383135,81.04603
2026-03-06 21:14:21.383398,80.71983
2026-03-06 21:14:21.383605,80.785065
2026-03-06 21:14:21.383861,80.86862
2026-03-06 21:14:21.384407,0.33026215
2026-03-06 21:14:21.492771,80.76828
2026-03-06 21:14:21.49292,80.78087
2026-03-06 21:14:21.492994,0.3297713
2026-03-06 21:14:21.49328,80.77248
2026-03-06 21:14:21.494529,80.738144
2026-03-06 21:14:21.494692,80.88426
2026-03-06 21:14:21.494827,80.76599
2026-03-06 21:14:21.495134,80.814445
2026-03-06 21:14:21.495459,80.87625
2026-03-06 21:14:21.601322,80.79117
2026-03-06 21:14:21.601547,80.8339
2026-03-06 21:14:21.601778,80.74844
2026-03-06 21:14:21.601999,0.32981178
2026-03-06 21:14:21.602023,80.87091
2026-03-06 21:14:21.60229,80.88922
2026-03-06 21:14:21.60254,80.576004
2026-03-06 21:14:21.710558,79.235725
2026-03-06 21:14:21.710948,80.88579
2026-03-06 21:14:21.711381,80.76752
2026-03-06 21:14:21.711577,80.746155
2026-03-06 21:14:21.711768,80.55464
2026-03-06 21:14:21.711769,0.32706222
2026-03-06 21:14:21.71197,80.79231
2026-03-06 21:14:21.712191,80.71449
2026-03-06 21:14:21.81893,80.769424
2026-03-06 21:14:21.819209,80.735855
2026-03-06 21:14:21.819481,80.76828
2026-03-06 21:14:21.819702,0.32977334
2026-03-06 21:14:21.819745,80.764084
2026-03-06 21:14:21.927936,80.82398
2026-03-06 21:14:21.92813,80.83352
2026-03-06 21:14:21.928336,80.86786
2026-03-06 21:14:21.92853,80.790794
2026-03-06 21:14:21.928624,0.32986975
2026-03-06 21:14:22.036983,80.84763
2026-03-06 21:14:22.037261,80.4711
2026-03-06 21:14:22.037501,80.7206
2026-03-06 21:14:22.037746,80.84458
2026-03-06 21:14:22.038014,80.7328
2026-03-06 21:14:22.038325,80.8133
2026-03-06 21:14:22.038486,0.32991156
2026-03-06 21:14:22.145665,80.420746
2026-03-06 21:14:22.145809,80.78964
2026-03-06 21:14:22.146047,80.84992
2026-03-06 21:14:22.146306,80.809105
2026-03-06 21:14:22.146545,80.8339
2026-03-06 21:14:22.146645,0.32915708
2026-03-06 21:14:22.255054,80.78659
2026-03-06 21:14:22.255424,80.86481
2026-03-06 21:14:22.255723,81.203224
2026-03-06 21:14:22.256032,80.87625
2026-03-06 21:14:22.256423,80.95866
2026-03-06 21:14:22.256756,80.82436
2026-03-06 21:14:22.257043,80.74997
2026-03-06 21:14:22.257644,0.32980368
2026-03-06 21:14:22.364138,80.80262
2026-03-06 21:14:22.364388,79.588486
2026-03-06 21:14:22.364612,80.87854
2026-03-06 21:14:22.36485,81.18911
2026-03-06 21:14:22.365102,80.86252
2026-03-06 21:14:22.365211,0.329832
2026-03-06 21:14:22.47321,80.77667
2026-03-06 21:14:22.473425,80.80453
2026-03-06 21:14:22.473643,81.18415
2026-03-06 21:14:22.473852,81.25436
2026-03-06 21:14:22.474085,81.09754
2026-03-06 21:14:22.474328,80.84954
2026-03-06 21:14:22.47484,0.32978615
2026-03-06 21:14:22.582146,80.77553
2026-03-06 21:14:22.582267,80.82284
2026-03-06 21:14:22.582395,80.79728
2026-03-06 21:14:22.582538,80.91287
2026-03-06 21:14:22.582591,80.81483
2026-03-06 21:14:22.582649,80.76256
2026-03-06 21:14:22.582717,0.32978413
2026-03-06 21:14:22.690692,80.787735
2026-03-06 21:14:22.690728,80.40434
2026-03-06 21:14:22.690749,80.790405
2026-03-06 21:14:22.690784,80.869
2026-03-06 21:14:22.690812,80.727844
2026-03-06 21:14:22.690967,80.79957
2026-03-06 21:14:22.69114,0.3298057
2026-03-06 21:14:22.799784,80.78888
2026-03-06 21:14:22.799833,80.76103
2026-03-06 21:14:22.799879,80.77896
2026-03-06 21:14:22.799936,80.6916
2026-03-06 21:14:22.800015,80.872055
2026-03-06 21:14:22.800103,80.782394
2026-03-06 21:14:22.800187,80.75264
2026-03-06 21:14:22.800268,80.867096
2026-03-06 21:14:22.800502,0.32980773
2026-03-06 21:14:22.909204,80.803764
2026-03-06 21:14:22.909258,80.87244
2026-03-06 21:14:22.909323,80.37573
2026-03-06 21:14:22.909397,80.774
2026-03-06 21:14:22.909477,80.88312
2026-03-06 21:14:22.909553,80.506195
2026-03-06 21:14:22.909629,80.75188
2026-03-06 21:14:22.909854,0.329834
2026-03-06 21:14:23.017935,80.43791
2026-03-06 21:14:23.017999,79.14878
2026-03-06 21:14:23.018053,80.80567
2026-03-06 21:14:23.018097,80.82398
2026-03-06 21:14:23.018752,0.32918742
2026-03-06 21:14:23.126743,80.75798
2026-03-06 21:14:23.126812,80.81101
2026-03-06 21:14:23.126904,80.41922
2026-03-06 21:14:23.127008,80.50963
2026-03-06 21:14:23.127115,80.730515
2026-03-06 21:14:23.127418,0.32975313
2026-03-06 21:14:23.236031,80.83199
2026-03-06 21:14:23.236353,80.816734
2026-03-06 21:14:23.236432,81.08151
2026-03-06 21:14:23.236499,0.32988393
2026-03-06 21:14:23.236513,80.835045
2026-03-06 21:14:23.236592,80.819786
2026-03-06 21:14:23.236692,80.706856
2026-03-06 21:14:23.236991,80.80949
2026-03-06 21:14:23.237079,80.84191
2026-03-06 21:14:23.237161,80.77515
2026-03-06 21:14:23.344541,80.801476
2026-03-06 21:14:23.344587,80.83199
2026-03-06 21:14:23.34463,80.88617
2026-03-06 21:14:23.344692,80.8339
2026-03-06 21:14:23.344812,80.798805
2026-03-06 21:14:23.344897,80.853355
2026-03-06 21:14:23.345116,0.32983
2026-03-06 21:14:23.453868,80.87282
2026-03-06 21:14:23.453916,80.81368
2026-03-06 21:14:23.453983,80.75836
2026-03-06 21:14:23.454044,80.73471
2026-03-06 21:14:23.454127,80.827415
2026-03-06 21:14:23.454228,0.32995605
2026-03-06 21:14:23.454396,80.790794
2026-03-06 21:14:23.563291,81.12234
2026-03-06 21:14:23.56342,80.82322
2026-03-06 21:14:23.563552,80.83848
2026-03-06 21:14:23.563693,80.83695
2026-03-06 21:14:23.56375,0.330397
2026-03-06 21:14:23.563835,80.914024
2026-03-06 21:14:23.564,80.741196
2026-03-06 21:14:23.671529,80.8484
2026-03-06 21:14:23.671769,80.84992
2026-03-06 21:14:23.672052,80.79766
2026-03-06 21:14:23.672122,0.3299129
2026-03-06 21:14:23.781599,80.83352
2026-03-06 21:14:23.781844,80.832375
2026-03-06 21:14:23.781848,0.32988662
2026-03-06 21:14:23.782267,81.17347
2026-03-06 21:14:23.782501,80.84992
2026-03-06 21:14:23.782898,80.44173
2026-03-06 21:14:23.890194,80.76599
2026-03-06 21:14:23.890401,80.887314
2026-03-06 21:14:23.891007,0.3297673
2026-03-06 21:14:23.891062,80.89456
2026-03-06 21:14:23.89183,80.87244
2026-03-06 21:14:23.999273,80.84115
2026-03-06 21:14:23.999447,80.76218
2026-03-06 21:14:23.999601,80.7969
2026-03-06 21:14:23.999823,0.32990012
2026-03-06 21:14:24.108049,80.45393
2026-03-06 21:14:24.108297,80.42761
2026-03-06 21:14:24.108517,80.81864
2026-03-06 21:14:24.108795,80.43295
2026-03-06 21:14:24.109048,80.8339
2026-03-06 21:14:24.109331,0.32921574
2026-03-06 21:14:24.216533,80.80033
2026-03-06 21:14:24.216591,80.84992
2026-03-06 21:14:24.216789,80.79842
2026-03-06 21:14:24.216857,80.77438
2026-03-06 21:14:24.217099,0.32982796
2026-03-06 21:14:24.325966,80.81216
2026-03-06 21:14:24.326018,80.819405
2026-03-06 21:14:24.326087,80.737
2026-03-06 21:14:24.326224,80.7679
2026-03-06 21:14:24.326455,80.524124
2026-03-06 21:14:24.326656,80.8072
2026-03-06 21:14:24.326741,0.32984886
2026-03-06 21:14:24.435673,80.81368
2026-03-06 21:14:24.436087,80.37039
2026-03-06 21:14:24.436374,0.32985157
2026-03-06 21:14:24.436383,80.85755
2026-03-06 21:14:24.436681,80.50276
2026-03-06 21:14:24.436911,80.57982
2026-03-06 21:14:24.437134,80.78697
2026-03-06 21:14:24.43735,80.809105
2026-03-06 21:14:24.543864,80.78697
2026-03-06 21:14:24.543996,80.83428
2026-03-06 21:14:24.544206,80.80834
2026-03-06 21:14:24.544448,80.93615
2026-03-06 21:14:24.544536,0.32980436
2026-03-06 21:14:24.544612,80.83848
2026-03-06 21:14:24.652893,80.47835
2026-03-06 21:14:24.653053,80.55502
