time,ACT.GSE_Med_Press_Control.actuator_state
2026-03-06 21:14:18.309468,0
2026-03-06 21:14:18.309698,0
2026-03-06 21:14:18.310532,0
2026-03-06 21:14:18.310594,0
2026-03-06 21:14:18.310643,0
2026-03-06 21:14:18.311407,0
2026-03-06 21:14:18.312084,0
2026-03-06 21:14:18.312147,0
2026-03-06 21:14:18.312203,0
2026-03-06 21:14:18.31225,0
2026-03-06 21:14:18.312297,0
2026-03-06 21:14:18.312956,0
2026-03-06 21:14:18.31302,0
2026-03-06 21:14:18.31307,0
2026-03-06 21:14:18.313118,0
2026-03-06 21:14:18.313815,0
2026-03-06 21:14:18.313882,0
2026-03-06 21:14:18.314519,0
2026-03-06 21:14:18.314583,0
2026-03-06 21:14:18.31644,0
2026-03-06 21:14:18.316631,0
2026-03-06 21:14:18.316816,0
2026-03-06 21:14:18.316963,0
2026-03-06 21:14:18.317179,0
2026-03-06 21:14:18.317236,0
2026-03-06 21:14:18.318433,0
2026-03-06 21:14:18.31925,0
2026-03-06 21:14:18.31946,0
2026-03-06 21:14:18.319642,0
2026-03-06 21:14:18.319738,0
2026-03-06 21:14:18.360175,0
2026-03-06 21:14:18.415492,0
2026-03-06 21:14:18.462199,0
2026-03-06 21:14:18.51742,0
2026-03-06 21:14:18.564544,0
2026-03-06 21:14:18.619179,0
2026-03-06 21:14:18.665949,0
2026-03-06 21:14:18.72124,0
2026-03-06 21:14:18.768303,0
2026-03-06 21:14:18.823567,0
2026-03-06 21:14:18.870324,0
2026-03-06 21:14:18.925376,0
2026-03-06 21:14:18.97219,0
2026-03-06 21:14:19.027639,0
2026-03-06 21:14:19.074171,0
2026-03-06 21:14:19.129231,0
2026-03-06 21:14:19.176489,0
2026-03-06 21:14:19.231453,0
2026-03-06 21:14:19.278331,0
2026-03-06 21:14:19.333773,0
2026-03-06 21:14:19.380077,0
2026-03-06 21:14:19.435216,0
2026-03-06 21:14:19.482146,0
2026-03-06 21:14:19.537325,0
2026-03-06 21:14:19.584684,0
2026-03-06 21:14:19.639806,0
2026-03-06 21:14:19.686479,0
2026-03-06 21:14:19.741483,0
2026-03-06 21:14:19.788735,0
2026-03-06 21:14:19.843759,0
2026-03-06 21:14:19.890078,0
2026-03-06 21:14:19.945708,0
2026-03-06 21:14:19.99295,0
2026-03-06 21:14:20.047618,0
2026-03-06 21:14:20.094052,0
2026-03-06 21:14:20.149512,0
2026-03-06 21:14:20.196461,0
2026-03-06 21:14:20.251261,0
2026-03-06 21:14:20.298478,0
2026-03-06 21:14:20.353493,0
2026-03-06 21:14:20.400457,0
2026-03-06 21:14:20.455809,0
2026-03-06 21:14:20.502247,0
2026-03-06 21:14:20.557498,0
2026-03-06 21:14:20.604543,0
2026-03-06 21:14:20.659168,0
2026-03-06 21:14:20.706299,0
2026-03-06 21:14:20.761742,0
2026-03-06 21:14:20.808795,0
2026-03-06 21:14:20.863348,0
2026-03-06 21:14:20.910243,0
2026-03-06 21:14:20.965718,0
