time,ACT.GSE_High_Press_Vent.status
2026-03-06 21:14:18.309474,0
2026-03-06 21:14:18.309699,0
2026-03-06 21:14:18.310533,0
2026-03-06 21:14:18.310595,0
2026-03-06 21:14:18.310644,0
2026-03-06 21:14:18.311408,0
2026-03-06 21:14:18.312086,0
2026-03-06 21:14:18.312148,0
2026-03-06 21:14:18.312205,0
2026-03-06 21:14:18.312251,0
2026-03-06 21:14:18.312299,0
2026-03-06 21:14:18.312957,0
2026-03-06 21:14:18.313021,0
2026-03-06 21:14:18.313071,0
2026-03-06 21:14:18.313119,0
2026-03-06 21:14:18.313816,0
2026-03-06 21:14:18.313883,0
2026-03-06 21:14:18.314521,0
2026-03-06 21:14:18.314585,0
2026-03-06 21:14:18.316441,0
2026-03-06 21:14:18.316632,0
2026-03-06 21:14:18.316817,0
2026-03-06 21:14:18.316964,0
2026-03-06 21:14:18.317179,0
2026-03-06 21:14:18.317237,0
2026-03-06 21:14:18.318434,0
2026-03-06 21:14:18.319251,0
2026-03-06 21:14:18.319461,0
2026-03-06 21:14:18.319643,0
2026-03-06 21:14:18.319739,0
2026-03-06 21:14:18.360176,0
2026-03-06 21:14:18.415494,0
2026-03-06 21:14:18.462201,0
2026-03-06 21:14:18.517421,0
2026-03-06 21:14:18.564545,0
2026-03-06 21:14:18.61918,0
2026-03-06 21:14:18.66595,0
2026-03-06 21:14:18.721241,0
2026-03-06 21:14:18.768305,0
2026-03-06 21:14:18.823568,0
2026-03-06 21:14:18.870328,0
2026-03-06 21:14:18.925379,0
2026-03-06 21:14:18.972192,0
2026-03-06 21:14:19.027641,0
2026-03-06 21:14:19.074173,0
2026-03-06 21:14:19.129236,0
2026-03-06 21:14:19.176492,0
2026-03-06 21:14:19.231457,0
2026-03-06 21:14:19.278333,0
2026-03-06 21:14:19.333776,0
2026-03-06 21:14:19.380079,0
2026-03-06 21:14:19.435223,0
2026-03-06 21:14:19.482151,0
2026-03-06 21:14:19.537328,0
2026-03-06 21:14:19.584691,0
2026-03-06 21:14:19.639818,0
2026-03-06 21:14:19.686488,0
2026-03-06 21:14:19.741488,0
2026-03-06 21:14:19.788744,0
2026-03-06 21:14:19.843765,0
2026-03-06 21:14:19.890082,0
2026-03-06 21:14:19.945718,0
2026-03-06 21:14:19.992963,0
2026-03-06 21:14:20.047623,0
2026-03-06 21:14:20.094057,0
2026-03-06 21:14:20.149517,0
2026-03-06 21:14:20.196465,0
2026-03-06 21:14:20.251265,0
2026-03-06 21:14:20.298483,0
2026-03-06 21:14:20.353497,0
2026-03-06 21:14:20.400461,0
2026-03-06 21:14:20.455813,0
2026-03-06 21:14:20.502251,0
2026-03-06 21:14:20.557502,0
2026-03-06 21:14:20.604548,0
2026-03-06 21:14:20.659173,0
2026-03-06 21:14:20.706302,0
2026-03-06 21:14:20.761746,0
2026-03-06 21:14:20.808799,0
2026-03-06 21:14:20.863352,0
2026-03-06 21:14:20.910247,0
2026-03-06 21:14:20.965722,0
2026-03-06 21:14:21.012453,0
2026-03-06 21:14:21.067294,0
2026-03-06 21:14:21.11461,0
2026-03-06 21:14:21.16989,0
2026-03-06 21:14:21.216268,0
