time,PT.GSE_High.channel_id
2026-03-06 21:14:18.316065,11
2026-03-06 21:14:18.316156,11
2026-03-06 21:14:18.316177,11
2026-03-06 21:14:18.316193,11
2026-03-06 21:14:18.316207,11
2026-03-06 21:14:18.316221,11
2026-03-06 21:14:18.316235,11
2026-03-06 21:14:18.316251,11
2026-03-06 21:14:18.316266,11
2026-03-06 21:14:18.316744,11
2026-03-06 21:14:18.316753,11
2026-03-06 21:14:18.31676,11
2026-03-06 21:14:18.316767,11
2026-03-06 21:14:18.316774,11
2026-03-06 21:14:18.316781,11
2026-03-06 21:14:18.316788,11
2026-03-06 21:14:18.316794,11
2026-03-06 21:14:18.316802,11
2026-03-06 21:14:18.31703,11
2026-03-06 21:14:18.317037,11
2026-03-06 21:14:18.317046,11
2026-03-06 21:14:18.317053,11
2026-03-06 21:14:18.31706,11
2026-03-06 21:14:18.317067,11
2026-03-06 21:14:18.317073,11
2026-03-06 21:14:18.31708,11
2026-03-06 21:14:18.317087,11
2026-03-06 21:14:18.31827,11
2026-03-06 21:14:18.318306,11
2026-03-06 21:14:18.318315,11
2026-03-06 21:14:18.318323,11
2026-03-06 21:14:18.318331,11
2026-03-06 21:14:18.318338,11
2026-03-06 21:14:18.318347,11
2026-03-06 21:14:18.318354,11
2026-03-06 21:14:18.318361,11
2026-03-06 21:14:18.319293,11
2026-03-06 21:14:18.319302,11
2026-03-06 21:14:18.31931,11
2026-03-06 21:14:18.319317,11
2026-03-06 21:14:18.319323,11
2026-03-06 21:14:18.319332,11
2026-03-06 21:14:18.319339,11
2026-03-06 21:14:18.319346,11
2026-03-06 21:14:18.319352,11
2026-03-06 21:14:18.319664,11
2026-03-06 21:14:18.319672,11
2026-03-06 21:14:18.319679,11
2026-03-06 21:14:18.319687,11
2026-03-06 21:14:18.319694,11
2026-03-06 21:14:18.319701,11
2026-03-06 21:14:18.319708,11
2026-03-06 21:14:18.319715,11
2026-03-06 21:14:18.319723,11
2026-03-06 21:14:18.396602,11
2026-03-06 21:14:18.396709,11
2026-03-06 21:14:18.396724,11
2026-03-06 21:14:18.396741,11
2026-03-06 21:14:18.396756,11
2026-03-06 21:14:18.39677,11
2026-03-06 21:14:18.396783,11
2026-03-06 21:14:18.396797,11
2026-03-06 21:14:18.39681,11
2026-03-06 21:14:18.496294,11
2026-03-06 21:14:18.496349,11
2026-03-06 21:14:18.496357,11
2026-03-06 21:14:18.496364,11
2026-03-06 21:14:18.49637,11
2026-03-06 21:14:18.496377,11
2026-03-06 21:14:18.496384,11
2026-03-06 21:14:18.496391,11
2026-03-06 21:14:18.496398,11
2026-03-06 21:14:18.597117,11
2026-03-06 21:14:18.5972,11
2026-03-06 21:14:18.597212,11
2026-03-06 21:14:18.597221,11
2026-03-06 21:14:18.597229,11
2026-03-06 21:14:18.597238,11
2026-03-06 21:14:18.597247,11
2026-03-06 21:14:18.597255,11
2026-03-06 21:14:18.597263,11
2026-03-06 21:14:18.697389,11
2026-03-06 21:14:18.697441,11
2026-03-06 21:14:18.697448,11
2026-03-06 21:14:18.697454,11
2026-03-06 21:14:18.697461,11
2026-03-06 21:14:18.697468,11
2026-03-06 21:14:18.697474,11
2026-03-06 21:14:18.69748,11
2026-03-06 21:14:18.697486,11
2026-03-06 21:14:18.797283,11
2026-03-06 21:14:18.797347,11
2026-03-06 21:14:18.797355,11
2026-03-06 21:14:18.797362,11
2026-03-06 21:14:18.797369,11
2026-03-06 21:14:18.797376,11
2026-03-06 21:14:18.797383,11
2026-03-06 21:14:18.79739,11
2026-03-06 21:14:18.797397,11
2026-03-06 21:14:18.901202,11
2026-03-06 21:14:18.90128,11
2026-03-06 21:14:18.901289,11
2026-03-06 21:14:18.901296,11
2026-03-06 21:14:18.901303,11
2026-03-06 21:14:18.90131,11
2026-03-06 21:14:18.901316,11
2026-03-06 21:14:18.901323,11
2026-03-06 21:14:18.90133,11
2026-03-06 21:14:19.001248,11
2026-03-06 21:14:19.001335,11
2026-03-06 21:14:19.001344,11
2026-03-06 21:14:19.001352,11
2026-03-06 21:14:19.001358,11
2026-03-06 21:14:19.001365,11
2026-03-06 21:14:19.001372,11
2026-03-06 21:14:19.001379,11
2026-03-06 21:14:19.001386,11
2026-03-06 21:14:19.101267,11
2026-03-06 21:14:19.101356,11
2026-03-06 21:14:19.101383,11
2026-03-06 21:14:19.101406,11
2026-03-06 21:14:19.101417,11
2026-03-06 21:14:19.101438,11
2026-03-06 21:14:19.101456,11
2026-03-06 21:14:19.101471,11
2026-03-06 21:14:19.101498,11
2026-03-06 21:14:19.200991,11
2026-03-06 21:14:19.201049,11
2026-03-06 21:14:19.201058,11
2026-03-06 21:14:19.201071,11
2026-03-06 21:14:19.201081,11
2026-03-06 21:14:19.201089,11
2026-03-06 21:14:19.2011,11
2026-03-06 21:14:19.20111,11
2026-03-06 21:14:19.201119,11
2026-03-06 21:14:19.301383,11
2026-03-06 21:14:19.301468,11
2026-03-06 21:14:19.301491,11
2026-03-06 21:14:19.301511,11
2026-03-06 21:14:19.301526,11
2026-03-06 21:14:19.301541,11
2026-03-06 21:14:19.301559,11
2026-03-06 21:14:19.301577,11
2026-03-06 21:14:19.301594,11
2026-03-06 21:14:19.401,11
2026-03-06 21:14:19.40109,11
2026-03-06 21:14:19.401105,11
2026-03-06 21:14:19.401116,11
2026-03-06 21:14:19.401129,11
2026-03-06 21:14:19.401139,11
2026-03-06 21:14:19.40115,11
2026-03-06 21:14:19.401167,11
2026-03-06 21:14:19.401176,11
2026-03-06 21:14:19.501535,11
2026-03-06 21:14:19.501743,11
2026-03-06 21:14:19.501807,11
2026-03-06 21:14:19.50186,11
2026-03-06 21:14:19.501939,11
2026-03-06 21:14:19.502024,11
2026-03-06 21:14:19.502109,11
2026-03-06 21:14:19.502212,11
2026-03-06 21:14:19.5023,11
2026-03-06 21:14:19.603949,11
2026-03-06 21:14:19.604243,11
2026-03-06 21:14:19.604359,11
2026-03-06 21:14:19.604471,11
2026-03-06 21:14:19.604563,11
2026-03-06 21:14:19.604651,11
2026-03-06 21:14:19.604694,11
2026-03-06 21:14:19.604761,11
2026-03-06 21:14:19.604796,11
2026-03-06 21:14:19.703104,11
2026-03-06 21:14:19.703213,11
2026-03-06 21:14:19.703242,11
2026-03-06 21:14:19.70326,11
2026-03-06 21:14:19.703285,11
2026-03-06 21:14:19.703313,11
2026-03-06 21:14:19.703337,11
2026-03-06 21:14:19.703358,11
2026-03-06 21:14:19.703381,11
2026-03-06 21:14:19.803961,11
2026-03-06 21:14:19.80413,11
2026-03-06 21:14:19.804211,11
2026-03-06 21:14:19.80428,11
2026-03-06 21:14:19.804345,11
2026-03-06 21:14:19.804414,11
2026-03-06 21:14:19.804456,11
2026-03-06 21:14:19.804522,11
2026-03-06 21:14:19.80457,11
2026-03-06 21:14:19.907064,11
2026-03-06 21:14:19.907227,11
2026-03-06 21:14:19.907289,11
2026-03-06 21:14:19.907344,11
2026-03-06 21:14:19.907397,11
2026-03-06 21:14:19.907447,11
2026-03-06 21:14:19.907498,11
2026-03-06 21:14:19.907553,11
2026-03-06 21:14:19.907583,11
2026-03-06 21:14:20.007426,11
2026-03-06 21:14:20.007548,11
2026-03-06 21:14:20.007598,11
2026-03-06 21:14:20.007647,11
2026-03-06 21:14:20.007692,11
2026-03-06 21:14:20.007738,11
2026-03-06 21:14:20.007786,11
2026-03-06 21:14:20.00783,11
2026-03-06 21:14:20.007875,11
2026-03-06 21:14:20.107352,11
2026-03-06 21:14:20.107456,11
2026-03-06 21:14:20.107494,11
2026-03-06 21:14:20.10753,11
2026-03-06 21:14:20.107562,11
2026-03-06 21:14:20.107595,11
2026-03-06 21:14:20.10763,11
2026-03-06 21:14:20.107661,11
2026-03-06 21:14:20.107694,11
2026-03-06 21:14:20.207203,11
2026-03-06 21:14:20.207286,11
2026-03-06 21:14:20.207322,11
2026-03-06 21:14:20.207355,11
2026-03-06 21:14:20.207383,11
2026-03-06 21:14:20.207403,11
2026-03-06 21:14:20.207432,11
2026-03-06 21:14:20.207452,11
2026-03-06 21:14:20.207469,11
2026-03-06 21:14:20.307492,11
2026-03-06 21:14:20.307639,11
2026-03-06 21:14:20.307678,11
2026-03-06 21:14:20.307708,11
2026-03-06 21:14:20.30774,11
2026-03-06 21:14:20.307773,11
2026-03-06 21:14:20.307797,11
2026-03-06 21:14:20.307822,11
2026-03-06 21:14:20.307849,11
2026-03-06 21:14:20.407204,11
2026-03-06 21:14:20.407362,11
2026-03-06 21:14:20.407407,11
2026-03-06 21:14:20.407443,11
2026-03-06 21:14:20.407487,11
2026-03-06 21:14:20.40753,11
2026-03-06 21:14:20.407552,11
2026-03-06 21:14:20.407585,11
2026-03-06 21:14:20.407602,11
2026-03-06 21:14:20.50694,11
2026-03-06 21:14:20.50701,11
2026-03-06 21:14:20.507044,11
2026-03-06 21:14:20.507073,11
2026-03-06 21:14:20.507103,11
2026-03-06 21:14:20.507133,11
2026-03-06 21:14:20.507168,11
2026-03-06 21:14:20.507198,11
2026-03-06 21:14:20.507227,11
2026-03-06 21:14:20.607907,11
2026-03-06 21:14:20.607976,11
2026-03-06 21:14:20.608023,11
2026-03-06 21:14:20.608067,11
2026-03-06 21:14:20.608109,11
2026-03-06 21:14:20.608153,11
2026-03-06 21:14:20.608202,11
2026-03-06 21:14:20.608249,11
