time,TC_Cal.CH2.raw_adc
2026-03-06 21:14:19.123088,2147483647
2026-03-06 21:14:19.123393,2147483647
2026-03-06 21:14:19.250463,2147483647
2026-03-06 21:14:19.250822,2147483647
2026-03-06 21:14:19.376909,2147483647
2026-03-06 21:14:19.37698,2147483647
2026-03-06 21:14:19.377204,2147483647
2026-03-06 21:14:19.504923,2147483647
2026-03-06 21:14:19.505119,2147483647
2026-03-06 21:14:19.505395,2147483647
2026-03-06 21:14:19.506195,2147483647
2026-03-06 21:14:19.631192,2147483647
2026-03-06 21:14:19.631334,2147483647
2026-03-06 21:14:19.631342,2147483647
2026-03-06 21:14:19.631934,2147483647
2026-03-06 21:14:19.632055,2147483647
2026-03-06 21:14:19.75804,2147483647
2026-03-06 21:14:19.758147,2147483647
2026-03-06 21:14:19.758197,2147483647
2026-03-06 21:14:19.758295,2147483647
2026-03-06 21:14:19.758503,2147483647
2026-03-06 21:14:19.885897,2147483647
2026-03-06 21:14:19.885946,2147483647
2026-03-06 21:14:19.885966,2147483647
2026-03-06 21:14:19.885987,2147483647
2026-03-06 21:14:19.886007,2147483647
2026-03-06 21:14:19.886032,2147483647
2026-03-06 21:14:19.886056,2147483647
2026-03-06 21:14:19.886089,2147483647
2026-03-06 21:14:19.886124,2147483647
2026-03-06 21:14:19.886196,2147483647
2026-03-06 21:14:20.017075,2147483647
2026-03-06 21:14:20.017157,2147483647
2026-03-06 21:14:20.017194,2147483647
2026-03-06 21:14:20.017248,2147483647
2026-03-06 21:14:20.017257,2147483647
2026-03-06 21:14:20.017332,2147483647
2026-03-06 21:14:20.017406,2147483647
2026-03-06 21:14:20.017538,2147483647
2026-03-06 21:14:20.144034,2147483647
2026-03-06 21:14:20.1441,2147483647
2026-03-06 21:14:20.144115,2147483647
2026-03-06 21:14:20.144127,2147483647
2026-03-06 21:14:20.14414,2147483647
2026-03-06 21:14:20.144183,2147483647
2026-03-06 21:14:20.14423,2147483647
2026-03-06 21:14:20.144271,2147483647
2026-03-06 21:14:20.144313,2147483647
2026-03-06 21:14:20.144366,2147483647
2026-03-06 21:14:20.271191,2147483647
2026-03-06 21:14:20.271253,2147483647
2026-03-06 21:14:20.271293,2147483647
2026-03-06 21:14:20.271337,2147483647
2026-03-06 21:14:20.271379,2147483647
2026-03-06 21:14:20.271428,2147483647
2026-03-06 21:14:20.271474,2147483647
2026-03-06 21:14:20.271748,2147483647
2026-03-06 21:14:20.397957,2147483647
2026-03-06 21:14:20.398014,2147483647
2026-03-06 21:14:20.398043,2147483647
2026-03-06 21:14:20.398084,2147483647
2026-03-06 21:14:20.398093,2147483647
2026-03-06 21:14:20.398129,2147483647
