time,LC_Cal.CH1.force_n
2026-03-06 21:14:19.055859,0.0
2026-03-06 21:14:19.05628,0.00074801
2026-03-06 21:14:19.123315,0.0
2026-03-06 21:14:19.223293,0.0
2026-03-06 21:14:19.223463,0.000454805
2026-03-06 21:14:19.323194,0.0
2026-03-06 21:14:19.423583,0.0
2026-03-06 21:14:19.42376,0.000518165
2026-03-06 21:14:19.523345,0.0
2026-03-06 21:14:19.523387,0.0
2026-03-06 21:14:19.523418,0.0
2026-03-06 21:14:19.523479,0.0
2026-03-06 21:14:19.523825,0.000574784
2026-03-06 21:14:19.623576,0.0
2026-03-06 21:14:19.623732,0.0
2026-03-06 21:14:19.623893,0.0
2026-03-06 21:14:19.624046,0.0
2026-03-06 21:14:19.62476,0.000663081
2026-03-06 21:14:19.725056,0.0
2026-03-06 21:14:19.725186,0.0
2026-03-06 21:14:19.725272,0.0
2026-03-06 21:14:19.725583,0.000584219
2026-03-06 21:14:19.725706,0.0
2026-03-06 21:14:19.72579,0.0
2026-03-06 21:14:19.826866,0.0
2026-03-06 21:14:19.827053,0.0
2026-03-06 21:14:19.829977,0.000547822
2026-03-06 21:14:19.927435,0.0
2026-03-06 21:14:19.927502,0.0
2026-03-06 21:14:19.927562,0.0
2026-03-06 21:14:19.927621,0.0
2026-03-06 21:14:19.927692,0.0
2026-03-06 21:14:19.927756,0.0
2026-03-06 21:14:19.927815,0.0
2026-03-06 21:14:19.92787,0.0
2026-03-06 21:14:19.927944,0.0
2026-03-06 21:14:20.027007,0.0
2026-03-06 21:14:20.027077,0.0
2026-03-06 21:14:20.027133,0.0
2026-03-06 21:14:20.027211,0.0
2026-03-06 21:14:20.027274,0.0
2026-03-06 21:14:20.027299,0.000621966
2026-03-06 21:14:20.027333,0.0
2026-03-06 21:14:20.027391,0.0
2026-03-06 21:14:20.12711,0.0
2026-03-06 21:14:20.127183,0.0
2026-03-06 21:14:20.127199,0.0
2026-03-06 21:14:20.12721,0.0
2026-03-06 21:14:20.127232,0.0
2026-03-06 21:14:20.127663,0.000543777
2026-03-06 21:14:20.227389,0.0
2026-03-06 21:14:20.227495,0.0
2026-03-06 21:14:20.227539,0.0
2026-03-06 21:14:20.227589,0.0
2026-03-06 21:14:20.227629,0.0
2026-03-06 21:14:20.227759,0.0
2026-03-06 21:14:20.227761,0.000553888
2026-03-06 21:14:20.327098,0.0
2026-03-06 21:14:20.327165,0.0
2026-03-06 21:14:20.327192,0.0
2026-03-06 21:14:20.327237,0.0
2026-03-06 21:14:20.32727,0.0
2026-03-06 21:14:20.327309,0.0
2026-03-06 21:14:20.327796,0.000557258
2026-03-06 21:14:20.427359,0.0
2026-03-06 21:14:20.427456,0.0
2026-03-06 21:14:20.427521,0.0
2026-03-06 21:14:20.427585,0.0
2026-03-06 21:14:20.427654,0.0
2026-03-06 21:14:20.427714,0.0
2026-03-06 21:14:20.427993,0.0007197
2026-03-06 21:14:20.526721,0.0
2026-03-06 21:14:20.526791,0.0
2026-03-06 21:14:20.526805,0.0
2026-03-06 21:14:20.526852,0.0
2026-03-06 21:14:20.526922,0.0
2026-03-06 21:14:20.626941,0.0
2026-03-06 21:14:20.627002,0.0
2026-03-06 21:14:20.627028,0.0
2026-03-06 21:14:20.627042,0.0
2026-03-06 21:14:20.627075,0.0
2026-03-06 21:14:20.627111,0.0
2026-03-06 21:14:20.627143,0.0
2026-03-06 21:14:20.627574,0.000616573
2026-03-06 21:14:20.72692,0.0
2026-03-06 21:14:20.726987,0.0
2026-03-06 21:14:20.727065,0.0
2026-03-06 21:14:20.727114,0.0
2026-03-06 21:14:20.727185,0.0
2026-03-06 21:14:20.727391,0.0
2026-03-06 21:14:20.727657,0.00061118
2026-03-06 21:14:20.827053,0.0
2026-03-06 21:14:20.827127,0.0
2026-03-06 21:14:20.827203,0.0
2026-03-06 21:14:20.827264,0.0
2026-03-06 21:14:20.827328,0.0
2026-03-06 21:14:20.82743,0.0
2026-03-06 21:14:20.827495,0.0
2026-03-06 21:14:20.827556,0.0
2026-03-06 21:14:20.827574,0.000714982
2026-03-06 21:14:20.827618,0.0
2026-03-06 21:14:20.930332,0.0
2026-03-06 21:14:20.930405,0.0
2026-03-06 21:14:20.930453,0.0
2026-03-06 21:14:20.930495,0.0
2026-03-06 21:14:20.930538,0.0
2026-03-06 21:14:20.930573,0.0
2026-03-06 21:14:20.930615,0.0
2026-03-06 21:14:20.930651,0.0
2026-03-06 21:14:20.930917,0.000662408
2026-03-06 21:14:21.030298,0.0
2026-03-06 21:14:21.030344,0.0
2026-03-06 21:14:21.030359,0.0
2026-03-06 21:14:21.030374,0.0
2026-03-06 21:14:21.030388,0.0
2026-03-06 21:14:21.030484,0.0
2026-03-06 21:14:21.030515,0.0
2026-03-06 21:14:21.030548,0.0
2026-03-06 21:14:21.03058,0.0
2026-03-06 21:14:21.030805,0.000522209
2026-03-06 21:14:21.130322,0.0
2026-03-06 21:14:21.130382,0.0
2026-03-06 21:14:21.130442,0.0
2026-03-06 21:14:21.1305,0.0
2026-03-06 21:14:21.130557,0.0
2026-03-06 21:14:21.130618,0.0
2026-03-06 21:14:21.130673,0.0
2026-03-06 21:14:21.13073,0.0
2026-03-06 21:14:21.130795,0.0
2026-03-06 21:14:21.130839,0.000644883
2026-03-06 21:14:21.230129,0.0
2026-03-06 21:14:21.230228,0.0
2026-03-06 21:14:21.230295,0.0
2026-03-06 21:14:21.230378,0.0
2026-03-06 21:14:21.230447,0.0
2026-03-06 21:14:21.230511,0.0
2026-03-06 21:14:21.23061,0.0
2026-03-06 21:14:21.230693,0.0
2026-03-06 21:14:21.230777,0.0
2026-03-06 21:14:21.230901,0.000536363
2026-03-06 21:14:21.330702,0.0
2026-03-06 21:14:21.330777,0.0
2026-03-06 21:14:21.330836,0.0
2026-03-06 21:14:21.330911,0.0
2026-03-06 21:14:21.330979,0.0
2026-03-06 21:14:21.331046,0.0
2026-03-06 21:14:21.331121,0.0
2026-03-06 21:14:21.331203,0.0
2026-03-06 21:14:21.33148,0.00073453
2026-03-06 21:14:21.430154,0.0
2026-03-06 21:14:21.430335,0.0
2026-03-06 21:14:21.430443,0.0
2026-03-06 21:14:21.430515,0.0
2026-03-06 21:14:21.430569,0.0
2026-03-06 21:14:21.430632,0.0
2026-03-06 21:14:21.530326,0.0
2026-03-06 21:14:21.530409,0.0
2026-03-06 21:14:21.530512,0.0
2026-03-06 21:14:21.530602,0.0
2026-03-06 21:14:21.530688,0.0
2026-03-06 21:14:21.530725,0.000623988
2026-03-06 21:14:21.530786,0.0
2026-03-06 21:14:21.530878,0.0
2026-03-06 21:14:21.53098,0.0
2026-03-06 21:14:21.630589,0.0
2026-03-06 21:14:21.630675,0.0
2026-03-06 21:14:21.630795,0.0
2026-03-06 21:14:21.630902,0.0
2026-03-06 21:14:21.631068,0.000644208
2026-03-06 21:14:21.730194,0.0
