time,BOARD.HB_41.board_type
2026-03-06 21:14:18.313917,2
2026-03-06 21:14:18.653924,2
2026-03-06 21:14:19.656796,2
2026-03-06 21:14:20.660896,2
2026-03-06 21:14:21.663585,2
2026-03-06 21:14:22.666906,2
2026-03-06 21:14:23.669775,2
2026-03-06 21:14:24.672465,2
2026-03-06 21:14:25.675886,2
2026-03-06 21:14:26.678975,2
2026-03-06 21:14:27.681725,2
2026-03-06 21:14:28.685106,2
2026-03-06 21:14:29.688026,2
2026-03-06 21:14:30.691221,2
2026-03-06 21:14:31.693999,2
2026-03-06 21:14:32.697416,2
2026-03-06 21:14:33.700488,2
2026-03-06 21:14:34.70305,2
2026-03-06 21:14:35.705859,2
2026-03-06 21:14:36.709241,2
2026-03-06 21:14:37.711958,2
2026-03-06 21:14:38.715574,2
2026-03-06 21:14:39.717761,2
2026-03-06 21:14:40.721075,2
2026-03-06 21:14:41.723825,2
2026-03-06 21:14:42.727127,2
2026-03-06 21:14:43.72971,2
2026-03-06 21:14:44.733221,2
2026-03-06 21:14:45.735994,2
2026-03-06 21:14:46.739085,2
2026-03-06 21:14:47.743003,2
2026-03-06 21:14:48.745019,2
2026-03-06 21:14:49.748191,2
2026-03-06 21:14:50.751342,2
2026-03-06 21:14:51.753863,2
2026-03-06 21:14:52.758812,2
2026-03-06 21:14:53.760096,2
2026-03-06 21:14:54.763206,2
2026-03-06 21:14:55.766312,2
2026-03-06 21:14:56.769498,2
2026-03-06 21:14:57.772387,2
2026-03-06 21:14:58.77539,2
2026-03-06 21:14:59.778439,2
2026-03-06 21:15:00.781295,2
2026-03-06 21:15:01.784273,2
2026-03-06 21:15:02.787523,2
2026-03-06 21:15:03.79034,2
2026-03-06 21:15:04.793504,2
2026-03-06 21:15:05.796225,2
2026-03-06 21:15:06.799401,2
2026-03-06 21:15:07.802967,2
2026-03-06 21:15:08.805587,2
2026-03-06 21:15:09.808313,2
2026-03-06 21:15:10.811169,2
2026-03-06 21:15:11.814481,2
2026-03-06 21:15:12.817717,2
2026-03-06 21:15:13.820367,2
2026-03-06 21:15:14.823605,2
2026-03-06 21:15:15.82666,2
2026-03-06 21:15:16.829591,2
2026-03-06 21:15:17.832399,2
2026-03-06 21:15:18.83584,2
2026-03-06 21:15:19.838754,2
2026-03-06 21:15:20.841465,2
2026-03-06 21:15:21.844782,2
2026-03-06 21:15:22.847388,2
2026-03-06 21:15:23.850842,2
2026-03-06 21:15:24.853893,2
2026-03-06 21:15:25.856707,2
2026-03-06 21:15:26.859855,2
2026-03-06 21:15:27.862829,2
2026-03-06 21:15:28.865605,2
2026-03-06 21:15:29.868848,2
2026-03-06 21:15:30.87189,2
2026-03-06 21:15:31.874843,2
2026-03-06 21:15:32.877689,2
2026-03-06 21:15:33.881016,2
2026-03-06 21:15:34.88402,2
2026-03-06 21:15:35.886964,2
2026-03-06 21:15:36.890026,2
2026-03-06 21:15:37.893025,2
2026-03-06 21:15:38.89606,2
2026-03-06 21:15:39.898838,2
2026-03-06 21:15:40.902111,2
2026-03-06 21:15:41.905151,2
2026-03-06 21:15:42.908626,2
2026-03-06 21:15:43.911339,2
2026-03-06 21:15:44.91422,2
2026-03-06 21:15:45.917078,2
2026-03-06 21:15:46.920152,2
2026-03-06 21:15:47.923393,2
2026-03-06 21:15:48.9264,2
2026-03-06 21:15:49.929211,2
2026-03-06 21:15:50.932239,2
2026-03-06 21:15:51.935338,2
2026-03-06 21:15:52.93829,2
2026-03-06 21:15:53.941519,2
2026-03-06 21:15:54.944019,2
2026-03-06 21:15:55.947426,2
2026-03-06 21:15:56.950148,2
2026-03-06 21:15:57.953461,2
2026-03-06 21:15:58.956444,2
2026-03-06 21:15:59.959351,2
2026-03-06 21:16:00.962354,2
2026-03-06 21:16:01.965471,2
2026-03-06 21:16:02.96817,2
2026-03-06 21:16:03.971611,2
2026-03-06 21:16:04.974626,2
2026-03-06 21:16:05.977535,2
2026-03-06 21:16:06.980692,2
2026-03-06 21:16:07.983297,2
2026-03-06 21:16:08.986415,2
2026-03-06 21:16:09.989889,2
2026-03-06 21:16:10.992316,2
2026-03-06 21:16:11.995459,2
2026-03-06 21:16:12.998794,2
2026-03-06 21:16:14.001406,2
2026-03-06 21:16:15.004356,2
2026-03-06 21:16:16.007586,2
2026-03-06 21:16:17.010794,2
2026-03-06 21:16:18.013775,2
2026-03-06 21:16:19.016554,2
2026-03-06 21:16:20.019782,2
2026-03-06 21:16:21.02261,2
2026-03-06 21:16:22.025422,2
2026-03-06 21:16:23.029591,2
2026-03-06 21:16:24.03179,2
2026-03-06 21:16:25.034585,2
2026-03-06 21:16:26.037461,2
2026-03-06 21:16:27.040665,2
2026-03-06 21:16:28.043757,2
2026-03-06 21:16:29.046945,2
2026-03-06 21:16:30.049514,2
2026-03-06 21:16:31.052756,2
2026-03-06 21:16:32.055698,2
2026-03-06 21:16:33.058694,2
2026-03-06 21:16:34.061769,2
2026-03-06 21:16:35.065012,2
2026-03-06 21:16:36.068206,2
2026-03-06 21:16:37.070802,2
2026-03-06 21:16:38.07366,2
2026-03-06 21:16:39.077081,2
2026-03-06 21:16:40.079867,2
2026-03-06 21:16:41.082968,2
2026-03-06 21:16:42.085876,2
2026-03-06 21:16:43.088715,2
2026-03-06 21:16:44.091945,2
2026-03-06 21:16:45.094828,2
2026-03-06 21:16:46.098328,2
2026-03-06 21:16:47.101129,2
2026-03-06 21:16:48.104105,2
2026-03-06 21:16:49.107101,2
2026-03-06 21:16:50.110202,2
2026-03-06 21:16:51.113082,2
2026-03-06 21:16:52.116156,2
2026-03-06 21:16:53.119204,2
2026-03-06 21:16:54.121847,2
2026-03-06 21:16:55.125323,2
2026-03-06 21:16:56.128273,2
2026-03-06 21:16:57.131274,2
2026-03-06 21:16:58.134322,2
2026-03-06 21:16:59.137093,2
2026-03-06 21:17:00.140333,2
2026-03-06 21:17:01.14311,2
2026-03-06 21:17:02.14639,2
2026-03-06 21:17:03.149092,2
2026-03-06 21:17:04.152393,2
2026-03-06 21:17:05.154957,2
2026-03-06 21:17:06.158184,2
2026-03-06 21:17:07.161623,2
2026-03-06 21:17:08.16456,2
2026-03-06 21:17:09.167409,2
2026-03-06 21:17:10.170617,2
2026-03-06 21:17:11.173344,2
2026-03-06 21:17:12.17662,2
2026-03-06 21:17:13.179598,2
2026-03-06 21:17:14.182523,2
2026-03-06 21:17:15.185349,2
2026-03-06 21:17:16.188431,2
2026-03-06 21:17:17.191381,2
2026-03-06 21:17:18.194382,2
2026-03-06 21:17:19.19768,2
2026-03-06 21:17:20.200674,2
2026-03-06 21:17:21.203533,2
2026-03-06 21:17:22.206485,2
2026-03-06 21:17:23.209496,2
2026-03-06 21:17:24.212349,2
2026-03-06 21:17:25.215482,2
2026-03-06 21:17:26.218586,2
2026-03-06 21:17:27.221479,2
2026-03-06 21:17:28.224599,2
2026-03-06 21:17:29.227725,2
2026-03-06 21:17:30.230557,2
2026-03-06 21:17:31.233469,2
2026-03-06 21:17:32.236296,2
2026-03-06 21:17:33.239692,2
2026-03-06 21:17:34.243193,2
2026-03-06 21:17:35.245539,2
2026-03-06 21:17:36.248382,2
2026-03-06 21:17:37.251584,2
2026-03-06 21:17:38.25489,2
2026-03-06 21:17:39.257972,2
2026-03-06 21:17:40.260817,2
2026-03-06 21:17:41.263462,2
2026-03-06 21:17:42.266628,2
2026-03-06 21:17:43.269859,2
2026-03-06 21:17:44.272659,2
2026-03-06 21:17:45.275626,2
2026-03-06 21:17:46.278576,2
2026-03-06 21:17:47.281822,2
2026-03-06 21:17:48.285023,2
2026-03-06 21:17:49.288092,2
2026-03-06 21:17:50.290952,2
2026-03-06 21:17:51.293693,2
2026-03-06 21:17:52.297043,2
2026-03-06 21:17:53.299954,2
2026-03-06 21:17:54.302688,2
2026-03-06 21:17:55.305742,2
2026-03-06 21:17:56.308839,2
2026-03-06 21:17:57.311827,2
2026-03-06 21:17:58.31493,2
2026-03-06 21:17:59.318004,2
2026-03-06 21:18:00.320938,2
2026-03-06 21:18:01.323846,2
2026-03-06 21:18:02.326858,2
2026-03-06 21:18:03.329911,2
2026-03-06 21:18:04.332913,2
2026-03-06 21:18:05.33583,2
2026-03-06 21:18:06.338881,2
2026-03-06 21:18:07.341958,2
2026-03-06 21:18:08.345219,2
2026-03-06 21:18:09.348106,2
2026-03-06 21:18:10.350789,2
2026-03-06 21:18:11.35433,2
2026-03-06 21:18:12.357696,2
2026-03-06 21:18:13.360447,2
2026-03-06 21:18:14.363539,2
2026-03-06 21:18:15.366361,2
2026-03-06 21:18:16.369283,2
2026-03-06 21:18:17.372366,2
2026-03-06 21:18:18.375318,2
2026-03-06 21:18:19.378032,2
2026-03-06 21:18:20.381066,2
2026-03-06 21:18:21.384451,2
2026-03-06 21:18:22.387482,2
2026-03-06 21:18:23.389981,2
2026-03-06 21:18:24.393549,2
