time,PT_Cal.Ox_Downstream.timestamp_ns
2026-03-06 21:14:19.092767,1772831659092082184
2026-03-06 21:14:19.09283,1772831659092082184
2026-03-06 21:14:19.093285,1772831659093277836
2026-03-06 21:14:19.203183,1772831659202114274
2026-03-06 21:14:19.203713,1772831659203457524
2026-03-06 21:14:19.312108,1772831659311069201
2026-03-06 21:14:19.312166,1772831659311069201
2026-03-06 21:14:19.312236,1772831659312182208
2026-03-06 21:14:19.421097,1772831659420101380
2026-03-06 21:14:19.42137,1772831659421277708
2026-03-06 21:14:19.421574,1772831659420101380
2026-03-06 21:14:19.529617,1772831659528952926
2026-03-06 21:14:19.529701,1772831659528952926
2026-03-06 21:14:19.529775,1772831659528952926
2026-03-06 21:14:19.529856,1772831659528952926
2026-03-06 21:14:19.530036,1772831659530026036
2026-03-06 21:14:19.639647,1772831659638296889
2026-03-06 21:14:19.640191,1772831659638296889
2026-03-06 21:14:19.640516,1772831659638296889
2026-03-06 21:14:19.64302,1772831659642980480
2026-03-06 21:14:19.748107,1772831659747021027
2026-03-06 21:14:19.748386,1772831659747021027
2026-03-06 21:14:19.748697,1772831659747021027
2026-03-06 21:14:19.748811,1772831659748777685
2026-03-06 21:14:19.749055,1772831659747021027
2026-03-06 21:14:19.857463,1772831659856300848
2026-03-06 21:14:19.857708,1772831659856300848
2026-03-06 21:14:19.857972,1772831659856300848
2026-03-06 21:14:19.85825,1772831659858222771
2026-03-06 21:14:19.858278,1772831659856300848
2026-03-06 21:14:19.966176,1772831659964943932
2026-03-06 21:14:19.966541,1772831659964943932
2026-03-06 21:14:19.966921,1772831659964943932
2026-03-06 21:14:19.967269,1772831659964943932
2026-03-06 21:14:19.967818,1772831659964943932
2026-03-06 21:14:19.968255,1772831659968170017
2026-03-06 21:14:20.074867,1772831660074229210
2026-03-06 21:14:20.074905,1772831660074229210
2026-03-06 21:14:20.074981,1772831660074229210
2026-03-06 21:14:20.075061,1772831660074229210
2026-03-06 21:14:20.075141,1772831660074229210
2026-03-06 21:14:20.075226,1772831660074229210
2026-03-06 21:14:20.075301,1772831660074229210
2026-03-06 21:14:20.075386,1772831660074229210
2026-03-06 21:14:20.075858,1772831660075842425
2026-03-06 21:14:20.183627,1772831660183138135
2026-03-06 21:14:20.18369,1772831660183138135
2026-03-06 21:14:20.183769,1772831660183138135
2026-03-06 21:14:20.183845,1772831660183138135
2026-03-06 21:14:20.183932,1772831660183138135
2026-03-06 21:14:20.183959,1772831660183948100
2026-03-06 21:14:20.292692,1772831660291965547
2026-03-06 21:14:20.292771,1772831660291965547
2026-03-06 21:14:20.292853,1772831660291965547
2026-03-06 21:14:20.29294,1772831660291965547
2026-03-06 21:14:20.293034,1772831660291965547
2026-03-06 21:14:20.293392,1772831660293381303
2026-03-06 21:14:20.401353,1772831660400907140
2026-03-06 21:14:20.40148,1772831660400907140
2026-03-06 21:14:20.402296,1772831660402280044
2026-03-06 21:14:20.510702,1772831660510416568
2026-03-06 21:14:20.510779,1772831660510416568
2026-03-06 21:14:20.510904,1772831660510416568
2026-03-06 21:14:20.511,1772831660510416568
2026-03-06 21:14:20.511092,1772831660510416568
2026-03-06 21:14:20.511235,1772831660511220065
2026-03-06 21:14:20.619511,1772831660619086015
2026-03-06 21:14:20.619546,1772831660619086015
2026-03-06 21:14:20.619796,1772831660619785065
2026-03-06 21:14:20.619857,1772831660619086015
2026-03-06 21:14:20.61992,1772831660619086015
2026-03-06 21:14:20.619969,1772831660619086015
2026-03-06 21:14:20.620007,1772831660619086015
2026-03-06 21:14:20.728596,1772831660728201620
2026-03-06 21:14:20.728692,1772831660728201620
2026-03-06 21:14:20.728778,1772831660728201620
2026-03-06 21:14:20.728879,1772831660728201620
2026-03-06 21:14:20.729962,1772831660729947921
2026-03-06 21:14:20.837813,1772831660836906695
2026-03-06 21:14:20.837855,1772831660836906695
2026-03-06 21:14:20.837901,1772831660836906695
2026-03-06 21:14:20.837941,1772831660836906695
2026-03-06 21:14:20.83802,1772831660836906695
2026-03-06 21:14:20.838099,1772831660836906695
2026-03-06 21:14:20.838177,1772831660838165447
2026-03-06 21:14:20.838195,1772831660836906695
2026-03-06 21:14:20.838287,1772831660836906695
2026-03-06 21:14:20.838376,1772831660836906695
2026-03-06 21:14:20.946917,1772831660946168391
2026-03-06 21:14:20.947004,1772831660946168391
2026-03-06 21:14:20.947095,1772831660946168391
2026-03-06 21:14:20.947218,1772831660946168391
2026-03-06 21:14:20.947327,1772831660946168391
2026-03-06 21:14:20.947484,1772831660946168391
2026-03-06 21:14:20.9477,1772831660947580448
2026-03-06 21:14:21.055778,1772831661055116495
2026-03-06 21:14:21.055841,1772831661055116495
2026-03-06 21:14:21.055946,1772831661055116495
2026-03-06 21:14:21.056051,1772831661055116495
2026-03-06 21:14:21.056293,1772831661055116495
2026-03-06 21:14:21.056356,1772831661056336420
2026-03-06 21:14:21.165379,1772831661164202226
2026-03-06 21:14:21.165651,1772831661164202226
2026-03-06 21:14:21.165935,1772831661164202226
2026-03-06 21:14:21.166262,1772831661164202226
2026-03-06 21:14:21.166394,1772831661164202226
2026-03-06 21:14:21.167386,1772831661167272897
2026-03-06 21:14:21.275233,1772831661273479824
2026-03-06 21:14:21.275473,1772831661273479824
2026-03-06 21:14:21.275749,1772831661273479824
2026-03-06 21:14:21.276063,1772831661273479824
2026-03-06 21:14:21.276285,1772831661273479824
2026-03-06 21:14:21.277316,1772831661277267976
2026-03-06 21:14:21.383201,1772831661382267950
2026-03-06 21:14:21.383428,1772831661382267950
2026-03-06 21:14:21.383637,1772831661382267950
2026-03-06 21:14:21.383895,1772831661382267950
2026-03-06 21:14:21.384489,1772831661384460618
2026-03-06 21:14:21.492793,1772831661491497660
2026-03-06 21:14:21.492955,1772831661491497660
