time,TC.CH3.channel_id
2026-03-06 21:14:18.316555,3
2026-03-06 21:14:18.316589,3
2026-03-06 21:14:18.316594,3
2026-03-06 21:14:18.316598,3
2026-03-06 21:14:18.316603,3
2026-03-06 21:14:18.316607,3
2026-03-06 21:14:18.316611,3
2026-03-06 21:14:18.316616,3
2026-03-06 21:14:18.31662,3
2026-03-06 21:14:18.316989,3
2026-03-06 21:14:18.316996,3
2026-03-06 21:14:18.317,3
2026-03-06 21:14:18.317004,3
2026-03-06 21:14:18.317009,3
2026-03-06 21:14:18.317013,3
2026-03-06 21:14:18.317018,3
2026-03-06 21:14:18.317022,3
2026-03-06 21:14:18.317026,3
2026-03-06 21:14:18.318371,3
2026-03-06 21:14:18.318382,3
2026-03-06 21:14:18.318387,3
2026-03-06 21:14:18.318391,3
2026-03-06 21:14:18.318396,3
2026-03-06 21:14:18.3184,3
2026-03-06 21:14:18.318404,3
2026-03-06 21:14:18.318408,3
2026-03-06 21:14:18.318413,3
2026-03-06 21:14:18.319594,3
2026-03-06 21:14:18.319601,3
2026-03-06 21:14:18.319606,3
2026-03-06 21:14:18.31961,3
2026-03-06 21:14:18.319615,3
2026-03-06 21:14:18.319619,3
2026-03-06 21:14:18.319623,3
2026-03-06 21:14:18.319628,3
2026-03-06 21:14:18.319632,3
2026-03-06 21:14:18.355678,3
2026-03-06 21:14:18.355706,3
2026-03-06 21:14:18.35571,3
2026-03-06 21:14:18.355714,3
2026-03-06 21:14:18.355718,3
2026-03-06 21:14:18.355722,3
2026-03-06 21:14:18.355726,3
2026-03-06 21:14:18.355731,3
2026-03-06 21:14:18.355735,3
2026-03-06 21:14:18.482342,3
2026-03-06 21:14:18.482355,3
2026-03-06 21:14:18.48236,3
2026-03-06 21:14:18.482364,3
2026-03-06 21:14:18.48237,3
2026-03-06 21:14:18.482374,3
2026-03-06 21:14:18.482378,3
2026-03-06 21:14:18.482383,3
2026-03-06 21:14:18.482387,3
2026-03-06 21:14:18.609337,3
2026-03-06 21:14:18.609353,3
2026-03-06 21:14:18.609359,3
2026-03-06 21:14:18.609366,3
2026-03-06 21:14:18.609372,3
2026-03-06 21:14:18.609378,3
2026-03-06 21:14:18.609385,3
2026-03-06 21:14:18.609391,3
2026-03-06 21:14:18.609397,3
2026-03-06 21:14:18.736461,3
2026-03-06 21:14:18.736473,3
2026-03-06 21:14:18.736477,3
2026-03-06 21:14:18.736482,3
2026-03-06 21:14:18.736486,3
2026-03-06 21:14:18.736493,3
2026-03-06 21:14:18.736508,3
2026-03-06 21:14:18.736513,3
2026-03-06 21:14:18.736517,3
2026-03-06 21:14:18.864483,3
2026-03-06 21:14:18.864502,3
2026-03-06 21:14:18.864509,3
2026-03-06 21:14:18.864515,3
2026-03-06 21:14:18.864521,3
2026-03-06 21:14:18.864528,3
2026-03-06 21:14:18.864534,3
2026-03-06 21:14:18.864541,3
2026-03-06 21:14:18.864547,3
2026-03-06 21:14:18.995372,3
2026-03-06 21:14:18.995391,3
2026-03-06 21:14:18.995396,3
2026-03-06 21:14:18.9954,3
2026-03-06 21:14:18.995405,3
2026-03-06 21:14:18.995409,3
2026-03-06 21:14:18.995413,3
2026-03-06 21:14:18.995418,3
2026-03-06 21:14:18.995422,3
2026-03-06 21:14:19.122721,3
2026-03-06 21:14:19.122738,3
2026-03-06 21:14:19.122743,3
2026-03-06 21:14:19.122749,3
2026-03-06 21:14:19.122755,3
2026-03-06 21:14:19.12276,3
2026-03-06 21:14:19.122766,3
2026-03-06 21:14:19.122771,3
2026-03-06 21:14:19.122777,3
2026-03-06 21:14:19.24976,3
2026-03-06 21:14:19.249781,3
2026-03-06 21:14:19.249786,3
2026-03-06 21:14:19.24979,3
2026-03-06 21:14:19.249795,3
2026-03-06 21:14:19.249799,3
2026-03-06 21:14:19.249804,3
2026-03-06 21:14:19.249809,3
2026-03-06 21:14:19.249813,3
2026-03-06 21:14:19.376566,3
2026-03-06 21:14:19.376606,3
2026-03-06 21:14:19.376612,3
2026-03-06 21:14:19.376617,3
2026-03-06 21:14:19.376624,3
2026-03-06 21:14:19.376628,3
2026-03-06 21:14:19.376639,3
2026-03-06 21:14:19.376644,3
2026-03-06 21:14:19.376652,3
2026-03-06 21:14:19.503519,3
2026-03-06 21:14:19.503576,3
2026-03-06 21:14:19.503601,3
2026-03-06 21:14:19.503627,3
2026-03-06 21:14:19.50365,3
2026-03-06 21:14:19.503687,3
2026-03-06 21:14:19.503728,3
2026-03-06 21:14:19.503767,3
2026-03-06 21:14:19.503803,3
2026-03-06 21:14:19.630789,3
2026-03-06 21:14:19.630927,3
2026-03-06 21:14:19.630985,3
2026-03-06 21:14:19.631043,3
2026-03-06 21:14:19.631099,3
2026-03-06 21:14:19.631174,3
2026-03-06 21:14:19.631213,3
2026-03-06 21:14:19.63127,3
2026-03-06 21:14:19.631311,3
2026-03-06 21:14:19.757555,3
2026-03-06 21:14:19.757618,3
2026-03-06 21:14:19.757631,3
2026-03-06 21:14:19.757643,3
2026-03-06 21:14:19.757661,3
2026-03-06 21:14:19.75767,3
2026-03-06 21:14:19.757689,3
2026-03-06 21:14:19.757702,3
2026-03-06 21:14:19.75772,3
2026-03-06 21:14:19.88539,3
2026-03-06 21:14:19.885445,3
2026-03-06 21:14:19.885479,3
2026-03-06 21:14:19.885508,3
2026-03-06 21:14:19.885536,3
2026-03-06 21:14:19.885568,3
2026-03-06 21:14:19.885595,3
