time,LC_Cal.CH17.force_n
2026-03-06 21:14:19.057672,0.0
2026-03-06 21:14:19.223772,0.0
2026-03-06 21:14:19.424182,0.0
2026-03-06 21:14:19.524328,177.27228
2026-03-06 21:14:19.625839,0.0
2026-03-06 21:14:19.727005,0.0
2026-03-06 21:14:19.830954,0.0
2026-03-06 21:14:20.027854,0.0
2026-03-06 21:14:20.127863,0.0
2026-03-06 21:14:20.228243,0.0
2026-03-06 21:14:20.328271,0.0
2026-03-06 21:14:20.428574,0.0
2026-03-06 21:14:20.628377,0.0
2026-03-06 21:14:20.828651,0.0
2026-03-06 21:14:20.931832,0.0
2026-03-06 21:14:21.131463,0.0
2026-03-06 21:14:21.232055,0.0
2026-03-06 21:14:21.332877,0.0
2026-03-06 21:14:21.531781,0.0
2026-03-06 21:14:21.631801,0.0
2026-03-06 21:14:21.732202,0.0
2026-03-06 21:14:21.934663,0.0
2026-03-06 21:14:22.036276,0.0
2026-03-06 21:14:22.136619,0.0
2026-03-06 21:14:22.33414,0.0
2026-03-06 21:14:22.435595,0.0
2026-03-06 21:14:22.53567,0.0
2026-03-06 21:14:22.734459,0.0
2026-03-06 21:14:22.834507,0.0
2026-03-06 21:14:22.937313,0.0
2026-03-06 21:14:23.037422,0.0
2026-03-06 21:14:23.23885,0.0
2026-03-06 21:14:23.436843,0.0
2026-03-06 21:14:23.536997,0.0
2026-03-06 21:14:23.637602,0.0
2026-03-06 21:14:23.83736,0.0
2026-03-06 21:14:23.939718,0.0
2026-03-06 21:14:24.04114,0.0
2026-03-06 21:14:24.240101,0.0
2026-03-06 21:14:24.341365,0.0
2026-03-06 21:14:24.540476,0.0
2026-03-06 21:14:24.641964,0.0
2026-03-06 21:14:24.840994,0.0
2026-03-06 21:14:24.943625,0.0
2026-03-06 21:14:25.043643,0.0
2026-03-06 21:14:25.143639,0.0
2026-03-06 21:14:25.343657,0.0
2026-03-06 21:14:25.444463,0.0
2026-03-06 21:14:25.644297,0.0
2026-03-06 21:14:25.744554,0.0
2026-03-06 21:14:25.946125,0.0
2026-03-06 21:14:26.145483,0.0
2026-03-06 21:14:26.246069,0.0
