time,TC_Cal.CH4.temperature_c
2026-03-06 21:14:19.123219,0.0
2026-03-06 21:14:19.123697,2.1474836
2026-03-06 21:14:19.250506,0.0
2026-03-06 21:14:19.250974,2.1474836
2026-03-06 21:14:19.376952,0.0
2026-03-06 21:14:19.377006,0.0
2026-03-06 21:14:19.377241,2.1474836
2026-03-06 21:14:19.504981,0.0
2026-03-06 21:14:19.505199,0.0
2026-03-06 21:14:19.506412,2.1474836
2026-03-06 21:14:19.631281,0.0
2026-03-06 21:14:19.631841,0.0
2026-03-06 21:14:19.632022,0.0
2026-03-06 21:14:19.632224,0.0
2026-03-06 21:14:19.632335,2.1474836
2026-03-06 21:14:19.758121,0.0
2026-03-06 21:14:19.758167,0.0
2026-03-06 21:14:19.758229,0.0
2026-03-06 21:14:19.758326,0.0
2026-03-06 21:14:19.758558,2.1474836
2026-03-06 21:14:19.88593,0.0
2026-03-06 21:14:19.885956,0.0
2026-03-06 21:14:19.885976,0.0
2026-03-06 21:14:19.885998,0.0
2026-03-06 21:14:19.886022,0.0
2026-03-06 21:14:19.886041,0.0
2026-03-06 21:14:19.886072,0.0
2026-03-06 21:14:19.886106,0.0
2026-03-06 21:14:19.886143,0.0
2026-03-06 21:14:19.886272,2.1474836
2026-03-06 21:14:20.017124,0.0
2026-03-06 21:14:20.017173,0.0
2026-03-06 21:14:20.017231,0.0
2026-03-06 21:14:20.017289,0.0
2026-03-06 21:14:20.017377,0.0
2026-03-06 21:14:20.017461,0.0
2026-03-06 21:14:20.017758,2.1474836
2026-03-06 21:14:20.144084,0.0
2026-03-06 21:14:20.144108,0.0
2026-03-06 21:14:20.144118,0.0
2026-03-06 21:14:20.144134,0.0
2026-03-06 21:14:20.144157,0.0
2026-03-06 21:14:20.14421,0.0
2026-03-06 21:14:20.144251,0.0
2026-03-06 21:14:20.14429,0.0
2026-03-06 21:14:20.144335,0.0
2026-03-06 21:14:20.144441,2.1474836
2026-03-06 21:14:20.271227,0.0
2026-03-06 21:14:20.271276,0.0
2026-03-06 21:14:20.271317,0.0
2026-03-06 21:14:20.271362,0.0
2026-03-06 21:14:20.271409,0.0
2026-03-06 21:14:20.271454,0.0
2026-03-06 21:14:20.271496,0.0
2026-03-06 21:14:20.271947,2.1474836
2026-03-06 21:14:20.397991,0.0
2026-03-06 21:14:20.398026,0.0
2026-03-06 21:14:20.398058,0.0
2026-03-06 21:14:20.398107,0.0
2026-03-06 21:14:20.398152,0.0
2026-03-06 21:14:20.398193,0.0
2026-03-06 21:14:20.398206,2.1474836
2026-03-06 21:14:20.398237,0.0
2026-03-06 21:14:20.39828,0.0
2026-03-06 21:14:20.398319,0.0
2026-03-06 21:14:20.525102,0.0
2026-03-06 21:14:20.52515,0.0
2026-03-06 21:14:20.525189,0.0
2026-03-06 21:14:20.525228,0.0
2026-03-06 21:14:20.525303,0.0
2026-03-06 21:14:20.525428,0.0
2026-03-06 21:14:20.525764,2.1474836
2026-03-06 21:14:20.652183,0.0
2026-03-06 21:14:20.652431,0.0
2026-03-06 21:14:20.652459,0.0
2026-03-06 21:14:20.652477,0.0
2026-03-06 21:14:20.652499,0.0
2026-03-06 21:14:20.65251,2.1474836
2026-03-06 21:14:20.652718,0.0
2026-03-06 21:14:20.652757,0.0
2026-03-06 21:14:20.65278,0.0
2026-03-06 21:14:20.780062,0.0
2026-03-06 21:14:20.78011,0.0
2026-03-06 21:14:20.780153,0.0
2026-03-06 21:14:20.780207,0.0
2026-03-06 21:14:20.780248,0.0
2026-03-06 21:14:20.780298,0.0
2026-03-06 21:14:20.780342,0.0
2026-03-06 21:14:20.780388,0.0
2026-03-06 21:14:20.780426,0.0
2026-03-06 21:14:20.780625,2.1474836
2026-03-06 21:14:20.90656,0.0
2026-03-06 21:14:20.906606,0.0
2026-03-06 21:14:20.906659,0.0
2026-03-06 21:14:20.906704,0.0
2026-03-06 21:14:20.906754,0.0
2026-03-06 21:14:20.906827,0.0
2026-03-06 21:14:20.907127,2.1474836
2026-03-06 21:14:21.037794,0.0
2026-03-06 21:14:21.037835,0.0
2026-03-06 21:14:21.037892,0.0
2026-03-06 21:14:21.037966,0.0
2026-03-06 21:14:21.038092,0.0
2026-03-06 21:14:21.038196,2.1474836
2026-03-06 21:14:21.166529,0.0
2026-03-06 21:14:21.166721,0.0
2026-03-06 21:14:21.169635,2.1474836
2026-03-06 21:14:21.292719,0.0
2026-03-06 21:14:21.292801,0.0
2026-03-06 21:14:21.292927,0.0
2026-03-06 21:14:21.29306,0.0
2026-03-06 21:14:21.293204,0.0
2026-03-06 21:14:21.293331,0.0
2026-03-06 21:14:21.293444,0.0
2026-03-06 21:14:21.293563,0.0
2026-03-06 21:14:21.294637,2.1474836
2026-03-06 21:14:21.419093,0.0
2026-03-06 21:14:21.419375,0.0
2026-03-06 21:14:21.419451,0.0
2026-03-06 21:14:21.419646,0.0
2026-03-06 21:14:21.419684,2.1474836
2026-03-06 21:14:21.419841,0.0
2026-03-06 21:14:21.419984,0.0
2026-03-06 21:14:21.546112,0.0
2026-03-06 21:14:21.546154,0.0
2026-03-06 21:14:21.546202,0.0
2026-03-06 21:14:21.546273,0.0
2026-03-06 21:14:21.546335,0.0
2026-03-06 21:14:21.546406,0.0
2026-03-06 21:14:21.54647,0.0
2026-03-06 21:14:21.546533,0.0
2026-03-06 21:14:21.546603,0.0
2026-03-06 21:14:21.546681,2.1474836
2026-03-06 21:14:21.67331,0.0
2026-03-06 21:14:21.673413,0.0
2026-03-06 21:14:21.673533,0.0
2026-03-06 21:14:21.673639,0.0
2026-03-06 21:14:21.673748,0.0
2026-03-06 21:14:21.67386,0.0
2026-03-06 21:14:21.673981,0.0
2026-03-06 21:14:21.674144,2.1474836
2026-03-06 21:14:21.801152,0.0
2026-03-06 21:14:21.801314,0.0
2026-03-06 21:14:21.801464,0.0
2026-03-06 21:14:21.801603,0.0
2026-03-06 21:14:21.801744,0.0
2026-03-06 21:14:21.801826,2.1474836
2026-03-06 21:14:21.801921,0.0
2026-03-06 21:14:21.928776,0.0
2026-03-06 21:14:21.928882,0.0
2026-03-06 21:14:21.92977,2.1474836
2026-03-06 21:14:22.059273,0.0
2026-03-06 21:14:22.059422,0.0
2026-03-06 21:14:22.059567,0.0
2026-03-06 21:14:22.059712,0.0
2026-03-06 21:14:22.059929,2.1474836
2026-03-06 21:14:22.18604,0.0
2026-03-06 21:14:22.186094,0.0
2026-03-06 21:14:22.186208,0.0
2026-03-06 21:14:22.186304,0.0
2026-03-06 21:14:22.186455,0.0
2026-03-06 21:14:22.186694,0.0
2026-03-06 21:14:22.186746,2.1474836
2026-03-06 21:14:22.312857,0.0
2026-03-06 21:14:22.312906,0.0
2026-03-06 21:14:22.312955,0.0
2026-03-06 21:14:22.313027,0.0
2026-03-06 21:14:22.313092,0.0
2026-03-06 21:14:22.313156,0.0
2026-03-06 21:14:22.313186,2.1474836
2026-03-06 21:14:22.313241,0.0
2026-03-06 21:14:22.44002,0.0
2026-03-06 21:14:22.440131,0.0
2026-03-06 21:14:22.44025,0.0
2026-03-06 21:14:22.440342,0.0
2026-03-06 21:14:22.440448,0.0
2026-03-06 21:14:22.440553,0.0
2026-03-06 21:14:22.440957,2.1474836
2026-03-06 21:14:22.567169,0.0
2026-03-06 21:14:22.567212,0.0
2026-03-06 21:14:22.567236,0.0
2026-03-06 21:14:22.567266,0.0
2026-03-06 21:14:22.567294,0.0
2026-03-06 21:14:22.567321,0.0
2026-03-06 21:14:22.567354,0.0
2026-03-06 21:14:22.567386,0.0
2026-03-06 21:14:22.567417,0.0
2026-03-06 21:14:22.567574,2.1474836
2026-03-06 21:14:22.693889,0.0
2026-03-06 21:14:22.693924,0.0
2026-03-06 21:14:22.693963,0.0
2026-03-06 21:14:22.694041,0.0
2026-03-06 21:14:22.694315,2.1474836
2026-03-06 21:14:22.821874,0.0
2026-03-06 21:14:22.82192,0.0
2026-03-06 21:14:22.821964,0.0
2026-03-06 21:14:22.822007,0.0
2026-03-06 21:14:22.822045,0.0
2026-03-06 21:14:22.82209,0.0
2026-03-06 21:14:22.822134,0.0
2026-03-06 21:14:22.822187,0.0
2026-03-06 21:14:22.822227,0.0
2026-03-06 21:14:22.822553,2.1474836
2026-03-06 21:14:22.949082,0.0
2026-03-06 21:14:22.949133,0.0
2026-03-06 21:14:22.949185,0.0
2026-03-06 21:14:22.949222,0.0
2026-03-06 21:14:22.949264,0.0
2026-03-06 21:14:22.94927,2.1474836
2026-03-06 21:14:22.949297,0.0
2026-03-06 21:14:22.949335,0.0
2026-03-06 21:14:22.949375,0.0
2026-03-06 21:14:22.949414,0.0
2026-03-06 21:14:23.079735,0.0
2026-03-06 21:14:23.079794,0.0
2026-03-06 21:14:23.079873,0.0
2026-03-06 21:14:23.080562,2.1474836
2026-03-06 21:14:23.20733,0.0
2026-03-06 21:14:23.207377,0.0
2026-03-06 21:14:23.207426,0.0
2026-03-06 21:14:23.207493,0.0
2026-03-06 21:14:23.207557,0.0
2026-03-06 21:14:23.207614,0.0
2026-03-06 21:14:23.207681,0.0
2026-03-06 21:14:23.207739,0.0
2026-03-06 21:14:23.207841,2.1474836
2026-03-06 21:14:23.334171,0.0
2026-03-06 21:14:23.334215,0.0
2026-03-06 21:14:23.334239,0.0
2026-03-06 21:14:23.334263,0.0
2026-03-06 21:14:23.334287,0.0
2026-03-06 21:14:23.334312,0.0
2026-03-06 21:14:23.334332,0.0
2026-03-06 21:14:23.334357,0.0
2026-03-06 21:14:23.334387,0.0
2026-03-06 21:14:23.33456,2.1474836
2026-03-06 21:14:23.460784,0.0
2026-03-06 21:14:23.460819,0.0
2026-03-06 21:14:23.46084,0.0
2026-03-06 21:14:23.460875,0.0
2026-03-06 21:14:23.460912,0.0
2026-03-06 21:14:23.46097,0.0
2026-03-06 21:14:23.461008,0.0
2026-03-06 21:14:23.461008,2.1474836
2026-03-06 21:14:23.46105,0.0
2026-03-06 21:14:23.588407,0.0
2026-03-06 21:14:23.588502,0.0
2026-03-06 21:14:23.588589,0.0
2026-03-06 21:14:23.588688,0.0
2026-03-06 21:14:23.588902,2.1474836
2026-03-06 21:14:23.71511,0.0
2026-03-06 21:14:23.715369,0.0
2026-03-06 21:14:23.715575,0.0
2026-03-06 21:14:23.715706,2.1474836
2026-03-06 21:14:23.715781,0.0
2026-03-06 21:14:23.716012,0.0
2026-03-06 21:14:23.716214,0.0
2026-03-06 21:14:23.716568,0.0
2026-03-06 21:14:23.843011,0.0
2026-03-06 21:14:23.843216,2.1474836
2026-03-06 21:14:23.843375,0.0
2026-03-06 21:14:23.843497,0.0
2026-03-06 21:14:23.843605,0.0
2026-03-06 21:14:23.843847,0.0
2026-03-06 21:14:23.843959,0.0
2026-03-06 21:14:23.844305,0.0
2026-03-06 21:14:23.969998,0.0
2026-03-06 21:14:23.970331,0.0
2026-03-06 21:14:23.970439,2.1474836
2026-03-06 21:14:23.970491,0.0
2026-03-06 21:14:23.970813,0.0
2026-03-06 21:14:23.971049,0.0
2026-03-06 21:14:24.101629,0.0
2026-03-06 21:14:24.101709,0.0
2026-03-06 21:14:24.101826,0.0
2026-03-06 21:14:24.10195,0.0
2026-03-06 21:14:24.102092,0.0
2026-03-06 21:14:24.102235,0.0
2026-03-06 21:14:24.102391,2.1474836
2026-03-06 21:14:24.22828,0.0
2026-03-06 21:14:24.228396,0.0
