time,TC_Cal.CH19.cal_status
2026-03-06 21:14:19.124268,0
2026-03-06 21:14:19.251239,0
2026-03-06 21:14:19.377439,0
2026-03-06 21:14:19.506794,0
2026-03-06 21:14:19.633687,0
2026-03-06 21:14:19.758991,0
2026-03-06 21:14:19.88656,0
2026-03-06 21:14:20.018517,0
2026-03-06 21:14:20.144963,0
2026-03-06 21:14:20.272478,0
2026-03-06 21:14:20.398865,0
2026-03-06 21:14:20.526363,0
2026-03-06 21:14:20.65317,0
2026-03-06 21:14:20.781752,0
2026-03-06 21:14:20.907913,0
2026-03-06 21:14:21.038912,0
2026-03-06 21:14:21.170561,0
2026-03-06 21:14:21.29571,0
2026-03-06 21:14:21.420352,0
2026-03-06 21:14:21.547454,0
2026-03-06 21:14:21.675125,0
2026-03-06 21:14:21.802621,0
2026-03-06 21:14:21.930539,0
2026-03-06 21:14:22.061028,0
2026-03-06 21:14:22.187868,0
2026-03-06 21:14:22.313916,0
2026-03-06 21:14:22.44206,0
2026-03-06 21:14:22.568068,0
2026-03-06 21:14:22.694427,0
2026-03-06 21:14:22.823553,0
2026-03-06 21:14:22.950274,0
2026-03-06 21:14:23.081116,0
2026-03-06 21:14:23.208412,0
2026-03-06 21:14:23.335077,0
2026-03-06 21:14:23.461444,0
2026-03-06 21:14:23.589471,0
2026-03-06 21:14:23.716941,0
2026-03-06 21:14:23.844292,0
2026-03-06 21:14:23.971634,0
2026-03-06 21:14:24.103654,0
2026-03-06 21:14:24.229384,0
2026-03-06 21:14:24.356918,0
2026-03-06 21:14:24.482504,0
2026-03-06 21:14:24.611041,0
2026-03-06 21:14:24.738121,0
2026-03-06 21:14:24.865391,0
2026-03-06 21:14:24.992592,0
2026-03-06 21:14:25.123355,0
2026-03-06 21:14:25.250213,0
2026-03-06 21:14:25.377599,0
2026-03-06 21:14:25.504952,0
2026-03-06 21:14:25.631952,0
2026-03-06 21:14:25.757884,0
2026-03-06 21:14:25.886255,0
2026-03-06 21:14:26.013461,0
2026-03-06 21:14:26.143792,0
2026-03-06 21:14:26.272359,0
2026-03-06 21:14:26.399945,0
2026-03-06 21:14:26.526142,0
2026-03-06 21:14:26.652418,0
2026-03-06 21:14:26.779545,0
2026-03-06 21:14:26.908616,0
2026-03-06 21:14:27.034089,0
2026-03-06 21:14:27.164595,0
2026-03-06 21:14:27.292229,0
2026-03-06 21:14:27.419359,0
2026-03-06 21:14:27.546599,0
2026-03-06 21:14:27.672843,0
2026-03-06 21:14:27.800327,0
2026-03-06 21:14:27.927889,0
2026-03-06 21:14:28.055303,0
2026-03-06 21:14:28.18557,0
2026-03-06 21:14:28.31312,0
2026-03-06 21:14:28.44026,0
2026-03-06 21:14:28.568311,0
2026-03-06 21:14:28.694876,0
2026-03-06 21:14:28.820935,0
2026-03-06 21:14:28.951967,0
2026-03-06 21:14:29.077751,0
2026-03-06 21:14:29.205633,0
2026-03-06 21:14:29.333285,0
2026-03-06 21:14:29.460332,0
2026-03-06 21:14:29.586764,0
2026-03-06 21:14:29.714323,0
2026-03-06 21:14:29.843909,0
2026-03-06 21:14:29.969442,0
2026-03-06 21:14:30.096755,0
2026-03-06 21:14:30.228879,0
2026-03-06 21:14:30.355468,0
2026-03-06 21:14:30.482325,0
2026-03-06 21:14:30.609673,0
2026-03-06 21:14:30.735092,0
2026-03-06 21:14:30.867142,0
2026-03-06 21:14:30.990984,0
2026-03-06 21:14:31.117504,0
2026-03-06 21:14:31.250541,0
2026-03-06 21:14:31.37534,0
2026-03-06 21:14:31.504813,0
