time,PT_Cal.GSE_Low.timestamp_ns
2026-03-06 21:14:19.092593,1772831659092082184
2026-03-06 21:14:19.092802,1772831659092082184
2026-03-06 21:14:19.092806,1772831659092795315
2026-03-06 21:14:19.092835,1772831659092082184
2026-03-06 21:14:19.202902,1772831659202114274
2026-03-06 21:14:19.20298,1772831659202961974
2026-03-06 21:14:19.312026,1772831659311069201
2026-03-06 21:14:19.312129,1772831659311069201
2026-03-06 21:14:19.312177,1772831659312041742
2026-03-06 21:14:19.312186,1772831659311069201
2026-03-06 21:14:19.420731,1772831659420101380
2026-03-06 21:14:19.420921,1772831659420896568
2026-03-06 21:14:19.42125,1772831659420101380
2026-03-06 21:14:19.529559,1772831659420101380
2026-03-06 21:14:19.529636,1772831659528952926
2026-03-06 21:14:19.529723,1772831659528952926
2026-03-06 21:14:19.529817,1772831659528952926
2026-03-06 21:14:19.529888,1772831659529874401
2026-03-06 21:14:19.639327,1772831659638296889
2026-03-06 21:14:19.639741,1772831659638296889
2026-03-06 21:14:19.640267,1772831659638296889
2026-03-06 21:14:19.640624,1772831659640520050
2026-03-06 21:14:19.640986,1772831659638296889
2026-03-06 21:14:19.747916,1772831659747021027
2026-03-06 21:14:19.748198,1772831659747021027
2026-03-06 21:14:19.748483,1772831659747021027
2026-03-06 21:14:19.74855,1772831659748405215
2026-03-06 21:14:19.748764,1772831659747021027
2026-03-06 21:14:19.857284,1772831659856300848
2026-03-06 21:14:19.857528,1772831659856300848
2026-03-06 21:14:19.857776,1772831659856300848
2026-03-06 21:14:19.857813,1772831659857781966
2026-03-06 21:14:19.858067,1772831659856300848
2026-03-06 21:14:19.965913,1772831659964943932
2026-03-06 21:14:19.966314,1772831659964943932
2026-03-06 21:14:19.966636,1772831659964943932
2026-03-06 21:14:19.96668,1772831659966585432
2026-03-06 21:14:19.966994,1772831659964943932
2026-03-06 21:14:19.967513,1772831659964943932
2026-03-06 21:14:20.074822,1772831660074229210
2026-03-06 21:14:20.074879,1772831660074229210
2026-03-06 21:14:20.074926,1772831660074229210
2026-03-06 21:14:20.075008,1772831660074229210
2026-03-06 21:14:20.075082,1772831660074229210
2026-03-06 21:14:20.075168,1772831660074229210
2026-03-06 21:14:20.075248,1772831660074229210
2026-03-06 21:14:20.075327,1772831660074229210
2026-03-06 21:14:20.075409,1772831660074229210
2026-03-06 21:14:20.075494,1772831660075472947
2026-03-06 21:14:20.183535,1772831660183138135
2026-03-06 21:14:20.183642,1772831660183138135
2026-03-06 21:14:20.183712,1772831660183138135
2026-03-06 21:14:20.18379,1772831660183138135
2026-03-06 21:14:20.183814,1772831660183801337
2026-03-06 21:14:20.183867,1772831660183138135
2026-03-06 21:14:20.18396,1772831660183138135
2026-03-06 21:14:20.292612,1772831660291965547
2026-03-06 21:14:20.292716,1772831660291965547
2026-03-06 21:14:20.292797,1772831660291965547
2026-03-06 21:14:20.292883,1772831660291965547
2026-03-06 21:14:20.292962,1772831660291965547
2026-03-06 21:14:20.293212,1772831660293195490
2026-03-06 21:14:20.401272,1772831660400907140
2026-03-06 21:14:20.401374,1772831660400907140
