time,LC_Cal.CH3.raw_adc
2026-03-06 21:14:19.056005,4285916888
2026-03-06 21:14:19.05661,4285916888
2026-03-06 21:14:19.123343,4285782081
2026-03-06 21:14:19.223357,4285823872
2026-03-06 21:14:19.223763,4285823872
2026-03-06 21:14:19.323228,4285815783
2026-03-06 21:14:19.423717,4285704568
2026-03-06 21:14:19.42414,4285704568
2026-03-06 21:14:19.523376,4285939131
2026-03-06 21:14:19.523406,4285786800
2026-03-06 21:14:19.523443,4285971485
2026-03-06 21:14:19.523504,4285978900
2026-03-06 21:14:19.623674,4285875771
2026-03-06 21:14:19.623838,4285774666
2026-03-06 21:14:19.624,4285672888
2026-03-06 21:14:19.624172,4285760513
2026-03-06 21:14:19.625039,4285875771
2026-03-06 21:14:19.725139,4285792866
2026-03-06 21:14:19.725237,4285773993
2026-03-06 21:14:19.725615,4285788822
2026-03-06 21:14:19.725761,4285647949
2026-03-06 21:14:19.725845,4285830612
2026-03-06 21:14:19.725889,4285792866
2026-03-06 21:14:19.826983,4285670192
2026-03-06 21:14:19.827454,4285730181
2026-03-06 21:14:19.830516,4285670192
2026-03-06 21:14:19.92748,4285804999
2026-03-06 21:14:19.927531,4285817805
2026-03-06 21:14:19.927604,4285821176
2026-03-06 21:14:19.92766,4285754445
2026-03-06 21:14:19.927734,4285680302
2026-03-06 21:14:19.92779,4285767926
2026-03-06 21:14:19.927851,4285966767
2026-03-06 21:14:19.927919,4285728158
2026-03-06 21:14:19.927981,4285789496
2026-03-06 21:14:20.027058,4285655363
2026-03-06 21:14:20.027119,4285676932
2026-03-06 21:14:20.02719,4285714678
2026-03-06 21:14:20.027261,4285819826
2026-03-06 21:14:20.027319,4285780733
2026-03-06 21:14:20.027372,4285768601
2026-03-06 21:14:20.027402,4285655363
2026-03-06 21:14:20.127172,4286002490
2026-03-06 21:14:20.127193,4285740292
2026-03-06 21:14:20.127205,4285929021
2026-03-06 21:14:20.127225,4285670865
2026-03-06 21:14:20.127255,4285628403
2026-03-06 21:14:20.127738,4286002490
2026-03-06 21:14:20.227459,4285714004
2026-03-06 21:14:20.227525,4285769275
2026-03-06 21:14:20.227569,4285796910
2026-03-06 21:14:20.227619,4285836003
2026-03-06 21:14:20.227714,4285656037
2026-03-06 21:14:20.22781,4285893297
2026-03-06 21:14:20.227866,4285714004
2026-03-06 21:14:20.327141,4285568413
2026-03-06 21:14:20.327178,4285775341
2026-03-06 21:14:20.327221,4285729506
2026-03-06 21:14:20.327259,4285785452
2026-03-06 21:14:20.327292,4285793539
2026-03-06 21:14:20.327334,4285742988
2026-03-06 21:14:20.328206,4285793539
2026-03-06 21:14:20.427436,4285825894
2026-03-06 21:14:20.427499,4285842744
2026-03-06 21:14:20.42756,4285788822
2026-03-06 21:14:20.427628,4285761187
2026-03-06 21:14:20.427694,4285903407
2026-03-06 21:14:20.427758,4285753098
2026-03-06 21:14:20.428558,4285903407
2026-03-06 21:14:20.52678,4285840048
2026-03-06 21:14:20.5268,4285733552
2026-03-06 21:14:20.526843,4285759164
2026-03-06 21:14:20.526889,4285914865
2026-03-06 21:14:20.626989,4285779385
2026-03-06 21:14:20.62702,4285923628
2026-03-06 21:14:20.627035,4285703219
2026-03-06 21:14:20.627062,4285827916
2026-03-06 21:14:20.627094,4285753098
2026-03-06 21:14:20.627128,4285871728
2026-03-06 21:14:20.627631,4285779385
2026-03-06 21:14:20.726965,4285671540
2026-03-06 21:14:20.727057,4285762535
2026-03-06 21:14:20.727094,4285853528
2026-03-06 21:14:20.727155,4285847463
2026-03-06 21:14:20.727379,4285897341
2026-03-06 21:14:20.727408,4285794214
2026-03-06 21:14:20.827106,4285786800
2026-03-06 21:14:20.827176,4285741639
2026-03-06 21:14:20.827244,4285800280
2026-03-06 21:14:20.827306,4285782081
2026-03-06 21:14:20.827409,4285768601
2026-03-06 21:14:20.827473,4285767926
2026-03-06 21:14:20.8275,4285786800
2026-03-06 21:14:20.827536,4285790170
2026-03-06 21:14:20.827598,4285708612
2026-03-06 21:14:20.827658,4285652667
2026-03-06 21:14:20.930385,4285803651
2026-03-06 21:14:20.930435,4285781408
2026-03-06 21:14:20.93048,4285877120
2026-03-06 21:14:20.930525,4285821176
2026-03-06 21:14:20.930563,4285727486
2026-03-06 21:14:20.930602,4285707265
2026-03-06 21:14:20.930639,4285676932
2026-03-06 21:14:20.930675,4285802977
2026-03-06 21:14:20.930951,4285803651
2026-03-06 21:14:21.030335,4285887230
2026-03-06 21:14:21.030356,4285809717
2026-03-06 21:14:21.030368,4285868358
2026-03-06 21:14:21.030386,4285640534
2026-03-06 21:14:21.030468,4285940480
2026-03-06 21:14:21.030504,4285822524
2026-03-06 21:14:21.030538,4285710634
2026-03-06 21:14:21.030568,4285633794
2026-03-06 21:14:21.030898,4285822524
2026-03-06 21:14:21.130368,4285776690
2026-03-06 21:14:21.130415,4285939131
2026-03-06 21:14:21.13048,4285924975
2026-03-06 21:14:21.130536,4285648624
2026-03-06 21:14:21.130603,4285769275
2026-03-06 21:14:21.130656,4285868358
2026-03-06 21:14:21.130714,4285783429
2026-03-06 21:14:21.130767,4285674236
2026-03-06 21:14:21.130935,4285924975
2026-03-06 21:14:21.230205,4285637165
2026-03-06 21:14:21.230273,4285776015
2026-03-06 21:14:21.230341,4285893971
2026-03-06 21:14:21.230428,4285735573
2026-03-06 21:14:21.230487,4285763208
2026-03-06 21:14:21.23057,4285819826
2026-03-06 21:14:21.230664,4285864988
2026-03-06 21:14:21.230747,4285715352
2026-03-06 21:14:21.230835,4285808368
2026-03-06 21:14:21.231338,4285735573
2026-03-06 21:14:21.330758,4285709960
2026-03-06 21:14:21.330813,4285898688
2026-03-06 21:14:21.330888,4285818479
2026-03-06 21:14:21.330958,4285760513
2026-03-06 21:14:21.331021,4285800280
2026-03-06 21:14:21.331089,4285755794
2026-03-06 21:14:21.331168,4285599418
2026-03-06 21:14:21.331246,4285614922
2026-03-06 21:14:21.331775,4285709960
2026-03-06 21:14:21.430216,4285753098
2026-03-06 21:14:21.430427,4285744335
2026-03-06 21:14:21.430481,4285737596
2026-03-06 21:14:21.43055,4285816457
2026-03-06 21:14:21.430603,4285878468
2026-03-06 21:14:21.430671,4285808368
2026-03-06 21:14:21.530384,4285709285
2026-03-06 21:14:21.53048,4285826567
2026-03-06 21:14:21.530578,4285909473
2026-03-06 21:14:21.53066,4285730181
2026-03-06 21:14:21.530761,4285859595
2026-03-06 21:14:21.530849,4285715352
2026-03-06 21:14:21.530889,4285709285
2026-03-06 21:14:21.53095,4285742988
2026-03-06 21:14:21.531062,4285777363
2026-03-06 21:14:21.630649,4285780060
2026-03-06 21:14:21.630757,4285849484
2026-03-06 21:14:21.630855,4285761860
2026-03-06 21:14:21.631263,4285780060
2026-03-06 21:14:21.730267,4285811064
2026-03-06 21:14:21.730361,4285747032
2026-03-06 21:14:21.730444,4285769275
2026-03-06 21:14:21.730537,4285842070
2026-03-06 21:14:21.730623,4285583915
2026-03-06 21:14:21.730729,4285846788
2026-03-06 21:14:21.730831,4285877795
2026-03-06 21:14:21.731555,4285747032
2026-03-06 21:14:21.830587,4285624357
2026-03-06 21:14:21.830656,4285661430
2026-03-06 21:14:21.830741,4285660081
2026-03-06 21:14:21.830815,4285781408
2026-03-06 21:14:21.830898,4285808368
2026-03-06 21:14:21.830971,4285875099
2026-03-06 21:14:21.831056,4285858922
2026-03-06 21:14:21.831127,4285810391
2026-03-06 21:14:21.831819,4285810391
2026-03-06 21:14:21.933151,4285668170
2026-03-06 21:14:21.933255,4285806347
2026-03-06 21:14:21.933337,4285804999
2026-03-06 21:14:21.933426,4285908800
2026-03-06 21:14:21.933503,4285629076
2026-03-06 21:14:21.93359,4285911496
2026-03-06 21:14:21.933707,4285972159
2026-03-06 21:14:21.933787,4285922280
2026-03-06 21:14:21.934317,4285668170
2026-03-06 21:14:22.033519,4285783429
2026-03-06 21:14:22.033622,4285674236
2026-03-06 21:14:22.033716,4285678280
2026-03-06 21:14:22.033813,4285854203
2026-03-06 21:14:22.033923,4285800954
2026-03-06 21:14:22.034021,4285767252
2026-03-06 21:14:22.034979,4285783429
2026-03-06 21:14:22.13351,4285687717
2026-03-06 21:14:22.133583,4285873076
2026-03-06 21:14:22.133682,4285778712
2026-03-06 21:14:22.13495,4285687717
2026-03-06 21:14:22.233233,4285790170
2026-03-06 21:14:22.233268,4285851507
2026-03-06 21:14:22.233321,4285845441
2026-03-06 21:14:22.233388,4285730855
2026-03-06 21:14:22.233454,4285774666
2026-03-06 21:14:22.233549,4285864314
2026-03-06 21:14:22.333351,4285695132
2026-03-06 21:14:22.333397,4285754445
2026-03-06 21:14:22.333454,4285645253
2026-03-06 21:14:22.333514,4285885882
2026-03-06 21:14:22.333582,4285895992
2026-03-06 21:14:22.333649,4285796237
2026-03-06 21:14:22.333925,4285695132
2026-03-06 21:14:22.433523,4285898688
2026-03-06 21:14:22.433563,4285749054
2026-03-06 21:14:22.433618,4285672214
2026-03-06 21:14:22.433665,4285722767
2026-03-06 21:14:22.433726,4286018667
2026-03-06 21:14:22.433779,4285827241
2026-03-06 21:14:22.433828,4285722767
2026-03-06 21:14:22.433887,4285878468
2026-03-06 21:14:22.433946,4285722092
2026-03-06 21:14:22.434361,4285898688
2026-03-06 21:14:22.533792,4285817130
2026-03-06 21:14:22.533858,4285700523
2026-03-06 21:14:22.533893,4285872401
2026-03-06 21:14:22.534005,4285781408
2026-03-06 21:14:22.534096,4285722092
2026-03-06 21:14:22.534222,4285674236
2026-03-06 21:14:22.534312,4285745010
