time,PT_Cal.Fuel_Upstream.raw_adc
2026-03-06 21:14:19.092534,324798811
2026-03-06 21:14:19.092693,324798811
2026-03-06 21:14:19.092798,324579009
2026-03-06 21:14:19.092833,325313255
2026-03-06 21:14:19.202847,325206051
2026-03-06 21:14:19.202894,325206051
2026-03-06 21:14:19.311929,325094801
2026-03-06 21:14:19.31193,325094801
2026-03-06 21:14:19.312121,325889055
2026-03-06 21:14:19.312172,325195937
2026-03-06 21:14:19.420609,325223581
2026-03-06 21:14:19.420796,325223581
2026-03-06 21:14:19.421165,325235718
2026-03-06 21:14:19.421651,325232346
2026-03-06 21:14:19.529415,325278868
2026-03-06 21:14:19.529628,325088733
2026-03-06 21:14:19.529712,325141324
2026-03-06 21:14:19.529786,325344944
2026-03-06 21:14:19.529851,325278868
2026-03-06 21:14:19.639255,325266058
2026-03-06 21:14:19.639694,325109635
2026-03-06 21:14:19.639796,325266058
2026-03-06 21:14:19.640241,325207399
2026-03-06 21:14:19.640576,325156832
2026-03-06 21:14:19.747879,325371239
2026-03-06 21:14:19.748147,324660593
2026-03-06 21:14:19.748148,325371239
2026-03-06 21:14:19.748455,325239763
2026-03-06 21:14:19.748727,325270103
2026-03-06 21:14:19.85724,325253248
2026-03-06 21:14:19.857496,325361126
2026-03-06 21:14:19.857711,325253248
2026-03-06 21:14:19.857743,325715775
2026-03-06 21:14:19.858007,325807471
2026-03-06 21:14:19.965856,325935578
2026-03-06 21:14:19.966276,325760949
2026-03-06 21:14:19.966547,325935578
2026-03-06 21:14:19.966583,324858818
2026-03-06 21:14:19.966967,325336854
2026-03-06 21:14:19.967485,325237740
2026-03-06 21:14:20.0748,325249876
2026-03-06 21:14:20.074875,325160877
2026-03-06 21:14:20.074915,325377308
2026-03-06 21:14:20.074997,325195264
2026-03-06 21:14:20.075072,325334831
2026-03-06 21:14:20.075152,325072552
2026-03-06 21:14:20.075237,325109635
2026-03-06 21:14:20.075311,325139302
2026-03-06 21:14:20.075398,325277520
2026-03-06 21:14:20.075409,325249876
2026-03-06 21:14:20.183504,325257968
2026-03-06 21:14:20.183637,325131885
2026-03-06 21:14:20.183702,325228301
2026-03-06 21:14:20.183779,324968045
2026-03-06 21:14:20.183781,325257968
2026-03-06 21:14:20.183856,325312581
2026-03-06 21:14:20.183944,324860167
2026-03-06 21:14:20.292561,325193241
2026-03-06 21:14:20.292707,324574290
2026-03-06 21:14:20.292786,325376633
2026-03-06 21:14:20.292869,325333482
2026-03-06 21:14:20.292951,324539229
2026-03-06 21:14:20.293169,325193241
2026-03-06 21:14:20.401242,324679471
2026-03-06 21:14:20.401368,325282240
2026-03-06 21:14:20.40148,324679471
2026-03-06 21:14:20.401495,325041537
2026-03-06 21:14:20.510605,325123120
2026-03-06 21:14:20.510668,325123120
2026-03-06 21:14:20.510715,325155483
2026-03-06 21:14:20.510786,325098173
2026-03-06 21:14:20.510912,325294377
2026-03-06 21:14:20.511008,324748917
2026-03-06 21:14:20.619406,325303815
2026-03-06 21:14:20.61952,324883090
2026-03-06 21:14:20.619548,325164922
2026-03-06 21:14:20.619589,325303815
2026-03-06 21:14:20.619873,324732735
2026-03-06 21:14:20.619927,325343596
2026-03-06 21:14:20.619978,325107613
2026-03-06 21:14:20.620011,325022659
2026-03-06 21:14:20.728507,325189869
2026-03-06 21:14:20.728608,325204703
2026-03-06 21:14:20.728704,325360451
2026-03-06 21:14:20.728796,325167619
2026-03-06 21:14:20.728888,325313255
2026-03-06 21:14:20.729184,325189869
2026-03-06 21:14:20.837662,325911979
2026-03-06 21:14:20.837822,324897250
2026-03-06 21:14:20.837865,325695548
2026-03-06 21:14:20.837906,325075249
2026-03-06 21:14:20.83795,325366520
2026-03-06 21:14:20.837976,325911979
2026-03-06 21:14:20.838031,325158854
2026-03-06 21:14:20.838111,325210771
2026-03-06 21:14:20.838212,325221559
2026-03-06 21:14:20.838298,325152112
2026-03-06 21:14:20.946753,325187172
2026-03-06 21:14:20.946934,325104915
2026-03-06 21:14:20.947015,325249876
2026-03-06 21:14:20.947107,325338876
2026-03-06 21:14:20.9472,325187172
2026-03-06 21:14:20.947229,325202006
2026-03-06 21:14:20.947349,325264035
2026-03-06 21:14:21.05566,325328762
2026-03-06 21:14:21.055693,325328762
2026-03-06 21:14:21.055793,325393490
