time,PT.GN2_Regulated.status
2026-03-06 21:14:18.315549,0
2026-03-06 21:14:18.31561,0
2026-03-06 21:14:18.315624,0
2026-03-06 21:14:18.315639,0
2026-03-06 21:14:18.315653,0
2026-03-06 21:14:18.315667,0
2026-03-06 21:14:18.315681,0
2026-03-06 21:14:18.315695,0
2026-03-06 21:14:18.315709,0
2026-03-06 21:14:18.31667,0
2026-03-06 21:14:18.31668,0
2026-03-06 21:14:18.316687,0
2026-03-06 21:14:18.316695,0
2026-03-06 21:14:18.316703,0
2026-03-06 21:14:18.316711,0
2026-03-06 21:14:18.316719,0
2026-03-06 21:14:18.316727,0
2026-03-06 21:14:18.316734,0
2026-03-06 21:14:18.317102,0
2026-03-06 21:14:18.317111,0
2026-03-06 21:14:18.317119,0
2026-03-06 21:14:18.317127,0
2026-03-06 21:14:18.317135,0
2026-03-06 21:14:18.317142,0
2026-03-06 21:14:18.31715,0
2026-03-06 21:14:18.317162,0
2026-03-06 21:14:18.317169,0
2026-03-06 21:14:18.31848,0
2026-03-06 21:14:18.318492,0
2026-03-06 21:14:18.318501,0
2026-03-06 21:14:18.318509,0
2026-03-06 21:14:18.318516,0
2026-03-06 21:14:18.318524,0
2026-03-06 21:14:18.318532,0
2026-03-06 21:14:18.318539,0
2026-03-06 21:14:18.318547,0
2026-03-06 21:14:18.319521,0
2026-03-06 21:14:18.31953,0
2026-03-06 21:14:18.319538,0
2026-03-06 21:14:18.319546,0
2026-03-06 21:14:18.319554,0
2026-03-06 21:14:18.319562,0
2026-03-06 21:14:18.31957,0
2026-03-06 21:14:18.319577,0
2026-03-06 21:14:18.319585,0
2026-03-06 21:14:18.329427,0
2026-03-06 21:14:18.329442,0
2026-03-06 21:14:18.32945,0
2026-03-06 21:14:18.329457,0
2026-03-06 21:14:18.329465,0
2026-03-06 21:14:18.329473,0
2026-03-06 21:14:18.32948,0
2026-03-06 21:14:18.329488,0
2026-03-06 21:14:18.329496,0
2026-03-06 21:14:18.438186,0
2026-03-06 21:14:18.438204,0
2026-03-06 21:14:18.438212,0
2026-03-06 21:14:18.43822,0
2026-03-06 21:14:18.438227,0
2026-03-06 21:14:18.438235,0
2026-03-06 21:14:18.438243,0
2026-03-06 21:14:18.438251,0
2026-03-06 21:14:18.438258,0
