time,PT_Cal.Ox_Upstream.pressure_psi
2026-03-06 21:14:19.0927,0.0
2026-03-06 21:14:19.092813,0.0
2026-03-06 21:14:19.093187,0.21982794
2026-03-06 21:14:19.202965,0.0
2026-03-06 21:14:19.20339,0.22074491
2026-03-06 21:14:19.31208,0.0
2026-03-06 21:14:19.31215,0.0
2026-03-06 21:14:19.312211,0.22054532
2026-03-06 21:14:19.420957,0.0
2026-03-06 21:14:19.421123,0.2199992
2026-03-06 21:14:19.421459,0.0
2026-03-06 21:14:19.529595,0.0
2026-03-06 21:14:19.529676,0.0
2026-03-06 21:14:19.529754,0.0
2026-03-06 21:14:19.529845,0.0
2026-03-06 21:14:19.529979,0.22050758
2026-03-06 21:14:19.639538,0.0
2026-03-06 21:14:19.639952,0.0
2026-03-06 21:14:19.64036,0.0
2026-03-06 21:14:19.641155,0.0
2026-03-06 21:14:19.642788,0.22045767
2026-03-06 21:14:19.748037,0.0
2026-03-06 21:14:19.748298,0.0
2026-03-06 21:14:19.74859,0.0
2026-03-06 21:14:19.748711,0.22064848
2026-03-06 21:14:19.748977,0.0
2026-03-06 21:14:19.857385,0.0
2026-03-06 21:14:19.857628,0.0
2026-03-06 21:14:19.857891,0.0
2026-03-06 21:14:19.858077,0.21913955
2026-03-06 21:14:19.858209,0.0
2026-03-06 21:14:19.966056,0.0
2026-03-06 21:14:19.966453,0.0
2026-03-06 21:14:19.966861,0.0
2026-03-06 21:14:19.967142,0.0
2026-03-06 21:14:19.967403,0.2204179
2026-03-06 21:14:19.967643,0.0
2026-03-06 21:14:20.074844,0.0
2026-03-06 21:14:20.074887,0.0
2026-03-06 21:14:20.074959,0.0
2026-03-06 21:14:20.075038,0.0
2026-03-06 21:14:20.075114,0.0
2026-03-06 21:14:20.075205,0.0
2026-03-06 21:14:20.075281,0.0
2026-03-06 21:14:20.075359,0.0
2026-03-06 21:14:20.075732,0.21990412
2026-03-06 21:14:20.183605,0.0
2026-03-06 21:14:20.183653,0.0
2026-03-06 21:14:20.183748,0.0
2026-03-06 21:14:20.183823,0.0
2026-03-06 21:14:20.183904,0.0
2026-03-06 21:14:20.183904,0.21821314
2026-03-06 21:14:20.292665,0.0
2026-03-06 21:14:20.292749,0.0
2026-03-06 21:14:20.29283,0.0
2026-03-06 21:14:20.292917,0.0
2026-03-06 21:14:20.293011,0.0
2026-03-06 21:14:20.293317,0.22043408
2026-03-06 21:14:20.40132,0.0
2026-03-06 21:14:20.401403,0.0
2026-03-06 21:14:20.401614,0.0
2026-03-06 21:14:20.402153,0.22046645
2026-03-06 21:14:20.510683,0.0
2026-03-06 21:14:20.510757,0.0
2026-03-06 21:14:20.510857,0.0
2026-03-06 21:14:20.510964,0.0
2026-03-06 21:14:20.511074,0.0
2026-03-06 21:14:20.511094,0.2198866
2026-03-06 21:14:20.619492,0.0
2026-03-06 21:14:20.61954,0.0
2026-03-06 21:14:20.619595,0.0
2026-03-06 21:14:20.619735,0.22004369
2026-03-06 21:14:20.61991,0.0
2026-03-06 21:14:20.619959,0.0
2026-03-06 21:14:20.619997,0.0
2026-03-06 21:14:20.728571,0.0
2026-03-06 21:14:20.728664,0.0
2026-03-06 21:14:20.728751,0.0
2026-03-06 21:14:20.728851,0.0
2026-03-06 21:14:20.729822,0.2200828
2026-03-06 21:14:20.837789,0.0
2026-03-06 21:14:20.837845,0.0
2026-03-06 21:14:20.837886,0.0
2026-03-06 21:14:20.837931,0.0
2026-03-06 21:14:20.837995,0.0
2026-03-06 21:14:20.838075,0.0
2026-03-06 21:14:20.838102,0.21982929
2026-03-06 21:14:20.838175,0.0
2026-03-06 21:14:20.838261,0.0
2026-03-06 21:14:20.83835,0.0
2026-03-06 21:14:20.946823,0.0
2026-03-06 21:14:20.946979,0.0
2026-03-06 21:14:20.947066,0.0
2026-03-06 21:14:20.94719,0.0
2026-03-06 21:14:20.947259,0.2200565
2026-03-06 21:14:20.947299,0.0
2026-03-06 21:14:20.947433,0.0
2026-03-06 21:14:21.055742,0.0
2026-03-06 21:14:21.055835,0.0
2026-03-06 21:14:21.055898,0.0
2026-03-06 21:14:21.05602,0.0
2026-03-06 21:14:21.056207,0.0
2026-03-06 21:14:21.05626,0.21987379
2026-03-06 21:14:21.056441,0.0
2026-03-06 21:14:21.165307,0.0
2026-03-06 21:14:21.165578,0.0
2026-03-06 21:14:21.165858,0.0
2026-03-06 21:14:21.166202,0.0
2026-03-06 21:14:21.166361,0.0
2026-03-06 21:14:21.167142,0.22000392
2026-03-06 21:14:21.275125,0.0
2026-03-06 21:14:21.275398,0.0
2026-03-06 21:14:21.275672,0.0
2026-03-06 21:14:21.275988,0.0
2026-03-06 21:14:21.275989,0.21994863
2026-03-06 21:14:21.276229,0.0
2026-03-06 21:14:21.383106,0.0
2026-03-06 21:14:21.383355,0.0
2026-03-06 21:14:21.383578,0.0
2026-03-06 21:14:21.383831,0.0
2026-03-06 21:14:21.384324,0.2200646
2026-03-06 21:14:21.492756,0.0
2026-03-06 21:14:21.492895,0.0
2026-03-06 21:14:21.492939,0.22011584
2026-03-06 21:14:21.4932,0.0
2026-03-06 21:14:21.49382,0.0
2026-03-06 21:14:21.494675,0.0
2026-03-06 21:14:21.49481,0.0
2026-03-06 21:14:21.495097,0.0
2026-03-06 21:14:21.495418,0.0
2026-03-06 21:14:21.601293,0.0
2026-03-06 21:14:21.601513,0.0
2026-03-06 21:14:21.601745,0.0
2026-03-06 21:14:21.601941,0.21985154
2026-03-06 21:14:21.601977,0.0
2026-03-06 21:14:21.602243,0.0
2026-03-06 21:14:21.602513,0.0
2026-03-06 21:14:21.710524,0.0
2026-03-06 21:14:21.710916,0.0
2026-03-06 21:14:21.711354,0.0
2026-03-06 21:14:21.711551,0.0
2026-03-06 21:14:21.711705,0.21976793
2026-03-06 21:14:21.711742,0.0
2026-03-06 21:14:21.711945,0.0
2026-03-06 21:14:21.712154,0.0
2026-03-06 21:14:21.818896,0.0
2026-03-06 21:14:21.81915,0.0
2026-03-06 21:14:21.81944,0.0
2026-03-06 21:14:21.819638,0.22004639
2026-03-06 21:14:21.819708,0.0
2026-03-06 21:14:21.927916,0.0
2026-03-06 21:14:21.928102,0.0
2026-03-06 21:14:21.928309,0.0
2026-03-06 21:14:21.928504,0.0
2026-03-06 21:14:21.928572,0.21992436
2026-03-06 21:14:21.928685,0.0
2026-03-06 21:14:22.036956,0.0
2026-03-06 21:14:22.037227,0.0
2026-03-06 21:14:22.037469,0.0
2026-03-06 21:14:22.037715,0.0
2026-03-06 21:14:22.037969,0.0
2026-03-06 21:14:22.038292,0.0
2026-03-06 21:14:22.038293,0.21986097
2026-03-06 21:14:22.145652,0.0
2026-03-06 21:14:22.145789,0.0
2026-03-06 21:14:22.145994,0.0
2026-03-06 21:14:22.146289,0.0
2026-03-06 21:14:22.146526,0.0
2026-03-06 21:14:22.146555,0.21987918
2026-03-06 21:14:22.254975,0.0
2026-03-06 21:14:22.255397,0.0
2026-03-06 21:14:22.255691,0.0
2026-03-06 21:14:22.256006,0.0
2026-03-06 21:14:22.256384,0.0
2026-03-06 21:14:22.256465,0.21993043
