time,PT_Cal.GSE_Mid.channel_id
2026-03-06 21:14:19.101863,13
2026-03-06 21:14:19.102145,13
2026-03-06 21:14:19.102435,13
2026-03-06 21:14:19.102454,13
2026-03-06 21:14:19.102502,13
2026-03-06 21:14:19.102723,13
2026-03-06 21:14:19.102741,13
2026-03-06 21:14:19.103012,13
2026-03-06 21:14:19.2016,13
2026-03-06 21:14:19.201897,13
2026-03-06 21:14:19.201921,13
2026-03-06 21:14:19.201998,13
2026-03-06 21:14:19.301853,13
2026-03-06 21:14:19.301893,13
2026-03-06 21:14:19.30194,13
2026-03-06 21:14:19.302014,13
2026-03-06 21:14:19.302028,13
2026-03-06 21:14:19.302067,13
2026-03-06 21:14:19.302078,13
2026-03-06 21:14:19.302136,13
2026-03-06 21:14:19.3022,13
2026-03-06 21:14:19.302262,13
2026-03-06 21:14:19.401563,13
2026-03-06 21:14:19.502594,13
2026-03-06 21:14:19.502888,13
2026-03-06 21:14:19.503031,13
2026-03-06 21:14:19.503263,13
2026-03-06 21:14:19.503288,13
2026-03-06 21:14:19.503491,13
2026-03-06 21:14:19.503881,13
2026-03-06 21:14:19.504191,13
2026-03-06 21:14:19.604706,13
2026-03-06 21:14:19.605083,13
2026-03-06 21:14:19.605203,13
2026-03-06 21:14:19.605286,13
2026-03-06 21:14:19.605436,13
2026-03-06 21:14:19.605611,13
2026-03-06 21:14:19.606642,13
2026-03-06 21:14:19.703531,13
2026-03-06 21:14:19.703598,13
2026-03-06 21:14:19.703645,13
2026-03-06 21:14:19.703713,13
2026-03-06 21:14:19.703743,13
2026-03-06 21:14:19.703762,13
2026-03-06 21:14:19.703836,13
2026-03-06 21:14:19.804463,13
2026-03-06 21:14:19.80465,13
2026-03-06 21:14:19.804761,13
2026-03-06 21:14:19.804881,13
2026-03-06 21:14:19.805047,13
2026-03-06 21:14:19.805128,13
2026-03-06 21:14:19.805367,13
2026-03-06 21:14:19.80547,13
2026-03-06 21:14:19.805608,13
2026-03-06 21:14:19.907489,13
2026-03-06 21:14:19.907544,13
2026-03-06 21:14:19.907556,13
2026-03-06 21:14:19.907599,13
2026-03-06 21:14:19.907655,13
2026-03-06 21:14:19.907705,13
2026-03-06 21:14:19.907771,13
2026-03-06 21:14:19.907813,13
2026-03-06 21:14:19.907871,13
2026-03-06 21:14:20.007955,13
2026-03-06 21:14:20.007992,13
2026-03-06 21:14:20.008015,13
2026-03-06 21:14:20.008032,13
2026-03-06 21:14:20.008063,13
2026-03-06 21:14:20.008092,13
2026-03-06 21:14:20.008129,13
2026-03-06 21:14:20.008166,13
2026-03-06 21:14:20.008201,13
2026-03-06 21:14:20.008274,13
2026-03-06 21:14:20.107776,13
2026-03-06 21:14:20.107805,13
2026-03-06 21:14:20.107836,13
2026-03-06 21:14:20.107866,13
2026-03-06 21:14:20.107891,13
2026-03-06 21:14:20.107927,13
2026-03-06 21:14:20.107959,13
2026-03-06 21:14:20.107985,13
2026-03-06 21:14:20.108018,13
2026-03-06 21:14:20.108363,13
2026-03-06 21:14:20.207358,13
2026-03-06 21:14:20.207389,13
2026-03-06 21:14:20.207416,13
2026-03-06 21:14:20.207491,13
2026-03-06 21:14:20.207683,13
2026-03-06 21:14:20.207744,13
2026-03-06 21:14:20.307766,13
2026-03-06 21:14:20.307802,13
2026-03-06 21:14:20.307808,13
2026-03-06 21:14:20.30783,13
2026-03-06 21:14:20.307863,13
2026-03-06 21:14:20.307931,13
2026-03-06 21:14:20.307969,13
2026-03-06 21:14:20.308431,13
