time,ACT.GSE_LOX_Fill_Vent.status
2026-03-06 21:14:18.30938,0
2026-03-06 21:14:18.309688,0
2026-03-06 21:14:18.310522,0
2026-03-06 21:14:18.310585,0
2026-03-06 21:14:18.310634,0
2026-03-06 21:14:18.311398,0
2026-03-06 21:14:18.312076,0
2026-03-06 21:14:18.312138,0
2026-03-06 21:14:18.312195,0
2026-03-06 21:14:18.312241,0
2026-03-06 21:14:18.312289,0
2026-03-06 21:14:18.312947,0
2026-03-06 21:14:18.313011,0
2026-03-06 21:14:18.313061,0
2026-03-06 21:14:18.313109,0
2026-03-06 21:14:18.313806,0
2026-03-06 21:14:18.313873,0
2026-03-06 21:14:18.31451,0
2026-03-06 21:14:18.314575,0
2026-03-06 21:14:18.316432,0
2026-03-06 21:14:18.316626,0
2026-03-06 21:14:18.316811,0
2026-03-06 21:14:18.316958,0
2026-03-06 21:14:18.317174,0
2026-03-06 21:14:18.317231,0
2026-03-06 21:14:18.318423,0
2026-03-06 21:14:18.319243,0
2026-03-06 21:14:18.319455,0
2026-03-06 21:14:18.319637,0
2026-03-06 21:14:18.319733,0
2026-03-06 21:14:18.360148,0
2026-03-06 21:14:18.415472,0
2026-03-06 21:14:18.462181,0
2026-03-06 21:14:18.517402,0
2026-03-06 21:14:18.564512,0
2026-03-06 21:14:18.619163,0
2026-03-06 21:14:18.665935,0
2026-03-06 21:14:18.721213,0
2026-03-06 21:14:18.768289,0
2026-03-06 21:14:18.82353,0
2026-03-06 21:14:18.870293,0
2026-03-06 21:14:18.925357,0
2026-03-06 21:14:18.972172,0
2026-03-06 21:14:19.027622,0
2026-03-06 21:14:19.074134,0
2026-03-06 21:14:19.129173,0
2026-03-06 21:14:19.176435,0
2026-03-06 21:14:19.231393,0
2026-03-06 21:14:19.278286,0
2026-03-06 21:14:19.333737,0
2026-03-06 21:14:19.380054,0
2026-03-06 21:14:19.435131,0
2026-03-06 21:14:19.482055,0
2026-03-06 21:14:19.537268,0
2026-03-06 21:14:19.584564,0
2026-03-06 21:14:19.639668,0
2026-03-06 21:14:19.686317,0
2026-03-06 21:14:19.741412,0
2026-03-06 21:14:19.788622,0
2026-03-06 21:14:19.843689,0
2026-03-06 21:14:19.890024,0
2026-03-06 21:14:19.945587,0
2026-03-06 21:14:19.992786,0
2026-03-06 21:14:20.047539,0
2026-03-06 21:14:20.094003,0
2026-03-06 21:14:20.14943,0
2026-03-06 21:14:20.196381,0
2026-03-06 21:14:20.251192,0
2026-03-06 21:14:20.298419,0
2026-03-06 21:14:20.353432,0
2026-03-06 21:14:20.400414,0
2026-03-06 21:14:20.455748,0
2026-03-06 21:14:20.502187,0
2026-03-06 21:14:20.55742,0
