time,ACT.LOX_Dump.timestamp_ns
2026-03-06 21:14:18.309572,1772831658309093118
2026-03-06 21:14:18.309596,1772831658309093118
2026-03-06 21:14:18.309709,1772831658309213693
2026-03-06 21:14:18.309711,1772831658309213693
2026-03-06 21:14:18.310543,1772831658310425613
2026-03-06 21:14:18.310546,1772831658310425613
2026-03-06 21:14:18.310605,1772831658310468422
2026-03-06 21:14:18.310607,1772831658310468422
2026-03-06 21:14:18.310654,1772831658310503387
2026-03-06 21:14:18.310656,1772831658310503387
2026-03-06 21:14:18.311418,1772831658311275512
2026-03-06 21:14:18.31142,1772831658311275512
2026-03-06 21:14:18.312096,1772831658311994022
2026-03-06 21:14:18.312098,1772831658311994022
2026-03-06 21:14:18.312163,1772831658312040349
2026-03-06 21:14:18.312165,1772831658312040349
2026-03-06 21:14:18.312215,1772831658312076808
2026-03-06 21:14:18.312217,1772831658312076808
2026-03-06 21:14:18.312261,1772831658312112398
2026-03-06 21:14:18.312263,1772831658312112398
2026-03-06 21:14:18.312309,1772831658312150962
2026-03-06 21:14:18.312311,1772831658312150962
2026-03-06 21:14:18.312967,1772831658312861207
2026-03-06 21:14:18.312969,1772831658312861207
2026-03-06 21:14:18.313031,1772831658312906991
2026-03-06 21:14:18.313033,1772831658312906991
2026-03-06 21:14:18.313081,1772831658312943190
2026-03-06 21:14:18.313083,1772831658312943190
2026-03-06 21:14:18.313129,1772831658312978799
2026-03-06 21:14:18.313131,1772831658312978799
2026-03-06 21:14:18.313826,1772831658313725280
2026-03-06 21:14:18.313828,1772831658313725280
2026-03-06 21:14:18.313893,1772831658313771252
2026-03-06 21:14:18.313895,1772831658313771252
2026-03-06 21:14:18.314531,1772831658314424195
2026-03-06 21:14:18.314533,1772831658314424195
2026-03-06 21:14:18.314595,1772831658314467633
2026-03-06 21:14:18.314597,1772831658314467633
2026-03-06 21:14:18.31645,1772831658315627394
2026-03-06 21:14:18.316452,1772831658315627394
2026-03-06 21:14:18.316638,1772831658315794290
2026-03-06 21:14:18.316639,1772831658315794290
2026-03-06 21:14:18.316823,1772831658316587580
2026-03-06 21:14:18.316824,1772831658316587580
2026-03-06 21:14:18.31697,1772831658316797859
2026-03-06 21:14:18.316971,1772831658316797859
2026-03-06 21:14:18.317185,1772831658317057713
2026-03-06 21:14:18.317186,1772831658317057713
2026-03-06 21:14:18.317242,1772831658317154564
2026-03-06 21:14:18.317243,1772831658317154564
2026-03-06 21:14:18.318445,1772831658318202747
2026-03-06 21:14:18.31845,1772831658318202747
2026-03-06 21:14:18.31926,1772831658319080869
2026-03-06 21:14:18.319262,1772831658319080869
2026-03-06 21:14:18.319467,1772831658319313366
2026-03-06 21:14:18.319468,1772831658319313366
2026-03-06 21:14:18.319649,1772831658319562073
2026-03-06 21:14:18.31965,1772831658319562073
2026-03-06 21:14:18.319744,1772831658319659175
2026-03-06 21:14:18.319745,1772831658319659175
2026-03-06 21:14:18.360195,1772831658360069515
2026-03-06 21:14:18.3602,1772831658360069515
2026-03-06 21:14:18.415514,1772831658415365374
2026-03-06 21:14:18.415519,1772831658415365374
2026-03-06 21:14:18.462221,1772831658461980468
2026-03-06 21:14:18.462226,1772831658461980468
2026-03-06 21:14:18.517441,1772831658517325984
2026-03-06 21:14:18.517446,1772831658517325984
2026-03-06 21:14:18.56456,1772831658564423237
2026-03-06 21:14:18.564564,1772831658564423237
2026-03-06 21:14:18.619195,1772831658619050067
2026-03-06 21:14:18.619199,1772831658619050067
2026-03-06 21:14:18.665965,1772831658665875646
2026-03-06 21:14:18.665969,1772831658665875646
2026-03-06 21:14:18.721255,1772831658721154479
2026-03-06 21:14:18.721258,1772831658721154479
2026-03-06 21:14:18.768319,1772831658768259610
2026-03-06 21:14:18.768323,1772831658768259610
2026-03-06 21:14:18.823583,1772831658823457706
2026-03-06 21:14:18.823587,1772831658823457706
2026-03-06 21:14:18.870354,1772831658870171614
2026-03-06 21:14:18.87036,1772831658870171614
2026-03-06 21:14:18.925401,1772831658925245068
2026-03-06 21:14:18.925407,1772831658925245068
2026-03-06 21:14:18.972208,1772831658972065871
2026-03-06 21:14:18.972212,1772831658972065871
2026-03-06 21:14:19.027662,1772831659027512719
2026-03-06 21:14:19.027667,1772831659027512719
2026-03-06 21:14:19.074201,1772831659074027497
2026-03-06 21:14:19.074209,1772831659074027497
2026-03-06 21:14:19.129286,1772831659129106570
2026-03-06 21:14:19.129308,1772831659129106570
2026-03-06 21:14:19.176532,1772831659176309735
2026-03-06 21:14:19.176544,1772831659176309735
2026-03-06 21:14:19.231509,1772831659231285839
2026-03-06 21:14:19.231521,1772831659231285839
2026-03-06 21:14:19.278362,1772831659278193611
2026-03-06 21:14:19.27837,1772831659278193611
2026-03-06 21:14:19.333804,1772831659333584152
2026-03-06 21:14:19.333811,1772831659333584152
2026-03-06 21:14:19.380105,1772831659380011218
2026-03-06 21:14:19.380115,1772831659380011218
2026-03-06 21:14:19.43529,1772831659435028119
2026-03-06 21:14:19.435306,1772831659435028119
2026-03-06 21:14:19.48223,1772831659481887535
2026-03-06 21:14:19.482248,1772831659481887535
2026-03-06 21:14:19.537367,1772831659537145749
2026-03-06 21:14:19.537379,1772831659537145749
2026-03-06 21:14:19.58478,1772831659584356701
2026-03-06 21:14:19.584802,1772831659584356701
2026-03-06 21:14:19.639942,1772831659639216931
2026-03-06 21:14:19.639968,1772831659639216931
2026-03-06 21:14:19.686601,1772831659686059657
2026-03-06 21:14:19.686631,1772831659686059657
2026-03-06 21:14:19.74156,1772831659741136844
2026-03-06 21:14:19.741581,1772831659741136844
2026-03-06 21:14:19.78884,1772831659788384972
2026-03-06 21:14:19.78886,1772831659788384972
2026-03-06 21:14:19.843832,1772831659843453832
2026-03-06 21:14:19.843846,1772831659843453832
2026-03-06 21:14:19.890137,1772831659889884779
2026-03-06 21:14:19.890151,1772831659889884779
2026-03-06 21:14:19.945834,1772831659945407983
2026-03-06 21:14:19.945865,1772831659945407983
2026-03-06 21:14:19.99314,1772831659992462415
2026-03-06 21:14:19.993185,1772831659992462415
2026-03-06 21:14:20.047688,1772831660047441402
2026-03-06 21:14:20.047705,1772831660047441402
2026-03-06 21:14:20.094111,1772831660093896427
2026-03-06 21:14:20.094124,1772831660093896427
2026-03-06 21:14:20.149585,1772831660149196972
2026-03-06 21:14:20.149602,1772831660149196972
2026-03-06 21:14:20.196532,1772831660196279609
2026-03-06 21:14:20.196548,1772831660196279609
2026-03-06 21:14:20.251322,1772831660251105672
2026-03-06 21:14:20.251336,1772831660251105672
2026-03-06 21:14:20.298548,1772831660298303396
2026-03-06 21:14:20.298572,1772831660298303396
2026-03-06 21:14:20.353563,1772831660353315887
2026-03-06 21:14:20.353579,1772831660353315887
2026-03-06 21:14:20.400504,1772831660400264025
2026-03-06 21:14:20.400515,1772831660400264025
2026-03-06 21:14:20.455869,1772831660455571388
2026-03-06 21:14:20.455887,1772831660455571388
2026-03-06 21:14:20.502308,1772831660502092083
2026-03-06 21:14:20.502321,1772831660502092083
2026-03-06 21:14:20.557563,1772831660557321493
2026-03-06 21:14:20.55758,1772831660557321493
2026-03-06 21:14:20.604614,1772831660604347000
2026-03-06 21:14:20.604633,1772831660604347000
2026-03-06 21:14:20.659235,1772831660659031887
2026-03-06 21:14:20.659251,1772831660659031887
2026-03-06 21:14:20.706357,1772831660706132804
2026-03-06 21:14:20.70637,1772831660706132804
2026-03-06 21:14:20.761798,1772831660761571756
2026-03-06 21:14:20.761811,1772831660761571756
2026-03-06 21:14:20.808853,1772831660808377820
2026-03-06 21:14:20.808866,1772831660808377820
2026-03-06 21:14:20.863409,1772831660863168110
2026-03-06 21:14:20.863424,1772831660863168110
2026-03-06 21:14:20.910297,1772831660909928349
2026-03-06 21:14:20.910311,1772831660909928349
2026-03-06 21:14:20.965785,1772831660965557174
2026-03-06 21:14:20.9658,1772831660965557174
2026-03-06 21:14:21.012508,1772831661012023760
2026-03-06 21:14:21.012523,1772831661012023760
2026-03-06 21:14:21.067388,1772831661067058878
2026-03-06 21:14:21.067408,1772831661067058878
2026-03-06 21:14:21.114702,1772831661114372282
2026-03-06 21:14:21.114723,1772831661114372282
2026-03-06 21:14:21.170013,1772831661169504322
2026-03-06 21:14:21.17005,1772831661169504322
2026-03-06 21:14:21.216342,1772831661216093006
2026-03-06 21:14:21.216361,1772831661216093006
2026-03-06 21:14:21.271768,1772831661271518844
2026-03-06 21:14:21.271783,1772831661271518844
2026-03-06 21:14:21.318477,1772831661318096393
2026-03-06 21:14:21.318504,1772831661318096393
2026-03-06 21:14:21.373641,1772831661373146923
2026-03-06 21:14:21.373662,1772831661373146923
2026-03-06 21:14:21.420465,1772831661420076182
2026-03-06 21:14:21.420488,1772831661420076182
2026-03-06 21:14:21.475726,1772831661475334545
2026-03-06 21:14:21.47575,1772831661475334545
2026-03-06 21:14:21.522743,1772831661522344859
2026-03-06 21:14:21.522772,1772831661522344859
2026-03-06 21:14:21.57749,1772831661577178645
2026-03-06 21:14:21.577512,1772831661577178645
2026-03-06 21:14:21.624544,1772831661624148703
2026-03-06 21:14:21.624569,1772831661624148703
2026-03-06 21:14:21.679707,1772831661679233585
2026-03-06 21:14:21.679735,1772831661679233585
2026-03-06 21:14:21.72627,1772831661725888758
2026-03-06 21:14:21.726297,1772831661725888758
2026-03-06 21:14:21.781993,1772831661781569229
2026-03-06 21:14:21.782019,1772831661781569229
2026-03-06 21:14:21.828335,1772831661827955305
2026-03-06 21:14:21.82836,1772831661827955305
2026-03-06 21:14:21.883383,1772831661883130420
2026-03-06 21:14:21.8834,1772831661883130420
2026-03-06 21:14:21.930515,1772831661930184169
2026-03-06 21:14:21.93054,1772831661930184169
2026-03-06 21:14:21.986039,1772831661985661793
2026-03-06 21:14:21.986066,1772831661985661793
2026-03-06 21:14:22.032795,1772831662032398067
2026-03-06 21:14:22.032821,1772831662032398067
2026-03-06 21:14:22.088129,1772831662087540836
2026-03-06 21:14:22.08819,1772831662087540836
2026-03-06 21:14:22.134644,1772831662134186440
2026-03-06 21:14:22.134675,1772831662134186440
2026-03-06 21:14:22.189863,1772831662189453751
2026-03-06 21:14:22.18989,1772831662189453751
2026-03-06 21:14:22.236591,1772831662236267736
2026-03-06 21:14:22.236614,1772831662236267736
2026-03-06 21:14:22.291682,1772831662291229530
2026-03-06 21:14:22.291711,1772831662291229530
2026-03-06 21:14:22.338338,1772831662338044955
2026-03-06 21:14:22.338357,1772831662338044955
2026-03-06 21:14:22.393785,1772831662393196453
2026-03-06 21:14:22.393815,1772831662393196453
2026-03-06 21:14:22.440554,1772831662440197739
2026-03-06 21:14:22.440579,1772831662440197739
2026-03-06 21:14:22.49578,1772831662495229110
2026-03-06 21:14:22.495811,1772831662495229110
2026-03-06 21:14:22.542629,1772831662542314892
2026-03-06 21:14:22.54265,1772831662542314892
2026-03-06 21:14:22.59794,1772831662597558560
2026-03-06 21:14:22.597965,1772831662597558560
2026-03-06 21:14:22.64472,1772831662644391042
2026-03-06 21:14:22.644735,1772831662644391042
2026-03-06 21:14:22.699724,1772831662699480000
2026-03-06 21:14:22.699739,1772831662699480000
2026-03-06 21:14:22.746431,1772831662746202352
2026-03-06 21:14:22.746446,1772831662746202352
2026-03-06 21:14:22.801592,1772831662801354919
2026-03-06 21:14:22.801606,1772831662801354919
2026-03-06 21:14:22.848376,1772831662848136234
2026-03-06 21:14:22.848386,1772831662848136234
2026-03-06 21:14:22.903784,1772831662903480220
2026-03-06 21:14:22.9038,1772831662903480220
2026-03-06 21:14:22.950501,1772831662950351574
2026-03-06 21:14:22.950516,1772831662950351574
2026-03-06 21:14:23.005372,1772831663005143206
2026-03-06 21:14:23.005381,1772831663005143206
2026-03-06 21:14:23.052394,1772831663052166678
2026-03-06 21:14:23.052409,1772831663052166678
2026-03-06 21:14:23.107824,1772831663107565539
2026-03-06 21:14:23.107845,1772831663107565539
2026-03-06 21:14:23.154459,1772831663154220816
2026-03-06 21:14:23.154475,1772831663154220816
2026-03-06 21:14:23.209499,1772831663209245345
2026-03-06 21:14:23.209517,1772831663209245345
2026-03-06 21:14:23.256347,1772831663256095112
2026-03-06 21:14:23.256362,1772831663256095112
2026-03-06 21:14:23.311743,1772831663311416119
2026-03-06 21:14:23.31177,1772831663311416119
2026-03-06 21:14:23.35828,1772831663358003547
2026-03-06 21:14:23.3583,1772831663358003547
2026-03-06 21:14:23.413468,1772831663413216531
2026-03-06 21:14:23.413486,1772831663413216531
2026-03-06 21:14:23.460429,1772831663460231918
2026-03-06 21:14:23.460442,1772831663460231918
2026-03-06 21:14:23.515496,1772831663515299532
2026-03-06 21:14:23.515506,1772831663515299532
2026-03-06 21:14:23.562652,1772831663562392288
2026-03-06 21:14:23.562666,1772831663562392288
2026-03-06 21:14:23.617969,1772831663617636664
2026-03-06 21:14:23.617989,1772831663617636664
2026-03-06 21:14:23.664717,1772831663664335131
2026-03-06 21:14:23.664743,1772831663664335131
2026-03-06 21:14:23.719644,1772831663719197645
2026-03-06 21:14:23.719669,1772831663719197645
2026-03-06 21:14:23.766594,1772831663766361461
2026-03-06 21:14:23.766608,1772831663766361461
2026-03-06 21:14:23.821727,1772831663821355460
2026-03-06 21:14:23.821743,1772831663821355460
2026-03-06 21:14:23.86833,1772831663868034365
2026-03-06 21:14:23.868343,1772831663868034365
2026-03-06 21:14:23.923943,1772831663923691531
2026-03-06 21:14:23.923956,1772831663923691531
2026-03-06 21:14:23.970669,1772831663970171830
2026-03-06 21:14:23.970696,1772831663970171830
2026-03-06 21:14:24.026588,1772831664025320823
2026-03-06 21:14:24.026612,1772831664025320823
2026-03-06 21:14:24.07229,1772831664071944950
2026-03-06 21:14:24.072315,1772831664071944950
2026-03-06 21:14:24.127986,1772831664127409988
2026-03-06 21:14:24.128003,1772831664127409988
2026-03-06 21:14:24.174297,1772831664174072155
2026-03-06 21:14:24.174311,1772831664174072155
2026-03-06 21:14:24.229585,1772831664229378889
2026-03-06 21:14:24.229599,1772831664229378889
2026-03-06 21:14:24.276269,1772831664276044661
2026-03-06 21:14:24.276283,1772831664276044661
