time,ACT.Fuel_Fill_Press.raw_adc_counts
2026-03-06 21:14:18.309651,0
2026-03-06 21:14:18.309737,1036389473
2026-03-06 21:14:18.310577,0
2026-03-06 21:14:18.310623,1036930277
2026-03-06 21:14:18.310674,0
2026-03-06 21:14:18.311452,1036713955
2026-03-06 21:14:18.312131,0
2026-03-06 21:14:18.312184,1036497633
2026-03-06 21:14:18.312234,0
2026-03-06 21:14:18.312282,1036389473
2026-03-06 21:14:18.312327,0
2026-03-06 21:14:18.313004,1036497633
2026-03-06 21:14:18.313051,0
2026-03-06 21:14:18.313102,1036497633
2026-03-06 21:14:18.313147,0
2026-03-06 21:14:18.313862,1036389473
2026-03-06 21:14:18.313913,0
2026-03-06 21:14:18.314568,1036497633
2026-03-06 21:14:18.314614,0
2026-03-06 21:14:18.316472,1038011885
2026-03-06 21:14:18.316657,0
2026-03-06 21:14:18.316832,1036822116
2026-03-06 21:14:18.316983,0
2026-03-06 21:14:18.317196,1036605794
2026-03-06 21:14:18.31725,0
2026-03-06 21:14:18.318461,1036497633
2026-03-06 21:14:18.31929,0
2026-03-06 21:14:18.319476,1036389473
2026-03-06 21:14:18.319661,0
2026-03-06 21:14:18.319754,1036497633
2026-03-06 21:14:18.360253,0
2026-03-06 21:14:18.415568,1037687403
2026-03-06 21:14:18.462281,0
2026-03-06 21:14:18.517488,1036389473
2026-03-06 21:14:18.564603,0
2026-03-06 21:14:18.61924,1036497633
2026-03-06 21:14:18.666019,0
2026-03-06 21:14:18.721299,1036497633
2026-03-06 21:14:18.768371,0
2026-03-06 21:14:18.823632,1036497633
2026-03-06 21:14:18.870444,0
2026-03-06 21:14:18.925478,1036713955
2026-03-06 21:14:18.97226,0
2026-03-06 21:14:19.027694,1036497633
2026-03-06 21:14:19.074254,0
2026-03-06 21:14:19.129365,1036497633
2026-03-06 21:14:19.176598,0
2026-03-06 21:14:19.231588,1036389473
2026-03-06 21:14:19.27841,0
2026-03-06 21:14:19.333856,1036497633
2026-03-06 21:14:19.38014,0
2026-03-06 21:14:19.435392,1036389473
2026-03-06 21:14:19.482335,0
2026-03-06 21:14:19.537428,1036389473
2026-03-06 21:14:19.584909,0
2026-03-06 21:14:19.640076,1036605794
2026-03-06 21:14:19.686759,0
2026-03-06 21:14:19.74169,1036497633
2026-03-06 21:14:19.788994,0
2026-03-06 21:14:19.843926,1036389473
2026-03-06 21:14:19.890211,0
2026-03-06 21:14:19.945997,1038011885
2026-03-06 21:14:19.993407,0
2026-03-06 21:14:20.047779,1036497633
2026-03-06 21:14:20.094192,0
2026-03-06 21:14:20.149662,1036497633
2026-03-06 21:14:20.196609,0
2026-03-06 21:14:20.251393,1036497633
2026-03-06 21:14:20.298634,0
2026-03-06 21:14:20.353657,1036389473
2026-03-06 21:14:20.400567,0
2026-03-06 21:14:20.455968,1036389473
2026-03-06 21:14:20.50239,0
2026-03-06 21:14:20.557641,1036389473
2026-03-06 21:14:20.604717,0
2026-03-06 21:14:20.659301,1036497633
2026-03-06 21:14:20.706445,0
2026-03-06 21:14:20.761873,1036713955
2026-03-06 21:14:20.808887,0
2026-03-06 21:14:20.863487,1036497633
2026-03-06 21:14:20.910373,0
2026-03-06 21:14:20.96586,1036713955
2026-03-06 21:14:21.012543,0
2026-03-06 21:14:21.0675,1036389473
2026-03-06 21:14:21.114785,0
2026-03-06 21:14:21.170198,1036497633
2026-03-06 21:14:21.21641,0
2026-03-06 21:14:21.27187,1036497633
2026-03-06 21:14:21.318587,0
2026-03-06 21:14:21.373776,1036497633
2026-03-06 21:14:21.420591,0
2026-03-06 21:14:21.475889,1036605794
2026-03-06 21:14:21.522865,0
2026-03-06 21:14:21.5776,1036389473
2026-03-06 21:14:21.624672,0
2026-03-06 21:14:21.679868,1036497633
2026-03-06 21:14:21.726391,0
2026-03-06 21:14:21.782153,1036497633
2026-03-06 21:14:21.828483,0
2026-03-06 21:14:21.883471,1036497633
2026-03-06 21:14:21.930639,0
2026-03-06 21:14:21.986199,1036605794
2026-03-06 21:14:22.032959,0
2026-03-06 21:14:22.088371,1036497633
2026-03-06 21:14:22.134813,0
2026-03-06 21:14:22.190028,1036389473
2026-03-06 21:14:22.236675,0
2026-03-06 21:14:22.291867,1036497633
2026-03-06 21:14:22.338442,0
2026-03-06 21:14:22.394,1036497633
2026-03-06 21:14:22.440678,0
2026-03-06 21:14:22.495985,1036281312
2026-03-06 21:14:22.542759,0
2026-03-06 21:14:22.598079,1036281312
2026-03-06 21:14:22.644798,0
2026-03-06 21:14:22.699801,1036497633
2026-03-06 21:14:22.746504,0
2026-03-06 21:14:22.801658,1036497633
2026-03-06 21:14:22.848438,0
2026-03-06 21:14:22.903894,1036497633
2026-03-06 21:14:22.950555,0
2026-03-06 21:14:23.00542,1036713955
2026-03-06 21:14:23.052484,0
2026-03-06 21:14:23.10794,1036497633
2026-03-06 21:14:23.154551,0
2026-03-06 21:14:23.209606,1036497633
2026-03-06 21:14:23.256427,0
2026-03-06 21:14:23.311894,1036389473
2026-03-06 21:14:23.35836,0
2026-03-06 21:14:23.413591,1036389473
2026-03-06 21:14:23.460497,0
2026-03-06 21:14:23.515566,1036713955
2026-03-06 21:14:23.562752,0
2026-03-06 21:14:23.61808,1036389473
2026-03-06 21:14:23.664848,0
2026-03-06 21:14:23.71977,1036605794
2026-03-06 21:14:23.766664,0
2026-03-06 21:14:23.821831,1036497633
2026-03-06 21:14:23.868395,0
2026-03-06 21:14:23.924021,1036713955
2026-03-06 21:14:23.970819,0
2026-03-06 21:14:24.026697,1036389473
2026-03-06 21:14:24.072411,0
2026-03-06 21:14:24.128024,1036497633
2026-03-06 21:14:24.174353,0
2026-03-06 21:14:24.229621,1036497633
2026-03-06 21:14:24.276346,0
2026-03-06 21:14:24.331553,1036497633
2026-03-06 21:14:24.378883,0
2026-03-06 21:14:24.433879,1036497633
2026-03-06 21:14:24.480825,0
2026-03-06 21:14:24.53574,1036497633
2026-03-06 21:14:24.582235,0
2026-03-06 21:14:24.638021,1036605794
2026-03-06 21:14:24.68474,0
2026-03-06 21:14:24.740011,1036713955
2026-03-06 21:14:24.786672,0
2026-03-06 21:14:24.841464,1036497633
2026-03-06 21:14:24.888617,0
2026-03-06 21:14:24.943824,1036713955
2026-03-06 21:14:24.99083,0
2026-03-06 21:14:25.046098,1036497633
2026-03-06 21:14:25.092764,0
2026-03-06 21:14:25.14759,1036497633
2026-03-06 21:14:25.194776,0
2026-03-06 21:14:25.249664,1036605794
2026-03-06 21:14:25.296733,0
2026-03-06 21:14:25.351668,1036497633
2026-03-06 21:14:25.399044,0
2026-03-06 21:14:25.453526,1036497633
2026-03-06 21:14:25.500725,0
2026-03-06 21:14:25.555977,1036605794
2026-03-06 21:14:25.602891,0
2026-03-06 21:14:25.658004,1036497633
2026-03-06 21:14:25.704742,0
2026-03-06 21:14:25.759555,1036497633
2026-03-06 21:14:25.806642,0
2026-03-06 21:14:25.861563,1036713955
2026-03-06 21:14:25.908594,0
2026-03-06 21:14:25.963539,1036605794
2026-03-06 21:14:26.01033,0
2026-03-06 21:14:26.065961,1036497633
2026-03-06 21:14:26.112911,0
2026-03-06 21:14:26.167729,1036389473
2026-03-06 21:14:26.214529,0
2026-03-06 21:14:26.26997,1036605794
2026-03-06 21:14:26.316848,0
2026-03-06 21:14:26.372194,1036497633
2026-03-06 21:14:26.41888,0
