time,TC_Cal.CH20.channel_id
2026-03-06 21:14:19.124315,20
2026-03-06 21:14:19.251256,20
2026-03-06 21:14:19.377446,20
2026-03-06 21:14:19.506815,20
2026-03-06 21:14:19.633734,20
2026-03-06 21:14:19.759011,20
2026-03-06 21:14:19.886572,20
2026-03-06 21:14:20.018543,20
2026-03-06 21:14:20.144988,20
2026-03-06 21:14:20.272496,20
2026-03-06 21:14:20.39888,20
2026-03-06 21:14:20.526655,20
2026-03-06 21:14:20.653184,20
2026-03-06 21:14:20.78177,20
2026-03-06 21:14:20.90795,20
2026-03-06 21:14:21.038928,20
2026-03-06 21:14:21.170571,20
2026-03-06 21:14:21.296501,20
2026-03-06 21:14:21.420412,20
2026-03-06 21:14:21.547472,20
2026-03-06 21:14:21.67518,20
2026-03-06 21:14:21.802655,20
2026-03-06 21:14:21.930564,20
2026-03-06 21:14:22.061066,20
2026-03-06 21:14:22.187939,20
2026-03-06 21:14:22.313926,20
2026-03-06 21:14:22.442082,20
2026-03-06 21:14:22.568083,20
2026-03-06 21:14:22.694433,20
2026-03-06 21:14:22.82356,20
2026-03-06 21:14:22.950558,20
2026-03-06 21:14:23.081506,20
2026-03-06 21:14:23.208431,20
2026-03-06 21:14:23.335091,20
2026-03-06 21:14:23.461475,20
2026-03-06 21:14:23.589497,20
2026-03-06 21:14:23.717099,20
2026-03-06 21:14:23.84448,20
2026-03-06 21:14:23.971664,20
2026-03-06 21:14:24.103688,20
2026-03-06 21:14:24.229405,20
2026-03-06 21:14:24.356938,20
2026-03-06 21:14:24.482719,20
2026-03-06 21:14:24.611066,20
2026-03-06 21:14:24.738184,20
2026-03-06 21:14:24.865401,20
2026-03-06 21:14:24.992617,20
2026-03-06 21:14:25.123667,20
2026-03-06 21:14:25.250223,20
2026-03-06 21:14:25.37763,20
2026-03-06 21:14:25.50498,20
2026-03-06 21:14:25.631988,20
2026-03-06 21:14:25.7579,20
2026-03-06 21:14:25.886274,20
2026-03-06 21:14:26.0134,20
2026-03-06 21:14:26.143826,20
2026-03-06 21:14:26.272391,20
2026-03-06 21:14:26.399971,20
2026-03-06 21:14:26.526222,20
2026-03-06 21:14:26.65244,20
2026-03-06 21:14:26.779566,20
2026-03-06 21:14:26.908642,20
2026-03-06 21:14:27.034415,20
2026-03-06 21:14:27.164885,20
2026-03-06 21:14:27.292254,20
2026-03-06 21:14:27.419699,20
2026-03-06 21:14:27.546636,20
2026-03-06 21:14:27.672863,20
2026-03-06 21:14:27.800344,20
2026-03-06 21:14:27.927907,20
2026-03-06 21:14:28.055328,20
2026-03-06 21:14:28.185588,20
2026-03-06 21:14:28.313143,20
2026-03-06 21:14:28.440284,20
2026-03-06 21:14:28.56834,20
2026-03-06 21:14:28.694912,20
2026-03-06 21:14:28.820951,20
2026-03-06 21:14:28.952077,20
2026-03-06 21:14:29.077981,20
2026-03-06 21:14:29.205646,20
2026-03-06 21:14:29.333319,20
2026-03-06 21:14:29.460354,20
2026-03-06 21:14:29.587002,20
2026-03-06 21:14:29.714345,20
2026-03-06 21:14:29.843953,20
2026-03-06 21:14:29.969463,20
2026-03-06 21:14:30.096808,20
2026-03-06 21:14:30.228909,20
2026-03-06 21:14:30.355526,20
2026-03-06 21:14:30.482941,20
2026-03-06 21:14:30.609719,20
2026-03-06 21:14:30.735108,20
2026-03-06 21:14:30.867222,20
2026-03-06 21:14:30.991007,20
2026-03-06 21:14:31.117527,20
2026-03-06 21:14:31.250558,20
2026-03-06 21:14:31.375377,20
2026-03-06 21:14:31.504854,20
2026-03-06 21:14:31.629764,20
2026-03-06 21:14:31.756293,20
2026-03-06 21:14:31.887499,20
2026-03-06 21:14:32.01195,20
2026-03-06 21:14:32.138766,20
2026-03-06 21:14:32.271843,20
2026-03-06 21:14:32.395511,20
2026-03-06 21:14:32.523302,20
2026-03-06 21:14:32.656879,20
2026-03-06 21:14:32.777076,20
2026-03-06 21:14:32.906101,20
2026-03-06 21:14:33.03274,20
2026-03-06 21:14:33.158782,20
2026-03-06 21:14:33.290819,20
2026-03-06 21:14:33.420205,20
2026-03-06 21:14:33.544657,20
2026-03-06 21:14:33.670606,20
2026-03-06 21:14:33.799698,20
2026-03-06 21:14:33.926724,20
2026-03-06 21:14:34.056474,20
2026-03-06 21:14:34.180576,20
2026-03-06 21:14:34.31177,20
2026-03-06 21:14:34.438793,20
2026-03-06 21:14:34.567495,20
2026-03-06 21:14:34.692291,20
2026-03-06 21:14:34.81931,20
2026-03-06 21:14:34.947256,20
2026-03-06 21:14:35.075119,20
2026-03-06 21:14:35.203229,20
2026-03-06 21:14:35.334552,20
2026-03-06 21:14:35.458544,20
2026-03-06 21:14:35.585898,20
2026-03-06 21:14:35.713008,20
2026-03-06 21:14:35.840031,20
2026-03-06 21:14:35.968725,20
2026-03-06 21:14:36.097425,20
2026-03-06 21:14:36.228315,20
2026-03-06 21:14:36.353542,20
2026-03-06 21:14:36.479787,20
2026-03-06 21:14:36.607456,20
2026-03-06 21:14:36.73471,20
2026-03-06 21:14:36.863617,20
2026-03-06 21:14:36.991016,20
2026-03-06 21:14:37.119661,20
2026-03-06 21:14:37.243943,20
2026-03-06 21:14:37.376122,20
2026-03-06 21:14:37.501925,20
2026-03-06 21:14:37.628529,20
2026-03-06 21:14:37.755766,20
2026-03-06 21:14:37.882261,20
2026-03-06 21:14:38.01034,20
2026-03-06 21:14:38.138078,20
2026-03-06 21:14:38.264285,20
2026-03-06 21:14:38.394499,20
2026-03-06 21:14:38.522807,20
2026-03-06 21:14:38.649739,20
2026-03-06 21:14:38.775588,20
2026-03-06 21:14:38.903367,20
2026-03-06 21:14:39.031055,20
2026-03-06 21:14:39.156827,20
2026-03-06 21:14:39.284187,20
2026-03-06 21:14:39.415528,20
2026-03-06 21:14:39.543772,20
2026-03-06 21:14:39.675269,20
2026-03-06 21:14:39.797254,20
2026-03-06 21:14:39.925125,20
2026-03-06 21:14:40.051886,20
2026-03-06 21:14:40.180318,20
2026-03-06 21:14:40.305559,20
2026-03-06 21:14:40.437707,20
2026-03-06 21:14:40.565045,20
2026-03-06 21:14:40.693464,20
2026-03-06 21:14:40.81783,20
2026-03-06 21:14:40.947709,20
2026-03-06 21:14:41.072824,20
2026-03-06 21:14:41.200391,20
2026-03-06 21:14:41.327027,20
2026-03-06 21:14:41.458344,20
2026-03-06 21:14:41.584956,20
2026-03-06 21:14:41.711904,20
2026-03-06 21:14:41.839958,20
2026-03-06 21:14:41.967431,20
2026-03-06 21:14:42.093995,20
2026-03-06 21:14:42.220416,20
2026-03-06 21:14:42.348099,20
2026-03-06 21:14:42.478959,20
2026-03-06 21:14:42.606292,20
2026-03-06 21:14:42.73343,20
2026-03-06 21:14:42.859659,20
2026-03-06 21:14:42.98809,20
2026-03-06 21:14:43.117706,20
2026-03-06 21:14:43.245825,20
2026-03-06 21:14:43.368907,20
2026-03-06 21:14:43.500081,20
2026-03-06 21:14:43.62691,20
2026-03-06 21:14:43.755052,20
2026-03-06 21:14:43.880644,20
2026-03-06 21:14:44.008602,20
2026-03-06 21:14:44.136055,20
