time,PT.Fuel_Downstream.channel_id
2026-03-06 21:14:18.315474,3
2026-03-06 21:14:18.315603,3
2026-03-06 21:14:18.315618,3
2026-03-06 21:14:18.315632,3
2026-03-06 21:14:18.315647,3
2026-03-06 21:14:18.315661,3
2026-03-06 21:14:18.315675,3
2026-03-06 21:14:18.315689,3
2026-03-06 21:14:18.315703,3
2026-03-06 21:14:18.316663,3
2026-03-06 21:14:18.316676,3
2026-03-06 21:14:18.316684,3
2026-03-06 21:14:18.316692,3
2026-03-06 21:14:18.3167,3
2026-03-06 21:14:18.316708,3
2026-03-06 21:14:18.316716,3
2026-03-06 21:14:18.316723,3
2026-03-06 21:14:18.316731,3
2026-03-06 21:14:18.317098,3
2026-03-06 21:14:18.317107,3
2026-03-06 21:14:18.317115,3
2026-03-06 21:14:18.317123,3
2026-03-06 21:14:18.317131,3
2026-03-06 21:14:18.317139,3
2026-03-06 21:14:18.317147,3
2026-03-06 21:14:18.317154,3
2026-03-06 21:14:18.317166,3
2026-03-06 21:14:18.318471,3
2026-03-06 21:14:18.318489,3
2026-03-06 21:14:18.318497,3
2026-03-06 21:14:18.318505,3
2026-03-06 21:14:18.318513,3
2026-03-06 21:14:18.318521,3
2026-03-06 21:14:18.318528,3
2026-03-06 21:14:18.318536,3
2026-03-06 21:14:18.318544,3
2026-03-06 21:14:18.319516,3
2026-03-06 21:14:18.319527,3
2026-03-06 21:14:18.319535,3
2026-03-06 21:14:18.319543,3
2026-03-06 21:14:18.319551,3
2026-03-06 21:14:18.319558,3
2026-03-06 21:14:18.319566,3
2026-03-06 21:14:18.319574,3
2026-03-06 21:14:18.319582,3
2026-03-06 21:14:18.329416,3
2026-03-06 21:14:18.329437,3
2026-03-06 21:14:18.329446,3
2026-03-06 21:14:18.329454,3
2026-03-06 21:14:18.329462,3
2026-03-06 21:14:18.329469,3
2026-03-06 21:14:18.329477,3
2026-03-06 21:14:18.329485,3
2026-03-06 21:14:18.329493,3
2026-03-06 21:14:18.438168,3
2026-03-06 21:14:18.4382,3
2026-03-06 21:14:18.438209,3
2026-03-06 21:14:18.438216,3
2026-03-06 21:14:18.438224,3
2026-03-06 21:14:18.438232,3
2026-03-06 21:14:18.43824,3
2026-03-06 21:14:18.438247,3
2026-03-06 21:14:18.438255,3
2026-03-06 21:14:18.547376,3
2026-03-06 21:14:18.547399,3
2026-03-06 21:14:18.547407,3
2026-03-06 21:14:18.547415,3
2026-03-06 21:14:18.547423,3
2026-03-06 21:14:18.54743,3
2026-03-06 21:14:18.547438,3
2026-03-06 21:14:18.547446,3
2026-03-06 21:14:18.547454,3
2026-03-06 21:14:18.65633,3
2026-03-06 21:14:18.65636,3
2026-03-06 21:14:18.656368,3
2026-03-06 21:14:18.656376,3
2026-03-06 21:14:18.656383,3
2026-03-06 21:14:18.656391,3
2026-03-06 21:14:18.656399,3
2026-03-06 21:14:18.656407,3
2026-03-06 21:14:18.656415,3
2026-03-06 21:14:18.765465,3
2026-03-06 21:14:18.765495,3
2026-03-06 21:14:18.765503,3
2026-03-06 21:14:18.765511,3
2026-03-06 21:14:18.765519,3
2026-03-06 21:14:18.765527,3
2026-03-06 21:14:18.765535,3
2026-03-06 21:14:18.765543,3
2026-03-06 21:14:18.765551,3
2026-03-06 21:14:18.874594,3
2026-03-06 21:14:18.874624,3
2026-03-06 21:14:18.874633,3
2026-03-06 21:14:18.874643,3
2026-03-06 21:14:18.874654,3
2026-03-06 21:14:18.874662,3
2026-03-06 21:14:18.87467,3
2026-03-06 21:14:18.874677,3
2026-03-06 21:14:18.874685,3
2026-03-06 21:14:18.983004,3
2026-03-06 21:14:18.983057,3
2026-03-06 21:14:18.983065,3
2026-03-06 21:14:18.983073,3
2026-03-06 21:14:18.983081,3
2026-03-06 21:14:18.983089,3
2026-03-06 21:14:18.983097,3
2026-03-06 21:14:18.983105,3
2026-03-06 21:14:18.983112,3
2026-03-06 21:14:19.09224,3
2026-03-06 21:14:19.092301,3
2026-03-06 21:14:19.092323,3
2026-03-06 21:14:19.092333,3
2026-03-06 21:14:19.092344,3
2026-03-06 21:14:19.092357,3
2026-03-06 21:14:19.092371,3
2026-03-06 21:14:19.092384,3
2026-03-06 21:14:19.092393,3
2026-03-06 21:14:19.202206,3
2026-03-06 21:14:19.202242,3
2026-03-06 21:14:19.202251,3
2026-03-06 21:14:19.20226,3
2026-03-06 21:14:19.20227,3
2026-03-06 21:14:19.202278,3
2026-03-06 21:14:19.202287,3
2026-03-06 21:14:19.202295,3
2026-03-06 21:14:19.202303,3
2026-03-06 21:14:19.311199,3
2026-03-06 21:14:19.311248,3
2026-03-06 21:14:19.311262,3
2026-03-06 21:14:19.311272,3
