time,PT_Cal.Fuel_Upstream.pressure_psi
2026-03-06 21:14:19.092534,44.332966
2026-03-06 21:14:19.092693,0.32479882
2026-03-06 21:14:19.092798,44.20955
2026-03-06 21:14:19.092833,44.621826
2026-03-06 21:14:19.202847,0.32520604
2026-03-06 21:14:19.202894,44.56163
2026-03-06 21:14:19.311906,44.499165
2026-03-06 21:14:19.311929,0.3250948
2026-03-06 21:14:19.312121,44.945137
2026-03-06 21:14:19.312172,44.55595
2026-03-06 21:14:19.420609,44.571472
2026-03-06 21:14:19.420796,0.3252236
2026-03-06 21:14:19.421165,44.57829
2026-03-06 21:14:19.421651,44.576393
2026-03-06 21:14:19.529415,44.602516
2026-03-06 21:14:19.529628,44.495754
2026-03-06 21:14:19.529712,44.525288
2026-03-06 21:14:19.529786,44.639618
2026-03-06 21:14:19.529851,0.32527888
2026-03-06 21:14:19.639255,44.595325
2026-03-06 21:14:19.639694,44.507492
2026-03-06 21:14:19.639796,0.32526606
2026-03-06 21:14:19.640241,44.562386
2026-03-06 21:14:19.640576,44.533993
2026-03-06 21:14:19.747879,44.654385
2026-03-06 21:14:19.748147,44.255356
2026-03-06 21:14:19.748148,0.32537124
2026-03-06 21:14:19.748455,44.58056
2026-03-06 21:14:19.748727,44.597595
2026-03-06 21:14:19.85724,44.58813
2026-03-06 21:14:19.857496,44.648705
2026-03-06 21:14:19.857711,0.32525325
2026-03-06 21:14:19.857743,44.84784
2026-03-06 21:14:19.858007,44.899326
2026-03-06 21:14:19.965856,44.97126
2026-03-06 21:14:19.966276,44.873203
2026-03-06 21:14:19.966547,0.32593557
2026-03-06 21:14:19.966583,44.36666
2026-03-06 21:14:19.966967,44.635075
2026-03-06 21:14:19.967485,44.579422
2026-03-06 21:14:20.0748,44.58624
2026-03-06 21:14:20.074875,44.536266
2026-03-06 21:14:20.074915,44.65779
2026-03-06 21:14:20.074997,44.555573
2026-03-06 21:14:20.075072,44.63394
2026-03-06 21:14:20.075152,44.48667
2026-03-06 21:14:20.075237,44.507492
2026-03-06 21:14:20.075311,44.52415
2026-03-06 21:14:20.075398,44.60176
2026-03-06 21:14:20.075409,0.32524988
2026-03-06 21:14:20.183504,44.590782
2026-03-06 21:14:20.183637,44.519985
2026-03-06 21:14:20.183702,44.574123
2026-03-06 21:14:20.183779,44.42799
2026-03-06 21:14:20.183781,0.32525796
2026-03-06 21:14:20.183856,44.621445
2026-03-06 21:14:20.183944,44.367416
2026-03-06 21:14:20.292561,44.554436
2026-03-06 21:14:20.292707,44.206898
2026-03-06 21:14:20.292786,44.657413
2026-03-06 21:14:20.292869,44.633183
2026-03-06 21:14:20.292951,44.18721
2026-03-06 21:14:20.293169,0.32519323
2026-03-06 21:14:20.401242,44.265957
2026-03-06 21:14:20.401368,44.60441
2026-03-06 21:14:20.40148,0.32467946
2026-03-06 21:14:20.401495,44.469257
2026-03-06 21:14:20.510605,44.515064
2026-03-06 21:14:20.510668,0.32512313
2026-03-06 21:14:20.510715,44.533237
2026-03-06 21:14:20.510786,44.501057
2026-03-06 21:14:20.510912,44.611225
2026-03-06 21:14:20.511008,44.30495
2026-03-06 21:14:20.619406,44.616524
2026-03-06 21:14:20.61952,44.380287
2026-03-06 21:14:20.619548,44.538536
2026-03-06 21:14:20.619589,0.32530382
2026-03-06 21:14:20.619873,44.295864
2026-03-06 21:14:20.619927,44.638863
2026-03-06 21:14:20.619978,44.50636
2026-03-06 21:14:20.620011,44.458656
2026-03-06 21:14:20.728507,44.552544
2026-03-06 21:14:20.728608,44.560875
2026-03-06 21:14:20.728704,44.648327
2026-03-06 21:14:20.728796,44.54005
2026-03-06 21:14:20.728888,44.621826
2026-03-06 21:14:20.729184,0.32518986
2026-03-06 21:14:20.837662,44.958008
2026-03-06 21:14:20.837822,44.388237
2026-03-06 21:14:20.837865,44.836483
2026-03-06 21:14:20.837906,44.488186
2026-03-06 21:14:20.83795,44.651733
