time,ACT.GSE_High_Press_Vent.channel_id
2026-03-06 21:14:18.309474,5
2026-03-06 21:14:18.3095,5
2026-03-06 21:14:18.309699,5
2026-03-06 21:14:18.309701,5
2026-03-06 21:14:18.310533,5
2026-03-06 21:14:18.310535,5
2026-03-06 21:14:18.310595,5
2026-03-06 21:14:18.310597,5
2026-03-06 21:14:18.310644,5
2026-03-06 21:14:18.310646,5
2026-03-06 21:14:18.311408,5
2026-03-06 21:14:18.31141,5
2026-03-06 21:14:18.312086,5
2026-03-06 21:14:18.312088,5
2026-03-06 21:14:18.312148,5
2026-03-06 21:14:18.31215,5
2026-03-06 21:14:18.312205,5
2026-03-06 21:14:18.312207,5
2026-03-06 21:14:18.312251,5
2026-03-06 21:14:18.312253,5
2026-03-06 21:14:18.312299,5
2026-03-06 21:14:18.312301,5
2026-03-06 21:14:18.312957,5
2026-03-06 21:14:18.312959,5
2026-03-06 21:14:18.313021,5
2026-03-06 21:14:18.313023,5
2026-03-06 21:14:18.313071,5
2026-03-06 21:14:18.313073,5
2026-03-06 21:14:18.313119,5
2026-03-06 21:14:18.313121,5
2026-03-06 21:14:18.313816,5
2026-03-06 21:14:18.313818,5
2026-03-06 21:14:18.313883,5
2026-03-06 21:14:18.313885,5
2026-03-06 21:14:18.314521,5
2026-03-06 21:14:18.314523,5
2026-03-06 21:14:18.314585,5
2026-03-06 21:14:18.314587,5
2026-03-06 21:14:18.316441,5
2026-03-06 21:14:18.316443,5
2026-03-06 21:14:18.316632,5
2026-03-06 21:14:18.316633,5
2026-03-06 21:14:18.316817,5
2026-03-06 21:14:18.316818,5
2026-03-06 21:14:18.316964,5
2026-03-06 21:14:18.316965,5
2026-03-06 21:14:18.317179,5
2026-03-06 21:14:18.31718,5
2026-03-06 21:14:18.317237,5
2026-03-06 21:14:18.317238,5
2026-03-06 21:14:18.318434,5
2026-03-06 21:14:18.318437,5
2026-03-06 21:14:18.319251,5
2026-03-06 21:14:18.319253,5
2026-03-06 21:14:18.319461,5
2026-03-06 21:14:18.319462,5
2026-03-06 21:14:18.319643,5
2026-03-06 21:14:18.319644,5
2026-03-06 21:14:18.319739,5
2026-03-06 21:14:18.31974,5
2026-03-06 21:14:18.360176,5
2026-03-06 21:14:18.360181,5
2026-03-06 21:14:18.415494,5
2026-03-06 21:14:18.415499,5
2026-03-06 21:14:18.462201,5
2026-03-06 21:14:18.462206,5
2026-03-06 21:14:18.517421,5
2026-03-06 21:14:18.517427,5
2026-03-06 21:14:18.564545,5
2026-03-06 21:14:18.564549,5
2026-03-06 21:14:18.61918,5
2026-03-06 21:14:18.619184,5
2026-03-06 21:14:18.66595,5
2026-03-06 21:14:18.665953,5
2026-03-06 21:14:18.721241,5
2026-03-06 21:14:18.721245,5
2026-03-06 21:14:18.768305,5
2026-03-06 21:14:18.768308,5
2026-03-06 21:14:18.823568,5
2026-03-06 21:14:18.823572,5
2026-03-06 21:14:18.870328,5
2026-03-06 21:14:18.870335,5
2026-03-06 21:14:18.925379,5
2026-03-06 21:14:18.925385,5
2026-03-06 21:14:18.972192,5
2026-03-06 21:14:18.972197,5
2026-03-06 21:14:19.027641,5
2026-03-06 21:14:19.027646,5
2026-03-06 21:14:19.074173,5
2026-03-06 21:14:19.07418,5
2026-03-06 21:14:19.129236,5
2026-03-06 21:14:19.129249,5
2026-03-06 21:14:19.176492,5
2026-03-06 21:14:19.176503,5
2026-03-06 21:14:19.231457,5
2026-03-06 21:14:19.231471,5
2026-03-06 21:14:19.278333,5
2026-03-06 21:14:19.278341,5
2026-03-06 21:14:19.333776,5
2026-03-06 21:14:19.333782,5
2026-03-06 21:14:19.380079,5
2026-03-06 21:14:19.380086,5
2026-03-06 21:14:19.435223,5
2026-03-06 21:14:19.435242,5
2026-03-06 21:14:19.482151,5
2026-03-06 21:14:19.482177,5
2026-03-06 21:14:19.537328,5
2026-03-06 21:14:19.537339,5
2026-03-06 21:14:19.584691,5
2026-03-06 21:14:19.584713,5
2026-03-06 21:14:19.639818,5
2026-03-06 21:14:19.639858,5
2026-03-06 21:14:19.686488,5
2026-03-06 21:14:19.686516,5
2026-03-06 21:14:19.741488,5
2026-03-06 21:14:19.741506,5
2026-03-06 21:14:19.788744,5
2026-03-06 21:14:19.788769,5
2026-03-06 21:14:19.843765,5
2026-03-06 21:14:19.843781,5
2026-03-06 21:14:19.890082,5
2026-03-06 21:14:19.890097,5
2026-03-06 21:14:19.945718,5
2026-03-06 21:14:19.945745,5
2026-03-06 21:14:19.992963,5
2026-03-06 21:14:19.993014,5
2026-03-06 21:14:20.047623,5
2026-03-06 21:14:20.047641,5
2026-03-06 21:14:20.094057,5
2026-03-06 21:14:20.094074,5
2026-03-06 21:14:20.149517,5
2026-03-06 21:14:20.14954,5
2026-03-06 21:14:20.196465,5
2026-03-06 21:14:20.19648,5
2026-03-06 21:14:20.251265,5
2026-03-06 21:14:20.251279,5
2026-03-06 21:14:20.298483,5
2026-03-06 21:14:20.298499,5
2026-03-06 21:14:20.353497,5
2026-03-06 21:14:20.353513,5
2026-03-06 21:14:20.400461,5
2026-03-06 21:14:20.400473,5
2026-03-06 21:14:20.455813,5
2026-03-06 21:14:20.455827,5
2026-03-06 21:14:20.502251,5
2026-03-06 21:14:20.502269,5
2026-03-06 21:14:20.557502,5
2026-03-06 21:14:20.55752,5
2026-03-06 21:14:20.604548,5
2026-03-06 21:14:20.604566,5
2026-03-06 21:14:20.659173,5
2026-03-06 21:14:20.659187,5
2026-03-06 21:14:20.706302,5
2026-03-06 21:14:20.706317,5
2026-03-06 21:14:20.761746,5
2026-03-06 21:14:20.761761,5
2026-03-06 21:14:20.808799,5
2026-03-06 21:14:20.808814,5
2026-03-06 21:14:20.863352,5
2026-03-06 21:14:20.863366,5
2026-03-06 21:14:20.910247,5
2026-03-06 21:14:20.91026,5
2026-03-06 21:14:20.965722,5
2026-03-06 21:14:20.965748,5
2026-03-06 21:14:21.012453,5
2026-03-06 21:14:21.012465,5
2026-03-06 21:14:21.067294,5
2026-03-06 21:14:21.067316,5
2026-03-06 21:14:21.11461,5
2026-03-06 21:14:21.114632,5
2026-03-06 21:14:21.16989,5
2026-03-06 21:14:21.169922,5
2026-03-06 21:14:21.216268,5
2026-03-06 21:14:21.216288,5
2026-03-06 21:14:21.271708,5
2026-03-06 21:14:21.271724,5
2026-03-06 21:14:21.318375,5
2026-03-06 21:14:21.318399,5
2026-03-06 21:14:21.373546,5
2026-03-06 21:14:21.373571,5
2026-03-06 21:14:21.420364,5
2026-03-06 21:14:21.420393,5
2026-03-06 21:14:21.475615,5
2026-03-06 21:14:21.475645,5
2026-03-06 21:14:21.522629,5
2026-03-06 21:14:21.522657,5
2026-03-06 21:14:21.577409,5
2026-03-06 21:14:21.577429,5
2026-03-06 21:14:21.624442,5
2026-03-06 21:14:21.624466,5
2026-03-06 21:14:21.679589,5
2026-03-06 21:14:21.679617,5
2026-03-06 21:14:21.726169,5
2026-03-06 21:14:21.726197,5
2026-03-06 21:14:21.781884,5
2026-03-06 21:14:21.781912,5
2026-03-06 21:14:21.828241,5
2026-03-06 21:14:21.828264,5
2026-03-06 21:14:21.883322,5
2026-03-06 21:14:21.883339,5
2026-03-06 21:14:21.930422,5
2026-03-06 21:14:21.930445,5
2026-03-06 21:14:21.985932,5
2026-03-06 21:14:21.985958,5
2026-03-06 21:14:22.032678,5
2026-03-06 21:14:22.032714,5
2026-03-06 21:14:22.087979,5
2026-03-06 21:14:22.088018,5
2026-03-06 21:14:22.134521,5
2026-03-06 21:14:22.134554,5
2026-03-06 21:14:22.18975,5
2026-03-06 21:14:22.18978,5
2026-03-06 21:14:22.236504,5
2026-03-06 21:14:22.236523,5
2026-03-06 21:14:22.291563,5
2026-03-06 21:14:22.291595,5
2026-03-06 21:14:22.338262,5
2026-03-06 21:14:22.338283,5
2026-03-06 21:14:22.393662,5
2026-03-06 21:14:22.393692,5
2026-03-06 21:14:22.440457,5
2026-03-06 21:14:22.440482,5
2026-03-06 21:14:22.495649,5
2026-03-06 21:14:22.495683,5
2026-03-06 21:14:22.542548,5
2026-03-06 21:14:22.542571,5
2026-03-06 21:14:22.597845,5
2026-03-06 21:14:22.59787,5
2026-03-06 21:14:22.64465,5
2026-03-06 21:14:22.644664,5
2026-03-06 21:14:22.699669,5
2026-03-06 21:14:22.699684,5
2026-03-06 21:14:22.746375,5
2026-03-06 21:14:22.74639,5
2026-03-06 21:14:22.801534,5
2026-03-06 21:14:22.801551,5
2026-03-06 21:14:22.848336,5
2026-03-06 21:14:22.848349,5
2026-03-06 21:14:22.903708,5
2026-03-06 21:14:22.90373,5
2026-03-06 21:14:22.95045,5
2026-03-06 21:14:22.950462,5
2026-03-06 21:14:23.005337,5
2026-03-06 21:14:23.005347,5
2026-03-06 21:14:23.052337,5
2026-03-06 21:14:23.052351,5
2026-03-06 21:14:23.107742,5
2026-03-06 21:14:23.107764,5
2026-03-06 21:14:23.154386,5
2026-03-06 21:14:23.154402,5
2026-03-06 21:14:23.209432,5
2026-03-06 21:14:23.209449,5
2026-03-06 21:14:23.256284,5
2026-03-06 21:14:23.2563,5
2026-03-06 21:14:23.311645,5
2026-03-06 21:14:23.311679,5
2026-03-06 21:14:23.358148,5
2026-03-06 21:14:23.358167,5
2026-03-06 21:14:23.413399,5
2026-03-06 21:14:23.41342,5
2026-03-06 21:14:23.460378,5
2026-03-06 21:14:23.460391,5
2026-03-06 21:14:23.515454,5
2026-03-06 21:14:23.515464,5
2026-03-06 21:14:23.562596,5
2026-03-06 21:14:23.562609,5
2026-03-06 21:14:23.617889,5
2026-03-06 21:14:23.617908,5
2026-03-06 21:14:23.664625,5
2026-03-06 21:14:23.664647,5
2026-03-06 21:14:23.719525,5
2026-03-06 21:14:23.719556,5
2026-03-06 21:14:23.766539,5
2026-03-06 21:14:23.766555,5
2026-03-06 21:14:23.821651,5
2026-03-06 21:14:23.821668,5
2026-03-06 21:14:23.868283,5
2026-03-06 21:14:23.868296,5
2026-03-06 21:14:23.923882,5
2026-03-06 21:14:23.923904,5
2026-03-06 21:14:23.97056,5
2026-03-06 21:14:23.970586,5
2026-03-06 21:14:24.026485,5
2026-03-06 21:14:24.02651,5
2026-03-06 21:14:24.072196,5
2026-03-06 21:14:24.072221,5
2026-03-06 21:14:24.127934,5
2026-03-06 21:14:24.127947,5
2026-03-06 21:14:24.174238,5
2026-03-06 21:14:24.174254,5
2026-03-06 21:14:24.229535,5
2026-03-06 21:14:24.229548,5
2026-03-06 21:14:24.276213,5
2026-03-06 21:14:24.276228,5
2026-03-06 21:14:24.331409,5
2026-03-06 21:14:24.33143,5
2026-03-06 21:14:24.378558,5
2026-03-06 21:14:24.378592,5
2026-03-06 21:14:24.433681,5
2026-03-06 21:14:24.433698,5
2026-03-06 21:14:24.480605,5
2026-03-06 21:14:24.480631,5
2026-03-06 21:14:24.535483,5
2026-03-06 21:14:24.535518,5
2026-03-06 21:14:24.582122,5
2026-03-06 21:14:24.582133,5
2026-03-06 21:14:24.637804,5
2026-03-06 21:14:24.637833,5
2026-03-06 21:14:24.684566,5
2026-03-06 21:14:24.684585,5
2026-03-06 21:14:24.739745,5
2026-03-06 21:14:24.739771,5
2026-03-06 21:14:24.786494,5
2026-03-06 21:14:24.786513,5
2026-03-06 21:14:24.841298,5
2026-03-06 21:14:24.841313,5
2026-03-06 21:14:24.888425,5
2026-03-06 21:14:24.888444,5
2026-03-06 21:14:24.943637,5
2026-03-06 21:14:24.943657,5
2026-03-06 21:14:24.990461,5
2026-03-06 21:14:24.990495,5
2026-03-06 21:14:25.0459,5
2026-03-06 21:14:25.045927,5
2026-03-06 21:14:25.09257,5
2026-03-06 21:14:25.092592,5
2026-03-06 21:14:25.147371,5
2026-03-06 21:14:25.1474,5
2026-03-06 21:14:25.194518,5
2026-03-06 21:14:25.194542,5
2026-03-06 21:14:25.249561,5
2026-03-06 21:14:25.249574,5
2026-03-06 21:14:25.296411,5
2026-03-06 21:14:25.29644,5
2026-03-06 21:14:25.351476,5
2026-03-06 21:14:25.351497,5
2026-03-06 21:14:25.398784,5
2026-03-06 21:14:25.398811,5
2026-03-06 21:14:25.453366,5
2026-03-06 21:14:25.453385,5
2026-03-06 21:14:25.500433,5
2026-03-06 21:14:25.500462,5
2026-03-06 21:14:25.555775,5
2026-03-06 21:14:25.555798,5
2026-03-06 21:14:25.602681,5
2026-03-06 21:14:25.602705,5
2026-03-06 21:14:25.657815,5
2026-03-06 21:14:25.657836,5
2026-03-06 21:14:25.70445,5
2026-03-06 21:14:25.704479,5
2026-03-06 21:14:25.759406,5
2026-03-06 21:14:25.759422,5
2026-03-06 21:14:25.806447,5
2026-03-06 21:14:25.806468,5
2026-03-06 21:14:25.861393,5
2026-03-06 21:14:25.861412,5
2026-03-06 21:14:25.908357,5
