time,ACT.GSE_High_Press_Vent.timestamp_ns
2026-03-06 21:14:18.309474,1772831658309093118
2026-03-06 21:14:18.3095,1772831658309093118
2026-03-06 21:14:18.309699,1772831658309213693
2026-03-06 21:14:18.309701,1772831658309213693
2026-03-06 21:14:18.310533,1772831658310425613
2026-03-06 21:14:18.310535,1772831658310425613
2026-03-06 21:14:18.310595,1772831658310468422
2026-03-06 21:14:18.310597,1772831658310468422
2026-03-06 21:14:18.310644,1772831658310503387
2026-03-06 21:14:18.310646,1772831658310503387
2026-03-06 21:14:18.311408,1772831658311275512
2026-03-06 21:14:18.31141,1772831658311275512
2026-03-06 21:14:18.312086,1772831658311994022
2026-03-06 21:14:18.312088,1772831658311994022
2026-03-06 21:14:18.312148,1772831658312040349
2026-03-06 21:14:18.31215,1772831658312040349
2026-03-06 21:14:18.312205,1772831658312076808
2026-03-06 21:14:18.312207,1772831658312076808
2026-03-06 21:14:18.312251,1772831658312112398
2026-03-06 21:14:18.312253,1772831658312112398
2026-03-06 21:14:18.312299,1772831658312150962
2026-03-06 21:14:18.312301,1772831658312150962
2026-03-06 21:14:18.312957,1772831658312861207
2026-03-06 21:14:18.312959,1772831658312861207
2026-03-06 21:14:18.313021,1772831658312906991
2026-03-06 21:14:18.313023,1772831658312906991
2026-03-06 21:14:18.313071,1772831658312943190
2026-03-06 21:14:18.313073,1772831658312943190
2026-03-06 21:14:18.313119,1772831658312978799
2026-03-06 21:14:18.313121,1772831658312978799
2026-03-06 21:14:18.313816,1772831658313725280
2026-03-06 21:14:18.313818,1772831658313725280
2026-03-06 21:14:18.313883,1772831658313771252
2026-03-06 21:14:18.313885,1772831658313771252
2026-03-06 21:14:18.314521,1772831658314424195
2026-03-06 21:14:18.314523,1772831658314424195
2026-03-06 21:14:18.314585,1772831658314467633
2026-03-06 21:14:18.314587,1772831658314467633
2026-03-06 21:14:18.316441,1772831658315627394
2026-03-06 21:14:18.316443,1772831658315627394
2026-03-06 21:14:18.316632,1772831658315794290
2026-03-06 21:14:18.316633,1772831658315794290
2026-03-06 21:14:18.316817,1772831658316587580
2026-03-06 21:14:18.316818,1772831658316587580
2026-03-06 21:14:18.316964,1772831658316797859
2026-03-06 21:14:18.316965,1772831658316797859
2026-03-06 21:14:18.317179,1772831658317057713
2026-03-06 21:14:18.31718,1772831658317057713
2026-03-06 21:14:18.317237,1772831658317154564
2026-03-06 21:14:18.317238,1772831658317154564
2026-03-06 21:14:18.318434,1772831658318202747
2026-03-06 21:14:18.318437,1772831658318202747
2026-03-06 21:14:18.319251,1772831658319080869
2026-03-06 21:14:18.319253,1772831658319080869
2026-03-06 21:14:18.319461,1772831658319313366
2026-03-06 21:14:18.319462,1772831658319313366
2026-03-06 21:14:18.319643,1772831658319562073
2026-03-06 21:14:18.319644,1772831658319562073
2026-03-06 21:14:18.319739,1772831658319659175
2026-03-06 21:14:18.31974,1772831658319659175
2026-03-06 21:14:18.360176,1772831658360069515
2026-03-06 21:14:18.360181,1772831658360069515
2026-03-06 21:14:18.415494,1772831658415365374
2026-03-06 21:14:18.415499,1772831658415365374
2026-03-06 21:14:18.462201,1772831658461980468
2026-03-06 21:14:18.462206,1772831658461980468
2026-03-06 21:14:18.517421,1772831658517325984
2026-03-06 21:14:18.517427,1772831658517325984
2026-03-06 21:14:18.564545,1772831658564423237
2026-03-06 21:14:18.564549,1772831658564423237
2026-03-06 21:14:18.61918,1772831658619050067
2026-03-06 21:14:18.619184,1772831658619050067
2026-03-06 21:14:18.66595,1772831658665875646
2026-03-06 21:14:18.665953,1772831658665875646
2026-03-06 21:14:18.721241,1772831658721154479
2026-03-06 21:14:18.721245,1772831658721154479
2026-03-06 21:14:18.768305,1772831658768259610
2026-03-06 21:14:18.768308,1772831658768259610
2026-03-06 21:14:18.823568,1772831658823457706
2026-03-06 21:14:18.823572,1772831658823457706
2026-03-06 21:14:18.870328,1772831658870171614
2026-03-06 21:14:18.870335,1772831658870171614
2026-03-06 21:14:18.925379,1772831658925245068
2026-03-06 21:14:18.925385,1772831658925245068
2026-03-06 21:14:18.972192,1772831658972065871
2026-03-06 21:14:18.972197,1772831658972065871
2026-03-06 21:14:19.027641,1772831659027512719
2026-03-06 21:14:19.027646,1772831659027512719
2026-03-06 21:14:19.074173,1772831659074027497
2026-03-06 21:14:19.07418,1772831659074027497
2026-03-06 21:14:19.129236,1772831659129106570
2026-03-06 21:14:19.129249,1772831659129106570
2026-03-06 21:14:19.176492,1772831659176309735
2026-03-06 21:14:19.176503,1772831659176309735
2026-03-06 21:14:19.231457,1772831659231285839
2026-03-06 21:14:19.231471,1772831659231285839
2026-03-06 21:14:19.278333,1772831659278193611
2026-03-06 21:14:19.278341,1772831659278193611
2026-03-06 21:14:19.333776,1772831659333584152
2026-03-06 21:14:19.333782,1772831659333584152
2026-03-06 21:14:19.380079,1772831659380011218
2026-03-06 21:14:19.380086,1772831659380011218
2026-03-06 21:14:19.435223,1772831659435028119
2026-03-06 21:14:19.435242,1772831659435028119
2026-03-06 21:14:19.482151,1772831659481887535
