time,PT_Cal.Fuel_Upstream.channel_id
2026-03-06 21:14:19.092534,1
2026-03-06 21:14:19.092693,1
2026-03-06 21:14:19.092798,1
2026-03-06 21:14:19.092833,1
2026-03-06 21:14:19.202847,1
2026-03-06 21:14:19.202894,1
2026-03-06 21:14:19.311906,1
2026-03-06 21:14:19.311929,1
2026-03-06 21:14:19.312121,1
2026-03-06 21:14:19.312172,1
2026-03-06 21:14:19.420609,1
2026-03-06 21:14:19.420796,1
2026-03-06 21:14:19.421165,1
2026-03-06 21:14:19.421651,1
2026-03-06 21:14:19.529415,1
2026-03-06 21:14:19.529628,1
2026-03-06 21:14:19.529712,1
2026-03-06 21:14:19.529786,1
2026-03-06 21:14:19.529851,1
2026-03-06 21:14:19.639255,1
2026-03-06 21:14:19.639694,1
2026-03-06 21:14:19.639796,1
2026-03-06 21:14:19.640241,1
2026-03-06 21:14:19.640576,1
2026-03-06 21:14:19.747879,1
2026-03-06 21:14:19.748147,1
2026-03-06 21:14:19.748148,1
2026-03-06 21:14:19.748455,1
2026-03-06 21:14:19.748727,1
2026-03-06 21:14:19.85724,1
2026-03-06 21:14:19.857496,1
2026-03-06 21:14:19.857711,1
2026-03-06 21:14:19.857743,1
2026-03-06 21:14:19.858007,1
2026-03-06 21:14:19.965856,1
2026-03-06 21:14:19.966276,1
2026-03-06 21:14:19.966547,1
2026-03-06 21:14:19.966583,1
2026-03-06 21:14:19.966967,1
2026-03-06 21:14:19.967485,1
2026-03-06 21:14:20.0748,1
2026-03-06 21:14:20.074875,1
2026-03-06 21:14:20.074915,1
2026-03-06 21:14:20.074997,1
2026-03-06 21:14:20.075072,1
2026-03-06 21:14:20.075152,1
2026-03-06 21:14:20.075237,1
2026-03-06 21:14:20.075311,1
2026-03-06 21:14:20.075398,1
2026-03-06 21:14:20.075409,1
2026-03-06 21:14:20.183504,1
2026-03-06 21:14:20.183637,1
2026-03-06 21:14:20.183702,1
2026-03-06 21:14:20.183779,1
2026-03-06 21:14:20.183781,1
2026-03-06 21:14:20.183856,1
2026-03-06 21:14:20.183944,1
2026-03-06 21:14:20.292561,1
2026-03-06 21:14:20.292707,1
2026-03-06 21:14:20.292786,1
2026-03-06 21:14:20.292869,1
2026-03-06 21:14:20.292951,1
2026-03-06 21:14:20.293169,1
2026-03-06 21:14:20.401242,1
2026-03-06 21:14:20.401368,1
2026-03-06 21:14:20.40148,1
2026-03-06 21:14:20.401495,1
2026-03-06 21:14:20.510605,1
2026-03-06 21:14:20.510668,1
2026-03-06 21:14:20.510715,1
2026-03-06 21:14:20.510786,1
2026-03-06 21:14:20.510912,1
2026-03-06 21:14:20.511008,1
2026-03-06 21:14:20.619406,1
2026-03-06 21:14:20.61952,1
2026-03-06 21:14:20.619548,1
2026-03-06 21:14:20.619589,1
2026-03-06 21:14:20.619873,1
2026-03-06 21:14:20.619927,1
2026-03-06 21:14:20.619978,1
2026-03-06 21:14:20.620011,1
2026-03-06 21:14:20.728507,1
2026-03-06 21:14:20.728608,1
2026-03-06 21:14:20.728704,1
2026-03-06 21:14:20.728796,1
2026-03-06 21:14:20.728888,1
2026-03-06 21:14:20.729184,1
2026-03-06 21:14:20.837662,1
2026-03-06 21:14:20.837822,1
2026-03-06 21:14:20.837865,1
2026-03-06 21:14:20.837906,1
2026-03-06 21:14:20.83795,1
2026-03-06 21:14:20.837976,1
2026-03-06 21:14:20.838031,1
2026-03-06 21:14:20.838111,1
2026-03-06 21:14:20.838212,1
2026-03-06 21:14:20.838298,1
2026-03-06 21:14:20.946753,1
2026-03-06 21:14:20.946934,1
2026-03-06 21:14:20.947015,1
2026-03-06 21:14:20.947107,1
2026-03-06 21:14:20.9472,1
2026-03-06 21:14:20.947229,1
2026-03-06 21:14:20.947349,1
2026-03-06 21:14:21.05566,1
2026-03-06 21:14:21.055693,1
2026-03-06 21:14:21.055793,1
2026-03-06 21:14:21.05585,1
2026-03-06 21:14:21.055959,1
2026-03-06 21:14:21.056097,1
2026-03-06 21:14:21.056329,1
2026-03-06 21:14:21.165112,1
2026-03-06 21:14:21.165416,1
2026-03-06 21:14:21.165566,1
2026-03-06 21:14:21.165689,1
2026-03-06 21:14:21.165976,1
2026-03-06 21:14:21.166287,1
2026-03-06 21:14:21.166424,1
2026-03-06 21:14:21.274981,1
