time,ACT.GSE_Med_Press_Control.timestamp_ns
2026-03-06 21:14:18.309441,1772831658309093118
2026-03-06 21:14:18.309468,1772831658309093118
2026-03-06 21:14:18.309695,1772831658309213693
2026-03-06 21:14:18.309698,1772831658309213693
2026-03-06 21:14:18.310529,1772831658310425613
2026-03-06 21:14:18.310532,1772831658310425613
2026-03-06 21:14:18.310592,1772831658310468422
2026-03-06 21:14:18.310594,1772831658310468422
2026-03-06 21:14:18.310641,1772831658310503387
2026-03-06 21:14:18.310643,1772831658310503387
2026-03-06 21:14:18.311405,1772831658311275512
2026-03-06 21:14:18.311407,1772831658311275512
2026-03-06 21:14:18.312082,1772831658311994022
2026-03-06 21:14:18.312084,1772831658311994022
2026-03-06 21:14:18.312145,1772831658312040349
2026-03-06 21:14:18.312147,1772831658312040349
2026-03-06 21:14:18.312201,1772831658312076808
2026-03-06 21:14:18.312203,1772831658312076808
2026-03-06 21:14:18.312248,1772831658312112398
2026-03-06 21:14:18.31225,1772831658312112398
2026-03-06 21:14:18.312295,1772831658312150962
2026-03-06 21:14:18.312297,1772831658312150962
2026-03-06 21:14:18.312954,1772831658312861207
2026-03-06 21:14:18.312956,1772831658312861207
2026-03-06 21:14:18.313018,1772831658312906991
2026-03-06 21:14:18.31302,1772831658312906991
2026-03-06 21:14:18.313068,1772831658312943190
2026-03-06 21:14:18.31307,1772831658312943190
2026-03-06 21:14:18.313116,1772831658312978799
2026-03-06 21:14:18.313118,1772831658312978799
2026-03-06 21:14:18.313813,1772831658313725280
2026-03-06 21:14:18.313815,1772831658313725280
2026-03-06 21:14:18.31388,1772831658313771252
2026-03-06 21:14:18.313882,1772831658313771252
2026-03-06 21:14:18.314517,1772831658314424195
2026-03-06 21:14:18.314519,1772831658314424195
2026-03-06 21:14:18.314581,1772831658314467633
2026-03-06 21:14:18.314583,1772831658314467633
2026-03-06 21:14:18.316438,1772831658315627394
2026-03-06 21:14:18.31644,1772831658315627394
2026-03-06 21:14:18.31663,1772831658315794290
2026-03-06 21:14:18.316631,1772831658315794290
2026-03-06 21:14:18.316815,1772831658316587580
2026-03-06 21:14:18.316816,1772831658316587580
2026-03-06 21:14:18.316962,1772831658316797859
2026-03-06 21:14:18.316963,1772831658316797859
2026-03-06 21:14:18.317177,1772831658317057713
2026-03-06 21:14:18.317179,1772831658317057713
2026-03-06 21:14:18.317235,1772831658317154564
2026-03-06 21:14:18.317236,1772831658317154564
2026-03-06 21:14:18.31843,1772831658318202747
2026-03-06 21:14:18.318433,1772831658318202747
2026-03-06 21:14:18.319248,1772831658319080869
2026-03-06 21:14:18.31925,1772831658319080869
2026-03-06 21:14:18.319459,1772831658319313366
2026-03-06 21:14:18.31946,1772831658319313366
2026-03-06 21:14:18.319641,1772831658319562073
2026-03-06 21:14:18.319642,1772831658319562073
2026-03-06 21:14:18.319737,1772831658319659175
2026-03-06 21:14:18.319738,1772831658319659175
2026-03-06 21:14:18.36017,1772831658360069515
2026-03-06 21:14:18.360175,1772831658360069515
2026-03-06 21:14:18.415487,1772831658415365374
2026-03-06 21:14:18.415492,1772831658415365374
2026-03-06 21:14:18.462194,1772831658461980468
2026-03-06 21:14:18.462199,1772831658461980468
2026-03-06 21:14:18.517415,1772831658517325984
2026-03-06 21:14:18.51742,1772831658517325984
2026-03-06 21:14:18.56454,1772831658564423237
2026-03-06 21:14:18.564544,1772831658564423237
2026-03-06 21:14:18.619175,1772831658619050067
2026-03-06 21:14:18.619179,1772831658619050067
2026-03-06 21:14:18.665945,1772831658665875646
2026-03-06 21:14:18.665949,1772831658665875646
2026-03-06 21:14:18.721237,1772831658721154479
2026-03-06 21:14:18.72124,1772831658721154479
2026-03-06 21:14:18.768299,1772831658768259610
2026-03-06 21:14:18.768303,1772831658768259610
2026-03-06 21:14:18.823563,1772831658823457706
2026-03-06 21:14:18.823567,1772831658823457706
2026-03-06 21:14:18.870318,1772831658870171614
2026-03-06 21:14:18.870324,1772831658870171614
2026-03-06 21:14:18.925371,1772831658925245068
2026-03-06 21:14:18.925376,1772831658925245068
2026-03-06 21:14:18.972186,1772831658972065871
2026-03-06 21:14:18.97219,1772831658972065871
2026-03-06 21:14:19.027635,1772831659027512719
2026-03-06 21:14:19.027639,1772831659027512719
2026-03-06 21:14:19.074164,1772831659074027497
2026-03-06 21:14:19.074171,1772831659074027497
2026-03-06 21:14:19.129217,1772831659129106570
2026-03-06 21:14:19.129231,1772831659129106570
2026-03-06 21:14:19.176462,1772831659176309735
2026-03-06 21:14:19.176489,1772831659176309735
2026-03-06 21:14:19.231438,1772831659231285839
2026-03-06 21:14:19.231453,1772831659231285839
2026-03-06 21:14:19.278321,1772831659278193611
2026-03-06 21:14:19.278331,1772831659278193611
2026-03-06 21:14:19.333766,1772831659333584152
2026-03-06 21:14:19.333773,1772831659333584152
2026-03-06 21:14:19.380071,1772831659380011218
2026-03-06 21:14:19.380077,1772831659380011218
2026-03-06 21:14:19.435196,1772831659435028119
2026-03-06 21:14:19.435216,1772831659435028119
2026-03-06 21:14:19.482127,1772831659481887535
2026-03-06 21:14:19.482146,1772831659481887535
2026-03-06 21:14:19.537313,1772831659537145749
2026-03-06 21:14:19.537325,1772831659537145749
2026-03-06 21:14:19.584661,1772831659584356701
2026-03-06 21:14:19.584684,1772831659584356701
2026-03-06 21:14:19.63976,1772831659639216931
2026-03-06 21:14:19.639806,1772831659639216931
2026-03-06 21:14:19.686447,1772831659686059657
2026-03-06 21:14:19.686479,1772831659686059657
2026-03-06 21:14:19.741463,1772831659741136844
2026-03-06 21:14:19.741483,1772831659741136844
2026-03-06 21:14:19.788715,1772831659788384972
2026-03-06 21:14:19.788735,1772831659788384972
2026-03-06 21:14:19.843743,1772831659843453832
2026-03-06 21:14:19.843759,1772831659843453832
2026-03-06 21:14:19.890066,1772831659889884779
2026-03-06 21:14:19.890078,1772831659889884779
2026-03-06 21:14:19.945677,1772831659945407983
2026-03-06 21:14:19.945708,1772831659945407983
2026-03-06 21:14:19.992912,1772831659992462415
2026-03-06 21:14:19.99295,1772831659992462415
2026-03-06 21:14:20.047601,1772831660047441402
2026-03-06 21:14:20.047618,1772831660047441402
2026-03-06 21:14:20.09404,1772831660093896427
2026-03-06 21:14:20.094052,1772831660093896427
2026-03-06 21:14:20.149496,1772831660149196972
