time,ACT.Fuel_Fill_Vent.status
2026-03-06 21:14:18.309306,0
2026-03-06 21:14:18.309684,0
2026-03-06 21:14:18.310517,0
2026-03-06 21:14:18.310582,0
2026-03-06 21:14:18.31063,0
2026-03-06 21:14:18.311393,0
2026-03-06 21:14:18.312071,0
2026-03-06 21:14:18.312135,0
2026-03-06 21:14:18.312191,0
2026-03-06 21:14:18.312238,0
2026-03-06 21:14:18.312285,0
2026-03-06 21:14:18.312942,0
2026-03-06 21:14:18.313008,0
2026-03-06 21:14:18.313057,0
2026-03-06 21:14:18.313106,0
2026-03-06 21:14:18.313801,0
2026-03-06 21:14:18.31387,0
2026-03-06 21:14:18.314506,0
2026-03-06 21:14:18.314571,0
2026-03-06 21:14:18.316428,0
2026-03-06 21:14:18.316624,0
2026-03-06 21:14:18.316809,0
2026-03-06 21:14:18.316956,0
2026-03-06 21:14:18.317172,0
2026-03-06 21:14:18.317229,0
2026-03-06 21:14:18.318419,0
2026-03-06 21:14:18.319229,0
2026-03-06 21:14:18.319453,0
2026-03-06 21:14:18.319635,0
2026-03-06 21:14:18.319731,0
2026-03-06 21:14:18.360134,0
2026-03-06 21:14:18.415455,0
2026-03-06 21:14:18.462167,0
2026-03-06 21:14:18.517387,0
2026-03-06 21:14:18.564482,0
2026-03-06 21:14:18.619149,0
2026-03-06 21:14:18.665925,0
2026-03-06 21:14:18.721196,0
2026-03-06 21:14:18.768282,0
2026-03-06 21:14:18.823512,0
2026-03-06 21:14:18.870266,0
2026-03-06 21:14:18.92534,0
2026-03-06 21:14:18.972144,0
2026-03-06 21:14:19.027593,0
2026-03-06 21:14:19.074111,0
2026-03-06 21:14:19.129141,0
2026-03-06 21:14:19.176407,0
2026-03-06 21:14:19.231363,0
2026-03-06 21:14:19.278265,0
2026-03-06 21:14:19.333705,0
2026-03-06 21:14:19.380044,0
2026-03-06 21:14:19.435109,0
2026-03-06 21:14:19.482018,0
2026-03-06 21:14:19.537244,0
2026-03-06 21:14:19.584519,0
2026-03-06 21:14:19.639622,0
2026-03-06 21:14:19.686269,0
2026-03-06 21:14:19.741326,0
2026-03-06 21:14:19.788568,0
2026-03-06 21:14:19.843634,0
2026-03-06 21:14:19.889987,0
2026-03-06 21:14:19.94553,0
2026-03-06 21:14:19.992653,0
2026-03-06 21:14:20.04751,0
2026-03-06 21:14:20.093962,0
2026-03-06 21:14:20.149363,0
2026-03-06 21:14:20.196355,0
2026-03-06 21:14:20.25117,0
2026-03-06 21:14:20.298378,0
2026-03-06 21:14:20.353385,0
2026-03-06 21:14:20.400377,0
2026-03-06 21:14:20.455689,0
2026-03-06 21:14:20.502157,0
2026-03-06 21:14:20.557388,0
2026-03-06 21:14:20.604428,0
2026-03-06 21:14:20.65909,0
2026-03-06 21:14:20.706205,0
2026-03-06 21:14:20.761644,0
2026-03-06 21:14:20.808725,0
2026-03-06 21:14:20.863255,0
2026-03-06 21:14:20.910142,0
2026-03-06 21:14:20.965636,0
2026-03-06 21:14:21.012379,0
2026-03-06 21:14:21.067163,0
2026-03-06 21:14:21.114473,0
2026-03-06 21:14:21.169666,0
2026-03-06 21:14:21.216155,0
2026-03-06 21:14:21.271595,0
2026-03-06 21:14:21.318239,0
2026-03-06 21:14:21.373392,0
2026-03-06 21:14:21.420201,0
2026-03-06 21:14:21.47544,0
2026-03-06 21:14:21.522439,0
2026-03-06 21:14:21.577272,0
2026-03-06 21:14:21.624285,0
2026-03-06 21:14:21.679372,0
2026-03-06 21:14:21.726014,0
2026-03-06 21:14:21.781696,0
2026-03-06 21:14:21.828064,0
2026-03-06 21:14:21.883214,0
2026-03-06 21:14:21.930287,0
2026-03-06 21:14:21.98576,0
2026-03-06 21:14:22.032507,0
2026-03-06 21:14:22.087748,0
2026-03-06 21:14:22.134312,0
2026-03-06 21:14:22.18957,0
2026-03-06 21:14:22.236365,0
2026-03-06 21:14:22.291363,0
2026-03-06 21:14:22.338133,0
2026-03-06 21:14:22.39343,0
2026-03-06 21:14:22.440306,0
2026-03-06 21:14:22.495413,0
2026-03-06 21:14:22.542418,0
2026-03-06 21:14:22.597689,0
2026-03-06 21:14:22.644547,0
2026-03-06 21:14:22.699576,0
2026-03-06 21:14:22.746276,0
2026-03-06 21:14:22.801415,0
2026-03-06 21:14:22.848207,0
2026-03-06 21:14:22.903578,0
2026-03-06 21:14:22.950378,0
2026-03-06 21:14:23.005239,0
2026-03-06 21:14:23.052229,0
2026-03-06 21:14:23.107625,0
2026-03-06 21:14:23.154284,0
2026-03-06 21:14:23.209327,0
2026-03-06 21:14:23.256187,0
2026-03-06 21:14:23.311507,0
2026-03-06 21:14:23.358061,0
2026-03-06 21:14:23.413286,0
2026-03-06 21:14:23.460284,0
2026-03-06 21:14:23.515372,0
2026-03-06 21:14:23.562478,0
2026-03-06 21:14:23.617764,0
2026-03-06 21:14:23.664459,0
2026-03-06 21:14:23.719321,0
2026-03-06 21:14:23.766432,0
2026-03-06 21:14:23.821497,0
2026-03-06 21:14:23.868181,0
2026-03-06 21:14:23.923785,0
2026-03-06 21:14:23.970405,0
2026-03-06 21:14:24.026352,0
2026-03-06 21:14:24.072041,0
2026-03-06 21:14:24.127858,0
2026-03-06 21:14:24.174121,0
2026-03-06 21:14:24.229446,0
2026-03-06 21:14:24.276112,0
2026-03-06 21:14:24.331311,0
2026-03-06 21:14:24.378362,0
2026-03-06 21:14:24.433576,0
2026-03-06 21:14:24.480458,0
2026-03-06 21:14:24.535297,0
2026-03-06 21:14:24.582015,0
2026-03-06 21:14:24.637613,0
2026-03-06 21:14:24.684434,0
2026-03-06 21:14:24.73959,0
2026-03-06 21:14:24.786359,0
2026-03-06 21:14:24.841154,0
2026-03-06 21:14:24.888313,0
