time,ACT.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:20.196609,1772831660196279609
2026-03-06 21:14:20.196623,1772831660196279609
2026-03-06 21:14:20.251393,1772831660251105672
2026-03-06 21:14:20.251409,1772831660251105672
2026-03-06 21:14:20.298634,1772831660298303396
2026-03-06 21:14:20.298652,1772831660298303396
2026-03-06 21:14:20.353657,1772831660353315887
2026-03-06 21:14:20.353674,1772831660353315887
2026-03-06 21:14:20.400567,1772831660400264025
2026-03-06 21:14:20.400579,1772831660400264025
2026-03-06 21:14:20.455968,1772831660455571388
2026-03-06 21:14:20.455985,1772831660455571388
2026-03-06 21:14:20.50239,1772831660502092083
2026-03-06 21:14:20.502404,1772831660502092083
2026-03-06 21:14:20.557641,1772831660557321493
2026-03-06 21:14:20.557657,1772831660557321493
2026-03-06 21:14:20.604717,1772831660604347000
2026-03-06 21:14:20.604736,1772831660604347000
2026-03-06 21:14:20.659301,1772831660659031887
2026-03-06 21:14:20.659316,1772831660659031887
2026-03-06 21:14:20.706445,1772831660706132804
2026-03-06 21:14:20.706465,1772831660706132804
2026-03-06 21:14:20.761873,1772831660761571756
2026-03-06 21:14:20.761886,1772831660761571756
2026-03-06 21:14:20.808887,1772831660808377820
2026-03-06 21:14:20.808901,1772831660808377820
2026-03-06 21:14:20.863487,1772831660863168110
2026-03-06 21:14:20.863502,1772831660863168110
2026-03-06 21:14:20.910373,1772831660909928349
2026-03-06 21:14:20.910392,1772831660909928349
2026-03-06 21:14:20.96586,1772831660965557174
2026-03-06 21:14:20.965874,1772831660965557174
2026-03-06 21:14:21.012543,1772831661012023760
2026-03-06 21:14:21.012558,1772831661012023760
2026-03-06 21:14:21.0675,1772831661067058878
2026-03-06 21:14:21.067521,1772831661067058878
2026-03-06 21:14:21.114785,1772831661114372282
2026-03-06 21:14:21.114809,1772831661114372282
2026-03-06 21:14:21.170198,1772831661169504322
2026-03-06 21:14:21.170234,1772831661169504322
2026-03-06 21:14:21.21641,1772831661216093006
2026-03-06 21:14:21.216431,1772831661216093006
2026-03-06 21:14:21.27187,1772831661271518844
2026-03-06 21:14:21.271887,1772831661271518844
2026-03-06 21:14:21.318587,1772831661318096393
2026-03-06 21:14:21.318615,1772831661318096393
2026-03-06 21:14:21.373776,1772831661373146923
2026-03-06 21:14:21.3738,1772831661373146923
2026-03-06 21:14:21.420591,1772831661420076182
2026-03-06 21:14:21.420629,1772831661420076182
2026-03-06 21:14:21.475889,1772831661475334545
2026-03-06 21:14:21.47592,1772831661475334545
2026-03-06 21:14:21.522865,1772831661522344859
2026-03-06 21:14:21.522895,1772831661522344859
2026-03-06 21:14:21.5776,1772831661577178645
2026-03-06 21:14:21.577621,1772831661577178645
2026-03-06 21:14:21.624672,1772831661624148703
2026-03-06 21:14:21.624698,1772831661624148703
2026-03-06 21:14:21.679868,1772831661679233585
2026-03-06 21:14:21.67991,1772831661679233585
2026-03-06 21:14:21.726391,1772831661725888758
2026-03-06 21:14:21.726418,1772831661725888758
2026-03-06 21:14:21.782153,1772831661781569229
2026-03-06 21:14:21.782194,1772831661781569229
2026-03-06 21:14:21.828483,1772831661827955305
2026-03-06 21:14:21.828508,1772831661827955305
2026-03-06 21:14:21.883471,1772831661883130420
2026-03-06 21:14:21.883488,1772831661883130420
