time,ACT.LOX_Dump.raw_adc_counts
2026-03-06 21:14:18.309572,0
2026-03-06 21:14:18.309709,0
2026-03-06 21:14:18.310543,0
2026-03-06 21:14:18.310605,0
2026-03-06 21:14:18.310654,0
2026-03-06 21:14:18.311418,0
2026-03-06 21:14:18.312096,0
2026-03-06 21:14:18.312163,0
2026-03-06 21:14:18.312215,0
2026-03-06 21:14:18.312261,0
2026-03-06 21:14:18.312309,0
2026-03-06 21:14:18.312967,0
2026-03-06 21:14:18.313031,0
2026-03-06 21:14:18.313081,0
2026-03-06 21:14:18.313129,0
2026-03-06 21:14:18.313826,0
2026-03-06 21:14:18.313893,0
2026-03-06 21:14:18.314531,0
2026-03-06 21:14:18.314595,0
2026-03-06 21:14:18.31645,0
2026-03-06 21:14:18.316638,0
2026-03-06 21:14:18.316823,0
2026-03-06 21:14:18.31697,0
2026-03-06 21:14:18.317185,0
2026-03-06 21:14:18.317242,0
2026-03-06 21:14:18.318445,0
2026-03-06 21:14:18.31926,0
2026-03-06 21:14:18.319467,0
2026-03-06 21:14:18.319649,0
2026-03-06 21:14:18.319744,0
2026-03-06 21:14:18.360195,0
2026-03-06 21:14:18.415514,0
2026-03-06 21:14:18.462221,0
2026-03-06 21:14:18.517441,0
2026-03-06 21:14:18.56456,0
2026-03-06 21:14:18.619195,0
2026-03-06 21:14:18.665965,0
2026-03-06 21:14:18.721255,0
2026-03-06 21:14:18.768319,0
2026-03-06 21:14:18.823583,0
2026-03-06 21:14:18.870354,0
2026-03-06 21:14:18.925401,0
2026-03-06 21:14:18.972208,0
2026-03-06 21:14:19.027662,0
2026-03-06 21:14:19.074201,0
2026-03-06 21:14:19.129286,0
2026-03-06 21:14:19.176532,0
2026-03-06 21:14:19.231509,0
2026-03-06 21:14:19.278362,0
2026-03-06 21:14:19.333804,0
2026-03-06 21:14:19.380105,0
2026-03-06 21:14:19.43529,0
2026-03-06 21:14:19.48223,0
2026-03-06 21:14:19.537367,0
2026-03-06 21:14:19.58478,0
2026-03-06 21:14:19.639942,0
2026-03-06 21:14:19.686601,0
2026-03-06 21:14:19.74156,0
2026-03-06 21:14:19.78884,0
2026-03-06 21:14:19.843832,0
2026-03-06 21:14:19.890137,0
2026-03-06 21:14:19.945834,0
2026-03-06 21:14:19.99314,0
2026-03-06 21:14:20.047688,0
