time,ACT.GSE_LOX_Fill_Vent.timestamp_ns
2026-03-06 21:14:18.30938,1772831658309093118
2026-03-06 21:14:18.309402,1772831658309093118
2026-03-06 21:14:18.309688,1772831658309213693
2026-03-06 21:14:18.309691,1772831658309213693
2026-03-06 21:14:18.310522,1772831658310425613
2026-03-06 21:14:18.310524,1772831658310425613
2026-03-06 21:14:18.310585,1772831658310468422
2026-03-06 21:14:18.310587,1772831658310468422
2026-03-06 21:14:18.310634,1772831658310503387
2026-03-06 21:14:18.310636,1772831658310503387
2026-03-06 21:14:18.311398,1772831658311275512
2026-03-06 21:14:18.3114,1772831658311275512
2026-03-06 21:14:18.312076,1772831658311994022
2026-03-06 21:14:18.312078,1772831658311994022
2026-03-06 21:14:18.312138,1772831658312040349
2026-03-06 21:14:18.31214,1772831658312040349
2026-03-06 21:14:18.312195,1772831658312076808
2026-03-06 21:14:18.312197,1772831658312076808
2026-03-06 21:14:18.312241,1772831658312112398
2026-03-06 21:14:18.312243,1772831658312112398
2026-03-06 21:14:18.312289,1772831658312150962
2026-03-06 21:14:18.312291,1772831658312150962
2026-03-06 21:14:18.312947,1772831658312861207
2026-03-06 21:14:18.312949,1772831658312861207
2026-03-06 21:14:18.313011,1772831658312906991
2026-03-06 21:14:18.313013,1772831658312906991
2026-03-06 21:14:18.313061,1772831658312943190
2026-03-06 21:14:18.313063,1772831658312943190
2026-03-06 21:14:18.313109,1772831658312978799
2026-03-06 21:14:18.313111,1772831658312978799
2026-03-06 21:14:18.313806,1772831658313725280
2026-03-06 21:14:18.313808,1772831658313725280
2026-03-06 21:14:18.313873,1772831658313771252
2026-03-06 21:14:18.313875,1772831658313771252
2026-03-06 21:14:18.31451,1772831658314424195
2026-03-06 21:14:18.314513,1772831658314424195
2026-03-06 21:14:18.314575,1772831658314467633
2026-03-06 21:14:18.314577,1772831658314467633
2026-03-06 21:14:18.316432,1772831658315627394
2026-03-06 21:14:18.316434,1772831658315627394
2026-03-06 21:14:18.316626,1772831658315794290
2026-03-06 21:14:18.316627,1772831658315794290
2026-03-06 21:14:18.316811,1772831658316587580
2026-03-06 21:14:18.316812,1772831658316587580
2026-03-06 21:14:18.316958,1772831658316797859
2026-03-06 21:14:18.316959,1772831658316797859
2026-03-06 21:14:18.317174,1772831658317057713
2026-03-06 21:14:18.317175,1772831658317057713
2026-03-06 21:14:18.317231,1772831658317154564
2026-03-06 21:14:18.317232,1772831658317154564
2026-03-06 21:14:18.318423,1772831658318202747
2026-03-06 21:14:18.318425,1772831658318202747
2026-03-06 21:14:18.319243,1772831658319080869
2026-03-06 21:14:18.319245,1772831658319080869
2026-03-06 21:14:18.319455,1772831658319313366
2026-03-06 21:14:18.319456,1772831658319313366
2026-03-06 21:14:18.319637,1772831658319562073
2026-03-06 21:14:18.319638,1772831658319562073
2026-03-06 21:14:18.319733,1772831658319659175
2026-03-06 21:14:18.319734,1772831658319659175
2026-03-06 21:14:18.360148,1772831658360069515
2026-03-06 21:14:18.360154,1772831658360069515
2026-03-06 21:14:18.415472,1772831658415365374
2026-03-06 21:14:18.415478,1772831658415365374
2026-03-06 21:14:18.462181,1772831658461980468
2026-03-06 21:14:18.462186,1772831658461980468
2026-03-06 21:14:18.517402,1772831658517325984
2026-03-06 21:14:18.517407,1772831658517325984
2026-03-06 21:14:18.564512,1772831658564423237
2026-03-06 21:14:18.564523,1772831658564423237
2026-03-06 21:14:18.619163,1772831658619050067
2026-03-06 21:14:18.619167,1772831658619050067
2026-03-06 21:14:18.665935,1772831658665875646
2026-03-06 21:14:18.665938,1772831658665875646
2026-03-06 21:14:18.721213,1772831658721154479
2026-03-06 21:14:18.721225,1772831658721154479
2026-03-06 21:14:18.768289,1772831658768259610
2026-03-06 21:14:18.768293,1772831658768259610
2026-03-06 21:14:18.82353,1772831658823457706
2026-03-06 21:14:18.823542,1772831658823457706
2026-03-06 21:14:18.870293,1772831658870171614
2026-03-06 21:14:18.870306,1772831658870171614
2026-03-06 21:14:18.925357,1772831658925245068
2026-03-06 21:14:18.925362,1772831658925245068
2026-03-06 21:14:18.972172,1772831658972065871
2026-03-06 21:14:18.972178,1772831658972065871
2026-03-06 21:14:19.027622,1772831659027512719
2026-03-06 21:14:19.027627,1772831659027512719
2026-03-06 21:14:19.074134,1772831659074027497
2026-03-06 21:14:19.074152,1772831659074027497
2026-03-06 21:14:19.129173,1772831659129106570
2026-03-06 21:14:19.129187,1772831659129106570
2026-03-06 21:14:19.176435,1772831659176309735
2026-03-06 21:14:19.176448,1772831659176309735
2026-03-06 21:14:19.231393,1772831659231285839
2026-03-06 21:14:19.231417,1772831659231285839
2026-03-06 21:14:19.278286,1772831659278193611
2026-03-06 21:14:19.278308,1772831659278193611
2026-03-06 21:14:19.333737,1772831659333584152
2026-03-06 21:14:19.333754,1772831659333584152
2026-03-06 21:14:19.380054,1772831659380011218
2026-03-06 21:14:19.38006,1772831659380011218
2026-03-06 21:14:19.435131,1772831659435028119
2026-03-06 21:14:19.435145,1772831659435028119
2026-03-06 21:14:19.482055,1772831659481887535
2026-03-06 21:14:19.48207,1772831659481887535
2026-03-06 21:14:19.537268,1772831659537145749
2026-03-06 21:14:19.537298,1772831659537145749
2026-03-06 21:14:19.584564,1772831659584356701
2026-03-06 21:14:19.584627,1772831659584356701
2026-03-06 21:14:19.639668,1772831659639216931
2026-03-06 21:14:19.639703,1772831659639216931
2026-03-06 21:14:19.686317,1772831659686059657
2026-03-06 21:14:19.686393,1772831659686059657
2026-03-06 21:14:19.741412,1772831659741136844
2026-03-06 21:14:19.741434,1772831659741136844
2026-03-06 21:14:19.788622,1772831659788384972
2026-03-06 21:14:19.788678,1772831659788384972
2026-03-06 21:14:19.843689,1772831659843453832
2026-03-06 21:14:19.843714,1772831659843453832
2026-03-06 21:14:19.890024,1772831659889884779
2026-03-06 21:14:19.890044,1772831659889884779
2026-03-06 21:14:19.945587,1772831659945407983
2026-03-06 21:14:19.945623,1772831659945407983
2026-03-06 21:14:19.992786,1772831659992462415
2026-03-06 21:14:19.992835,1772831659992462415
2026-03-06 21:14:20.047539,1772831660047441402
2026-03-06 21:14:20.047555,1772831660047441402
2026-03-06 21:14:20.094003,1772831660093896427
2026-03-06 21:14:20.094021,1772831660093896427
2026-03-06 21:14:20.14943,1772831660149196972
2026-03-06 21:14:20.149469,1772831660149196972
2026-03-06 21:14:20.196381,1772831660196279609
2026-03-06 21:14:20.196417,1772831660196279609
2026-03-06 21:14:20.251192,1772831660251105672
2026-03-06 21:14:20.251223,1772831660251105672
2026-03-06 21:14:20.298419,1772831660298303396
2026-03-06 21:14:20.298436,1772831660298303396
2026-03-06 21:14:20.353432,1772831660353315887
2026-03-06 21:14:20.353453,1772831660353315887
2026-03-06 21:14:20.400414,1772831660400264025
2026-03-06 21:14:20.400426,1772831660400264025
2026-03-06 21:14:20.455748,1772831660455571388
2026-03-06 21:14:20.455766,1772831660455571388
2026-03-06 21:14:20.502187,1772831660502092083
2026-03-06 21:14:20.502213,1772831660502092083
2026-03-06 21:14:20.55742,1772831660557321493
2026-03-06 21:14:20.557454,1772831660557321493
2026-03-06 21:14:20.604477,1772831660604347000
2026-03-06 21:14:20.604499,1772831660604347000
2026-03-06 21:14:20.659118,1772831660659031887
2026-03-06 21:14:20.659132,1772831660659031887
2026-03-06 21:14:20.706247,1772831660706132804
2026-03-06 21:14:20.706265,1772831660706132804
2026-03-06 21:14:20.761686,1772831660761571756
2026-03-06 21:14:20.761703,1772831660761571756
2026-03-06 21:14:20.808744,1772831660808377820
2026-03-06 21:14:20.808757,1772831660808377820
2026-03-06 21:14:20.863296,1772831660863168110
2026-03-06 21:14:20.863313,1772831660863168110
2026-03-06 21:14:20.910193,1772831660909928349
