time,PT_Cal.Ox_Downstream.raw_adc
2026-03-06 21:14:19.092767,198250952
2026-03-06 21:14:19.09283,198093181
2026-03-06 21:14:19.093285,198250952
2026-03-06 21:14:19.203183,198159930
2026-03-06 21:14:19.203713,198159930
2026-03-06 21:14:19.312108,197421639
2026-03-06 21:14:19.312166,198101272
2026-03-06 21:14:19.312236,197421639
2026-03-06 21:14:19.421097,198704715
2026-03-06 21:14:19.42137,198704715
2026-03-06 21:14:19.421574,198681117
2026-03-06 21:14:19.529617,198241514
2026-03-06 21:14:19.529701,191759383
2026-03-06 21:14:19.529775,198391194
2026-03-06 21:14:19.529856,198172067
2026-03-06 21:14:19.530036,198241514
2026-03-06 21:14:19.639647,197595593
2026-03-06 21:14:19.640191,198236119
2026-03-06 21:14:19.640516,198077674
2026-03-06 21:14:19.64302,197595593
2026-03-06 21:14:19.748107,198662912
2026-03-06 21:14:19.748386,197486365
2026-03-06 21:14:19.748697,198027105
2026-03-06 21:14:19.748811,198662912
2026-03-06 21:14:19.749055,197536259
2026-03-06 21:14:19.857463,198133635
2026-03-06 21:14:19.857708,198060143
2026-03-06 21:14:19.857972,198792366
2026-03-06 21:14:19.85825,198133635
2026-03-06 21:14:19.858278,198056097
2026-03-06 21:14:19.966176,198147794
2026-03-06 21:14:19.966541,197739880
2026-03-06 21:14:19.966921,197944849
2026-03-06 21:14:19.967269,198226006
2026-03-06 21:14:19.967818,198732360
2026-03-06 21:14:19.968255,198147794
2026-03-06 21:14:20.074867,197449957
2026-03-06 21:14:20.074905,198228029
2026-03-06 21:14:20.074981,197897652
2026-03-06 21:14:20.075061,197911137
2026-03-06 21:14:20.075141,197095307
2026-03-06 21:14:20.075226,197548396
2026-03-06 21:14:20.075301,197519404
2026-03-06 21:14:20.075386,197098679
2026-03-06 21:14:20.075858,197449957
2026-03-06 21:14:20.183627,191393945
2026-03-06 21:14:20.18369,198240839
2026-03-06 21:14:20.183769,197517381
2026-03-06 21:14:20.183845,198063514
2026-03-06 21:14:20.183932,198130264
2026-03-06 21:14:20.183959,191393945
2026-03-06 21:14:20.292692,198316353
2026-03-06 21:14:20.292771,197391299
2026-03-06 21:14:20.292853,198045984
2026-03-06 21:14:20.29294,198112734
2026-03-06 21:14:20.293034,197793144
2026-03-06 21:14:20.293392,198316353
2026-03-06 21:14:20.401353,198105991
2026-03-06 21:14:20.40148,197409503
2026-03-06 21:14:20.402296,198105991
2026-03-06 21:14:20.510702,198226006
2026-03-06 21:14:20.510779,198605602
2026-03-06 21:14:20.510904,198071605
2026-03-06 21:14:20.511,198124869
2026-03-06 21:14:20.511092,198795064
2026-03-06 21:14:20.511235,198226006
2026-03-06 21:14:20.619511,198467383
2026-03-06 21:14:20.619546,198040590
2026-03-06 21:14:20.619796,198467383
2026-03-06 21:14:20.619857,198114756
2026-03-06 21:14:20.61992,198061492
2026-03-06 21:14:20.619969,198206453
2026-03-06 21:14:20.620007,198517277
2026-03-06 21:14:20.728596,197857198
2026-03-06 21:14:20.728692,198706738
2026-03-06 21:14:20.728778,198646731
2026-03-06 21:14:20.728879,191337309
2026-03-06 21:14:20.729962,197857198
2026-03-06 21:14:20.837813,197414896
2026-03-06 21:14:20.837855,198222634
2026-03-06 21:14:20.837901,198643359
2026-03-06 21:14:20.837941,198805851
2026-03-06 21:14:20.83802,197571320
2026-03-06 21:14:20.838099,198087112
2026-03-06 21:14:20.838177,197414896
2026-03-06 21:14:20.838195,198447156
2026-03-06 21:14:20.838287,198215892
2026-03-06 21:14:20.838376,198070930
2026-03-06 21:14:20.946917,198154536
2026-03-06 21:14:20.947004,198675049
2026-03-06 21:14:20.947095,198600208
2026-03-06 21:14:20.947218,198604253
2026-03-06 21:14:20.947327,198633245
2026-03-06 21:14:20.947484,198751238
2026-03-06 21:14:20.9477,198154536
2026-03-06 21:14:21.055778,198238816
2026-03-06 21:14:21.055841,198121499
2026-03-06 21:14:21.055946,198048682
