time,ACT.LOX_Fill.status
2026-03-06 21:14:18.30954,0
2026-03-06 21:14:18.309706,0
2026-03-06 21:14:18.31054,0
2026-03-06 21:14:18.310602,0
2026-03-06 21:14:18.31065,0
2026-03-06 21:14:18.311415,0
2026-03-06 21:14:18.312092,0
2026-03-06 21:14:18.312155,0
2026-03-06 21:14:18.312211,0
2026-03-06 21:14:18.312258,0
2026-03-06 21:14:18.312305,0
2026-03-06 21:14:18.312964,0
2026-03-06 21:14:18.313028,0
2026-03-06 21:14:18.313078,0
2026-03-06 21:14:18.313125,0
2026-03-06 21:14:18.313823,0
2026-03-06 21:14:18.31389,0
2026-03-06 21:14:18.314527,0
2026-03-06 21:14:18.314591,0
2026-03-06 21:14:18.316447,0
2026-03-06 21:14:18.316636,0
2026-03-06 21:14:18.316821,0
2026-03-06 21:14:18.316968,0
2026-03-06 21:14:18.317183,0
2026-03-06 21:14:18.31724,0
2026-03-06 21:14:18.318441,0
2026-03-06 21:14:18.319257,0
2026-03-06 21:14:18.319465,0
2026-03-06 21:14:18.319647,0
2026-03-06 21:14:18.319742,0
2026-03-06 21:14:18.360189,0
2026-03-06 21:14:18.415508,0
2026-03-06 21:14:18.462214,0
2026-03-06 21:14:18.517435,0
2026-03-06 21:14:18.564555,0
2026-03-06 21:14:18.61919,0
2026-03-06 21:14:18.66596,0
2026-03-06 21:14:18.721251,0
2026-03-06 21:14:18.768315,0
2026-03-06 21:14:18.823579,0
2026-03-06 21:14:18.870346,0
2026-03-06 21:14:18.925395,0
2026-03-06 21:14:18.972204,0
2026-03-06 21:14:19.027655,0
2026-03-06 21:14:19.074192,0
2026-03-06 21:14:19.129269,0
2026-03-06 21:14:19.17652,0
2026-03-06 21:14:19.231492,0
2026-03-06 21:14:19.278354,0
2026-03-06 21:14:19.333796,0
2026-03-06 21:14:19.380095,0
2026-03-06 21:14:19.435271,0
2026-03-06 21:14:19.482205,0
2026-03-06 21:14:19.537355,0
2026-03-06 21:14:19.584751,0
2026-03-06 21:14:19.639909,0
2026-03-06 21:14:19.686562,0
2026-03-06 21:14:19.741537,0
2026-03-06 21:14:19.788808,0
2026-03-06 21:14:19.843809,0
2026-03-06 21:14:19.89012,0
2026-03-06 21:14:19.945788,0
2026-03-06 21:14:19.993078,0
2026-03-06 21:14:20.047668,0
2026-03-06 21:14:20.094094,0
2026-03-06 21:14:20.149564,0
2026-03-06 21:14:20.196507,0
2026-03-06 21:14:20.251301,0
2026-03-06 21:14:20.298527,0
2026-03-06 21:14:20.353539,0
2026-03-06 21:14:20.40049,0
2026-03-06 21:14:20.455849,0
2026-03-06 21:14:20.502292,0
2026-03-06 21:14:20.557543,0
2026-03-06 21:14:20.604594,0
2026-03-06 21:14:20.659219,0
2026-03-06 21:14:20.70634,0
2026-03-06 21:14:20.761782,0
2026-03-06 21:14:20.808835,0
2026-03-06 21:14:20.863389,0
2026-03-06 21:14:20.910281,0
2026-03-06 21:14:20.965768,0
2026-03-06 21:14:21.012489,0
2026-03-06 21:14:21.067356,0
2026-03-06 21:14:21.114669,0
2026-03-06 21:14:21.169972,0
2026-03-06 21:14:21.216318,0
2026-03-06 21:14:21.271749,0
2026-03-06 21:14:21.31844,0
2026-03-06 21:14:21.373608,0
2026-03-06 21:14:21.420433,0
2026-03-06 21:14:21.475691,0
2026-03-06 21:14:21.522705,0
2026-03-06 21:14:21.577463,0
2026-03-06 21:14:21.624511,0
2026-03-06 21:14:21.679663,0
2026-03-06 21:14:21.726238,0
2026-03-06 21:14:21.781957,0
2026-03-06 21:14:21.828303,0
2026-03-06 21:14:21.883363,0
2026-03-06 21:14:21.930482,0
2026-03-06 21:14:21.986003,0
2026-03-06 21:14:22.032759,0
2026-03-06 21:14:22.088082,0
2026-03-06 21:14:22.134603,0
2026-03-06 21:14:22.189828,0
2026-03-06 21:14:22.23656,0
2026-03-06 21:14:22.291646,0
2026-03-06 21:14:22.338313,0
2026-03-06 21:14:22.393747,0
2026-03-06 21:14:22.440524,0
2026-03-06 21:14:22.49574,0
2026-03-06 21:14:22.542603,0
2026-03-06 21:14:22.597909,0
2026-03-06 21:14:22.644697,0
2026-03-06 21:14:22.699706,0
2026-03-06 21:14:22.746412,0
2026-03-06 21:14:22.801573,0
2026-03-06 21:14:22.848364,0
2026-03-06 21:14:22.903761,0
2026-03-06 21:14:22.950483,0
2026-03-06 21:14:23.005361,0
2026-03-06 21:14:23.052375,0
2026-03-06 21:14:23.107797,0
2026-03-06 21:14:23.154429,0
2026-03-06 21:14:23.209475,0
2026-03-06 21:14:23.256325,0
2026-03-06 21:14:23.311716,0
2026-03-06 21:14:23.358192,0
2026-03-06 21:14:23.413447,0
2026-03-06 21:14:23.460412,0
2026-03-06 21:14:23.515483,0
2026-03-06 21:14:23.562635,0
2026-03-06 21:14:23.617942,0
2026-03-06 21:14:23.664685,0
2026-03-06 21:14:23.719604,0
2026-03-06 21:14:23.766576,0
2026-03-06 21:14:23.821706,0
2026-03-06 21:14:23.868317,0
2026-03-06 21:14:23.923925,0
2026-03-06 21:14:23.970632,0
2026-03-06 21:14:24.026554,0
2026-03-06 21:14:24.072258,0
2026-03-06 21:14:24.127969,0
2026-03-06 21:14:24.174281,0
2026-03-06 21:14:24.229568,0
2026-03-06 21:14:24.276251,0
2026-03-06 21:14:24.331459,0
2026-03-06 21:14:24.378648,0
2026-03-06 21:14:24.433747,0
2026-03-06 21:14:24.480667,0
2026-03-06 21:14:24.535565,0
2026-03-06 21:14:24.582151,0
2026-03-06 21:14:24.637875,0
2026-03-06 21:14:24.684616,0
2026-03-06 21:14:24.739819,0
2026-03-06 21:14:24.786546,0
2026-03-06 21:14:24.84134,0
2026-03-06 21:14:24.888474,0
2026-03-06 21:14:24.943691,0
2026-03-06 21:14:24.990562,0
2026-03-06 21:14:25.045963,0
2026-03-06 21:14:25.092629,0
2026-03-06 21:14:25.147438,0
2026-03-06 21:14:25.194583,0
2026-03-06 21:14:25.249591,0
2026-03-06 21:14:25.296492,0
2026-03-06 21:14:25.351533,0
2026-03-06 21:14:25.398858,0
2026-03-06 21:14:25.453418,0
2026-03-06 21:14:25.500509,0
2026-03-06 21:14:25.555838,0
2026-03-06 21:14:25.602744,0
2026-03-06 21:14:25.657865,0
2026-03-06 21:14:25.704528,0
2026-03-06 21:14:25.759449,0
2026-03-06 21:14:25.8065,0
2026-03-06 21:14:25.861445,0
2026-03-06 21:14:25.908427,0
2026-03-06 21:14:25.963427,0
2026-03-06 21:14:26.010219,0
2026-03-06 21:14:26.06584,0
2026-03-06 21:14:26.112763,0
2026-03-06 21:14:26.167549,0
