time,ACT.GSE_High_Press_Control.timestamp_ns
2026-03-06 21:14:18.309408,1772831658309093118
2026-03-06 21:14:18.309435,1772831658309093118
2026-03-06 21:14:18.309692,1772831658309213693
2026-03-06 21:14:18.309694,1772831658309213693
2026-03-06 21:14:18.310526,1772831658310425613
2026-03-06 21:14:18.310528,1772831658310425613
2026-03-06 21:14:18.310588,1772831658310468422
2026-03-06 21:14:18.31059,1772831658310468422
2026-03-06 21:14:18.310637,1772831658310503387
2026-03-06 21:14:18.310639,1772831658310503387
2026-03-06 21:14:18.311401,1772831658311275512
2026-03-06 21:14:18.311403,1772831658311275512
2026-03-06 21:14:18.312079,1772831658311994022
2026-03-06 21:14:18.312081,1772831658311994022
2026-03-06 21:14:18.312141,1772831658312040349
2026-03-06 21:14:18.312144,1772831658312040349
2026-03-06 21:14:18.312198,1772831658312076808
2026-03-06 21:14:18.3122,1772831658312076808
2026-03-06 21:14:18.312244,1772831658312112398
2026-03-06 21:14:18.312246,1772831658312112398
2026-03-06 21:14:18.312292,1772831658312150962
2026-03-06 21:14:18.312294,1772831658312150962
2026-03-06 21:14:18.31295,1772831658312861207
2026-03-06 21:14:18.312953,1772831658312861207
2026-03-06 21:14:18.313015,1772831658312906991
2026-03-06 21:14:18.313017,1772831658312906991
2026-03-06 21:14:18.313064,1772831658312943190
2026-03-06 21:14:18.313066,1772831658312943190
2026-03-06 21:14:18.313112,1772831658312978799
2026-03-06 21:14:18.313114,1772831658312978799
2026-03-06 21:14:18.31381,1772831658313725280
2026-03-06 21:14:18.313812,1772831658313725280
2026-03-06 21:14:18.313876,1772831658313771252
2026-03-06 21:14:18.313879,1772831658313771252
2026-03-06 21:14:18.314514,1772831658314424195
2026-03-06 21:14:18.314516,1772831658314424195
2026-03-06 21:14:18.314578,1772831658314467633
2026-03-06 21:14:18.31458,1772831658314467633
2026-03-06 21:14:18.316435,1772831658315627394
2026-03-06 21:14:18.316437,1772831658315627394
2026-03-06 21:14:18.316628,1772831658315794290
2026-03-06 21:14:18.316629,1772831658315794290
2026-03-06 21:14:18.316813,1772831658316587580
2026-03-06 21:14:18.316814,1772831658316587580
2026-03-06 21:14:18.31696,1772831658316797859
2026-03-06 21:14:18.316961,1772831658316797859
2026-03-06 21:14:18.317175,1772831658317057713
2026-03-06 21:14:18.317177,1772831658317057713
2026-03-06 21:14:18.317233,1772831658317154564
2026-03-06 21:14:18.317234,1772831658317154564
2026-03-06 21:14:18.318426,1772831658318202747
2026-03-06 21:14:18.318428,1772831658318202747
2026-03-06 21:14:18.319245,1772831658319080869
2026-03-06 21:14:18.319247,1772831658319080869
2026-03-06 21:14:18.319457,1772831658319313366
2026-03-06 21:14:18.319459,1772831658319313366
2026-03-06 21:14:18.319639,1772831658319562073
2026-03-06 21:14:18.31964,1772831658319562073
2026-03-06 21:14:18.319735,1772831658319659175
2026-03-06 21:14:18.319736,1772831658319659175
2026-03-06 21:14:18.360156,1772831658360069515
2026-03-06 21:14:18.360167,1772831658360069515
2026-03-06 21:14:18.41548,1772831658415365374
2026-03-06 21:14:18.415485,1772831658415365374
2026-03-06 21:14:18.462187,1772831658461980468
