time,PT_Cal.Fuel_Downstream.raw_adc
2026-03-06 21:14:19.092634,229695422
2026-03-06 21:14:19.092806,229677891
2026-03-06 21:14:19.092843,229764869
2026-03-06 21:14:19.092971,229695422
2026-03-06 21:14:19.202914,229632044
2026-03-06 21:14:19.203124,229632044
2026-03-06 21:14:19.312047,229576757
2026-03-06 21:14:19.312136,229730482
2026-03-06 21:14:19.312188,229574059
2026-03-06 21:14:19.312201,229576757
2026-03-06 21:14:19.420843,228995562
2026-03-06 21:14:19.420961,228995562
2026-03-06 21:14:19.421319,229617884
2026-03-06 21:14:19.529573,229546415
2026-03-06 21:14:19.529644,229609794
2026-03-06 21:14:19.529733,229429772
2026-03-06 21:14:19.529833,229830945
2026-03-06 21:14:19.529919,229546415
2026-03-06 21:14:19.639422,229799929
2026-03-06 21:14:19.639817,229611817
2026-03-06 21:14:19.640299,229744642
2026-03-06 21:14:19.64105,229495847
2026-03-06 21:14:19.642439,229799929
2026-03-06 21:14:19.747967,229700816
2026-03-06 21:14:19.748234,229709582
2026-03-06 21:14:19.748522,229703513
2026-03-06 21:14:19.748615,229700816
2026-03-06 21:14:19.748856,229486408
2026-03-06 21:14:19.857319,229587544
2026-03-06 21:14:19.857561,229681263
2026-03-06 21:14:19.857821,229507984
2026-03-06 21:14:19.857917,229587544
2026-03-06 21:14:19.858101,229654968
2026-03-06 21:14:19.965958,228942298
2026-03-06 21:14:19.966372,229578779
2026-03-06 21:14:19.966672,229042759
2026-03-06 21:14:19.966771,228942298
2026-03-06 21:14:19.967036,228924093
2026-03-06 21:14:19.967541,229698793
2026-03-06 21:14:20.07483,229961071
2026-03-06 21:14:20.074881,230074344
2026-03-06 21:14:20.074938,230147162
2026-03-06 21:14:20.07502,229597657
2026-03-06 21:14:20.075093,229526863
2026-03-06 21:14:20.075184,229561923
2026-03-06 21:14:20.075261,229671150
2026-03-06 21:14:20.075338,229100069
2026-03-06 21:14:20.075421,229143220
2026-03-06 21:14:20.075562,229961071
2026-03-06 21:14:20.183547,229607771
2026-03-06 21:14:20.183645,229686657
2026-03-06 21:14:20.183723,229619907
2026-03-06 21:14:20.183804,228913979
2026-03-06 21:14:20.183845,229607771
2026-03-06 21:14:20.183883,229586195
2026-03-06 21:14:20.292626,229708907
2026-03-06 21:14:20.292724,229657664
2026-03-06 21:14:20.292809,229512703
2026-03-06 21:14:20.292895,226757764
2026-03-06 21:14:20.292978,229557203
2026-03-06 21:14:20.293248,229708907
2026-03-06 21:14:20.401289,229601029
2026-03-06 21:14:20.40138,229557203
2026-03-06 21:14:20.401541,229619907
2026-03-06 21:14:20.401589,229601029
2026-03-06 21:14:20.510659,229623952
2026-03-06 21:14:20.510725,228957805
2026-03-06 21:14:20.510818,229435840
2026-03-06 21:14:20.510944,230116147
2026-03-06 21:14:20.510969,229623952
2026-03-06 21:14:20.51104,229545741
2026-03-06 21:14:20.619452,229737225
2026-03-06 21:14:20.619532,229682611
2026-03-06 21:14:20.619583,229637437
2026-03-06 21:14:20.619645,229737225
2026-03-06 21:14:20.619895,229433817
2026-03-06 21:14:20.619946,229555855
2026-03-06 21:14:20.619989,229774308
2026-03-06 21:14:20.728538,229553158
2026-03-06 21:14:20.728639,229605074
2026-03-06 21:14:20.728727,229694748
2026-03-06 21:14:20.728819,229673173
2026-03-06 21:14:20.729481,229553158
2026-03-06 21:14:20.837752,230344714
2026-03-06 21:14:20.837834,229567317
2026-03-06 21:14:20.837877,230203798
2026-03-06 21:14:20.837918,230208518
2026-03-06 21:14:20.837972,230164019
2026-03-06 21:14:20.838044,230344714
2026-03-06 21:14:20.838053,229806671
2026-03-06 21:14:20.838149,230286730
2026-03-06 21:14:20.838234,229685308
2026-03-06 21:14:20.838329,229777679
2026-03-06 21:14:20.946796,229579453
2026-03-06 21:14:20.946954,229744642
2026-03-06 21:14:20.947041,229764869
2026-03-06 21:14:20.947135,227423238
2026-03-06 21:14:20.947236,229579453
2026-03-06 21:14:20.947266,229414265
2026-03-06 21:14:20.947394,229721043
2026-03-06 21:14:21.055715,230130306
2026-03-06 21:14:21.055816,230172109
2026-03-06 21:14:21.055865,229587544
2026-03-06 21:14:21.055992,229555855
2026-03-06 21:14:21.056147,229678566
2026-03-06 21:14:21.056148,230130306
2026-03-06 21:14:21.056392,229822853
2026-03-06 21:14:21.165215,229567317
2026-03-06 21:14:21.165504,229538998
2026-03-06 21:14:21.165781,229702165
2026-03-06 21:14:21.165999,229567317
2026-03-06 21:14:21.166109,229522816
2026-03-06 21:14:21.166325,229606422
2026-03-06 21:14:21.275064,229690028
2026-03-06 21:14:21.275322,229824201
2026-03-06 21:14:21.27533,229690028
2026-03-06 21:14:21.275594,228987471
2026-03-06 21:14:21.275909,230152555
2026-03-06 21:14:21.27617,229599005
2026-03-06 21:14:21.383031,230283358
2026-03-06 21:14:21.383296,229523491
2026-03-06 21:14:21.383515,229702165
2026-03-06 21:14:21.383762,229762172
2026-03-06 21:14:21.38401,229547090
2026-03-06 21:14:21.384126,230283358
2026-03-06 21:14:21.4927,229530908
2026-03-06 21:14:21.49283,229530908
2026-03-06 21:14:21.492837,229677218
2026-03-06 21:14:21.493056,229735202
2026-03-06 21:14:21.493725,229476294
2026-03-06 21:14:21.494631,229603052
2026-03-06 21:14:21.494769,229826225
2026-03-06 21:14:21.494911,229655643
2026-03-06 21:14:21.495323,229668453
2026-03-06 21:14:21.601229,229710930
2026-03-06 21:14:21.601454,229673846
2026-03-06 21:14:21.601666,229682611
2026-03-06 21:14:21.601818,229710930
2026-03-06 21:14:21.601906,229739922
2026-03-06 21:14:21.602171,230228071
2026-03-06 21:14:21.602429,229563945
2026-03-06 21:14:21.710399,229564620
2026-03-06 21:14:21.71085,229788467
2026-03-06 21:14:21.711302,229703513
2026-03-06 21:14:21.711497,230167389
2026-03-06 21:14:21.711554,229564620
2026-03-06 21:14:21.71169,230285380
2026-03-06 21:14:21.711878,230116147
2026-03-06 21:14:21.712079,230212563
2026-03-06 21:14:21.818832,229654968
2026-03-06 21:14:21.819077,230019730
2026-03-06 21:14:21.819364,229739247
2026-03-06 21:14:21.819502,229654968
2026-03-06 21:14:21.819635,229880164
2026-03-06 21:14:21.819904,229757452
2026-03-06 21:14:21.927851,229549786
2026-03-06 21:14:21.92804,229547763
2026-03-06 21:14:21.928257,230127608
2026-03-06 21:14:21.928451,230225374
2026-03-06 21:14:21.928452,229549786
2026-03-06 21:14:21.928633,229827573
2026-03-06 21:14:22.036873,230224025
2026-03-06 21:14:22.037126,229623279
2026-03-06 21:14:22.037404,229732505
2026-03-06 21:14:22.037643,230211889
2026-03-06 21:14:22.037898,229576757
2026-03-06 21:14:22.037901,230224025
2026-03-06 21:14:22.038197,229577430
2026-03-06 21:14:22.145617,229604400
2026-03-06 21:14:22.145733,229766891
2026-03-06 21:14:22.145921,229668453
2026-03-06 21:14:22.146237,229565968
2026-03-06 21:14:22.146372,229604400
2026-03-06 21:14:22.146444,229350212
2026-03-06 21:14:22.254894,229681263
2026-03-06 21:14:22.25533,228504716
2026-03-06 21:14:22.255567,229497871
2026-03-06 21:14:22.255857,229711603
2026-03-06 21:14:22.255976,229681263
2026-03-06 21:14:22.256283,230209192
2026-03-06 21:14:22.256602,230218631
2026-03-06 21:14:22.256942,230217283
2026-03-06 21:14:22.364045,230264480
2026-03-06 21:14:22.364293,229547090
2026-03-06 21:14:22.364517,229651596
2026-03-06 21:14:22.364752,229464159
2026-03-06 21:14:22.36492,230264480
2026-03-06 21:14:22.364994,229607097
2026-03-06 21:14:22.473109,229711603
2026-03-06 21:14:22.473333,229737225
2026-03-06 21:14:22.473556,229822179
2026-03-06 21:14:22.473749,230208518
2026-03-06 21:14:22.473966,230048723
2026-03-06 21:14:22.474177,229711603
2026-03-06 21:14:22.474241,229491127
2026-03-06 21:14:22.582095,230246275
2026-03-06 21:14:22.582207,230114798
2026-03-06 21:14:22.582337,229477642
2026-03-06 21:14:22.582504,229555855
2026-03-06 21:14:22.582568,229505961
2026-03-06 21:14:22.582598,230246275
2026-03-06 21:14:22.58263,230336623
2026-03-06 21:14:22.582779,230333926
2026-03-06 21:14:22.690658,230182897
2026-03-06 21:14:22.690716,230170760
2026-03-06 21:14:22.690739,230268525
2026-03-06 21:14:22.690764,230175480
2026-03-06 21:14:22.690798,230265153
2026-03-06 21:14:22.690845,230110753
2026-03-06 21:14:22.691054,230182897
2026-03-06 21:14:22.799754,230296843
2026-03-06 21:14:22.799818,229638112
2026-03-06 21:14:22.799858,229762172
2026-03-06 21:14:22.799906,230215259
2026-03-06 21:14:22.799985,230114798
2026-03-06 21:14:22.800058,229652944
2026-03-06 21:14:22.800148,229654968
2026-03-06 21:14:22.800235,230052769
2026-03-06 21:14:22.800309,230296843
2026-03-06 21:14:22.909175,230224025
2026-03-06 21:14:22.909234,227319405
2026-03-06 21:14:22.909293,230222003
2026-03-06 21:14:22.909364,230228745
2026-03-06 21:14:22.90944,230081086
2026-03-06 21:14:22.909521,229462135
2026-03-06 21:14:22.909596,229935451
2026-03-06 21:14:22.909658,230224025
2026-03-06 21:14:23.017902,229493151
2026-03-06 21:14:23.017978,229605749
2026-03-06 21:14:23.018031,229679240
2026-03-06 21:14:23.018081,229609119
2026-03-06 21:14:23.018123,229742619
2026-03-06 21:14:23.018469,229493151
2026-03-06 21:14:23.126705,229561923
2026-03-06 21:14:23.126779,229643506
2026-03-06 21:14:23.126867,229756104
2026-03-06 21:14:23.126963,229685983
2026-03-06 21:14:23.127072,229506636
2026-03-06 21:14:23.127186,229561923
2026-03-06 21:14:23.236,228951736
2026-03-06 21:14:23.236316,229095349
2026-03-06 21:14:23.236392,229711603
2026-03-06 21:14:23.236403,228951736
2026-03-06 21:14:23.236474,229673846
2026-03-06 21:14:23.236567,229659688
2026-03-06 21:14:23.236646,229618559
2026-03-06 21:14:23.236776,229561248
2026-03-06 21:14:23.237045,229735877
2026-03-06 21:14:23.237121,230170760
2026-03-06 21:14:23.344506,230368313
2026-03-06 21:14:23.344576,230046701
2026-03-06 21:14:23.344603,229552483
2026-03-06 21:14:23.344662,229634066
2026-03-06 21:14:23.344777,229714300
2026-03-06 21:14:23.344862,229737899
2026-03-06 21:14:23.344888,230368313
2026-03-06 21:14:23.344945,229584172
2026-03-06 21:14:23.453824,229640134
2026-03-06 21:14:23.453907,229617884
2026-03-06 21:14:23.453935,229595635
2026-03-06 21:14:23.454015,230321790
2026-03-06 21:14:23.454089,230006920
2026-03-06 21:14:23.454139,229640134
2026-03-06 21:14:23.454207,230266502
2026-03-06 21:14:23.563236,229779028
2026-03-06 21:14:23.563357,229574059
2026-03-06 21:14:23.563495,230124912
2026-03-06 21:14:23.563618,229779028
2026-03-06 21:14:23.563628,229729134
2026-03-06 21:14:23.563773,229512703
2026-03-06 21:14:23.563943,230204472
2026-03-06 21:14:23.671458,229487082
2026-03-06 21:14:23.671649,230308979
2026-03-06 21:14:23.67196,230008269
2026-03-06 21:14:23.67198,229487082
2026-03-06 21:14:23.781344,230150533
2026-03-06 21:14:23.78158,230150533
2026-03-06 21:14:23.781727,229975905
2026-03-06 21:14:23.782165,230265828
2026-03-06 21:14:23.782401,230343366
2026-03-06 21:14:23.782801,230164019
2026-03-06 21:14:23.890111,227374018
2026-03-06 21:14:23.890317,229549786
2026-03-06 21:14:23.890524,229443257
2026-03-06 21:14:23.890645,227374018
2026-03-06 21:14:23.89092,229538325
2026-03-06 21:14:23.891713,230104685
2026-03-06 21:14:23.9992,230173457
2026-03-06 21:14:23.99939,230396630
2026-03-06 21:14:23.999533,229675195
2026-03-06 21:14:23.99966,230173457
2026-03-06 21:14:23.999691,229903762
2026-03-06 21:14:24.107971,229456067
2026-03-06 21:14:24.10817,229556528
2026-03-06 21:14:24.108408,229456067
2026-03-06 21:14:24.10842,230227396
2026-03-06 21:14:24.108662,230372358
2026-03-06 21:14:24.108952,229630021
2026-03-06 21:14:24.216506,229694748
2026-03-06 21:14:24.216578,229803300
2026-03-06 21:14:24.21676,229596309
2026-03-06 21:14:24.216826,229485059
2026-03-06 21:14:24.216883,229728460
2026-03-06 21:14:24.216975,229694748
2026-03-06 21:14:24.325923,229907132
2026-03-06 21:14:24.326007,230288752
2026-03-06 21:14:24.326059,230336623
2026-03-06 21:14:24.326167,230237510
2026-03-06 21:14:24.326402,229651596
2026-03-06 21:14:24.326573,229617211
2026-03-06 21:14:24.326574,229907132
2026-03-06 21:14:24.435561,229820156
2026-03-06 21:14:24.435809,229681263
2026-03-06 21:14:24.436278,229820156
2026-03-06 21:14:24.436292,230319092
2026-03-06 21:14:24.436582,229671823
2026-03-06 21:14:24.436816,229625976
2026-03-06 21:14:24.437038,230200427
2026-03-06 21:14:24.437277,229668453
2026-03-06 21:14:24.543806,229632044
2026-03-06 21:14:24.543949,230317070
2026-03-06 21:14:24.544088,229745315
2026-03-06 21:14:24.544338,229555855
