time,RTD_Cal.CH18.cal_status
2026-03-06 21:14:19.149019,0
2026-03-06 21:14:19.283184,0
2026-03-06 21:14:19.419268,0
2026-03-06 21:14:19.555701,0
2026-03-06 21:14:19.690336,0
2026-03-06 21:14:19.828409,0
2026-03-06 21:14:19.962258,0
2026-03-06 21:14:20.098386,0
2026-03-06 21:14:20.233515,0
2026-03-06 21:14:20.369014,0
2026-03-06 21:14:20.504504,0
2026-03-06 21:14:20.64029,0
2026-03-06 21:14:20.773976,0
2026-03-06 21:14:20.909206,0
2026-03-06 21:14:21.043891,0
2026-03-06 21:14:21.185816,0
2026-03-06 21:14:21.318377,0
2026-03-06 21:14:21.454702,0
2026-03-06 21:14:21.589003,0
2026-03-06 21:14:21.724314,0
2026-03-06 21:14:21.859831,0
2026-03-06 21:14:21.994146,0
2026-03-06 21:14:22.129723,0
2026-03-06 21:14:22.268061,0
2026-03-06 21:14:22.403727,0
2026-03-06 21:14:22.539344,0
2026-03-06 21:14:22.672204,0
2026-03-06 21:14:22.807618,0
2026-03-06 21:14:22.942666,0
2026-03-06 21:14:23.077847,0
2026-03-06 21:14:23.211529,0
2026-03-06 21:14:23.35155,0
2026-03-06 21:14:23.485955,0
2026-03-06 21:14:23.621491,0
2026-03-06 21:14:23.757073,0
2026-03-06 21:14:23.893842,0
2026-03-06 21:14:24.027633,0
2026-03-06 21:14:24.161197,0
2026-03-06 21:14:24.296275,0
2026-03-06 21:14:24.435869,0
2026-03-06 21:14:24.570274,0
2026-03-06 21:14:24.706153,0
2026-03-06 21:14:24.842124,0
2026-03-06 21:14:24.976528,0
2026-03-06 21:14:25.11103,0
2026-03-06 21:14:25.244606,0
2026-03-06 21:14:25.382796,0
2026-03-06 21:14:25.517328,0
2026-03-06 21:14:25.65273,0
2026-03-06 21:14:25.786988,0
2026-03-06 21:14:25.922723,0
2026-03-06 21:14:26.058463,0
2026-03-06 21:14:26.192792,0
2026-03-06 21:14:26.327921,0
2026-03-06 21:14:26.463046,0
2026-03-06 21:14:26.605092,0
2026-03-06 21:14:26.73732,0
2026-03-06 21:14:26.872111,0
2026-03-06 21:14:27.007913,0
2026-03-06 21:14:27.142279,0
2026-03-06 21:14:27.276235,0
2026-03-06 21:14:27.411823,0
2026-03-06 21:14:27.547631,0
2026-03-06 21:14:27.686421,0
2026-03-06 21:14:27.821762,0
2026-03-06 21:14:27.956305,0
2026-03-06 21:14:28.091274,0
2026-03-06 21:14:28.226293,0
2026-03-06 21:14:28.361071,0
2026-03-06 21:14:28.495968,0
2026-03-06 21:14:28.632086,0
2026-03-06 21:14:28.770666,0
2026-03-06 21:14:28.905199,0
2026-03-06 21:14:29.040745,0
2026-03-06 21:14:29.173984,0
2026-03-06 21:14:29.310618,0
2026-03-06 21:14:29.445804,0
2026-03-06 21:14:29.580467,0
2026-03-06 21:14:29.715463,0
2026-03-06 21:14:29.854411,0
2026-03-06 21:14:29.99,0
2026-03-06 21:14:30.124101,0
2026-03-06 21:14:30.259832,0
2026-03-06 21:14:30.394846,0
2026-03-06 21:14:30.532386,0
2026-03-06 21:14:30.665167,0
2026-03-06 21:14:30.801288,0
