time,PT_Cal.GSE_High.pressure_psi
2026-03-06 21:14:19.101711,487.84937
2026-03-06 21:14:19.101963,0.5732357
2026-03-06 21:14:19.102138,488.66486
2026-03-06 21:14:19.102182,487.8596
2026-03-06 21:14:19.102449,488.07828
2026-03-06 21:14:19.102466,488.29083
2026-03-06 21:14:19.102737,487.7492
2026-03-06 21:14:19.102762,488.34192
2026-03-06 21:14:19.201582,487.58163
2026-03-06 21:14:19.201644,488.31128
2026-03-06 21:14:19.201912,488.63214
2026-03-06 21:14:19.201955,487.99243
2026-03-06 21:14:19.202006,0.57338804
2026-03-06 21:14:19.301792,487.73697
2026-03-06 21:14:19.301887,488.3358
2026-03-06 21:14:19.301927,488.58923
2026-03-06 21:14:19.302021,488.04352
2026-03-06 21:14:19.302029,0.5731986
2026-03-06 21:14:19.302057,487.28732
2026-03-06 21:14:19.302115,488.31943
2026-03-06 21:14:19.302236,488.10892
2026-03-06 21:14:19.401327,487.91068
2026-03-06 21:14:19.401586,488.0006
2026-03-06 21:14:19.50222,488.7139
2026-03-06 21:14:19.502854,487.91068
2026-03-06 21:14:19.502871,0.57352084
2026-03-06 21:14:19.502939,487.93726
2026-03-06 21:14:19.503192,488.52792
2026-03-06 21:14:19.503417,487.45898
2026-03-06 21:14:19.50373,488.812
2026-03-06 21:14:19.504029,487.71448
2026-03-06 21:14:19.604631,488.35828
2026-03-06 21:14:19.605055,488.0047
2026-03-06 21:14:19.605143,487.90045
2026-03-06 21:14:19.605256,488.0476
2026-03-06 21:14:19.605337,488.18863
2026-03-06 21:14:19.605406,0.57340354
2026-03-06 21:14:19.605569,487.38336
2026-03-06 21:14:19.703501,487.88617
2026-03-06 21:14:19.703584,488.72208
2026-03-06 21:14:19.703629,488.15186
2026-03-06 21:14:19.703699,488.066
2026-03-06 21:14:19.703732,487.9904
2026-03-06 21:14:19.703822,488.04147
2026-03-06 21:14:19.804356,488.17026
2026-03-06 21:14:19.804606,488.12732
2026-03-06 21:14:19.804832,488.04556
2026-03-06 21:14:19.804971,0.5733415
2026-03-06 21:14:19.805044,488.68323
2026-03-06 21:14:19.805274,488.50134
2026-03-06 21:14:19.805519,487.7901
2026-03-06 21:14:19.907451,487.8984
2026-03-06 21:14:19.907521,487.9168
2026-03-06 21:14:19.907549,488.49316
2026-03-06 21:14:19.907586,487.50192
2026-03-06 21:14:19.907634,487.87595
2026-03-06 21:14:19.90768,487.5939
2026-03-06 21:14:19.907737,487.87595
2026-03-06 21:14:19.907776,0.57325184
2026-03-06 21:14:19.907846,488.53812
2026-03-06 21:14:20.007924,488.13754
2026-03-06 21:14:20.007976,488.07214
2026-03-06 21:14:20.00801,487.6409
2026-03-06 21:14:20.008026,488.11505
2026-03-06 21:14:20.00805,488.626
2026-03-06 21:14:20.008083,487.81873
2026-03-06 21:14:20.008115,488.066
2026-03-06 21:14:20.008147,487.878
2026-03-06 21:14:20.00819,487.786
2026-03-06 21:14:20.008202,0.57333076
2026-03-06 21:14:20.107745,487.7533
