time,ACT.LOX_Fill.timestamp_ns
2026-03-06 21:14:18.30954,1772831658309093118
2026-03-06 21:14:18.309565,1772831658309093118
2026-03-06 21:14:18.309706,1772831658309213693
2026-03-06 21:14:18.309708,1772831658309213693
2026-03-06 21:14:18.31054,1772831658310425613
2026-03-06 21:14:18.310542,1772831658310425613
2026-03-06 21:14:18.310602,1772831658310468422
2026-03-06 21:14:18.310604,1772831658310468422
2026-03-06 21:14:18.31065,1772831658310503387
2026-03-06 21:14:18.310652,1772831658310503387
2026-03-06 21:14:18.311415,1772831658311275512
2026-03-06 21:14:18.311417,1772831658311275512
2026-03-06 21:14:18.312092,1772831658311994022
2026-03-06 21:14:18.312094,1772831658311994022
2026-03-06 21:14:18.312155,1772831658312040349
2026-03-06 21:14:18.312157,1772831658312040349
2026-03-06 21:14:18.312211,1772831658312076808
2026-03-06 21:14:18.312213,1772831658312076808
2026-03-06 21:14:18.312258,1772831658312112398
2026-03-06 21:14:18.31226,1772831658312112398
2026-03-06 21:14:18.312305,1772831658312150962
2026-03-06 21:14:18.312307,1772831658312150962
2026-03-06 21:14:18.312964,1772831658312861207
2026-03-06 21:14:18.312966,1772831658312861207
2026-03-06 21:14:18.313028,1772831658312906991
2026-03-06 21:14:18.31303,1772831658312906991
2026-03-06 21:14:18.313078,1772831658312943190
2026-03-06 21:14:18.31308,1772831658312943190
2026-03-06 21:14:18.313125,1772831658312978799
2026-03-06 21:14:18.313127,1772831658312978799
2026-03-06 21:14:18.313823,1772831658313725280
2026-03-06 21:14:18.313825,1772831658313725280
2026-03-06 21:14:18.31389,1772831658313771252
2026-03-06 21:14:18.313892,1772831658313771252
2026-03-06 21:14:18.314527,1772831658314424195
2026-03-06 21:14:18.314529,1772831658314424195
2026-03-06 21:14:18.314591,1772831658314467633
2026-03-06 21:14:18.314593,1772831658314467633
2026-03-06 21:14:18.316447,1772831658315627394
2026-03-06 21:14:18.316449,1772831658315627394
2026-03-06 21:14:18.316636,1772831658315794290
2026-03-06 21:14:18.316637,1772831658315794290
2026-03-06 21:14:18.316821,1772831658316587580
2026-03-06 21:14:18.316822,1772831658316587580
2026-03-06 21:14:18.316968,1772831658316797859
2026-03-06 21:14:18.316969,1772831658316797859
2026-03-06 21:14:18.317183,1772831658317057713
2026-03-06 21:14:18.317184,1772831658317057713
2026-03-06 21:14:18.31724,1772831658317154564
2026-03-06 21:14:18.317241,1772831658317154564
2026-03-06 21:14:18.318441,1772831658318202747
2026-03-06 21:14:18.318444,1772831658318202747
2026-03-06 21:14:18.319257,1772831658319080869
2026-03-06 21:14:18.319259,1772831658319080869
2026-03-06 21:14:18.319465,1772831658319313366
2026-03-06 21:14:18.319466,1772831658319313366
2026-03-06 21:14:18.319647,1772831658319562073
2026-03-06 21:14:18.319648,1772831658319562073
2026-03-06 21:14:18.319742,1772831658319659175
2026-03-06 21:14:18.319743,1772831658319659175
2026-03-06 21:14:18.360189,1772831658360069515
2026-03-06 21:14:18.360193,1772831658360069515
2026-03-06 21:14:18.415508,1772831658415365374
2026-03-06 21:14:18.415512,1772831658415365374
2026-03-06 21:14:18.462214,1772831658461980468
2026-03-06 21:14:18.462219,1772831658461980468
2026-03-06 21:14:18.517435,1772831658517325984
2026-03-06 21:14:18.517439,1772831658517325984
2026-03-06 21:14:18.564555,1772831658564423237
2026-03-06 21:14:18.564559,1772831658564423237
2026-03-06 21:14:18.61919,1772831658619050067
2026-03-06 21:14:18.619193,1772831658619050067
2026-03-06 21:14:18.66596,1772831658665875646
2026-03-06 21:14:18.665963,1772831658665875646
2026-03-06 21:14:18.721251,1772831658721154479
2026-03-06 21:14:18.721254,1772831658721154479
2026-03-06 21:14:18.768315,1772831658768259610
2026-03-06 21:14:18.768318,1772831658768259610
2026-03-06 21:14:18.823579,1772831658823457706
2026-03-06 21:14:18.823582,1772831658823457706
2026-03-06 21:14:18.870346,1772831658870171614
2026-03-06 21:14:18.870352,1772831658870171614
2026-03-06 21:14:18.925395,1772831658925245068
2026-03-06 21:14:18.925399,1772831658925245068
2026-03-06 21:14:18.972204,1772831658972065871
2026-03-06 21:14:18.972207,1772831658972065871
2026-03-06 21:14:19.027655,1772831659027512719
2026-03-06 21:14:19.02766,1772831659027512719
2026-03-06 21:14:19.074192,1772831659074027497
2026-03-06 21:14:19.074199,1772831659074027497
2026-03-06 21:14:19.129269,1772831659129106570
2026-03-06 21:14:19.129282,1772831659129106570
2026-03-06 21:14:19.17652,1772831659176309735
2026-03-06 21:14:19.176529,1772831659176309735
2026-03-06 21:14:19.231492,1772831659231285839
2026-03-06 21:14:19.231505,1772831659231285839
2026-03-06 21:14:19.278354,1772831659278193611
2026-03-06 21:14:19.27836,1772831659278193611
2026-03-06 21:14:19.333796,1772831659333584152
2026-03-06 21:14:19.333802,1772831659333584152
2026-03-06 21:14:19.380095,1772831659380011218
2026-03-06 21:14:19.380104,1772831659380011218
2026-03-06 21:14:19.435271,1772831659435028119
2026-03-06 21:14:19.435285,1772831659435028119
2026-03-06 21:14:19.482205,1772831659481887535
2026-03-06 21:14:19.482222,1772831659481887535
2026-03-06 21:14:19.537355,1772831659537145749
2026-03-06 21:14:19.537364,1772831659537145749
2026-03-06 21:14:19.584751,1772831659584356701
2026-03-06 21:14:19.584773,1772831659584356701
2026-03-06 21:14:19.639909,1772831659639216931
2026-03-06 21:14:19.639935,1772831659639216931
2026-03-06 21:14:19.686562,1772831659686059657
2026-03-06 21:14:19.686593,1772831659686059657
2026-03-06 21:14:19.741537,1772831659741136844
2026-03-06 21:14:19.741554,1772831659741136844
2026-03-06 21:14:19.788808,1772831659788384972
2026-03-06 21:14:19.788833,1772831659788384972
2026-03-06 21:14:19.843809,1772831659843453832
2026-03-06 21:14:19.843826,1772831659843453832
2026-03-06 21:14:19.89012,1772831659889884779
2026-03-06 21:14:19.890133,1772831659889884779
2026-03-06 21:14:19.945788,1772831659945407983
2026-03-06 21:14:19.94582,1772831659945407983
2026-03-06 21:14:19.993078,1772831659992462415
2026-03-06 21:14:19.993127,1772831659992462415
2026-03-06 21:14:20.047668,1772831660047441402
2026-03-06 21:14:20.047684,1772831660047441402
2026-03-06 21:14:20.094094,1772831660093896427
2026-03-06 21:14:20.094107,1772831660093896427
2026-03-06 21:14:20.149564,1772831660149196972
2026-03-06 21:14:20.149581,1772831660149196972
2026-03-06 21:14:20.196507,1772831660196279609
2026-03-06 21:14:20.196526,1772831660196279609
2026-03-06 21:14:20.251301,1772831660251105672
