time,ACT.GN2_Vent.sample_ts_ms
2026-03-06 21:14:18.309507,10878311
2026-03-06 21:14:18.309702,10878329
2026-03-06 21:14:18.310536,10878413
2026-03-06 21:14:18.310598,10878431
2026-03-06 21:14:18.310647,10878515
2026-03-06 21:14:18.311411,10878533
2026-03-06 21:14:18.312089,10878617
2026-03-06 21:14:18.312151,10878635
2026-03-06 21:14:18.312208,10878719
2026-03-06 21:14:18.312254,10878737
2026-03-06 21:14:18.312302,10878821
2026-03-06 21:14:18.31296,10878839
2026-03-06 21:14:18.313024,10878923
2026-03-06 21:14:18.313074,10878941
2026-03-06 21:14:18.313122,10879025
2026-03-06 21:14:18.31382,10879043
2026-03-06 21:14:18.313886,10879127
2026-03-06 21:14:18.314524,10879145
2026-03-06 21:14:18.314588,10879229
2026-03-06 21:14:18.316444,10879248
2026-03-06 21:14:18.316634,10879332
2026-03-06 21:14:18.316819,10879350
2026-03-06 21:14:18.316966,10879434
2026-03-06 21:14:18.317181,10879452
2026-03-06 21:14:18.317238,10879536
2026-03-06 21:14:18.318438,10879554
2026-03-06 21:14:18.319254,10879638
2026-03-06 21:14:18.319463,10879656
2026-03-06 21:14:18.319645,10879740
2026-03-06 21:14:18.31974,10879758
2026-03-06 21:14:18.360182,10879842
2026-03-06 21:14:18.415501,10879860
2026-03-06 21:14:18.462207,10879944
2026-03-06 21:14:18.517428,10879962
2026-03-06 21:14:18.56455,10880046
2026-03-06 21:14:18.619185,10880064
2026-03-06 21:14:18.665955,10880148
2026-03-06 21:14:18.721246,10880166
2026-03-06 21:14:18.768309,10880250
2026-03-06 21:14:18.823573,10880268
2026-03-06 21:14:18.870337,10880352
2026-03-06 21:14:18.925387,10880370
2026-03-06 21:14:18.972198,10880454
2026-03-06 21:14:19.027647,10880472
2026-03-06 21:14:19.074182,10880556
2026-03-06 21:14:19.129253,10880574
2026-03-06 21:14:19.176506,10880658
2026-03-06 21:14:19.231475,10880676
2026-03-06 21:14:19.278344,10880760
2026-03-06 21:14:19.333788,10880778
2026-03-06 21:14:19.380088,10880862
2026-03-06 21:14:19.435247,10880880
2026-03-06 21:14:19.482183,10880964
2026-03-06 21:14:19.537341,10880982
2026-03-06 21:14:19.584721,10881066
2026-03-06 21:14:19.639868,10881084
2026-03-06 21:14:19.686525,10881168
2026-03-06 21:14:19.741511,10881186
2026-03-06 21:14:19.788776,10881270
2026-03-06 21:14:19.843786,10881288
2026-03-06 21:14:19.890102,10881372
2026-03-06 21:14:19.945754,10881390
2026-03-06 21:14:19.993025,10881474
2026-03-06 21:14:20.047646,10881492
2026-03-06 21:14:20.094077,10881576
2026-03-06 21:14:20.149544,10881594
2026-03-06 21:14:20.196484,10881678
2026-03-06 21:14:20.251283,10881696
2026-03-06 21:14:20.298503,10881780
2026-03-06 21:14:20.353517,10881798
2026-03-06 21:14:20.400476,10881882
2026-03-06 21:14:20.455831,10881900
2026-03-06 21:14:20.502273,10881984
2026-03-06 21:14:20.557524,10882002
2026-03-06 21:14:20.604571,10882086
2026-03-06 21:14:20.6592,10882104
2026-03-06 21:14:20.706321,10882188
2026-03-06 21:14:20.761765,10882206
2026-03-06 21:14:20.808818,10882290
2026-03-06 21:14:20.86337,10882308
2026-03-06 21:14:20.910264,10882392
2026-03-06 21:14:20.965751,10882410
2026-03-06 21:14:21.012469,10882494
2026-03-06 21:14:21.067323,10882512
2026-03-06 21:14:21.114639,10882596
2026-03-06 21:14:21.169931,10882614
2026-03-06 21:14:21.216294,10882698
2026-03-06 21:14:21.271729,10882716
2026-03-06 21:14:21.318407,10882800
2026-03-06 21:14:21.373578,10882818
2026-03-06 21:14:21.4204,10882902
2026-03-06 21:14:21.475654,10882920
2026-03-06 21:14:21.522667,10883004
2026-03-06 21:14:21.577436,10883022
2026-03-06 21:14:21.624474,10883106
2026-03-06 21:14:21.679626,10883124
2026-03-06 21:14:21.726204,10883208
2026-03-06 21:14:21.781921,10883226
2026-03-06 21:14:21.828272,10883310
2026-03-06 21:14:21.883343,10883328
2026-03-06 21:14:21.930453,10883412
2026-03-06 21:14:21.985966,10883430
2026-03-06 21:14:22.032722,10883514
2026-03-06 21:14:22.088039,10883532
2026-03-06 21:14:22.134563,10883616
2026-03-06 21:14:22.189789,10883634
2026-03-06 21:14:22.236528,10883718
2026-03-06 21:14:22.291604,10883736
2026-03-06 21:14:22.338288,10883820
2026-03-06 21:14:22.393705,10883838
2026-03-06 21:14:22.440492,10883922
2026-03-06 21:14:22.495693,10883940
2026-03-06 21:14:22.542577,10884024
2026-03-06 21:14:22.597878,10884042
2026-03-06 21:14:22.644669,10884126
2026-03-06 21:14:22.699688,10884144
2026-03-06 21:14:22.746394,10884228
2026-03-06 21:14:22.801555,10884246
2026-03-06 21:14:22.848352,10884330
2026-03-06 21:14:22.903734,10884348
2026-03-06 21:14:22.950466,10884432
2026-03-06 21:14:23.00535,10884450
2026-03-06 21:14:23.052356,10884534
2026-03-06 21:14:23.10777,10884552
2026-03-06 21:14:23.154407,10884636
2026-03-06 21:14:23.209454,10884654
2026-03-06 21:14:23.256304,10884738
2026-03-06 21:14:23.311685,10884756
2026-03-06 21:14:23.358171,10884840
2026-03-06 21:14:23.413425,10884858
2026-03-06 21:14:23.460395,10884942
2026-03-06 21:14:23.515468,10884960
2026-03-06 21:14:23.562613,10885044
2026-03-06 21:14:23.617913,10885062
2026-03-06 21:14:23.664654,10885146
2026-03-06 21:14:23.719565,10885164
2026-03-06 21:14:23.766558,10885248
2026-03-06 21:14:23.821674,10885266
2026-03-06 21:14:23.868299,10885350
2026-03-06 21:14:23.923908,10885368
2026-03-06 21:14:23.970595,10885452
2026-03-06 21:14:24.026518,10885470
2026-03-06 21:14:24.072228,10885554
2026-03-06 21:14:24.127951,10885572
2026-03-06 21:14:24.174259,10885656
2026-03-06 21:14:24.229551,10885674
2026-03-06 21:14:24.276233,10885758
2026-03-06 21:14:24.331435,10885776
2026-03-06 21:14:24.378601,10885860
2026-03-06 21:14:24.433703,10885878
2026-03-06 21:14:24.480638,10885962
2026-03-06 21:14:24.535527,10885980
2026-03-06 21:14:24.582137,10886064
2026-03-06 21:14:24.637841,10886082
2026-03-06 21:14:24.68459,10886166
2026-03-06 21:14:24.73978,10886184
2026-03-06 21:14:24.786518,10886268
2026-03-06 21:14:24.841318,10886286
2026-03-06 21:14:24.888449,10886370
2026-03-06 21:14:24.943664,10886388
2026-03-06 21:14:24.990506,10886472
2026-03-06 21:14:25.045934,10886490
2026-03-06 21:14:25.092599,10886574
2026-03-06 21:14:25.147407,10886592
2026-03-06 21:14:25.194549,10886676
2026-03-06 21:14:25.249577,10886694
2026-03-06 21:14:25.296454,10886778
2026-03-06 21:14:25.351503,10886796
2026-03-06 21:14:25.398821,10886880
2026-03-06 21:14:25.453391,10886898
2026-03-06 21:14:25.50047,10886982
2026-03-06 21:14:25.555806,10887000
2026-03-06 21:14:25.602713,10887084
2026-03-06 21:14:25.657842,10887102
2026-03-06 21:14:25.704489,10887186
2026-03-06 21:14:25.759426,10887204
