time,BOARD.HB_22.board_id
2026-03-06 21:14:18.313155,22
2026-03-06 21:14:18.585229,22
2026-03-06 21:14:19.589765,22
2026-03-06 21:14:20.595998,22
2026-03-06 21:14:21.6018,22
2026-03-06 21:14:22.606009,22
2026-03-06 21:14:23.610861,22
2026-03-06 21:14:24.616183,22
2026-03-06 21:14:25.621101,22
2026-03-06 21:14:26.626068,22
2026-03-06 21:14:27.631172,22
2026-03-06 21:14:28.635953,22
2026-03-06 21:14:29.640377,22
2026-03-06 21:14:30.645297,22
2026-03-06 21:14:31.650145,22
2026-03-06 21:14:32.6551,22
2026-03-06 21:14:33.659804,22
2026-03-06 21:14:34.665257,22
2026-03-06 21:14:35.669878,22
2026-03-06 21:14:36.674514,22
2026-03-06 21:14:37.679088,22
2026-03-06 21:14:38.683452,22
2026-03-06 21:14:39.688177,22
2026-03-06 21:14:40.693382,22
2026-03-06 21:14:41.698642,22
2026-03-06 21:14:42.703468,22
2026-03-06 21:14:43.708168,22
2026-03-06 21:14:44.713097,22
2026-03-06 21:14:45.718428,22
2026-03-06 21:14:46.723373,22
2026-03-06 21:14:47.728718,22
2026-03-06 21:14:48.733105,22
2026-03-06 21:14:49.738419,22
2026-03-06 21:14:50.743138,22
2026-03-06 21:14:51.748584,22
2026-03-06 21:14:52.753583,22
2026-03-06 21:14:53.757084,22
2026-03-06 21:14:54.762515,22
2026-03-06 21:14:55.767009,22
2026-03-06 21:14:56.772417,22
2026-03-06 21:14:57.776907,22
2026-03-06 21:14:58.781973,22
2026-03-06 21:14:59.787192,22
2026-03-06 21:15:00.791406,22
2026-03-06 21:15:01.796244,22
2026-03-06 21:15:02.800081,22
2026-03-06 21:15:03.805674,22
2026-03-06 21:15:04.810517,22
2026-03-06 21:15:05.815701,22
2026-03-06 21:15:06.820447,22
2026-03-06 21:15:07.825391,22
2026-03-06 21:15:08.83067,22
2026-03-06 21:15:09.835552,22
2026-03-06 21:15:10.84067,22
2026-03-06 21:15:11.845674,22
2026-03-06 21:15:12.850241,22
2026-03-06 21:15:13.855375,22
2026-03-06 21:15:14.860479,22
2026-03-06 21:15:15.865536,22
2026-03-06 21:15:16.870574,22
2026-03-06 21:15:17.874658,22
2026-03-06 21:15:18.87965,22
2026-03-06 21:15:19.884414,22
2026-03-06 21:15:20.889475,22
2026-03-06 21:15:21.894799,22
2026-03-06 21:15:22.89931,22
2026-03-06 21:15:23.904628,22
2026-03-06 21:15:24.908373,22
2026-03-06 21:15:25.913458,22
2026-03-06 21:15:26.917434,22
2026-03-06 21:15:27.922337,22
2026-03-06 21:15:28.927655,22
2026-03-06 21:15:29.93302,22
2026-03-06 21:15:30.937535,22
2026-03-06 21:15:31.942767,22
2026-03-06 21:15:32.947514,22
2026-03-06 21:15:33.952963,22
2026-03-06 21:15:34.957444,22
2026-03-06 21:15:35.962327,22
2026-03-06 21:15:36.968005,22
2026-03-06 21:15:37.972577,22
2026-03-06 21:15:38.977463,22
2026-03-06 21:15:39.982784,22
2026-03-06 21:15:40.987691,22
2026-03-06 21:15:41.991878,22
2026-03-06 21:15:42.996809,22
2026-03-06 21:15:44.001396,22
2026-03-06 21:15:45.006811,22
2026-03-06 21:15:46.011482,22
2026-03-06 21:15:47.016693,22
2026-03-06 21:15:48.021801,22
2026-03-06 21:15:49.025853,22
2026-03-06 21:15:50.030599,22
2026-03-06 21:15:51.034519,22
2026-03-06 21:15:52.040038,22
2026-03-06 21:15:53.044972,22
2026-03-06 21:15:54.050211,22
2026-03-06 21:15:55.054566,22
2026-03-06 21:15:56.060091,22
2026-03-06 21:15:57.065193,22
2026-03-06 21:15:58.069969,22
2026-03-06 21:15:59.074596,22
2026-03-06 21:16:00.079885,22
2026-03-06 21:16:01.08464,22
2026-03-06 21:16:02.089788,22
2026-03-06 21:16:03.094822,22
2026-03-06 21:16:04.099893,22
2026-03-06 21:16:05.104556,22
2026-03-06 21:16:06.108749,22
2026-03-06 21:16:07.113689,22
2026-03-06 21:16:08.118494,22
2026-03-06 21:16:09.123869,22
2026-03-06 21:16:10.128933,22
2026-03-06 21:16:11.133833,22
2026-03-06 21:16:12.138946,22
2026-03-06 21:16:13.142787,22
2026-03-06 21:16:14.147561,22
2026-03-06 21:16:15.152214,22
2026-03-06 21:16:16.15672,22
2026-03-06 21:16:17.162023,22
2026-03-06 21:16:18.166767,22
2026-03-06 21:16:19.171662,22
2026-03-06 21:16:20.176982,22
2026-03-06 21:16:21.181754,22
2026-03-06 21:16:22.186903,22
2026-03-06 21:16:23.192153,22
2026-03-06 21:16:24.196804,22
2026-03-06 21:16:25.201907,22
2026-03-06 21:16:26.207048,22
2026-03-06 21:16:27.211833,22
2026-03-06 21:16:28.217099,22
2026-03-06 21:16:29.221897,22
2026-03-06 21:16:30.225726,22
2026-03-06 21:16:31.231124,22
2026-03-06 21:16:32.23589,22
2026-03-06 21:16:33.241141,22
2026-03-06 21:16:34.245888,22
2026-03-06 21:16:35.251322,22
2026-03-06 21:16:36.256319,22
2026-03-06 21:16:37.260218,22
2026-03-06 21:16:38.264877,22
2026-03-06 21:16:39.269497,22
2026-03-06 21:16:40.274041,22
