time,RTD.CH2.channel_id
2026-03-06 21:14:18.315753,2
2026-03-06 21:14:18.31583,2
2026-03-06 21:14:18.315839,2
2026-03-06 21:14:18.315847,2
2026-03-06 21:14:18.315856,2
2026-03-06 21:14:18.315865,2
2026-03-06 21:14:18.315873,2
2026-03-06 21:14:18.315882,2
2026-03-06 21:14:18.315891,2
2026-03-06 21:14:18.316869,2
2026-03-06 21:14:18.316876,2
2026-03-06 21:14:18.316881,2
2026-03-06 21:14:18.316885,2
2026-03-06 21:14:18.31689,2
2026-03-06 21:14:18.316895,2
2026-03-06 21:14:18.316899,2
2026-03-06 21:14:18.316904,2
2026-03-06 21:14:18.316908,2
2026-03-06 21:14:18.317435,2
2026-03-06 21:14:18.317441,2
2026-03-06 21:14:18.317445,2
2026-03-06 21:14:18.31745,2
2026-03-06 21:14:18.317454,2
2026-03-06 21:14:18.317459,2
2026-03-06 21:14:18.317463,2
2026-03-06 21:14:18.317468,2
2026-03-06 21:14:18.317472,2
2026-03-06 21:14:18.319363,2
2026-03-06 21:14:18.319373,2
2026-03-06 21:14:18.319378,2
2026-03-06 21:14:18.319382,2
2026-03-06 21:14:18.319387,2
2026-03-06 21:14:18.319391,2
2026-03-06 21:14:18.319396,2
2026-03-06 21:14:18.3194,2
2026-03-06 21:14:18.319404,2
2026-03-06 21:14:18.332783,2
2026-03-06 21:14:18.332801,2
2026-03-06 21:14:18.332806,2
2026-03-06 21:14:18.332811,2
2026-03-06 21:14:18.332815,2
2026-03-06 21:14:18.33282,2
2026-03-06 21:14:18.332824,2
2026-03-06 21:14:18.332829,2
2026-03-06 21:14:18.332833,2
2026-03-06 21:14:18.46798,2
2026-03-06 21:14:18.467993,2
2026-03-06 21:14:18.467998,2
2026-03-06 21:14:18.468002,2
2026-03-06 21:14:18.468007,2
2026-03-06 21:14:18.468011,2
2026-03-06 21:14:18.468016,2
2026-03-06 21:14:18.46802,2
2026-03-06 21:14:18.468024,2
2026-03-06 21:14:18.60303,2
2026-03-06 21:14:18.60305,2
2026-03-06 21:14:18.603056,2
2026-03-06 21:14:18.603062,2
2026-03-06 21:14:18.603068,2
2026-03-06 21:14:18.603074,2
2026-03-06 21:14:18.60308,2
2026-03-06 21:14:18.603087,2
2026-03-06 21:14:18.603093,2
2026-03-06 21:14:18.737746,2
2026-03-06 21:14:18.737785,2
2026-03-06 21:14:18.737791,2
2026-03-06 21:14:18.737796,2
2026-03-06 21:14:18.7378,2
2026-03-06 21:14:18.737805,2
2026-03-06 21:14:18.737809,2
2026-03-06 21:14:18.737813,2
2026-03-06 21:14:18.737818,2
2026-03-06 21:14:18.87272,2
2026-03-06 21:14:18.872735,2
2026-03-06 21:14:18.872741,2
2026-03-06 21:14:18.872746,2
2026-03-06 21:14:18.872752,2
2026-03-06 21:14:18.872758,2
2026-03-06 21:14:18.872764,2
2026-03-06 21:14:18.87277,2
2026-03-06 21:14:18.872776,2
2026-03-06 21:14:19.012084,2
2026-03-06 21:14:19.012096,2
2026-03-06 21:14:19.012101,2
2026-03-06 21:14:19.012105,2
2026-03-06 21:14:19.01211,2
2026-03-06 21:14:19.012114,2
2026-03-06 21:14:19.012119,2
2026-03-06 21:14:19.012123,2
2026-03-06 21:14:19.012128,2
2026-03-06 21:14:19.146867,2
2026-03-06 21:14:19.146904,2
2026-03-06 21:14:19.146913,2
2026-03-06 21:14:19.146944,2
2026-03-06 21:14:19.146954,2
2026-03-06 21:14:19.146965,2
2026-03-06 21:14:19.146977,2
2026-03-06 21:14:19.14699,2
2026-03-06 21:14:19.147001,2
2026-03-06 21:14:19.282105,2
2026-03-06 21:14:19.282126,2
2026-03-06 21:14:19.282131,2
2026-03-06 21:14:19.282136,2
2026-03-06 21:14:19.282141,2
2026-03-06 21:14:19.282145,2
2026-03-06 21:14:19.282149,2
2026-03-06 21:14:19.282153,2
2026-03-06 21:14:19.282161,2
2026-03-06 21:14:19.417831,2
2026-03-06 21:14:19.417928,2
2026-03-06 21:14:19.417965,2
2026-03-06 21:14:19.417985,2
2026-03-06 21:14:19.418011,2
2026-03-06 21:14:19.418025,2
2026-03-06 21:14:19.418048,2
2026-03-06 21:14:19.418073,2
2026-03-06 21:14:19.418087,2
2026-03-06 21:14:19.553232,2
2026-03-06 21:14:19.553323,2
2026-03-06 21:14:19.553352,2
2026-03-06 21:14:19.553397,2
2026-03-06 21:14:19.553416,2
2026-03-06 21:14:19.553464,2
2026-03-06 21:14:19.553492,2
2026-03-06 21:14:19.553529,2
2026-03-06 21:14:19.553571,2
2026-03-06 21:14:19.687983,2
2026-03-06 21:14:19.688094,2
2026-03-06 21:14:19.688146,2
2026-03-06 21:14:19.688218,2
2026-03-06 21:14:19.688292,2
2026-03-06 21:14:19.688352,2
2026-03-06 21:14:19.688397,2
2026-03-06 21:14:19.688466,2
2026-03-06 21:14:19.688515,2
2026-03-06 21:14:19.823326,2
2026-03-06 21:14:19.823434,2
2026-03-06 21:14:19.823481,2
2026-03-06 21:14:19.823509,2
2026-03-06 21:14:19.823567,2
2026-03-06 21:14:19.823608,2
2026-03-06 21:14:19.823656,2
2026-03-06 21:14:19.823707,2
2026-03-06 21:14:19.823735,2
2026-03-06 21:14:19.958602,2
2026-03-06 21:14:19.958735,2
2026-03-06 21:14:19.958844,2
2026-03-06 21:14:19.958946,2
2026-03-06 21:14:19.95905,2
2026-03-06 21:14:19.959154,2
2026-03-06 21:14:19.959268,2
2026-03-06 21:14:19.959365,2
2026-03-06 21:14:19.959437,2
2026-03-06 21:14:20.097036,2
2026-03-06 21:14:20.097106,2
2026-03-06 21:14:20.097134,2
2026-03-06 21:14:20.097149,2
2026-03-06 21:14:20.097181,2
2026-03-06 21:14:20.097212,2
2026-03-06 21:14:20.097239,2
2026-03-06 21:14:20.097256,2
2026-03-06 21:14:20.097295,2
2026-03-06 21:14:20.232141,2
2026-03-06 21:14:20.232206,2
2026-03-06 21:14:20.232232,2
2026-03-06 21:14:20.23226,2
2026-03-06 21:14:20.232286,2
2026-03-06 21:14:20.232314,2
2026-03-06 21:14:20.232343,2
2026-03-06 21:14:20.232373,2
2026-03-06 21:14:20.232411,2
2026-03-06 21:14:20.367054,2
2026-03-06 21:14:20.367124,2
2026-03-06 21:14:20.367152,2
2026-03-06 21:14:20.367187,2
2026-03-06 21:14:20.367219,2
2026-03-06 21:14:20.36724,2
2026-03-06 21:14:20.36726,2
2026-03-06 21:14:20.367291,2
2026-03-06 21:14:20.367325,2
2026-03-06 21:14:20.502946,2
2026-03-06 21:14:20.503005,2
2026-03-06 21:14:20.503046,2
2026-03-06 21:14:20.503079,2
2026-03-06 21:14:20.503117,2
2026-03-06 21:14:20.503142,2
2026-03-06 21:14:20.503168,2
2026-03-06 21:14:20.503196,2
2026-03-06 21:14:20.503209,2
2026-03-06 21:14:20.63825,2
2026-03-06 21:14:20.638311,2
2026-03-06 21:14:20.638349,2
2026-03-06 21:14:20.638386,2
2026-03-06 21:14:20.638424,2
2026-03-06 21:14:20.638459,2
2026-03-06 21:14:20.638497,2
2026-03-06 21:14:20.638533,2
2026-03-06 21:14:20.638573,2
2026-03-06 21:14:20.772886,2
2026-03-06 21:14:20.772917,2
2026-03-06 21:14:20.772928,2
2026-03-06 21:14:20.772937,2
2026-03-06 21:14:20.772945,2
2026-03-06 21:14:20.772958,2
2026-03-06 21:14:20.772964,2
2026-03-06 21:14:20.772978,2
2026-03-06 21:14:20.772984,2
2026-03-06 21:14:20.907638,2
2026-03-06 21:14:20.907696,2
2026-03-06 21:14:20.907728,2
2026-03-06 21:14:20.907758,2
2026-03-06 21:14:20.907782,2
2026-03-06 21:14:20.9078,2
2026-03-06 21:14:20.907819,2
2026-03-06 21:14:20.90783,2
2026-03-06 21:14:20.907846,2
2026-03-06 21:14:21.042826,2
2026-03-06 21:14:21.042894,2
2026-03-06 21:14:21.042939,2
2026-03-06 21:14:21.042991,2
2026-03-06 21:14:21.043043,2
2026-03-06 21:14:21.043059,2
2026-03-06 21:14:21.04308,2
2026-03-06 21:14:21.043102,2
2026-03-06 21:14:21.043133,2
2026-03-06 21:14:21.182085,2
2026-03-06 21:14:21.182261,2
2026-03-06 21:14:21.182352,2
2026-03-06 21:14:21.182434,2
2026-03-06 21:14:21.18249,2
2026-03-06 21:14:21.182548,2
2026-03-06 21:14:21.182583,2
2026-03-06 21:14:21.182623,2
2026-03-06 21:14:21.182679,2
2026-03-06 21:14:21.316855,2
2026-03-06 21:14:21.316944,2
2026-03-06 21:14:21.31701,2
2026-03-06 21:14:21.317077,2
2026-03-06 21:14:21.317138,2
2026-03-06 21:14:21.317202,2
2026-03-06 21:14:21.317235,2
2026-03-06 21:14:21.317259,2
2026-03-06 21:14:21.317301,2
2026-03-06 21:14:21.452277,2
2026-03-06 21:14:21.452402,2
2026-03-06 21:14:21.452465,2
2026-03-06 21:14:21.452527,2
2026-03-06 21:14:21.452588,2
2026-03-06 21:14:21.452647,2
2026-03-06 21:14:21.452706,2
2026-03-06 21:14:21.452762,2
2026-03-06 21:14:21.452823,2
2026-03-06 21:14:21.587087,2
2026-03-06 21:14:21.587215,2
2026-03-06 21:14:21.587298,2
2026-03-06 21:14:21.587386,2
2026-03-06 21:14:21.587472,2
2026-03-06 21:14:21.587521,2
2026-03-06 21:14:21.587573,2
2026-03-06 21:14:21.587617,2
2026-03-06 21:14:21.587692,2
2026-03-06 21:14:21.72209,2
2026-03-06 21:14:21.722183,2
2026-03-06 21:14:21.722248,2
2026-03-06 21:14:21.722312,2
2026-03-06 21:14:21.722374,2
2026-03-06 21:14:21.722441,2
2026-03-06 21:14:21.722505,2
2026-03-06 21:14:21.722575,2
2026-03-06 21:14:21.722642,2
2026-03-06 21:14:21.857335,2
2026-03-06 21:14:21.857465,2
2026-03-06 21:14:21.857555,2
2026-03-06 21:14:21.857646,2
2026-03-06 21:14:21.857733,2
2026-03-06 21:14:21.857837,2
2026-03-06 21:14:21.857926,2
