time,PT_Cal.Ox_Upstream.raw_adc
2026-03-06 21:14:19.0927,219827939
2026-03-06 21:14:19.092813,220369353
2026-03-06 21:14:19.093187,219827939
2026-03-06 21:14:19.202965,220744904
2026-03-06 21:14:19.20339,220744904
2026-03-06 21:14:19.31208,220545329
2026-03-06 21:14:19.31215,220432731
2026-03-06 21:14:19.312211,220545329
2026-03-06 21:14:19.420957,219999196
2026-03-06 21:14:19.421123,219999196
2026-03-06 21:14:19.421459,220623541
2026-03-06 21:14:19.529595,220507572
2026-03-06 21:14:19.529676,220450261
2026-03-06 21:14:19.529754,220477905
2026-03-06 21:14:19.529845,219892666
2026-03-06 21:14:19.529979,220507572
2026-03-06 21:14:19.639538,220457678
2026-03-06 21:14:19.639952,220554094
2026-03-06 21:14:19.64036,220509595
2026-03-06 21:14:19.641155,220466443
2026-03-06 21:14:19.642788,220457678
2026-03-06 21:14:19.748037,220648488
2026-03-06 21:14:19.748298,220639048
2026-03-06 21:14:19.74859,220583086
2026-03-06 21:14:19.748711,220648488
2026-03-06 21:14:19.748977,220547352
2026-03-06 21:14:19.857385,219139541
2026-03-06 21:14:19.857628,220777941
2026-03-06 21:14:19.857891,221068538
2026-03-06 21:14:19.858077,219139541
2026-03-06 21:14:19.858209,220417897
2026-03-06 21:14:19.966056,220417897
2026-03-06 21:14:19.966453,220554094
2026-03-06 21:14:19.966861,220527125
2026-03-06 21:14:19.967142,219885249
2026-03-06 21:14:19.967403,220417897
2026-03-06 21:14:19.967643,220065271
2026-03-06 21:14:20.074844,219904128
2026-03-06 21:14:20.074887,219983689
2026-03-06 21:14:20.074959,219945257
2026-03-06 21:14:20.075038,220053809
2026-03-06 21:14:20.075114,219944582
2026-03-06 21:14:20.075205,220468466
2026-03-06 21:14:20.075281,219908848
2026-03-06 21:14:20.075359,220018074
2026-03-06 21:14:20.075732,219904128
2026-03-06 21:14:20.183605,218213138
2026-03-06 21:14:20.183653,220413852
2026-03-06 21:14:20.183748,220597919
2026-03-06 21:14:20.183823,220000544
2026-03-06 21:14:20.183904,220580389
2026-03-06 21:14:20.183904,218213138
2026-03-06 21:14:20.292665,220434079
2026-03-06 21:14:20.292749,220532518
2026-03-06 21:14:20.29283,220533867
2026-03-06 21:14:20.292917,220476556
2026-03-06 21:14:20.293011,220606684
2026-03-06 21:14:20.293317,220434079
2026-03-06 21:14:20.40132,220466443
2026-03-06 21:14:20.401403,220097635
2026-03-06 21:14:20.401614,218204373
2026-03-06 21:14:20.402153,220466443
2026-03-06 21:14:20.510683,219886598
2026-03-06 21:14:20.510757,220309346
2026-03-06 21:14:20.510857,220049763
2026-03-06 21:14:20.510964,220545329
2026-03-06 21:14:20.511074,219982340
2026-03-06 21:14:20.511094,219886598
2026-03-06 21:14:20.619492,220043696
2026-03-06 21:14:20.61954,219918961
2026-03-06 21:14:20.619595,219959415
2026-03-06 21:14:20.619735,220043696
2026-03-06 21:14:20.61991,219883901
2026-03-06 21:14:20.619959,220420595
2026-03-06 21:14:20.619997,220010657
2026-03-06 21:14:20.728571,220082801
2026-03-06 21:14:20.728664,219896037
2026-03-06 21:14:20.728751,219709272
2026-03-06 21:14:20.728851,219781416
2026-03-06 21:14:20.729822,220082801
2026-03-06 21:14:20.837789,219829287
2026-03-06 21:14:20.837845,220331595
2026-03-06 21:14:20.837886,219981665
2026-03-06 21:14:20.837931,220054483
2026-03-06 21:14:20.837995,219239328
2026-03-06 21:14:20.838075,219374176
2026-03-06 21:14:20.838102,219829287
2026-03-06 21:14:20.838175,219531273
