time,BOARD.HB_12.board_state
2026-03-06 21:14:18.309903,2
2026-03-06 21:14:18.316737,2
2026-03-06 21:14:18.894567,2
2026-03-06 21:14:19.894618,2
2026-03-06 21:14:20.894255,2
2026-03-06 21:14:21.894583,2
2026-03-06 21:14:22.904474,2
2026-03-06 21:14:23.912688,2
2026-03-06 21:14:24.912758,2
2026-03-06 21:14:25.91238,2
2026-03-06 21:14:26.912509,2
2026-03-06 21:14:27.91251,2
2026-03-06 21:14:28.92232,2
2026-03-06 21:14:29.93076,2
2026-03-06 21:14:30.930953,2
2026-03-06 21:14:31.930363,2
2026-03-06 21:14:32.930891,2
2026-03-06 21:14:33.930375,2
2026-03-06 21:14:34.940302,2
2026-03-06 21:14:35.948864,2
2026-03-06 21:14:36.948901,2
2026-03-06 21:14:37.948834,2
2026-03-06 21:14:38.948753,2
2026-03-06 21:14:39.948732,2
2026-03-06 21:14:40.958278,2
2026-03-06 21:14:41.966587,2
2026-03-06 21:14:42.966506,2
2026-03-06 21:14:43.967121,2
2026-03-06 21:14:44.966792,2
2026-03-06 21:14:45.966984,2
2026-03-06 21:14:46.977518,2
2026-03-06 21:14:47.985182,2
2026-03-06 21:14:48.985249,2
2026-03-06 21:14:49.985227,2
2026-03-06 21:14:50.984702,2
2026-03-06 21:14:51.984511,2
2026-03-06 21:14:52.994577,2
2026-03-06 21:14:54.003182,2
2026-03-06 21:14:55.003296,2
2026-03-06 21:14:56.003063,2
2026-03-06 21:14:57.00284,2
2026-03-06 21:14:58.003011,2
2026-03-06 21:14:59.012854,2
2026-03-06 21:15:00.020885,2
2026-03-06 21:15:01.021559,2
2026-03-06 21:15:02.02074,2
2026-03-06 21:15:03.022018,2
2026-03-06 21:15:04.021133,2
2026-03-06 21:15:05.030842,2
2026-03-06 21:15:06.039,2
2026-03-06 21:15:07.039131,2
2026-03-06 21:15:08.038866,2
2026-03-06 21:15:09.039351,2
2026-03-06 21:15:10.039482,2
2026-03-06 21:15:11.048953,2
2026-03-06 21:15:12.057556,2
2026-03-06 21:15:13.057278,2
2026-03-06 21:15:14.057064,2
2026-03-06 21:15:15.056918,2
2026-03-06 21:15:16.057376,2
2026-03-06 21:15:17.066718,2
2026-03-06 21:15:18.075269,2
2026-03-06 21:15:19.075367,2
2026-03-06 21:15:20.075086,2
2026-03-06 21:15:21.075199,2
2026-03-06 21:15:22.075044,2
2026-03-06 21:15:23.084722,2
2026-03-06 21:15:24.093178,2
2026-03-06 21:15:25.093372,2
2026-03-06 21:15:26.09459,2
2026-03-06 21:15:27.093622,2
2026-03-06 21:15:28.093227,2
2026-03-06 21:15:29.103189,2
2026-03-06 21:15:30.111566,2
2026-03-06 21:15:31.111499,2
2026-03-06 21:15:32.11136,2
2026-03-06 21:15:33.111417,2
2026-03-06 21:15:34.111421,2
2026-03-06 21:15:35.121222,2
2026-03-06 21:15:36.129446,2
2026-03-06 21:15:37.12931,2
2026-03-06 21:15:38.129459,2
2026-03-06 21:15:39.129819,2
2026-03-06 21:15:40.129391,2
2026-03-06 21:15:41.140821,2
2026-03-06 21:15:42.147367,2
2026-03-06 21:15:43.148094,2
2026-03-06 21:15:44.147562,2
2026-03-06 21:15:45.147966,2
2026-03-06 21:15:46.147317,2
2026-03-06 21:15:47.157194,2
2026-03-06 21:15:48.165561,2
2026-03-06 21:15:49.165565,2
2026-03-06 21:15:50.165377,2
2026-03-06 21:15:51.1655,2
2026-03-06 21:15:52.165712,2
2026-03-06 21:15:53.175515,2
2026-03-06 21:15:54.183596,2
2026-03-06 21:15:55.183889,2
2026-03-06 21:15:56.183798,2
2026-03-06 21:15:57.184068,2
2026-03-06 21:15:58.183755,2
2026-03-06 21:15:59.193362,2
2026-03-06 21:16:00.201985,2
2026-03-06 21:16:01.201999,2
2026-03-06 21:16:02.201666,2
2026-03-06 21:16:03.20171,2
2026-03-06 21:16:04.201669,2
2026-03-06 21:16:05.211395,2
2026-03-06 21:16:06.220023,2
2026-03-06 21:16:07.220038,2
2026-03-06 21:16:08.220168,2
2026-03-06 21:16:09.219956,2
2026-03-06 21:16:10.220087,2
2026-03-06 21:16:11.22946,2
2026-03-06 21:16:12.238003,2
2026-03-06 21:16:13.237705,2
2026-03-06 21:16:14.237794,2
2026-03-06 21:16:15.238059,2
2026-03-06 21:16:16.238016,2
2026-03-06 21:16:17.247823,2
2026-03-06 21:16:18.256374,2
2026-03-06 21:16:19.256203,2
2026-03-06 21:16:20.256049,2
2026-03-06 21:16:21.256126,2
2026-03-06 21:16:22.255768,2
2026-03-06 21:16:23.265774,2
2026-03-06 21:16:24.274184,2
2026-03-06 21:16:25.274027,2
2026-03-06 21:16:26.274035,2
2026-03-06 21:16:27.274173,2
2026-03-06 21:16:28.274376,2
2026-03-06 21:16:29.283891,2
2026-03-06 21:16:30.292054,2
2026-03-06 21:16:31.291818,2
2026-03-06 21:16:32.292253,2
2026-03-06 21:16:33.291979,2
2026-03-06 21:16:34.292333,2
2026-03-06 21:16:35.301574,2
2026-03-06 21:16:36.310353,2
2026-03-06 21:16:37.310414,2
2026-03-06 21:16:38.309935,2
2026-03-06 21:16:39.3103,2
2026-03-06 21:16:40.310617,2
2026-03-06 21:16:41.319966,2
2026-03-06 21:16:42.329427,2
2026-03-06 21:16:43.329354,2
2026-03-06 21:16:44.329125,2
2026-03-06 21:16:45.330386,2
2026-03-06 21:16:46.330238,2
2026-03-06 21:16:47.339843,2
2026-03-06 21:16:48.348652,2
2026-03-06 21:16:49.348766,2
2026-03-06 21:16:50.348056,2
2026-03-06 21:16:51.348033,2
2026-03-06 21:16:52.348268,2
2026-03-06 21:16:53.358035,2
2026-03-06 21:16:54.366188,2
2026-03-06 21:16:55.366476,2
2026-03-06 21:16:56.366274,2
2026-03-06 21:16:57.366383,2
2026-03-06 21:16:58.36653,2
2026-03-06 21:16:59.37603,2
2026-03-06 21:17:00.385413,2
2026-03-06 21:17:01.38414,2
2026-03-06 21:17:02.38403,2
2026-03-06 21:17:03.384402,2
2026-03-06 21:17:04.384299,2
2026-03-06 21:17:05.394312,2
2026-03-06 21:17:06.402374,2
2026-03-06 21:17:07.402545,2
2026-03-06 21:17:08.402677,2
2026-03-06 21:17:09.402699,2
2026-03-06 21:17:10.402433,2
2026-03-06 21:17:11.412001,2
2026-03-06 21:17:12.4205,2
2026-03-06 21:17:13.420726,2
2026-03-06 21:17:14.420588,2
2026-03-06 21:17:15.420801,2
2026-03-06 21:17:16.420479,2
2026-03-06 21:17:17.430374,2
2026-03-06 21:17:18.43871,2
2026-03-06 21:17:19.438567,2
2026-03-06 21:17:20.438645,2
2026-03-06 21:17:21.438946,2
2026-03-06 21:17:22.438782,2
2026-03-06 21:17:23.448288,2
2026-03-06 21:17:24.456774,2
2026-03-06 21:17:25.45702,2
2026-03-06 21:17:26.456556,2
2026-03-06 21:17:27.456831,2
2026-03-06 21:17:28.456651,2
2026-03-06 21:17:29.466644,2
2026-03-06 21:17:30.474863,2
2026-03-06 21:17:31.4749,2
2026-03-06 21:17:32.475063,2
2026-03-06 21:17:33.475102,2
2026-03-06 21:17:34.475129,2
2026-03-06 21:17:35.484749,2
2026-03-06 21:17:36.49304,2
2026-03-06 21:17:37.492962,2
2026-03-06 21:17:38.493175,2
2026-03-06 21:17:39.493122,2
2026-03-06 21:17:40.493219,2
2026-03-06 21:17:41.502713,2
2026-03-06 21:17:42.510689,2
2026-03-06 21:17:43.511015,2
2026-03-06 21:17:44.510819,2
2026-03-06 21:17:45.51095,2
2026-03-06 21:17:46.510727,2
2026-03-06 21:17:47.520378,2
2026-03-06 21:17:48.529374,2
2026-03-06 21:17:49.529019,2
2026-03-06 21:17:50.529012,2
2026-03-06 21:17:51.52902,2
2026-03-06 21:17:52.529069,2
2026-03-06 21:17:53.538524,2
2026-03-06 21:17:54.547577,2
2026-03-06 21:17:55.547322,2
2026-03-06 21:17:56.547168,2
2026-03-06 21:17:57.546899,2
2026-03-06 21:17:58.546926,2
2026-03-06 21:17:59.55679,2
2026-03-06 21:18:00.565004,2
2026-03-06 21:18:01.565228,2
2026-03-06 21:18:02.564961,2
2026-03-06 21:18:03.565434,2
2026-03-06 21:18:04.56517,2
2026-03-06 21:18:05.575047,2
