time,PT_Cal.GN2_High.channel_id
2026-03-06 21:14:19.102087,14
2026-03-06 21:14:19.102166,14
2026-03-06 21:14:19.102444,14
2026-03-06 21:14:19.102456,14
2026-03-06 21:14:19.102506,14
2026-03-06 21:14:19.102732,14
2026-03-06 21:14:19.102744,14
2026-03-06 21:14:19.20161,14
2026-03-06 21:14:19.201905,14
2026-03-06 21:14:19.201923,14
2026-03-06 21:14:19.202054,14
2026-03-06 21:14:19.301867,14
2026-03-06 21:14:19.3019,14
2026-03-06 21:14:19.302002,14
2026-03-06 21:14:19.302046,14
2026-03-06 21:14:19.302084,14
2026-03-06 21:14:19.302096,14
2026-03-06 21:14:19.302166,14
2026-03-06 21:14:19.302211,14
2026-03-06 21:14:19.302296,14
2026-03-06 21:14:19.401575,14
2026-03-06 21:14:19.50266,14
2026-03-06 21:14:19.502913,14
2026-03-06 21:14:19.503104,14
2026-03-06 21:14:19.503336,14
2026-03-06 21:14:19.503567,14
2026-03-06 21:14:19.50372,14
2026-03-06 21:14:19.503956,14
2026-03-06 21:14:19.504374,14
2026-03-06 21:14:19.604991,14
2026-03-06 21:14:19.605113,14
2026-03-06 21:14:19.605229,14
2026-03-06 21:14:19.605307,14
2026-03-06 21:14:19.605482,14
2026-03-06 21:14:19.605664,14
2026-03-06 21:14:19.606908,14
2026-03-06 21:14:19.703565,14
2026-03-06 21:14:19.703612,14
2026-03-06 21:14:19.703683,14
2026-03-06 21:14:19.703722,14
2026-03-06 21:14:19.703805,14
2026-03-06 21:14:19.703854,14
2026-03-06 21:14:19.804566,14
2026-03-06 21:14:19.804733,14
2026-03-06 21:14:19.804788,14
2026-03-06 21:14:19.804967,14
2026-03-06 21:14:19.80513,14
2026-03-06 21:14:19.805228,14
2026-03-06 21:14:19.80542,14
2026-03-06 21:14:19.805693,14
2026-03-06 21:14:19.907505,14
2026-03-06 21:14:19.907546,14
2026-03-06 21:14:19.90757,14
2026-03-06 21:14:19.907622,14
2026-03-06 21:14:19.907668,14
2026-03-06 21:14:19.907718,14
2026-03-06 21:14:19.907805,14
2026-03-06 21:14:19.907864,14
2026-03-06 21:14:19.907905,14
2026-03-06 21:14:20.007966,14
2026-03-06 21:14:20.008001,14
2026-03-06 21:14:20.008022,14
2026-03-06 21:14:20.008044,14
2026-03-06 21:14:20.008071,14
2026-03-06 21:14:20.008103,14
2026-03-06 21:14:20.008135,14
2026-03-06 21:14:20.008181,14
2026-03-06 21:14:20.008214,14
2026-03-06 21:14:20.008336,14
2026-03-06 21:14:20.107785,14
2026-03-06 21:14:20.107815,14
2026-03-06 21:14:20.107842,14
2026-03-06 21:14:20.107876,14
2026-03-06 21:14:20.107904,14
2026-03-06 21:14:20.107939,14
2026-03-06 21:14:20.107966,14
2026-03-06 21:14:20.107996,14
2026-03-06 21:14:20.108028,14
2026-03-06 21:14:20.108393,14
2026-03-06 21:14:20.207371,14
2026-03-06 21:14:20.207392,14
2026-03-06 21:14:20.207443,14
2026-03-06 21:14:20.207653,14
2026-03-06 21:14:20.207697,14
2026-03-06 21:14:20.207803,14
2026-03-06 21:14:20.307781,14
2026-03-06 21:14:20.307804,14
2026-03-06 21:14:20.307814,14
2026-03-06 21:14:20.307838,14
2026-03-06 21:14:20.307874,14
2026-03-06 21:14:20.307943,14
2026-03-06 21:14:20.307981,14
2026-03-06 21:14:20.308445,14
2026-03-06 21:14:20.407522,14
2026-03-06 21:14:20.407535,14
2026-03-06 21:14:20.407562,14
2026-03-06 21:14:20.40759,14
2026-03-06 21:14:20.407628,14
2026-03-06 21:14:20.40769,14
2026-03-06 21:14:20.407936,14
2026-03-06 21:14:20.408505,14
2026-03-06 21:14:20.507286,14
2026-03-06 21:14:20.507339,14
2026-03-06 21:14:20.507352,14
2026-03-06 21:14:20.50736,14
2026-03-06 21:14:20.507367,14
2026-03-06 21:14:20.507377,14
2026-03-06 21:14:20.507385,14
2026-03-06 21:14:20.507408,14
2026-03-06 21:14:20.507443,14
2026-03-06 21:14:20.60825,14
2026-03-06 21:14:20.608278,14
2026-03-06 21:14:20.608296,14
2026-03-06 21:14:20.608312,14
2026-03-06 21:14:20.608356,14
2026-03-06 21:14:20.608386,14
2026-03-06 21:14:20.608439,14
2026-03-06 21:14:20.608527,14
2026-03-06 21:14:20.608662,14
2026-03-06 21:14:20.708282,14
2026-03-06 21:14:20.7083,14
2026-03-06 21:14:20.708311,14
2026-03-06 21:14:20.708318,14
2026-03-06 21:14:20.708325,14
2026-03-06 21:14:20.708369,14
2026-03-06 21:14:20.708424,14
2026-03-06 21:14:20.7085,14
2026-03-06 21:14:20.708688,14
2026-03-06 21:14:20.808744,14
2026-03-06 21:14:20.808755,14
2026-03-06 21:14:20.808787,14
2026-03-06 21:14:20.808817,14
2026-03-06 21:14:20.808839,14
2026-03-06 21:14:20.808862,14
2026-03-06 21:14:20.808886,14
2026-03-06 21:14:20.808912,14
2026-03-06 21:14:20.808948,14
