time,PT_Cal.GSE_Low.pressure_psi
2026-03-06 21:14:19.092593,124.71016
2026-03-06 21:14:19.092802,124.52002
2026-03-06 21:14:19.092806,0.45031306
2026-03-06 21:14:19.092835,124.710556
2026-03-06 21:14:19.202902,124.63733
2026-03-06 21:14:19.20298,0.45018834
2026-03-06 21:14:19.312026,124.70544
2026-03-06 21:14:19.312129,124.64875
2026-03-06 21:14:19.312177,0.45030499
2026-03-06 21:14:19.312186,124.33225
2026-03-06 21:14:19.420731,124.57434
2026-03-06 21:14:19.420921,0.45008045
2026-03-06 21:14:19.42125,124.72158
2026-03-06 21:14:19.529559,124.74638
2026-03-06 21:14:19.529636,124.52277
2026-03-06 21:14:19.529723,124.75938
2026-03-06 21:14:19.529817,124.59875
2026-03-06 21:14:19.529888,0.45037508
2026-03-06 21:14:19.639327,124.62907
2026-03-06 21:14:19.639741,124.6267
2026-03-06 21:14:19.640267,124.92316
2026-03-06 21:14:19.640624,0.45017418
2026-03-06 21:14:19.640986,124.637726
2026-03-06 21:14:19.747916,124.65938
2026-03-06 21:14:19.748198,124.68929
2026-03-06 21:14:19.748483,124.71528
2026-03-06 21:14:19.74855,0.4502261
2026-03-06 21:14:19.748764,124.65347
2026-03-06 21:14:19.857284,124.64048
2026-03-06 21:14:19.857528,122.89563
2026-03-06 21:14:19.857776,124.638115
2026-03-06 21:14:19.857813,0.45019373
2026-03-06 21:14:19.858067,124.65859
2026-03-06 21:14:19.965913,124.65111
2026-03-06 21:14:19.966314,124.66528
2026-03-06 21:14:19.966636,124.68654
2026-03-06 21:14:19.96668,0.4502119
2026-03-06 21:14:19.966994,124.59757
2026-03-06 21:14:19.967513,124.54876
2026-03-06 21:14:20.074822,124.581825
2026-03-06 21:14:20.074879,124.309425
2026-03-06 21:14:20.074926,124.7019
2026-03-06 21:14:20.075008,124.50821
2026-03-06 21:14:20.075082,124.57159
2026-03-06 21:14:20.075168,124.64796
2026-03-06 21:14:20.075248,124.211815
2026-03-06 21:14:20.075327,124.72867
2026-03-06 21:14:20.075409,124.70544
2026-03-06 21:14:20.075494,0.45009327
2026-03-06 21:14:20.183535,124.34485
2026-03-06 21:14:20.183642,124.62749
2026-03-06 21:14:20.183712,124.69717
2026-03-06 21:14:20.18379,124.63615
2026-03-06 21:14:20.183814,0.44968736
2026-03-06 21:14:20.183867,124.663704
2026-03-06 21:14:20.18396,124.67709
2026-03-06 21:14:20.292612,124.5893
2026-03-06 21:14:20.292716,124.6267
2026-03-06 21:14:20.292797,124.668434
2026-03-06 21:14:20.292883,124.57395
2026-03-06 21:14:20.292962,124.71646
2026-03-06 21:14:20.293212,0.45010608
2026-03-06 21:14:20.401272,124.60151
2026-03-06 21:14:20.401374,124.3047
2026-03-06 21:14:20.401518,124.41846
2026-03-06 21:14:20.401542,0.45012698
2026-03-06 21:14:20.510646,124.65544
2026-03-06 21:14:20.510716,124.70347
2026-03-06 21:14:20.510803,124.65701
2026-03-06 21:14:20.510905,0.45021933
2026-03-06 21:14:20.51092,124.60702
2026-03-06 21:14:20.511032,124.77473
2026-03-06 21:14:20.619429,124.62198
2026-03-06 21:14:20.619528,124.534584
2026-03-06 21:14:20.61956,124.641266
2026-03-06 21:14:20.619614,0.45016202
2026-03-06 21:14:20.619886,124.61961
