time,PT_Cal.GN2_High.pressure_psi
2026-03-06 21:14:19.102087,64.68761
2026-03-06 21:14:19.102166,65.11477
2026-03-06 21:14:19.102444,64.695786
2026-03-06 21:14:19.102456,64.36265
2026-03-06 21:14:19.102506,0.4336543
2026-03-06 21:14:19.102732,65.11272
2026-03-06 21:14:19.102744,65.05754
2026-03-06 21:14:19.20161,65.20469
2026-03-06 21:14:19.201905,65.38659
2026-03-06 21:14:19.201923,65.17608
2026-03-06 21:14:19.202054,65.45608
2026-03-06 21:14:19.301867,65.14338
2026-03-06 21:14:19.3019,65.64411
2026-03-06 21:14:19.302002,65.17812
2026-03-06 21:14:19.302046,65.30279
2026-03-06 21:14:19.302084,0.43380463
2026-03-06 21:14:19.302096,65.23126
2026-03-06 21:14:19.302166,65.00849
2026-03-06 21:14:19.302211,65.43156
2026-03-06 21:14:19.302296,64.889946
2026-03-06 21:14:19.401575,64.95535
2026-03-06 21:14:19.50266,65.55827
2026-03-06 21:14:19.502913,65.35389
2026-03-06 21:14:19.503104,64.736664
2026-03-06 21:14:19.503336,64.95126
2026-03-06 21:14:19.503567,64.86746
2026-03-06 21:14:19.50372,0.43394148
2026-03-06 21:14:19.503956,65.41316
2026-03-06 21:14:19.504374,65.19652
2026-03-06 21:14:19.604991,65.38455
2026-03-06 21:14:19.605113,64.87973
2026-03-06 21:14:19.605229,65.2517
2026-03-06 21:14:19.605307,65.33345
2026-03-06 21:14:19.605482,65.25783
2026-03-06 21:14:19.605664,64.79594
2026-03-06 21:14:19.606908,0.43388417
2026-03-06 21:14:19.703565,65.03915
2026-03-06 21:14:19.703612,65.61141
2026-03-06 21:14:19.703683,65.26396
2026-03-06 21:14:19.703722,64.877686
2026-03-06 21:14:19.703805,64.63447
2026-03-06 21:14:19.703854,64.99622
2026-03-06 21:14:19.804566,65.141335
2026-03-06 21:14:19.804733,65.06367
2026-03-06 21:14:19.804788,65.172
2026-03-06 21:14:19.804967,65.07798
2026-03-06 21:14:19.80513,0.43380395
2026-03-06 21:14:19.805228,65.24966
2026-03-06 21:14:19.80542,65.53988
2026-03-06 21:14:19.805693,65.16791
2026-03-06 21:14:19.907505,65.30279
2026-03-06 21:14:19.907546,65.22105
2026-03-06 21:14:19.90757,64.50367
2026-03-06 21:14:19.907622,65.37637
2026-03-06 21:14:19.907668,64.73871
2026-03-06 21:14:19.907718,64.712135
2026-03-06 21:14:19.907805,64.92061
2026-03-06 21:14:19.907864,0.4338572
2026-03-06 21:14:19.907905,64.93287
2026-03-06 21:14:20.007966,65.83009
2026-03-06 21:14:20.008001,64.50775
2026-03-06 21:14:20.008022,65.39681
2026-03-06 21:14:20.008044,64.87155
2026-03-06 21:14:20.008071,65.04119
2026-03-06 21:14:20.008103,64.63651
2026-03-06 21:14:20.008135,65.157684
2026-03-06 21:14:20.008181,65.00644
2026-03-06 21:14:20.008214,64.88177
2026-03-06 21:14:20.008336,0.43403116
2026-03-06 21:14:20.107785,65.339584
2026-03-06 21:14:20.107815,64.99622
2026-03-06 21:14:20.107842,65.29258
2026-03-06 21:14:20.107876,65.0555
2026-03-06 21:14:20.107904,64.68966
2026-03-06 21:14:20.107939,65.23126
2026-03-06 21:14:20.107966,64.992134
2026-03-06 21:14:20.107996,64.87564
2026-03-06 21:14:20.108028,64.44644
2026-03-06 21:14:20.108393,0.43386936
2026-03-06 21:14:20.207371,65.03506
2026-03-06 21:14:20.207392,64.595634
2026-03-06 21:14:20.207443,65.2517
2026-03-06 21:14:20.207653,64.73462
2026-03-06 21:14:20.207697,65.521484
2026-03-06 21:14:20.207803,64.93695
2026-03-06 21:14:20.307781,65.33754
2026-03-06 21:14:20.307804,64.806145
2026-03-06 21:14:20.307814,64.56907
2026-03-06 21:14:20.307838,65.40498
2026-03-06 21:14:20.307874,65.169945
2026-03-06 21:14:20.307943,64.46279
2026-03-06 21:14:20.307981,65.711555
2026-03-06 21:14:20.308445,0.43386868
2026-03-06 21:14:20.407522,65.63798
2026-03-06 21:14:20.407535,64.99418
2026-03-06 21:14:20.407562,64.61404
2026-03-06 21:14:20.40759,64.922646
2026-03-06 21:14:20.407628,65.29667
2026-03-06 21:14:20.40769,65.24966
2026-03-06 21:14:20.407936,64.2952
2026-03-06 21:14:20.408505,0.43383968
2026-03-06 21:14:20.507286,65.03097
2026-03-06 21:14:20.507339,65.13112
2026-03-06 21:14:20.507352,65.04936
2026-03-06 21:14:20.50736,65.088196
2026-03-06 21:14:20.507367,65.34572
2026-03-06 21:14:20.507377,65.24352
2026-03-06 21:14:20.507385,64.85111
2026-03-06 21:14:20.507408,65.19243
2026-03-06 21:14:20.507443,64.258415
2026-03-06 21:14:20.60825,64.736664
2026-03-06 21:14:20.608278,64.83476
2026-03-06 21:14:20.608296,64.78571
2026-03-06 21:14:20.608312,64.55272
2026-03-06 21:14:20.608356,65.30075
2026-03-06 21:14:20.608386,64.748924
2026-03-06 21:14:20.608439,65.00644
2026-03-06 21:14:20.608527,65.26192
2026-03-06 21:14:20.608662,0.43367046
2026-03-06 21:14:20.708282,65.17812
2026-03-06 21:14:20.7083,65.468346
2026-03-06 21:14:20.708311,64.8879
2026-03-06 21:14:20.708318,65.56032
2026-03-06 21:14:20.708325,64.877686
2026-03-06 21:14:20.708369,64.8225
2026-03-06 21:14:20.708424,64.70396
2026-03-06 21:14:20.7085,65.02075
2026-03-06 21:14:20.708688,0.43391183
2026-03-06 21:14:20.808744,65.468346
2026-03-06 21:14:20.808755,64.87564
2026-03-06 21:14:20.808787,65.6155
2026-03-06 21:14:20.808817,65.34776
2026-03-06 21:14:20.808839,65.25987
2026-03-06 21:14:20.808862,64.77754
2026-03-06 21:14:20.808886,65.104546
2026-03-06 21:14:20.808912,64.8736
2026-03-06 21:14:20.808948,65.03301
2026-03-06 21:14:20.809387,0.43391183
2026-03-06 21:14:20.912726,65.20061
2026-03-06 21:14:20.912777,64.98192
2026-03-06 21:14:20.912784,65.36615
2026-03-06 21:14:20.912794,65.40294
2026-03-06 21:14:20.91282,64.39535
2026-03-06 21:14:20.912867,65.40498
2026-03-06 21:14:20.91293,64.55476
2026-03-06 21:14:20.913014,64.550674
2026-03-06 21:14:20.913266,0.4338235
2026-03-06 21:14:21.01233,65.3171
2026-03-06 21:14:21.012348,65.66046
2026-03-06 21:14:21.012391,65.57258
2026-03-06 21:14:21.012627,65.0044
2026-03-06 21:14:21.012653,64.992134
2026-03-06 21:14:21.012682,64.542496
2026-03-06 21:14:21.012697,65.202644
2026-03-06 21:14:21.012721,64.98192
2026-03-06 21:14:21.112981,65.12294
2026-03-06 21:14:21.113011,65.174034
2026-03-06 21:14:21.113054,65.11477
2026-03-06 21:14:21.113145,65.67272
2026-03-06 21:14:21.11323,65.16177
2026-03-06 21:14:21.113296,64.16848
2026-03-06 21:14:21.113446,65.18017
2026-03-06 21:14:21.113547,64.712135
2026-03-06 21:14:21.113628,0.4337979
2026-03-06 21:14:21.212918,65.48878
2026-03-06 21:14:21.212938,65.07389
2026-03-06 21:14:21.212962,64.902214
2026-03-06 21:14:21.21297,65.18426
2026-03-06 21:14:21.212993,65.65842
2026-03-06 21:14:21.213013,64.88177
2026-03-06 21:14:21.213045,64.97375
2026-03-06 21:14:21.213075,65.235344
2026-03-06 21:14:21.213108,65.39886
2026-03-06 21:14:21.213666,0.43383497
2026-03-06 21:14:21.312567,65.19243
2026-03-06 21:14:21.3126,65.09433
2026-03-06 21:14:21.312652,64.93695
2026-03-06 21:14:21.31271,64.699875
2026-03-06 21:14:21.312779,64.88177
2026-03-06 21:14:21.312856,65.38863
2026-03-06 21:14:21.312995,64.83476
2026-03-06 21:14:21.313122,64.87564
2026-03-06 21:14:21.413132,64.63243
2026-03-06 21:14:21.413174,65.368195
2026-03-06 21:14:21.413485,65.59506
2026-03-06 21:14:21.413582,64.91651
2026-03-06 21:14:21.413624,65.13112
2026-03-06 21:14:21.413645,65.40498
2026-03-06 21:14:21.413676,65.071846
2026-03-06 21:14:21.4137,64.52615
2026-03-06 21:14:21.414054,0.4336361
2026-03-06 21:14:21.51274,65.22105
2026-03-06 21:14:21.512786,65.64002
2026-03-06 21:14:21.51302,64.97375
2026-03-06 21:14:21.513064,65.39681
2026-03-06 21:14:21.513106,65.15564
2026-03-06 21:14:21.513165,64.59359
2026-03-06 21:14:21.513238,64.99827
2026-03-06 21:14:21.513299,64.97375
2026-03-06 21:14:21.61397,64.894035
2026-03-06 21:14:21.61401,65.22308
2026-03-06 21:14:21.614066,65.27622
2026-03-06 21:14:21.614121,65.723816
2026-03-06 21:14:21.614202,65.01257
2026-03-06 21:14:21.614271,65.46221
2026-03-06 21:14:21.614351,65.141335
2026-03-06 21:14:21.614483,65.02075
2026-03-06 21:14:21.614552,0.43372238
2026-03-06 21:14:21.7138,65.44586
2026-03-06 21:14:21.713869,64.50775
2026-03-06 21:14:21.713937,65.64616
2026-03-06 21:14:21.71401,65.47039
2026-03-06 21:14:21.7141,64.902214
2026-03-06 21:14:21.714162,65.64002
2026-03-06 21:14:21.714301,65.484695
2026-03-06 21:14:21.714435,64.88586
2026-03-06 21:14:21.714653,0.4339125
2026-03-06 21:14:21.8138,65.38455
2026-03-06 21:14:21.813889,64.728485
2026-03-06 21:14:21.81396,65.81579
2026-03-06 21:14:21.814088,64.898125
2026-03-06 21:14:21.814257,64.18075
2026-03-06 21:14:21.814439,64.68557
2026-03-06 21:14:21.814592,65.55214
2026-03-06 21:14:21.815034,0.43372375
2026-03-06 21:14:21.917529,65.4336
2026-03-06 21:14:21.917561,65.24557
2026-03-06 21:14:21.91759,65.24966
2026-03-06 21:14:21.917604,65.01871
2026-03-06 21:14:21.917637,65.298706
2026-03-06 21:14:21.917691,65.40703
2026-03-06 21:14:21.917734,65.49491
2026-03-06 21:14:21.918052,0.43390036
2026-03-06 21:14:22.017873,64.595634
2026-03-06 21:14:22.017971,64.86951
